"pli0092_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","","","",""
"Daily","1985","35-65 y.","","","",""
"Daily","1985","66 and older","","","",""
"Min 1x per week","1985","16-34 y.","1374","0.373487743187121","0.358770481721717","0.388205004652524"
"Min 1x per week","1985","35-65 y.","1013","0.204298569580009","0.193839915430037","0.214757223729982"
"Min 1x per week","1985","66 and older","83","0.0741584483054484","0.0586029655740963","0.0897139310368004"
"Min 1x per month","1985","16-34 y.","302","0.0727441959915984","0.0648424512343724","0.0806459407488244"
"Min 1x per month","1985","35-65 y.","222","0.0429983149856409","0.0377363235227037","0.0482603064485782"
"Min 1x per month","1985","66 and older","18","","",""
"Rarely","1985","16-34 y.","811","0.203666131447882","0.191413452803929","0.215918810091835"
"Rarely","1985","35-65 y.","594","0.110445586999113","0.102314876224225","0.118576297774001"
"Rarely","1985","66 and older","28","","",""
"Never","1985","16-34 y.","1663","0.350101929373398","0.3355893730398","0.364614485706997"
"Never","1985","35-65 y.","3880","0.642257528435237","0.629823612611381","0.654691444259092"
"Never","1985","66 and older","961","0.885371241533397","0.866458941810859","0.904283541255935"
"Daily","1986","16-34 y.","","","",""
"Daily","1986","35-65 y.","","","",""
"Daily","1986","66 and older","","","",""
"Min 1x per week","1986","16-34 y.","1471","0.383567794170505","0.368643692188106","0.398491896152903"
"Min 1x per week","1986","35-65 y.","995","0.212926981406808","0.202030376724736","0.223823586088879"
"Min 1x per week","1986","66 and older","77","0.0718408932066664","0.0560480637342656","0.0876337226790671"
"Min 1x per month","1986","16-34 y.","305","0.079641167279065","0.0713317248929042","0.0879506096652257"
"Min 1x per month","1986","35-65 y.","244","0.0473477373577497","0.0416946571036144","0.053000817611885"
"Min 1x per month","1986","66 and older","18","","",""
"Rarely","1986","16-34 y.","724","0.194694908937476","0.182541950845273","0.206847867029679"
"Rarely","1986","35-65 y.","537","0.103696852144442","0.0955820379211687","0.111811666367716"
"Rarely","1986","66 and older","18","","",""
"Never","1986","16-34 y.","1578","0.342096129612955","0.327535512515565","0.356656746710345"
"Never","1986","35-65 y.","3646","0.636028429091","0.623221637858835","0.648835220323165"
"Never","1986","66 and older","914","0.896392040357129","0.877753649041245","0.915030431673013"
"Daily","1987","16-34 y.","","","",""
"Daily","1987","35-65 y.","","","",""
"Daily","1987","66 and older","","","",""
"Min 1x per week","1987","16-34 y.","","","",""
"Min 1x per week","1987","35-65 y.","","","",""
"Min 1x per week","1987","66 and older","","","",""
"Min 1x per month","1987","16-34 y.","","","",""
"Min 1x per month","1987","35-65 y.","","","",""
"Min 1x per month","1987","66 and older","","","",""
"Rarely","1987","16-34 y.","","","",""
"Rarely","1987","35-65 y.","","","",""
"Rarely","1987","66 and older","","","",""
"Never","1987","16-34 y.","","","",""
"Never","1987","35-65 y.","","","",""
"Never","1987","66 and older","","","",""
"Daily","1988","16-34 y.","","","",""
"Daily","1988","35-65 y.","","","",""
"Daily","1988","66 and older","","","",""
"Min 1x per week","1988","16-34 y.","1350","0.3784365978386","0.36308072089624","0.39379247478096"
"Min 1x per week","1988","35-65 y.","973","0.221147130820961","0.209697280607196","0.232596981034726"
"Min 1x per week","1988","66 and older","96","0.0914704794862357","0.0739163938473204","0.109024565125151"
"Min 1x per month","1988","16-34 y.","280","0.0767119672066587","0.0682856946245568","0.0851382397887607"
"Min 1x per month","1988","35-65 y.","223","0.0507499908621997","0.0446946342063457","0.0568053475180538"
"Min 1x per month","1988","66 and older","18","","",""
"Rarely","1988","16-34 y.","731","0.20390468005942","0.191148181827936","0.216661178290904"
"Rarely","1988","35-65 y.","569","0.127636384245397","0.11843045872468","0.136842309766113"
