"pli0092_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","no migration background","","","",""
"Daily","1985","16-34 y.","direct migration background","","","",""
"Daily","1985","16-34 y.","indirect migration background","","","",""
"Daily","1985","35-65 y.","no migration background","","","",""
"Daily","1985","35-65 y.","direct migration background","","","",""
"Daily","1985","35-65 y.","indirect migration background","","","",""
"Daily","1985","66 and older","no migration background","","","",""
"Daily","1985","66 and older","direct migration background","","","",""
"Daily","1985","66 and older","indirect migration background","","","",""
"Min 1x per week","1985","16-34 y.","no migration background","1091","0.384902972371991","0.367166326631414","0.402639618112567"
"Min 1x per week","1985","16-34 y.","direct migration background","237","0.261888171501538","0.236366172366321","0.287410170636755"
"Min 1x per week","1985","16-34 y.","indirect migration background","46","0.464077428159672","0.374474777436288","0.553680078883057"
"Min 1x per week","1985","35-65 y.","no migration background","862","0.214772524661294","0.201969082973338","0.22757596634925"
"Min 1x per week","1985","35-65 y.","direct migration background","149","0.128448135156258","0.112731512528959","0.144164757783557"
"Min 1x per week","1985","35-65 y.","indirect migration background","","","",""
"Min 1x per week","1985","66 and older","no migration background","80","0.074015656282759","0.0581731471564015","0.0898581654091165"
"Min 1x per week","1985","66 and older","direct migration background","","","",""
"Min 1x per week","1985","66 and older","indirect migration background","","","",""
"Min 1x per month","1985","16-34 y.","no migration background","216","0.0736550040243848","0.0641333684856178","0.0831766395631518"
"Min 1x per month","1985","16-34 y.","direct migration background","76","0.0635287424539443","0.0493698911488492","0.0776875937590395"
"Min 1x per month","1985","16-34 y.","indirect migration background","","","",""
"Min 1x per month","1985","35-65 y.","no migration background","187","0.0454355586366463","0.0389426366423531","0.0519284806309396"
"Min 1x per month","1985","35-65 y.","direct migration background","35","0.0253975500259904","0.0180073130103921","0.0327877870415886"
"Min 1x per month","1985","35-65 y.","indirect migration background","","","",""
"Min 1x per month","1985","66 and older","no migration background","","","",""
"Min 1x per month","1985","66 and older","direct migration background","","","",""
"Min 1x per month","1985","66 and older","indirect migration background","","","",""
"Rarely","1985","16-34 y.","no migration background","603","0.210022999525585","0.195175111036925","0.224870888014245"
"Rarely","1985","16-34 y.","direct migration background","182","0.150258343374758","0.12951597140844","0.171000715341076"
"Rarely","1985","16-34 y.","indirect migration background","","","",""
"Rarely","1985","35-65 y.","no migration background","475","0.11414738335606","0.104233282345091","0.124061484367028"
"Rarely","1985","35-65 y.","direct migration background","117","0.0794383405848778","0.0667358106026621","0.0921408705670935"
"Rarely","1985","35-65 y.","indirect migration background","","","",""
"Rarely","1985","66 and older","no migration background","","","",""
"Rarely","1985","66 and older","direct migration background","","","",""
"Rarely","1985","66 and older","indirect migration background","","","",""
"Never","1985","16-34 y.","no migration background","981","0.331419024078039","0.31426011118065","0.348577936975429"
"Never","1985","16-34 y.","direct migration background","645","0.52432474266976","0.495334548615706","0.553314936723814"
"Never","1985","16-34 y.","indirect migration background","37","0.285947145342739","0.204760859627403","0.367133431058076"
"Never","1985","35-65 y.","no migration background","2428","0.625644533346","0.610556051666227","0.640733015025773"
"Never","1985","35-65 y.","direct migration background","1440","0.766715974232874","0.74685006430884","0.786581884156907"
"Never","1985","35-65 y.","indirect migration background","","","",""
"Never","1985","66 and older","no migration background","925","0.885919204986442","0.866681038682237","0.905157371290646"
"Never","1985","66 and older","direct migration background","31","0.847308024808866","0.729811341650938","0.964804707966794"
"Never","1985","66 and older","indirect migration background","","","",""
"Daily","1986","16-34 y.","no migration background","","","",""
"Daily","1986","16-34 y.","direct migration background","","","",""
"Daily","1986","16-34 y.","indirect migration background","","","",""
"Daily","1986","35-65 y.","no migration background","","","",""
"Daily","1986","35-65 y.","direct migration background","","","",""
"Daily","1986","35-65 y.","indirect migration background","","","",""
"Daily","1986","66 and older","no migration background","","","",""
"Daily","1986","66 and older","direct migration background","","","",""
"Daily","1986","66 and older","indirect migration background","","","",""
"Min 1x per week","1986","16-34 y.","no migration background","1125","0.395696199337114","0.377740163286027","0.413652235388201"
"Min 1x per week","1986","16-34 y.","direct migration background","290","0.267564297278205","0.241391624288584","0.293736970267826"
