"pli0092_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","","","",""
"Daily","1985","Hamburg","","","",""
"Daily","1985","Lower Saxony","","","",""
"Daily","1985","Bremen","","","",""
"Daily","1985","North Rhine-Westphalia","","","",""
"Daily","1985","Hesse","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","","","",""
"Daily","1985","Baden-Württemberg","","","",""
"Daily","1985","Bavaria","","","",""
"Daily","1985","Berlin","","","",""
"Daily","1985","Brandenburg","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","","","",""
"Daily","1985","Saxony","","","",""
"Daily","1985","Saxony-Anhalt","","","",""
"Daily","1985","Thuringia","","","",""
"Min 1x per week","1985","Schleswig-Holstein","91","0.25887814188266","0.212857680168916","0.304898603596405"
"Min 1x per week","1985","Hamburg","82","0.308417905613958","0.253931869730966","0.362903941496949"
"Min 1x per week","1985","Lower Saxony","270","0.243247954336041","0.217800861631243","0.26869504704084"
"Min 1x per week","1985","Bremen","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","671","0.239211108862957","0.223795896565015","0.2546263211609"
"Min 1x per week","1985","Hesse","242","0.246415136662476","0.221155507900835","0.271674765424116"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","156","0.203913363316109","0.175306277670435","0.232520448961782"
"Min 1x per week","1985","Baden-Württemberg","404","0.221224804838449","0.203204216463069","0.239245393213829"
"Min 1x per week","1985","Bavaria","462","0.25196431886167","0.232407263595383","0.271521374127957"
"Min 1x per week","1985","Berlin","78","0.228138437554121","0.185088691161258","0.271188183946984"
"Min 1x per week","1985","Brandenburg","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1985","Saxony","","","",""
"Min 1x per week","1985","Saxony-Anhalt","","","",""
"Min 1x per week","1985","Thuringia","","","",""
"Min 1x per month","1985","Schleswig-Holstein","","","",""
"Min 1x per month","1985","Hamburg","","","",""
"Min 1x per month","1985","Lower Saxony","46","0.0369370681637729","0.0257505401155341","0.0481235962120118"
"Min 1x per month","1985","Bremen","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","129","0.0444800013796314","0.0370304684644938","0.0519295342947689"
"Min 1x per month","1985","Hesse","44","0.0351595161649436","0.0243631801376049","0.0459558521922823"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","37","0.0484843424093773","0.0332340093070259","0.0637346755117287"
"Min 1x per month","1985","Baden-Württemberg","107","0.0525957407377369","0.0429042863621018","0.0622871951133721"
"Min 1x per month","1985","Bavaria","110","0.0561988249625689","0.0458240984176382","0.0665735515074996"
