"pli0092_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Urban Area","Male","","","","","1"
"Daily","1985","Urban Area","Female","","","","","1"
"Daily","1985","Rural Area","Male","","","","","1"
"Daily","1985","Rural Area","Female","","","","","1"
"Min 1x per month","1985","Rural Area","Female","53","0.0418532503420415","0.0302843776995036","0.0534221229845794","3"
"Min 1x per month","1985","Urban Area","Male","264","0.0600663836734188","0.0529486815114493","0.0671840858353882","3"
"Min 1x per month","1985","Urban Area","Female","155","0.0366602856005095","0.0311138183799314","0.0422067528210876","3"
"Min 1x per month","1985","Rural Area","Male","70","0.0591464643911562","0.0452501482536005","0.0730427805287118","3"
"Min 1x per week","1985","Rural Area","Male","298","0.262236382648538","0.236325669255144","0.288147096041933","2"
"Min 1x per week","1985","Urban Area","Male","1126","0.277117141494799","0.263709847407884","0.290524435581715","2"
"Min 1x per week","1985","Urban Area","Female","830","0.211482827411907","0.199430472049879","0.223535182773934","2"
"Min 1x per week","1985","Rural Area","Female","216","0.194206906847631","0.171353311409246","0.217060502286015","2"
"Never","1985","Urban Area","Male","2291","0.522178947550197","0.507215977844225","0.537141917256169","5"
"Never","1985","Urban Area","Female","2879","0.631152980989402","0.616912677204135","0.645393284774669","5"
"Never","1985","Rural Area","Male","585","0.550022552427082","0.520716325841883","0.579328779012281","5"
"Never","1985","Rural Area","Female","749","0.657860790787293","0.630452695581247","0.685268885993339","5"
"Rarely","1985","Rural Area","Male","154","0.128594600533223","0.108875106354629","0.148314094711818","4"
"Rarely","1985","Urban Area","Female","546","0.120703905998181","0.111088734598925","0.130319077397438","4"
"Rarely","1985","Rural Area","Female","133","0.106079052023035","0.088289098990834","0.123869005055235","4"
"Rarely","1985","Urban Area","Male","600","0.140637527281585","0.13022360624293","0.151051448320239","4"
"Daily","1986","Urban Area","Male","","","","","1"
"Daily","1986","Urban Area","Female","","","","","1"
"Daily","1986","Rural Area","Male","","","","","1"
"Daily","1986","Rural Area","Female","","","","","1"
"Min 1x per month","1986","Rural Area","Female","55","0.0464060495548506","0.0339689735559631","0.0588431255537381","3"
"Min 1x per month","1986","Urban Area","Female","187","0.0459020452044964","0.0395873000411333","0.0522167903678594","3"
"Min 1x per month","1986","Rural Area","Male","63","0.0551420502914643","0.0413880201139664","0.0688960804689623","3"
"Min 1x per month","1986","Urban Area","Male","262","0.0616877119698014","0.0543688297643934","0.0690065941752094","3"
"Min 1x per week","1986","Rural Area","Male","298","0.277456789750837","0.250477230668905","0.304436348832769","2"
