"pli0092_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Urban Area","West Germany","","","","","1"
"Daily","1985","Urban Area","East Germany","","","","","1"
"Daily","1985","Rural Area","West Germany","","","","","1"
"Daily","1985","Rural Area","East Germany","","","","","1"
"Min 1x per month","1985","Rural Area","East Germany","","","","","3"
"Min 1x per month","1985","Urban Area","West Germany","419","0.0476425799893064","0.0431643041866741","0.0521208557919387","3"
"Min 1x per month","1985","Urban Area","East Germany","","","","","3"
"Min 1x per month","1985","Rural Area","West Germany","123","0.0500394057662879","0.0410466046378185","0.0590322068947573","3"
"Min 1x per week","1985","Rural Area","West Germany","514","0.226410282157425","0.209148344669042","0.243672219645807","2"
"Min 1x per week","1985","Urban Area","West Germany","1956","0.242278877100316","0.233270932859513","0.251286821341118","2"
"Min 1x per week","1985","Urban Area","East Germany","","","","","2"
"Min 1x per week","1985","Rural Area","East Germany","","","","","2"
"Never","1985","Urban Area","West Germany","5170","0.580021651357441","0.569645202030181","0.590398100684701","5"
"Never","1985","Urban Area","East Germany","","","","","5"
"Never","1985","Rural Area","West Germany","1334","0.606812988025677","0.586665860387969","0.626960115663384","5"
"Never","1985","Rural Area","East Germany","","","","","5"
"Rarely","1985","Rural Area","West Germany","287","0.116737324050611","0.10349281304464","0.129981835056582","4"
"Rarely","1985","Urban Area","East Germany","","","","","4"
"Rarely","1985","Rural Area","East Germany","","","","","4"
"Rarely","1985","Urban Area","West Germany","1146","0.130056891552937","0.122985167152086","0.137128615953789","4"
"Daily","1986","Urban Area","West Germany","","","","","1"
"Daily","1986","Urban Area","East Germany","","","","","1"
"Daily","1986","Rural Area","West Germany","","","","","1"
"Daily","1986","Rural Area","East Germany","","","","","1"
"Min 1x per month","1986","Rural Area","East Germany","","","","","3"
"Min 1x per month","1986","Urban Area","East Germany","","","","","3"
"Min 1x per month","1986","Rural Area","West Germany","118","0.0505360038598968","0.0412919446739978","0.0597800630457959","3"
"Min 1x per month","1986","Urban Area","West Germany","449","0.0533644019368027","0.0485493319792371","0.0581794718943684","3"
"Min 1x per week","1986","Rural Area","West Germany","515","0.234726824380761","0.21684084913166","0.252612799629862","2"
"Min 1x per week","1986","Rural Area","East Germany","","","","","2"
"Min 1x per week","1986","Urban Area","West Germany","2028","0.249085175391292","0.239819978740037","0.258350372042547","2"
"Min 1x per week","1986","Urban Area","East Germany","","","","","2"
"Never","1986","Urban Area","West Germany","4892","0.578385094667966","0.567805917597483","0.588964271738449","5"
"Never","1986","Urban Area","East Germany","","","","","5"
"Never","1986","Rural Area","West Germany","1246","0.596320114482346","0.57561482518694","0.617025403777753","5"
"Never","1986","Rural Area","East Germany","","","","","5"
"Rarely","1986","Rural Area","West Germany","278","0.118417057276996","0.104781850134363","0.13205226441963","4"
"Rarely","1986","Urban Area","East Germany","","","","","4"
"Rarely","1986","Urban Area","West Germany","1001","0.119165328003939","0.112224560148075","0.126106095859803","4"
"Rarely","1986","Rural Area","East Germany","","","","","4"
"Daily","1987","Urban Area","West Germany","","","","","1"
"Daily","1987","Rural Area","East Germany","","","","","1"
"Daily","1987","Urban Area","East Germany","","","","","1"
"Daily","1987","Rural Area","West Germany","","","","","1"
"Min 1x per month","1987","Rural Area","East Germany","","","","","3"
"Min 1x per month","1987","Rural Area","West Germany","","","","","3"
"Min 1x per month","1987","Urban Area","West Germany","","","","","3"
"Min 1x per month","1987","Urban Area","East Germany","","","","","3"
"Min 1x per week","1987","Rural Area","East Germany","","","","","2"
"Min 1x per week","1987","Urban Area","East Germany","","","","","2"
"Min 1x per week","1987","Urban Area","West Germany","","","","","2"
"Min 1x per week","1987","Rural Area","West Germany","","","","","2"
"Never","1987","Urban Area","West Germany","","","","","5"
"Never","1987","Urban Area","East Germany","","","","","5"
"Never","1987","Rural Area","West Germany","","","","","5"
"Never","1987","Rural Area","East Germany","","","","","5"
"Rarely","1987","Urban Area","West Germany","","","","","4"
"Rarely","1987","Urban Area","East Germany","","","","","4"
"Rarely","1987","Rural Area","West Germany","","","","","4"
"Rarely","1987","Rural Area","East Germany","","","","","4"
"Daily","1988","Urban Area","West Germany","","","","","1"
"Daily","1988","Rural Area","East Germany","","","","","1"
"Daily","1988","Urban Area","East Germany","","","","","1"
"Daily","1988","Rural Area","West Germany","","","","","1"
"Min 1x per month","1988","Rural Area","East Germany","","","","","3"
"Min 1x per month","1988","Rural Area","West Germany","116","0.0558837114107768","0.0458245220833757","0.065942900738178","3"
"Min 1x per month","1988","Urban Area","West Germany","405","0.0523225647708281","0.0474159751724132","0.0572291543692429","3"
"Min 1x per month","1988","Urban Area","East Germany","","","","","3"
"Min 1x per week","1988","Urban Area","East Germany","","","","","2"
"Min 1x per week","1988","Rural Area","West Germany","481","0.231681005060174","0.213204338737937","0.250157671382411","2"
"Min 1x per week","1988","Rural Area","East Germany","","","","","2"
"Min 1x per week","1988","Urban Area","West Germany","1938","0.254424160532853","0.244827281073261","0.264021039992445","2"
"Never","1988","Urban Area","West Germany","4552","0.563742677813091","0.552815279509411","0.574670076116771","5"
"Never","1988","Urban Area","East Germany","","","","","5"
"Never","1988","Rural Area","West Germany","1091","0.559086424586325","0.537343206331889","0.580829642840761","5"
"Never","1988","Rural Area","East Germany","","","","","5"
"Rarely","1988","Rural Area","West Germany","315","0.153348858942724","0.137569108164691","0.169128609720757","4"
"Rarely","1988","Urban Area","East Germany","","","","","4"
"Rarely","1988","Urban Area","West Germany","1017","0.129510596883228","0.122112170641226","0.136909023125231","4"
"Rarely","1988","Rural Area","East Germany","","","","","4"
"Daily","1989","Rural Area","East Germany","","","","","1"
"Daily","1989","Urban Area","West Germany","","","","","1"
"Daily","1989","Rural Area","West Germany","","","","","1"
"Daily","1989","Urban Area","East Germany","","","","","1"
"Min 1x per month","1989","Rural Area","East Germany","","","","","3"
"Min 1x per month","1989","Urban Area","East Germany","","","","","3"
"Min 1x per month","1989","Rural Area","West Germany","","","","","3"
"Min 1x per month","1989","Urban Area","West Germany","","","","","3"
"Min 1x per week","1989","Rural Area","East Germany","","","","","2"
"Min 1x per week","1989","Rural Area","West Germany","","","","","2"
"Min 1x per week","1989","Urban Area","West Germany","","","","","2"
"Min 1x per week","1989","Urban Area","East Germany","","","","","2"
"Never","1989","Urban Area","West Germany","","","","","5"
"Never","1989","Urban Area","East Germany","","","","","5"
"Never","1989","Rural Area","West Germany","","","","","5"
"Never","1989","Rural Area","East Germany","","","","","5"
"Rarely","1989","Rural Area","West Germany","","","","","4"
"Rarely","1989","Rural Area","East Germany","","","","","4"
"Rarely","1989","Urban Area","West Germany","","","","","4"
"Rarely","1989","Urban Area","East Germany","","","","","4"
"Daily","1990","Rural Area","East Germany","","","","","1"
"Daily","1990","Urban Area","West Germany","315","0.0427597689648078","0.03819652169798","0.0473230162316355","1"
"Daily","1990","Rural Area","West Germany","77","0.0416897891973362","0.0327117287237089","0.0506678496709634","1"
"Daily","1990","Urban Area","East Germany","","","","","1"
"Min 1x per month","1990","Rural Area","West Germany","181","0.0921595051679257","0.0791671028135189","0.105151907522332","3"
"Min 1x per month","1990","Rural Area","East Germany","86","0.0291294384592783","0.0228188097233543","0.0354400671952022","3"
"Min 1x per month","1990","Urban Area","East Germany","58","0.0338675101594775","0.0247104250006944","0.0430245953182607","3"
"Min 1x per month","1990","Urban Area","West Germany","624","0.0846333066714554","0.0783554114416779","0.0909112019012329","3"
"Min 1x per week","1990","Rural Area","East Germany","329","0.113738187223099","0.101824119141224","0.125652255304975","2"
"Min 1x per week","1990","Urban Area","West Germany","1777","0.252311741631278","0.242515153114752","0.262108330147805","2"
