"pli0092_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","Male","","","","","1"
"Daily","1985","Schleswig-Holstein","Female","","","","","1"
"Daily","1985","Hamburg","Male","","","","","1"
"Daily","1985","Hamburg","Female","","","","","1"
"Daily","1985","Lower Saxony","Male","","","","","1"
"Daily","1985","Lower Saxony","Female","","","","","1"
"Daily","1985","Bremen","Male","","","","","1"
"Daily","1985","Bremen","Female","","","","","1"
"Daily","1985","North Rhine-Westphalia","Male","","","","","1"
"Daily","1985","North Rhine-Westphalia","Female","","","","","1"
"Daily","1985","Hesse","Male","","","","","1"
"Daily","1985","Hesse","Female","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1985","Baden-Württemberg","Male","","","","","1"
"Daily","1985","Baden-Württemberg","Female","","","","","1"
"Daily","1985","Bavaria","Male","","","","","1"
"Daily","1985","Bavaria","Female","","","","","1"
"Daily","1985","Berlin","Male","","","","","1"
"Daily","1985","Berlin","Female","","","","","1"
"Daily","1985","Brandenburg","Male","","","","","1"
"Daily","1985","Brandenburg","Female","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1985","Saxony","Male","","","","","1"
"Daily","1985","Saxony","Female","","","","","1"
"Daily","1985","Saxony-Anhalt","Male","","","","","1"
"Daily","1985","Saxony-Anhalt","Female","","","","","1"
"Daily","1985","Thuringia","Male","","","","","1"
"Daily","1985","Thuringia","Female","","","","","1"
"Min 1x per month","1985","Hamburg","Female","6","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1985","Saxony","Female","","","","","3"
"Min 1x per month","1985","Hamburg","Male","14","","","","3"
"Min 1x per month","1985","Saxony","Male","","","","","3"
"Min 1x per month","1985","Brandenburg","Female","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Female","6","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Male","11","","","","3"
"Min 1x per month","1985","Lower Saxony","Male","26","","","","3"
"Min 1x per month","1985","Lower Saxony","Female","20","","","","3"
"Min 1x per month","1985","Bremen","Male","5","","","","3"
"Min 1x per month","1985","Bremen","Female","4","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","Male","78","0.0553475463803013","0.0436266825729206","0.067068410187682","3"
"Min 1x per month","1985","North Rhine-Westphalia","Female","51","0.0347627531693687","0.0254303960001808","0.0440951103385565","3"
"Min 1x per month","1985","Hesse","Male","28","","","","3"
"Min 1x per month","1985","Hesse","Female","16","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Male","23","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Female","14","","","","3"
"Min 1x per month","1985","Baden-Württemberg","Male","72","0.0720783583977608","0.0562228293191497","0.0879338874763718","3"
"Min 1x per month","1985","Baden-Württemberg","Female","35","0.0354983356247714","0.0241205768105836","0.0468760944389592","3"
"Min 1x per month","1985","Bavaria","Male","65","0.0687434536000123","0.0522132889628926","0.0852736182371319","3"
"Min 1x per month","1985","Bavaria","Female","45","0.0456458705918657","0.0326642475917906","0.0586274935919408","3"
"Min 1x per month","1985","Berlin","Male","12","","","","3"
"Min 1x per month","1985","Berlin","Female","11","","","","3"
"Min 1x per month","1985","Brandenburg","Male","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1985","Thuringia","Male","","","","","3"
"Min 1x per month","1985","Thuringia","Female","","","","","3"
"Min 1x per week","1985","Saxony","Female","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1985","Saxony","Male","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1985","Thuringia","Male","","","","","2"
"Min 1x per week","1985","Thuringia","Female","","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","Male","51","0.320868136180676","0.250068633847793","0.391667638513559","2"
"Min 1x per week","1985","Schleswig-Holstein","Female","40","0.205164842088127","0.146334847528744","0.263994836647511","2"
"Min 1x per week","1985","Hamburg","Male","44","0.323028893491578","0.244723160551256","0.401334626431901","2"
"Min 1x per week","1985","Hamburg","Female","38","0.294107648650585","0.218361058271188","0.369854239029982","2"
"Min 1x per week","1985","Lower Saxony","Male","150","0.271630939310841","0.233798338927859","0.309463539693824","2"
"Min 1x per week","1985","Lower Saxony","Female","120","0.218883042353526","0.184666923031495","0.253099161675557","2"
"Min 1x per week","1985","Bremen","Female","9","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","Male","397","0.274772294962062","0.251890079611471","0.297654510312654","2"
"Min 1x per week","1985","North Rhine-Westphalia","Female","274","0.207413966826274","0.186757338298334","0.228070595354214","2"
"Min 1x per week","1985","Hesse","Male","146","0.287381610186667","0.249967283594972","0.324795936778361","2"
"Min 1x per week","1985","Hesse","Female","96","0.205629940355456","0.172035662997797","0.239224217713115","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Male","92","0.234510409852187","0.191854501617065","0.27716631808731","2"
"Min 1x per week","1985","Brandenburg","Female","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1985","Bremen","Male","5","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Female","64","0.174608631091433","0.136588683017621","0.212628579165245","2"
"Min 1x per week","1985","Baden-Württemberg","Male","238","0.248001606495667","0.221525242289305","0.27447797070203","2"
