"pli0092_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","Full Time","","","","","1"
"Daily","1985","Schleswig-Holstein","Part Time","","","","","1"
"Daily","1985","Schleswig-Holstein","Not Working","","","","","1"
"Daily","1985","Hamburg","Full Time","","","","","1"
"Daily","1985","Hamburg","Part Time","","","","","1"
"Daily","1985","Hamburg","Not Working","","","","","1"
"Daily","1985","Lower Saxony","Full Time","","","","","1"
"Daily","1985","Lower Saxony","Part Time","","","","","1"
"Daily","1985","Lower Saxony","Not Working","","","","","1"
"Daily","1985","Bremen","Full Time","","","","","1"
"Daily","1985","Bremen","Part Time","","","","","1"
"Daily","1985","Bremen","Not Working","","","","","1"
"Daily","1985","North Rhine-Westphalia","Full Time","","","","","1"
"Daily","1985","North Rhine-Westphalia","Part Time","","","","","1"
"Daily","1985","North Rhine-Westphalia","Not Working","","","","","1"
"Daily","1985","Hesse","Full Time","","","","","1"
"Daily","1985","Hesse","Part Time","","","","","1"
"Daily","1985","Hesse","Not Working","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Part Time","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Daily","1985","Baden-Württemberg","Full Time","","","","","1"
"Daily","1985","Baden-Württemberg","Part Time","","","","","1"
"Daily","1985","Baden-Württemberg","Not Working","","","","","1"
"Daily","1985","Bavaria","Full Time","","","","","1"
"Daily","1985","Bavaria","Part Time","","","","","1"
"Daily","1985","Bavaria","Not Working","","","","","1"
"Daily","1985","Berlin","Full Time","","","","","1"
"Daily","1985","Berlin","Part Time","","","","","1"
"Daily","1985","Berlin","Not Working","","","","","1"
"Daily","1985","Brandenburg","Full Time","","","","","1"
"Daily","1985","Brandenburg","Part Time","","","","","1"
"Daily","1985","Brandenburg","Not Working","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Daily","1985","Saxony","Full Time","","","","","1"
"Daily","1985","Saxony","Part Time","","","","","1"
"Daily","1985","Saxony","Not Working","","","","","1"
"Daily","1985","Saxony-Anhalt","Full Time","","","","","1"
"Daily","1985","Saxony-Anhalt","Part Time","","","","","1"
"Daily","1985","Saxony-Anhalt","Not Working","","","","","1"
"Daily","1985","Thuringia","Full Time","","","","","1"
"Daily","1985","Thuringia","Part Time","","","","","1"
"Daily","1985","Thuringia","Not Working","","","","","1"
"Min 1x per month","1985","Brandenburg","Not Working","","","","","3"
"Min 1x per month","1985","Hamburg","Part Time","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Part Time","2","","","","3"
"Min 1x per month","1985","Saxony","Part Time","","","","","3"
"Min 1x per month","1985","Hamburg","Not Working","9","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Full Time","","","","","3"
"Min 1x per month","1985","Saxony","Full Time","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Not Working","8","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Part Time","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Full Time","7","","","","3"
"Min 1x per month","1985","Hamburg","Full Time","11","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Not Working","","","","","3"
"Min 1x per month","1985","Lower Saxony","Full Time","26","","","","3"
"Min 1x per month","1985","Lower Saxony","Part Time","5","","","","3"
"Min 1x per month","1985","Lower Saxony","Not Working","15","","","","3"
"Min 1x per month","1985","Bremen","Full Time","4","","","","3"
"Min 1x per month","1985","Bremen","Part Time","2","","","","3"
"Min 1x per month","1985","Bremen","Not Working","3","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","Full Time","67","0.0618595151402132","0.0486931831525175","0.0750258471279089","3"
