"pli0092_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","no migration background","","","","","1"
"Daily","1985","Not Employed","direct migration background","","","","","1"
"Daily","1985","Not Employed","indirect migration background","","","","","1"
"Daily","1985","Employed","no migration background","","","","","1"
"Daily","1985","Employed","direct migration background","","","","","1"
"Daily","1985","Employed","indirect migration background","","","","","1"
"Min 1x per month","1985","Not Employed","no migration background","125","0.0352302702471596","0.0288515573653663","0.0416089831289529","3"
"Min 1x per month","1985","Not Employed","indirect migration background","6","","","","3"
"Min 1x per month","1985","Not Employed","direct migration background","28","","","","3"
"Min 1x per month","1985","Employed","no migration background","296","0.0606172665338596","0.053782786596147","0.0674517464715722","3"
"Min 1x per month","1985","Employed","direct migration background","83","0.0394529468970079","0.0309929215803267","0.0479129722136891","3"
"Min 1x per month","1985","Employed","indirect migration background","4","","","","3"
"Min 1x per week","1985","Not Employed","direct migration background","100","0.153675864821304","0.129888905208383","0.177462824434224","2"
"Min 1x per week","1985","Not Employed","no migration background","634","0.176134207082977","0.162954270445106","0.189314143720848","2"
"Min 1x per week","1985","Not Employed","indirect migration background","29","","","","2"
"Min 1x per week","1985","Employed","direct migration background","289","0.184104138948725","0.167261049392147","0.200947228505302","2"
"Min 1x per week","1985","Employed","no migration background","1399","0.300396971019643","0.287267125169724","0.313526816869562","2"
"Min 1x per week","1985","Employed","indirect migration background","19","","","","2"
"Never","1985","Not Employed","no migration background","2153","0.709024286237797","0.693309004936344","0.724739567539249","5"
"Never","1985","Not Employed","direct migration background","686","0.753764017783679","0.725348132013834","0.782179903553523","5"
"Never","1985","Not Employed","indirect migration background","26","","","","5"
"Never","1985","Employed","no migration background","2181","0.469966902412893","0.455672330830153","0.484261473995633","5"
"Never","1985","Employed","direct migration background","1430","0.648650309605275","0.627903672083095","0.669396947127455","5"
"Never","1985","Employed","indirect migration background","28","","","","5"
"Rarely","1985","Employed","no migration background","807","0.169018860033605","0.158285166782664","0.179752553284545","4"
"Rarely","1985","Not Employed","direct migration background","69","0.0586655938741896","0.0431656030440846","0.0741655847042945","4"
"Rarely","1985","Not Employed","indirect migration background","10","","","","4"
"Rarely","1985","Not Employed","no migration background","297","0.0796112364320667","0.0702456263913058","0.0889768464728277","4"
"Rarely","1985","Employed","direct migration background","232","0.127792604548993","0.113283675401038","0.142301533696947","4"
"Rarely","1985","Employed","indirect migration background","18","","","","4"
"Daily","1986","Not Employed","no migration background","","","","","1"
"Daily","1986","Not Employed","direct migration background","","","","","1"
"Daily","1986","Not Employed","indirect migration background","","","","","1"
"Daily","1986","Employed","no migration background","","","","","1"
"Daily","1986","Employed","direct migration background","","","","","1"
"Daily","1986","Employed","indirect migration background","","","","","1"
"Min 1x per month","1986","Not Employed","no migration background","102","0.0294379382300912","0.0233670659704558","0.0355088104897267","3"
"Min 1x per month","1986","Not Employed","indirect migration background","3","","","","3"
"Min 1x per month","1986","Not Employed","direct migration background","29","","","","3"
"Min 1x per month","1986","Employed","direct migration background","95","0.0549853463229346","0.0449574325878517","0.0650132600580175","3"
"Min 1x per month","1986","Employed","no migration background","329","0.0713649577624503","0.063897156692288","0.0788327588326127","3"
"Min 1x per month","1986","Employed","indirect migration background","9","","","","3"
"Min 1x per week","1986","Not Employed","no migration background","630","0.180341415324932","0.166532804906094","0.194150025743771","2"
"Min 1x per week","1986","Not Employed","direct migration background","125","0.146055434745818","0.12222946598391","0.169881403507725","2"
"Min 1x per week","1986","Not Employed","indirect migration background","30","0.416231009701823","0.295464690131201","0.536997329272444","2"
"Min 1x per week","1986","Employed","no migration background","1430","0.310828171422386","0.297402016781354","0.324254326063419","2"
"Min 1x per week","1986","Employed","direct migration background","298","0.181209752229194","0.16426462049679","0.198154883961597","2"
"Min 1x per week","1986","Employed","indirect migration background","30","0.266216849394813","0.175407820351203","0.357025878438423","2"
"Never","1986","Not Employed","no migration background","2016","0.725349787609196","0.709319199405871","0.741380375812521","5"
"Never","1986","Not Employed","direct migration background","632","0.747747353082997","0.718447045737496","0.777047660428499","5"
"Never","1986","Not Employed","indirect migration background","23","","","","5"
"Never","1986","Employed","no migration background","2054","0.453779719140071","0.439337492644886","0.468221945635255","5"
"Never","1986","Employed","direct migration background","1377","0.641476737979703","0.620379919745397","0.662573556214009","5"
"Never","1986","Employed","indirect migration background","36","0.449117112312967","0.34692042057111","0.551313804054824","5"
"Rarely","1986","Employed","no migration background","752","0.164027151675093","0.153285238001354","0.174769065348831","4"
"Rarely","1986","Not Employed","direct migration background","58","0.0644146985530391","0.047852764456265","0.0809766326498131","4"
"Rarely","1986","Not Employed","no migration background","230","0.0648708588357803","0.0560248704741932","0.0737168471973675","4"
"Rarely","1986","Not Employed","indirect migration background","8","","","","4"
"Rarely","1986","Employed","direct migration background","215","0.122328163468169","0.10791374438336","0.136742582552977","4"
"Rarely","1986","Employed","indirect migration background","16","","","","4"
"Daily","1987","Not Employed","no migration background","","","","","1"
"Daily","1987","Not Employed","direct migration background","","","","","1"
"Daily","1987","Not Employed","indirect migration background","","","","","1"
"Daily","1987","Employed","no migration background","","","","","1"
"Daily","1987","Employed","direct migration background","","","","","1"
"Daily","1987","Employed","indirect migration background","","","","","1"
"Min 1x per month","1987","Not Employed","no migration background","","","","","3"
"Min 1x per month","1987","Not Employed","indirect migration background","","","","","3"
"Min 1x per month","1987","Not Employed","direct migration background","","","","","3"
"Min 1x per month","1987","Employed","no migration background","","","","","3"
"Min 1x per month","1987","Employed","direct migration background","","","","","3"
"Min 1x per month","1987","Employed","indirect migration background","","","","","3"
"Min 1x per week","1987","Not Employed","direct migration background","","","","","2"
"Min 1x per week","1987","Not Employed","no migration background","","","","","2"
"Min 1x per week","1987","Employed","no migration background","","","","","2"
"Min 1x per week","1987","Not Employed","indirect migration background","","","","","2"
"Min 1x per week","1987","Employed","direct migration background","","","","","2"
"Min 1x per week","1987","Employed","indirect migration background","","","","","2"
"Never","1987","Not Employed","no migration background","","","","","5"
"Never","1987","Not Employed","direct migration background","","","","","5"
"Never","1987","Not Employed","indirect migration background","","","","","5"
"Never","1987","Employed","direct migration background","","","","","5"
"Never","1987","Employed","no migration background","","","","","5"
"Never","1987","Employed","indirect migration background","","","","","5"
"Rarely","1987","Not Employed","no migration background","","","","","4"
"Rarely","1987","Not Employed","direct migration background","","","","","4"
"Rarely","1987","Not Employed","indirect migration background","","","","","4"
"Rarely","1987","Employed","no migration background","","","","","4"
"Rarely","1987","Employed","direct migration background","","","","","4"
"Rarely","1987","Employed","indirect migration background","","","","","4"
"Daily","1988","Not Employed","no migration background","","","","","1"
"Daily","1988","Not Employed","direct migration background","","","","","1"
"Daily","1988","Not Employed","indirect migration background","","","","","1"
"Daily","1988","Employed","no migration background","","","","","1"
"Daily","1988","Employed","direct migration background","","","","","1"
"Daily","1988","Employed","indirect migration background","","","","","1"
"Min 1x per month","1988","Not Employed","no migration background","103","0.0342103623074237","0.0272608309625254","0.041159893652322","3"
"Min 1x per month","1988","Not Employed","direct migration background","12","","","","3"
