"pli0092_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","no migration background","","","",""
"Daily","1985","Full Time","direct migration background","","","",""
"Daily","1985","Full Time","indirect migration background","","","",""
"Daily","1985","Part Time","no migration background","","","",""
"Daily","1985","Part Time","direct migration background","","","",""
"Daily","1985","Part Time","indirect migration background","","","",""
"Daily","1985","Not Working","no migration background","","","",""
"Daily","1985","Not Working","direct migration background","","","",""
"Daily","1985","Not Working","indirect migration background","","","",""
"Min 1x per week","1985","Full Time","no migration background","991","0.302396136610274","0.286754021242486","0.318038251978062"
"Min 1x per week","1985","Full Time","direct migration background","218","0.170895288472648","0.152311266051423","0.189479310893873"
"Min 1x per week","1985","Full Time","indirect migration background","14","","",""
"Min 1x per week","1985","Part Time","no migration background","408","0.295495900868592","0.27134424809908","0.319647553638104"
"Min 1x per week","1985","Part Time","direct migration background","71","0.21922902330827","0.181338883558744","0.257119163057796"
"Min 1x per week","1985","Part Time","indirect migration background","5","","",""
"Min 1x per week","1985","Not Working","no migration background","634","0.176134207082977","0.162954270445106","0.189314143720848"
"Min 1x per week","1985","Not Working","direct migration background","100","0.153675864821304","0.129888905208383","0.177462824434224"
"Min 1x per week","1985","Not Working","indirect migration background","29","","",""
"Min 1x per month","1985","Full Time","no migration background","219","0.0638818771818431","0.0555535632326666","0.0722101911310196"
"Min 1x per month","1985","Full Time","direct migration background","61","0.0425323112576321","0.0325692789269367","0.0524953435883274"
"Min 1x per month","1985","Full Time","indirect migration background","4","","",""
"Min 1x per month","1985","Part Time","no migration background","77","0.052613884584603","0.0407959099011747","0.0644318592680313"
"Min 1x per month","1985","Part Time","direct migration background","22","","",""
"Min 1x per month","1985","Part Time","indirect migration background","","","",""
"Min 1x per month","1985","Not Working","no migration background","125","0.0352302702471596","0.0288515573653663","0.0416089831289529"
"Min 1x per month","1985","Not Working","direct migration background","28","","",""
"Min 1x per month","1985","Not Working","indirect migration background","6","","",""
"Rarely","1985","Full Time","no migration background","586","0.173117967788303","0.16023263091714","0.186003304659466"
"Rarely","1985","Full Time","direct migration background","172","0.12945270268524","0.112878916522942","0.146026488847537"
"Rarely","1985","Full Time","indirect migration background","12","","",""
"Rarely","1985","Part Time","no migration background","221","0.158969660129084","0.139614698349954","0.178324621908214"
"Rarely","1985","Part Time","direct migration background","60","0.123378083000219","0.0932590847453623","0.153497081255076"
"Rarely","1985","Part Time","indirect migration background","6","","",""
"Rarely","1985","Not Working","no migration background","297","0.0796112364320667","0.0702456263913058","0.0889768464728277"
"Rarely","1985","Not Working","direct migration background","69","0.0586655938741896","0.0431656030440846","0.0741655847042945"
"Rarely","1985","Not Working","indirect migration background","10","","",""
"Never","1985","Full Time","no migration background","1516","0.46060401841958","0.443628593989796","0.477579442849364"
"Never","1985","Full Time","direct migration background","1125","0.657119697584481","0.633684776487454","0.680554618681507"
"Never","1985","Full Time","indirect migration background","19","","",""
"Never","1985","Part Time","no migration background","665","0.492920554417721","0.466456533498176","0.519384575337266"
"Never","1985","Part Time","direct migration background","305","0.62612857132801","0.581817907972063","0.670439234683957"
"Never","1985","Part Time","indirect migration background","9","","",""
"Never","1985","Not Working","no migration background","2153","0.709024286237797","0.693309004936344","0.724739567539249"
"Never","1985","Not Working","direct migration background","686","0.753764017783679","0.725348132013834","0.782179903553523"
"Never","1985","Not Working","indirect migration background","26","","",""
"Daily","1986","Full Time","no migration background","","","",""
"Daily","1986","Full Time","direct migration background","","","",""
"Daily","1986","Full Time","indirect migration background","","","",""
"Daily","1986","Part Time","no migration background","","","",""
"Daily","1986","Part Time","direct migration background","","","",""
"Daily","1986","Part Time","indirect migration background","","","",""
"Daily","1986","Not Working","no migration background","","","",""
"Daily","1986","Not Working","direct migration background","","","",""
"Daily","1986","Not Working","indirect migration background","","","",""
"Min 1x per week","1986","Full Time","no migration background","1007","0.309534246300363","0.293610872397345","0.325457620203381"
"Min 1x per week","1986","Full Time","direct migration background","222","0.170426667074904","0.151567403100149","0.189285931049658"
"Min 1x per week","1986","Full Time","indirect migration background","18","","",""
"Min 1x per week","1986","Part Time","no migration background","423","0.314030642045604","0.289058775729733","0.339002508361475"
"Min 1x per week","1986","Part Time","direct migration background","76","0.211274520288505","0.173889135961699","0.248659904615312"
"Min 1x per week","1986","Part Time","indirect migration background","12","","",""
"Min 1x per week","1986","Not Working","no migration background","630","0.180341415324932","0.166532804906094","0.194150025743771"
"Min 1x per week","1986","Not Working","direct migration background","125","0.146055434745818","0.12222946598391","0.169881403507725"
"Min 1x per week","1986","Not Working","indirect migration background","30","0.416231009701823","0.295464690131201","0.536997329272444"
"Min 1x per month","1986","Full Time","no migration background","249","0.074287924515413","0.0652554499814949","0.0833203990493311"
"Min 1x per month","1986","Full Time","direct migration background","78","0.0621008135323899","0.0499960782355222","0.0742055488292576"
"Min 1x per month","1986","Full Time","indirect migration background","5","","",""
"Min 1x per month","1986","Part Time","no migration background","80","0.0641306016164264","0.0509494635229561","0.0773117397098967"
"Min 1x per month","1986","Part Time","direct migration background","17","","",""
"Min 1x per month","1986","Part Time","indirect migration background","4","","",""
"Min 1x per month","1986","Not Working","no migration background","102","0.0294379382300912","0.0233670659704558","0.0355088104897267"
"Min 1x per month","1986","Not Working","direct migration background","29","","",""
"Min 1x per month","1986","Not Working","indirect migration background","3","","",""
"Rarely","1986","Full Time","no migration background","546","0.168673521618401","0.15577562380969","0.181571419427112"
"Rarely","1986","Full Time","direct migration background","163","0.121066449487286","0.10470512353387","0.137427775440703"
"Rarely","1986","Full Time","indirect migration background","10","","",""
"Rarely","1986","Part Time","no migration background","206","0.152527364713095","0.133183227909148","0.171871501517041"
"Rarely","1986","Part Time","direct migration background","52","0.125846000677988","0.095470108982968","0.156221892373008"
"Rarely","1986","Part Time","indirect migration background","6","","",""
"Rarely","1986","Not Working","no migration background","230","0.0648708588357803","0.0560248704741932","0.0737168471973675"
