"pli0092_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1996","West Germany","2309","0.263368074793172","0.254443042061984","0.272293107524361","2"
"Never","1996","West Germany","4432","0.463308717829632","0.453204551402281","0.473412884256983","5"
"Never","1996","East Germany","2075","0.609805972541562","0.594013604848543","0.62559834023458","5"
"Rarely","1996","East Germany","803","0.199734958837569","0.186791359339109","0.21267855833603","4"
"Rarely","1996","West Germany","1897","0.197652272590783","0.189582984816076","0.20572156036549","4"
"Daily","1997","West Germany","","","","","1"
"Daily","1997","East Germany","","","","","1"
"Min 1x per month","1997","West Germany","603","0.0602738731553835","0.0554016927004218","0.0651460536103452","3"
"Min 1x per month","1997","East Germany","160","0.0391045555040179","0.0327785908072185","0.0454305202008173","3"
"Min 1x per week","1997","East Germany","588","0.14917623059837","0.137549847168926","0.160802614027813","2"
"Min 1x per week","1997","West Germany","2384","0.27360044894354","0.264473946993034","0.282726950894046","2"
"Never","1997","East Germany","2094","0.615369969789008","0.599493104360411","0.631246835217604","5"
"Never","1997","West Germany","4465","0.484391324030868","0.474160362522677","0.49462228553906","5"
"Rarely","1997","West Germany","1714","0.181734353870208","0.173839868226289","0.189628839514126","4"
"Rarely","1997","East Germany","765","0.196349244108605","0.183385712961948","0.209312775255262","4"
"Daily","1998","West Germany","531","0.0528618592254924","0.0485506632934781","0.0571730551575066","1"
"Daily","1998","East Germany","150","0.0369003356320741","0.0309470636296648","0.0428536076344833","1"
"Min 1x per month","1998","West Germany","855","0.0799295344771941","0.0747045612703257","0.0851545076840624","3"
"Min 1x per month","1998","East Germany","251","0.0593557227196152","0.0518938307138954","0.0668176147253351","3"
"Min 1x per week","1998","East Germany","705","0.166423271672571","0.154661174302626","0.178185369042516","2"
"Min 1x per week","1998","West Germany","2564","0.264825227082687","0.256323740852837","0.273326713312536","2"
"Never","1998","East Germany","1708","0.482376598628732","0.466596670590696","0.498156526666768","5"
"Never","1998","West Germany","4233","0.401649384364536","0.392203963692695","0.411094805036377","5"
"Rarely","1998","West Germany","2165","0.200733994850091","0.193016505911543","0.208451483788638","4"
"Rarely","1998","East Germany","1038","0.254944071347007","0.241180794436819","0.268707348257196","4"
"Daily","1999","West Germany","","","","","1"
"Daily","1999","East Germany","","","","","1"
"Min 1x per month","1999","West Germany","717","0.0668937289621999","0.0619651040006307","0.0718223539237691","3"
"Min 1x per month","1999","East Germany","210","0.0514460538036394","0.0443841958196221","0.0585079117876567","3"
"Min 1x per week","1999","East Germany","658","0.163841200350125","0.15200893580579","0.17567346489446","2"
"Min 1x per week","1999","West Germany","2630","0.277450454600676","0.268617742977594","0.286283166223758","2"
"Never","1999","East Germany","2082","0.580237380715767","0.56446066279193","0.596014098639605","5"
"Never","1999","West Germany","4552","0.468609337380129","0.458765148373092","0.478453526387166","5"
"Rarely","1999","West Germany","1972","0.187046479056995","0.179353843783149","0.19473911433084","4"
"Rarely","1999","East Germany","809","0.204475365130468","0.191582209029768","0.217368521231168","4"
"Daily","2000","West Germany","","","","","1"
"Daily","2000","East Germany","","","","","1"
"Min 1x per month","2000","East Germany","","","","","3"
"Min 1x per month","2000","West Germany","","","","","3"
"Min 1x per week","2000","West Germany","","","","","2"
"Min 1x per week","2000","East Germany","","","","","2"
"Never","2000","East Germany","","","","","5"
"Never","2000","West Germany","","","","","5"
"Rarely","2000","West Germany","","","","","4"
"Rarely","2000","East Germany","","","","","4"
"Daily","2001","West Germany","","","","","1"
"Daily","2001","East Germany","","","","","1"
"Min 1x per month","2001","East Germany","281","0.0500674132450074","0.044262010453665","0.0558728160363498","3"
"Min 1x per month","2001","West Germany","1091","0.0649323589619579","0.0611655316781762","0.0686991862457397","3"
"Min 1x per week","2001","West Germany","4763","0.287591450893728","0.280671928007106","0.294510973780351","2"
"Min 1x per week","2001","East Germany","1126","0.201400620867788","0.190724750935075","0.212076490800502","2"
"Never","2001","East Germany","3015","0.582199733605459","0.569070821379131","0.595328645831787","5"
"Never","2001","West Germany","7891","0.489170430934502","0.481528700465269","0.496812161403735","5"
"Rarely","2001","West Germany","2693","0.158305759209811","0.15272556726047","0.163885951159153","4"
"Rarely","2001","East Germany","999","0.166332232281746","0.156419506309108","0.176244958254383","4"
"Daily","2002","East Germany","","","","","1"
"Daily","2002","West Germany","","","","","1"
"Min 1x per month","2002","East Germany","","","","","3"
"Min 1x per month","2002","West Germany","","","","","3"
"Min 1x per week","2002","East Germany","","","","","2"
"Min 1x per week","2002","West Germany","","","","","2"
"Never","2002","East Germany","","","","","5"
"Never","2002","West Germany","","","","","5"
"Rarely","2002","East Germany","","","","","4"
"Rarely","2002","West Germany","","","","","4"
"Daily","2003","East Germany","287","0.053037286600221","0.0470320753685255","0.0590424978319166","1"
"Daily","2003","West Germany","1193","0.0649213321398712","0.0611963793141144","0.068646284965628","1"
"Min 1x per month","2003","East Germany","400","0.0706441176588316","0.0637781741052782","0.0775100612123849","3"
"Min 1x per month","2003","West Germany","1334","0.0773390195504309","0.0733004887510804","0.0813775503497814","3"
"Min 1x per week","2003","West Germany","5106","0.279921556879455","0.27313403772289","0.286709076036021","2"
"Min 1x per week","2003","East Germany","1283","0.227953923186915","0.216712628166882","0.239195218206947","2"
"Never","2003","West Germany","6114","0.396163266981544","0.388768919463368","0.403557614499719","5"
"Never","2003","East Germany","2160","0.436196961225382","0.422908453169498","0.449485469281265","5"
"Rarely","2003","West Germany","3060","0.181654824448699","0.175825815494701","0.187483833402696","4"
"Rarely","2003","East Germany","1220","0.212167711328651","0.201212324071535","0.223123098585767","4"
"Daily","2004","East Germany","","","","","1"
"Daily","2004","West Germany","","","","","1"
"Min 1x per month","2004","East Germany","","","","","3"
"Min 1x per month","2004","West Germany","","","","","3"
"Min 1x per week","2004","West Germany","","","","","2"
"Min 1x per week","2004","East Germany","","","","","2"
"Never","2004","West Germany","","","","","5"
"Never","2004","East Germany","","","","","5"
"Rarely","2004","West Germany","","","","","4"
"Rarely","2004","East Germany","","","","","4"
"Daily","2005","East Germany","","","","","1"
"Daily","2005","West Germany","","","","","1"
"Min 1x per month","2005","West Germany","1260","0.0821902041584591","0.0778852192426681","0.0864951890742501","3"
"Min 1x per month","2005","East Germany","367","0.0691436298657959","0.0621353907606539","0.0761518689709379","3"
"Min 1x per week","2005","West Germany","5521","0.323785203212168","0.316450946720617","0.331119459703719","2"
"Min 1x per week","2005","East Germany","1259","0.226811980008366","0.215243746710298","0.238380213306435","2"
"Never","2005","West Germany","6082","0.41651190962413","0.40878483742484","0.42423898182342","5"
"Never","2005","East Germany","2306","0.49123685396986","0.477426819003693","0.505046888936027","5"
"Rarely","2005","East Germany","1102","0.212807536155978","0.201501107385283","0.224113964926673","4"
"Rarely","2005","West Germany","2773","0.177512683005243","0.17152354170939","0.183501824301097","4"
"Daily","2006","East Germany","","","","","1"
"Daily","2006","West Germany","","","","","1"
"Min 1x per month","2006","West Germany","","","","","3"
"Min 1x per month","2006","East Germany","","","","","3"
"Min 1x per week","2006","West Germany","","","","","2"
"Min 1x per week","2006","East Germany","","","","","2"
"Never","2006","West Germany","","","","","5"
"Never","2006","East Germany","","","","","5"
"Rarely","2006","East Germany","","","","","4"
"Rarely","2006","West Germany","","","","","4"
"Daily","2007","East Germany","","","","","1"
"Daily","2007","West Germany","","","","","1"
"Min 1x per month","2007","West Germany","1162","0.0717120260364377","0.0676495607864038","0.0757744912864716","3"
"Min 1x per month","2007","East Germany","343","0.0674019034848054","0.0604566834160491","0.0743471235535618","3"
"Min 1x per week","2007","West Germany","5819","0.353372589203528","0.345846042075455","0.3608991363316","2"
"Min 1x per week","2007","East Germany","1330","0.249912778961101","0.237919089952415","0.261906467969787","2"
"Never","2007","West Germany","5911","0.401039592605227","0.393322655090655","0.408756530119799","5"
"Never","2007","East Germany","2296","0.480169786921899","0.466329954160923","0.494009619682874","5"
"Rarely","2007","East Germany","1037","0.202515530632195","0.191383024255125","0.213648037009265","4"
"Rarely","2007","West Germany","2603","0.173875792154808","0.16790826318842","0.179843321121196","4"
"Daily","2008","West Germany","1245","0.0812624084926464","0.076823129756615","0.0857016872286778","1"
"Daily","2008","East Germany","300","0.0592160734079862","0.0525193460035536","0.0659128008124187","1"
"Min 1x per month","2008","West Germany","1158","0.0796426893239483","0.075244002748181","0.0840413758997156","3"
"Min 1x per month","2008","East Germany","333","0.0722380859292944","0.0648929597861846","0.0795832120724042","3"
"Min 1x per week","2008","East Germany","1312","0.266917438917402","0.254366887932791","0.279467989902014","2"
"Min 1x per week","2008","West Germany","4956","0.324170007139433","0.316565396682361","0.331774617596504","2"
"Never","2008","West Germany","4600","0.329360074034349","0.321724318690857","0.336995829377842","5"
"Never","2008","East Germany","1770","0.382124187293533","0.368337791740737","0.395910582846329","5"
"Rarely","2008","East Germany","1057","0.219504214451784","0.207760524245366","0.231247904658202","4"
"Rarely","2008","West Germany","2594","0.185564821009623","0.179248736793223","0.191880905226024","4"
"Daily","2009","West Germany","","","","","1"
"Daily","2009","East Germany","","","","","1"
"Min 1x per month","2009","West Germany","993","0.0778929384160715","0.0733709072783115","0.0824149695538315","3"
"Min 1x per month","2009","East Germany","343","0.075298340239832","0.0676176393372488","0.0829790411424152","3"
"Min 1x per week","2009","East Germany","1261","0.270314912864924","0.257387546076259","0.28324227965359","2"
"Min 1x per week","2009","West Germany","5287","0.376615266446221","0.368439643153625","0.384790889738817","2"
"Never","2009","West Germany","4894","0.370213592122189","0.36206623689115","0.378360947353228","5"
"Never","2009","East Germany","2030","0.467807096128097","0.453283462814009","0.482330729442185","5"
"Rarely","2009","East Germany","900","0.186579650767146","0.175240070291525","0.197919231242768","4"
"Rarely","2009","West Germany","2319","0.175278203015519","0.168862983474568","0.18169342255647","4"
"Daily","2010","West Germany","","","","","1"
"Daily","2010","East Germany","","","","","1"
"Min 1x per month","2010","West Germany","","","","","3"
"Min 1x per month","2010","East Germany","","","","","3"
"Min 1x per week","2010","East Germany","","","","","2"
"Min 1x per week","2010","West Germany","","","","","2"
"Never","2010","East Germany","","","","","5"
"Never","2010","West Germany","","","","","5"
"Rarely","2010","West Germany","","","","","4"
"Rarely","2010","East Germany","","","","","4"
"Daily","2011","West Germany","","","","","1"
"Daily","2011","East Germany","","","","","1"
"Min 1x per month","2011","West Germany","1410","0.0642404598150539","0.0610048114264811","0.0674761082036266","3"
"Min 1x per month","2011","East Germany","405","0.0636824805023449","0.0576608484737395","0.0697041125309504","3"
"Min 1x per week","2011","East Germany","1796","0.298358126794828","0.287075263189003","0.309640990400653","2"
"Min 1x per week","2011","West Germany","8582","0.382064700501795","0.375652385788992","0.388477015214598","2"
"Never","2011","East Germany","3028","0.46665229681759","0.454349762900447","0.478954830734734","5"
"Never","2011","West Germany","8557","0.395686066941987","0.389232771442056","0.402139362441918","5"
"Rarely","2011","West Germany","3508","0.158008772741164","0.153195181007464","0.162822364474864","4"
"Rarely","2011","East Germany","1088","0.171307095885236","0.162015781849647","0.180598409920826","4"
"Daily","2012","West Germany","","","","","1"
"Daily","2012","East Germany","","","","","1"
"Min 1x per month","2012","West Germany","","","","","3"
"Min 1x per month","2012","East Germany","","","","","3"
"Min 1x per week","2012","East Germany","","","","","2"
"Min 1x per week","2012","West Germany","","","","","2"
"Never","2012","East Germany","","","","","5"
"Never","2012","West Germany","","","","","5"
"Rarely","2012","West Germany","","","","","4"
"Rarely","2012","East Germany","","","","","4"
"Daily","2013","West Germany","2869","0.14882788759297","0.143867840507822","0.153787934678118","1"
"Daily","2013","East Germany","661","0.130235800129453","0.121513038631714","0.138958561627191","1"
"Min 1x per month","2013","East Germany","281","0.0502118314463333","0.0445519875704597","0.0558716753222069","3"
"Min 1x per month","2013","West Germany","974","0.0512777684064823","0.0482040148484229","0.0543515219645416","3"
"Min 1x per week","2013","West Germany","6986","0.352114097281456","0.345457904083789","0.358770290479123","2"
"Min 1x per week","2013","East Germany","1590","0.27042937586895","0.258917432482522","0.281941319255377","2"
"Never","2013","East Germany","2251","0.376442110260951","0.363885409875032","0.388998810646871","5"
"Never","2013","West Germany","6222","0.313621947587267","0.307156183344353","0.320087711830181","5"
"Rarely","2013","West Germany","2729","0.134158299131824","0.129408634250711","0.138907964012938","4"
"Rarely","2013","East Germany","936","0.172680882294313","0.162884929079129","0.182476835509497","4"
"Daily","2014","West Germany","","","","","1"
"Daily","2014","East Germany","","","","","1"
"Min 1x per month","2014","East Germany","","","","","3"
"Min 1x per month","2014","West Germany","","","","","3"
"Min 1x per week","2014","West Germany","","","","","2"
"Min 1x per week","2014","East Germany","","","","","2"
"Never","2014","East Germany","","","","","5"
"Never","2014","West Germany","","","","","5"
"Rarely","2014","West Germany","","","","","4"
"Rarely","2014","East Germany","","","","","4"
"Daily","2015","East Germany","","","","","1"
"Daily","2015","West Germany","","","","","1"
"Min 1x per month","2015","East Germany","316","0.0562452745859247","0.0501155526991728","0.0623749964726765","3"
"Min 1x per month","2015","West Germany","1133","0.0554479446167088","0.0523840599341161","0.0585118292993016","3"
"Min 1x per week","2015","East Germany","1849","0.346643888723348","0.333982395318434","0.359305382128262","2"
"Min 1x per week","2015","West Germany","9439","0.450671898669428","0.444010538924378","0.457333258414479","2"
"Never","2015","East Germany","2517","0.457443626563094","0.444189246930202","0.470698006195986","5"
"Never","2015","West Germany","7910","0.361056928802187","0.354626563209904","0.36748729439447","5"
"Rarely","2015","East Germany","745","0.139667210127633","0.130444710485577","0.14888970976969","4"
"Rarely","2015","West Germany","2950","0.132823227911676","0.12827954962069","0.137366906202662","4"
"Daily","2016","East Germany","","","","","1"
"Daily","2016","West Germany","","","","","1"
"Min 1x per month","2016","East Germany","","","","","3"
"Min 1x per month","2016","West Germany","","","","","3"
"Min 1x per week","2016","West Germany","","","","","2"
"Min 1x per week","2016","East Germany","","","","","2"
"Never","2016","West Germany","","","","","5"
"Never","2016","East Germany","","","","","5"
"Rarely","2016","West Germany","","","","","4"
"Rarely","2016","East Germany","","","","","4"
"Daily","2017","East Germany","104","0.00191949449061261","0.000844036747183338","0.00299495223404189","1"
"Daily","2017","West Germany","621","0.00195747371326016","0.00141823011875993","0.00249671730776038","1"
"Min 1x per month","2017","East Germany","327","0.0538872605335946","0.048339322169743","0.0594351988974462","3"
"Min 1x per month","2017","West Germany","1320","0.0503745952471571","0.0477062350778427","0.0530429554164715","3"
"Min 1x per week","2017","West Germany","10761","0.46866358677487","0.462575541155653","0.474751632394086","2"
"Min 1x per week","2017","East Germany","2258","0.382026031149946","0.370087560433819","0.393964501866074","2"
"Never","2017","West Germany","9681","0.351714143545797","0.345888543136353","0.35753974395524","5"
"Never","2017","East Germany","2785","0.423647418374496","0.411506164707009","0.435788672041982","5"
"Rarely","2017","West Germany","3426","0.127290200718916","0.123223942874458","0.131356458563375","4"
"Rarely","2017","East Germany","889","0.138519795451351","0.130031984432455","0.147007606470246","4"
"Daily","2018","East Germany","114","0.275488797570457","0.238286673838205","0.312690921302709","1"
"Daily","2018","West Germany","368","0.125759728766747","0.114448454605119","0.137071002928375","1"
"Min 1x per month","2018","West Germany","204","0.0748308674925203","0.0658550030296118","0.0838067319554288","3"
"Min 1x per month","2018","East Germany","12","","","","3"
"Min 1x per week","2018","West Germany","620","0.233631087690966","0.219196327143066","0.248065848238865","2"
"Min 1x per week","2018","East Germany","100","0.203882830953559","0.170334414054009","0.237431247853108","2"
"Never","2018","West Germany","1555","0.394547717770782","0.377874667602464","0.4112207679391","5"
"Never","2018","East Germany","264","0.363466258661255","0.323413173522705","0.403519343799806","5"
"Rarely","2018","East Germany","64","0.129740266343714","0.101759793720198","0.15772073896723","4"
"Rarely","2018","West Germany","554","0.171230598278985","0.158379718221767","0.184081478336202","4"
"Daily","2019","East Germany","922","0.155139949888001","0.146010431159395","0.164269468616606","1"
"Daily","2019","West Germany","4397","0.188151471803487","0.183127938940505","0.193175004666468","1"
"Min 1x per month","2019","West Germany","1045","0.0450002977903798","0.0423357271038303","0.0476648684769292","3"
"Min 1x per month","2019","East Germany","318","0.0570380742056637","0.0511898612462521","0.0628862871650753","3"
"Min 1x per week","2019","West Germany","8295","0.364121558441305","0.357936722544914","0.370306394337695","2"
"Min 1x per week","2019","East Germany","1908","0.321763331980411","0.309983134219336","0.333543529741486","2"
"Never","2019","West Germany","6603","0.275505008466305","0.269762516757283","0.281247500175327","5"
"Never","2019","East Germany","1984","0.314184850623801","0.302479354365374","0.325890346882228","5"
"Rarely","2019","East Germany","909","0.151873793302123","0.142823444136369","0.160924142467877","4"
"Rarely","2019","West Germany","2912","0.127221663498524","0.122938640091782","0.131504686905265","4"
