"pli0092_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","Urban Area","","","",""
"Daily","1985","no migration background","Rural Area","","","",""
"Daily","1985","direct migration background","Urban Area","","","",""
"Daily","1985","direct migration background","Rural Area","","","",""
"Daily","1985","indirect migration background","Urban Area","","","",""
"Daily","1985","indirect migration background","Rural Area","","","",""
"Min 1x per week","1985","no migration background","Urban Area","1584","0.251455483189433","0.240475940992879","0.262435025385986"
"Min 1x per week","1985","no migration background","Rural Area","449","0.225432848759528","0.206613861824116","0.24425183569494"
"Min 1x per week","1985","direct migration background","Urban Area","330","0.162740441505614","0.14846927965791","0.177011603353318"
"Min 1x per week","1985","direct migration background","Rural Area","59","0.237722640871269","0.19293325196588","0.282512029776659"
"Min 1x per week","1985","indirect migration background","Urban Area","42","0.306963479038506","0.225452342234314","0.388474615842698"
"Min 1x per week","1985","indirect migration background","Rural Area","6","","",""
"Min 1x per month","1985","no migration background","Urban Area","317","0.0492329235205699","0.0437576005692136","0.0547082464719262"
"Min 1x per month","1985","no migration background","Rural Area","104","0.0495503498116342","0.0397769419350611","0.0593237576882073"
"Min 1x per month","1985","direct migration background","Urban Area","94","0.0339664159798964","0.0269631196372214","0.0409697123225714"
"Min 1x per month","1985","direct migration background","Rural Area","17","","",""
"Min 1x per month","1985","indirect migration background","Urban Area","8","","",""
"Min 1x per month","1985","indirect migration background","Rural Area","2","","",""
"Rarely","1985","no migration background","Urban Area","864","0.13354352828426","0.124934985179456","0.142152071389064"
"Rarely","1985","no migration background","Rural Area","240","0.115884273567347","0.101468932810418","0.130299614324277"
"Rarely","1985","direct migration background","Urban Area","255","0.0990305815827165","0.0874821975088719","0.110578965656561"
"Rarely","1985","direct migration background","Rural Area","46","0.129577280036743","0.0942416456565508","0.164912914416935"
"Rarely","1985","indirect migration background","Urban Area","27","","",""
"Rarely","1985","indirect migration background","Rural Area","1","","",""
"Never","1985","no migration background","Urban Area","3233","0.565768065005737","0.553224385325144","0.57831174468633"
"Never","1985","no migration background","Rural Area","1101","0.609132527861491","0.587157533894139","0.631107521828842"
"Never","1985","direct migration background","Urban Area","1891","0.704262560931773","0.686618360439175","0.721906761424371"
"Never","1985","direct migration background","Rural Area","225","0.573837077990599","0.521805680859922","0.625868475121276"
"Never","1985","indirect migration background","Urban Area","46","0.466335030936519","0.378173544585443","0.554496517287596"
"Never","1985","indirect migration background","Rural Area","8","","",""
"Daily","1986","no migration background","Urban Area","","","",""
"Daily","1986","no migration background","Rural Area","","","",""
"Daily","1986","direct migration background","Urban Area","","","",""
"Daily","1986","direct migration background","Rural Area","","","",""
"Daily","1986","indirect migration background","Urban Area","","","",""
"Daily","1986","indirect migration background","Rural Area","","","",""
"Min 1x per week","1986","no migration background","Urban Area","1610","0.25903539060718","0.247720435475661","0.2703503457387"
"Min 1x per week","1986","no migration background","Rural Area","450","0.237545812305089","0.217797443354706","0.257294181255471"
"Min 1x per week","1986","direct migration background","Urban Area","364","0.164168468883932","0.149574791591512","0.178762146176352"
"Min 1x per week","1986","direct migration background","Rural Area","59","0.193958668810463","0.152769814386707","0.23514752323422"
"Min 1x per week","1986","indirect migration background","Urban Area","54","0.349087901474877","0.268974124421561","0.429201678528194"
"Min 1x per week","1986","indirect migration background","Rural Area","6","","",""
"Min 1x per month","1986","no migration background","Urban Area","335","0.0541227578564834","0.0482791387675888","0.059966376945378"
"Min 1x per month","1986","no migration background","Rural Area","96","0.0496907984438856","0.0396070704821563","0.0597745264056148"
"Min 1x per month","1986","direct migration background","Urban Area","104","0.0478191605150383","0.0394125450536171","0.0562257759764595"
