"pli0092_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","Urban Area","","","",""
"Daily","1985","1-pers.-HH","Rural Area","","","",""
"Daily","1985","(Married) couple without C. ","Urban Area","","","",""
"Daily","1985","(Married) couple without C. ","Rural Area","","","",""
"Daily","1985","Single parent ","Urban Area","","","",""
"Daily","1985","Single parent ","Rural Area","","","",""
"Daily","1985","Couple + C. LE 16 ","Urban Area","","","",""
"Daily","1985","Couple + C. LE 16 ","Rural Area","","","",""
"Daily","1985","Couple + C. GT 16 ","Urban Area","","","",""
"Daily","1985","Couple + C. GT 16 ","Rural Area","","","",""
"Daily","1985","Couple + C. LE and GT 16","Urban Area","","","",""
"Daily","1985","Couple + C. LE and GT 16","Rural Area","","","",""
"Min 1x per week","1985","1-pers.-HH","Urban Area","242","0.225708165326297","0.199640892719548","0.251775437933045"
"Min 1x per week","1985","1-pers.-HH","Rural Area","35","0.177962907039973","0.121455912336746","0.234469901743199"
"Min 1x per week","1985","(Married) couple without C. ","Urban Area","377","0.197916813200689","0.180006297790189","0.21582732861119"
"Min 1x per week","1985","(Married) couple without C. ","Rural Area","84","0.162830654478213","0.130239527797613","0.195421781158813"
"Min 1x per week","1985","Single parent ","Urban Area","94","0.232166366997163","0.191978183075713","0.272354550918613"
"Min 1x per week","1985","Single parent ","Rural Area","33","0.29373006330196","0.210484953506688","0.376975173097233"
"Min 1x per week","1985","Couple + C. LE 16 ","Urban Area","461","0.269395430067376","0.250461267332474","0.288329592802279"
"Min 1x per week","1985","Couple + C. LE 16 ","Rural Area","136","0.281236455493416","0.243420332225528","0.319052578761304"
"Min 1x per week","1985","Couple + C. GT 16 ","Urban Area","440","0.291388682936977","0.269322463579315","0.31345490229464"
"Min 1x per week","1985","Couple + C. GT 16 ","Rural Area","96","0.249114543507637","0.205571891784797","0.292657195230477"
"Min 1x per week","1985","Couple + C. LE and GT 16","Urban Area","250","0.278963595906251","0.253042608968392","0.304884582844109"
"Min 1x per week","1985","Couple + C. LE and GT 16","Rural Area","92","0.299805377498223","0.250372007799974","0.349238747196472"
"Min 1x per month","1985","1-pers.-HH","Urban Area","41","0.0362451750546726","0.0245910948615715","0.0478992552477737"
"Min 1x per month","1985","1-pers.-HH","Rural Area","6","","",""
"Min 1x per month","1985","(Married) couple without C. ","Urban Area","79","0.0389979059294018","0.0302954898629809","0.0477003219958228"
"Min 1x per month","1985","(Married) couple without C. ","Rural Area","19","","",""
"Min 1x per month","1985","Single parent ","Urban Area","26","","",""
"Min 1x per month","1985","Single parent ","Rural Area","4","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","Urban Area","96","0.0470175416952521","0.037983497441914","0.0560515859485902"
"Min 1x per month","1985","Couple + C. LE 16 ","Rural Area","41","0.0768790306538332","0.0544721483054964","0.09928591300217"
"Min 1x per month","1985","Couple + C. GT 16 ","Urban Area","102","0.0686190556271199","0.056342583239047","0.0808955280151928"
"Min 1x per month","1985","Couple + C. GT 16 ","Rural Area","21","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","Urban Area","49","0.0493895524053152","0.0368662748057815","0.0619128300048489"
"Min 1x per month","1985","Couple + C. LE and GT 16","Rural Area","22","","",""
"Rarely","1985","1-pers.-HH","Urban Area","90","0.078133493920323","0.0613986271415052","0.0948683606991408"
"Rarely","1985","1-pers.-HH","Rural Area","13","","",""
"Rarely","1985","(Married) couple without C. ","Urban Area","220","0.115751924845507","0.101370291745325","0.130133557945689"
"Rarely","1985","(Married) couple without C. ","Rural Area","46","0.0838754469627479","0.0594062725509527","0.108344621374543"
"Rarely","1985","Single parent ","Urban Area","62","0.155673976386177","0.121165303346993","0.190182649425362"
"Rarely","1985","Single parent ","Rural Area","12","","",""
"Rarely","1985","Couple + C. LE 16 ","Urban Area","335","0.1828369642174","0.166340299088273","0.199333629346527"
"Rarely","1985","Couple + C. LE 16 ","Rural Area","91","0.169862707432332","0.138278341742622","0.201447073122041"
"Rarely","1985","Couple + C. GT 16 ","Urban Area","223","0.130664512472692","0.114297851763668","0.147031173181717"
"Rarely","1985","Couple + C. GT 16 ","Rural Area","51","0.135891079757154","0.101391944847717","0.170390214666591"
"Rarely","1985","Couple + C. LE and GT 16","Urban Area","167","0.172563452757078","0.150724041252919","0.194402864261238"
