"pli0092_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Full Time","1-pers.-HH","","","","","1"
"Daily","1985","Full Time","(Married) couple without C. ","","","","","1"
"Daily","1985","Full Time","Single parent ","","","","","1"
"Daily","1985","Full Time","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Full Time","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Full Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","Part Time","1-pers.-HH","","","","","1"
"Daily","1985","Part Time","(Married) couple without C. ","","","","","1"
"Daily","1985","Part Time","Single parent ","","","","","1"
"Daily","1985","Part Time","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Part Time","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Part Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","Not Working","1-pers.-HH","","","","","1"
"Daily","1985","Not Working","(Married) couple without C. ","","","","","1"
"Daily","1985","Not Working","Single parent ","","","","","1"
"Daily","1985","Not Working","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Not Working","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Not Working","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1985","Not Working","Single parent ","11","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. GT 16 ","20","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. LE and GT 16","21","","","","3"
"Min 1x per month","1985","Not Working","(Married) couple without C. ","31","0.0289104395074652","0.01885209565211","0.0389687833628204","3"
"Min 1x per month","1985","Full Time","1-pers.-HH","26","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. LE 16 ","26","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. GT 16 ","44","0.0669829861190242","0.0482619518077386","0.0857040204303098","3"
"Min 1x per month","1985","Full Time","(Married) couple without C. ","50","0.0474121059123225","0.0344019257606691","0.0604222860639759","3"
"Min 1x per month","1985","Full Time","Single parent ","10","","","","3"
"Min 1x per month","1985","Full Time","Couple + C. LE 16 ","86","0.0663738832467506","0.0531242652940615","0.0796235011994397","3"
"Min 1x per month","1985","Full Time","Couple + C. GT 16 ","59","0.0725421422114432","0.0558626619106544","0.0892216225122321","3"
"Min 1x per month","1985","Full Time","Couple + C. LE and GT 16","38","0.0721703872823909","0.0528343486760294","0.0915064258887524","3"
"Min 1x per month","1985","Part Time","(Married) couple without C. ","17","","","","3"
"Min 1x per month","1985","Part Time","Single parent ","9","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. LE 16 ","25","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. LE and GT 16","12","","","","3"
"Min 1x per month","1985","Not Working","1-pers.-HH","12","","","","3"
"Min 1x per month","1985","Part Time","1-pers.-HH","9","","","","3"
"Min 1x per week","1985","Full Time","(Married) couple without C. ","270","0.287497054506858","0.259789627988143","0.315204481025572","2"
"Min 1x per week","1985","Not Working","(Married) couple without C. ","122","0.109339796470708","0.0906064811591621","0.128073111782254","2"
"Min 1x per week","1985","Full Time","Couple + C. LE and GT 16","128","0.23048759120633","0.199018408766323","0.261956773646338","2"
"Min 1x per week","1985","Full Time","1-pers.-HH","152","0.368157090510431","0.324082293796792","0.41223188722407","2"
"Min 1x per week","1985","Full Time","Couple + C. GT 16 ","233","0.272099347115572","0.243481297101004","0.300717397130139","2"
"Min 1x per week","1985","Part Time","Single parent ","17","","","","2"
"Min 1x per week","1985","Part Time","Couple + C. LE 16 ","136","0.297797143974469","0.258975310136485","0.336618977812454","2"
"Min 1x per week","1985","Not Working","1-pers.-HH","76","0.11571093212072","0.0892411123378743","0.142180751903565","2"
"Min 1x per week","1985","Full Time","Couple + C. LE 16 ","326","0.289748677186489","0.265603243917855","0.313894110455123","2"
"Min 1x per week","1985","Part Time","1-pers.-HH","49","0.348217750956555","0.270134697237792","0.426300804675319","2"
