"pli0092_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","Not Employed","","","",""
"Daily","1985","Schleswig-Holstein","Employed","","","",""
"Daily","1985","Hamburg","Not Employed","","","",""
"Daily","1985","Hamburg","Employed","","","",""
"Daily","1985","Lower Saxony","Not Employed","","","",""
"Daily","1985","Lower Saxony","Employed","","","",""
"Daily","1985","Bremen","Not Employed","","","",""
"Daily","1985","Bremen","Employed","","","",""
"Daily","1985","North Rhine-Westphalia","Not Employed","","","",""
"Daily","1985","North Rhine-Westphalia","Employed","","","",""
"Daily","1985","Hesse","Not Employed","","","",""
"Daily","1985","Hesse","Employed","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Employed","","","",""
"Daily","1985","Baden-Württemberg","Not Employed","","","",""
"Daily","1985","Baden-Württemberg","Employed","","","",""
"Daily","1985","Bavaria","Not Employed","","","",""
"Daily","1985","Bavaria","Employed","","","",""
"Daily","1985","Berlin","Not Employed","","","",""
"Daily","1985","Berlin","Employed","","","",""
"Daily","1985","Brandenburg","Not Employed","","","",""
"Daily","1985","Brandenburg","Employed","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1985","Saxony","Not Employed","","","",""
"Daily","1985","Saxony","Employed","","","",""
"Daily","1985","Saxony-Anhalt","Not Employed","","","",""
"Daily","1985","Saxony-Anhalt","Employed","","","",""
"Daily","1985","Thuringia","Not Employed","","","",""
"Daily","1985","Thuringia","Employed","","","",""
"Min 1x per week","1985","Schleswig-Holstein","Not Employed","25","","",""
"Min 1x per week","1985","Schleswig-Holstein","Employed","66","0.329099358427646","0.266290415764041","0.39190830109125"
"Min 1x per week","1985","Hamburg","Not Employed","18","","",""
"Min 1x per week","1985","Hamburg","Employed","64","0.436392532669417","0.361621778138424","0.511163287200409"
"Min 1x per week","1985","Lower Saxony","Not Employed","99","0.190807405381909","0.15543354291117","0.226181267852648"
"Min 1x per week","1985","Lower Saxony","Employed","171","0.290284477233497","0.25449890947207","0.326070044994925"
"Min 1x per week","1985","Bremen","Not Employed","8","","",""
"Min 1x per week","1985","Bremen","Employed","6","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Not Employed","220","0.181215597696839","0.159302423059423","0.203128772334256"
"Min 1x per week","1985","North Rhine-Westphalia","Employed","451","0.286739695620193","0.265581556526864","0.307897834713523"
"Min 1x per week","1985","Hesse","Not Employed","75","0.179053907275898","0.142299521322609","0.215808293229188"
"Min 1x per week","1985","Hesse","Employed","167","0.298963808182906","0.265049840716511","0.332877775649301"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Not Employed","48","0.13374809460704","0.0968554219883774","0.170640767225702"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Employed","108","0.267790657147063","0.226178636424862","0.309402677869264"
"Min 1x per week","1985","Baden-Württemberg","Not Employed","121","0.176417590799436","0.147662106983004","0.205173074615868"
"Min 1x per week","1985","Baden-Württemberg","Employed","283","0.249774810910187","0.226793737853547","0.272755883966827"
"Min 1x per week","1985","Bavaria","Not Employed","125","0.175991987874991","0.146828490365894","0.205155485384089"
"Min 1x per week","1985","Bavaria","Employed","337","0.303771820556509","0.278154287266791","0.329389353846226"
"Min 1x per week","1985","Berlin","Not Employed","24","","",""
"Min 1x per week","1985","Berlin","Employed","54","0.260728997448138","0.20552869498832","0.315929299907957"
"Min 1x per week","1985","Brandenburg","Not Employed","","","",""
"Min 1x per week","1985","Brandenburg","Employed","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1985","Saxony","Not Employed","","","",""
"Min 1x per week","1985","Saxony","Employed","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1985","Thuringia","Not Employed","","","",""
"Min 1x per week","1985","Thuringia","Employed","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Not Employed","8","","",""
"Min 1x per month","1985","Schleswig-Holstein","Employed","9","","",""
"Min 1x per month","1985","Hamburg","Not Employed","9","","",""
"Min 1x per month","1985","Hamburg","Employed","11","","",""
"Min 1x per month","1985","Lower Saxony","Not Employed","15","","",""
"Min 1x per month","1985","Lower Saxony","Employed","31","0.0459895571141398","0.0294752623737842","0.0625038518544953"
"Min 1x per month","1985","Bremen","Not Employed","3","","",""
"Min 1x per month","1985","Bremen","Employed","6","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Not Employed","43","0.030912183862261","0.0210659727733403","0.0407583949511818"
"Min 1x per month","1985","North Rhine-Westphalia","Employed","86","0.0555991238602246","0.0448784596035357","0.0663197881169136"
"Min 1x per month","1985","Hesse","Not Employed","12","","",""
"Min 1x per month","1985","Hesse","Employed","32","0.0415281671176132","0.0267486539057739","0.0563076803294525"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Not Employed","11","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Employed","26","","",""
"Min 1x per month","1985","Baden-Württemberg","Not Employed","30","0.0412596378496501","0.026255556296604","0.0562637194026962"
"Min 1x per month","1985","Baden-Württemberg","Employed","77","0.0598188143705439","0.0472288401278756","0.0724087886132122"
"Min 1x per month","1985","Bavaria","Not Employed","24","","",""
"Min 1x per month","1985","Bavaria","Employed","86","0.0704123561639841","0.0561609611307511","0.0846637511972171"
"Min 1x per month","1985","Berlin","Not Employed","4","","",""
"Min 1x per month","1985","Berlin","Employed","19","","",""
"Min 1x per month","1985","Brandenburg","Not Employed","","","",""
"Min 1x per month","1985","Brandenburg","Employed","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1985","Saxony","Not Employed","","","",""
"Min 1x per month","1985","Saxony","Employed","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1985","Thuringia","Not Employed","","","",""
"Min 1x per month","1985","Thuringia","Employed","","","",""
"Rarely","1985","Schleswig-Holstein","Not Employed","13","","",""
"Rarely","1985","Schleswig-Holstein","Employed","35","0.170255242400343","0.120015041623716","0.220495443176971"
"Rarely","1985","Hamburg","Not Employed","5","","",""
"Rarely","1985","Hamburg","Employed","20","","",""
"Rarely","1985","Lower Saxony","Not Employed","49","0.0896463237740979","0.0639287355896617","0.115363911958534"
"Rarely","1985","Lower Saxony","Employed","93","0.154391832594538","0.125904577859689","0.182879087329387"
"Rarely","1985","Bremen","Not Employed","5","","",""
"Rarely","1985","Bremen","Employed","13","","",""
"Rarely","1985","North Rhine-Westphalia","Not Employed","113","0.0881927553589188","0.0720606627523186","0.104324847965519"
"Rarely","1985","North Rhine-Westphalia","Employed","283","0.165067466512397","0.147698820443115","0.182436112581679"
"Rarely","1985","Hesse","Not Employed","34","0.0610039616169008","0.0380598709747567","0.0839480522590449"
"Rarely","1985","Hesse","Employed","99","0.152502492525552","0.125870310113704","0.179134674937399"
"Rarely","1985","Rhineland-Palatinate,Saarland","Not Employed","29","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Employed","73","0.181670244542303","0.145436807335064","0.217903681749542"
"Rarely","1985","Baden-Württemberg","Not Employed","48","0.0606960159851317","0.042683292610578","0.0787087393596854"
"Rarely","1985","Baden-Württemberg","Employed","201","0.169265027305271","0.149357605069923","0.189172449540619"
"Rarely","1985","Bavaria","Not Employed","72","0.0871994788645715","0.0655935806686307","0.108805377060512"
"Rarely","1985","Bavaria","Employed","197","0.164965958955826","0.144291363193521","0.185640554718131"
"Rarely","1985","Berlin","Not Employed","8","","",""
"Rarely","1985","Berlin","Employed","43","0.175347631961317","0.127536352922145","0.22315891100049"
"Rarely","1985","Brandenburg","Not Employed","","","",""
"Rarely","1985","Brandenburg","Employed","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1985","Saxony","Not Employed","","","",""
"Rarely","1985","Saxony","Employed","","","",""
"Rarely","1985","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1985","Saxony-Anhalt","Employed","","","",""
"Rarely","1985","Thuringia","Not Employed","","","",""
"Rarely","1985","Thuringia","Employed","","","",""
"Never","1985","Schleswig-Holstein","Not Employed","87","0.684338052666031","0.605348667927899","0.763327437404164"
"Never","1985","Schleswig-Holstein","Employed","105","0.463136799033756","0.396484470832814","0.529789127234697"
"Never","1985","Hamburg","Not Employed","75","0.711204050500759","0.625332587565068","0.79707551343645"
"Never","1985","Hamburg","Employed","74","0.349863532025031","0.27795898734002","0.421768076710041"
"Never","1985","Lower Saxony","Not Employed","311","0.692701732074737","0.65116693307071","0.734236531078764"
"Never","1985","Lower Saxony","Employed","323","0.509334133057825","0.469920345816263","0.548747920299387"
"Never","1985","Bremen","Not Employed","49","0.741235167759012","0.634766444269193","0.847703891248832"
"Never","1985","Bremen","Employed","25","","",""
"Never","1985","North Rhine-Westphalia","Not Employed","811","0.699679463081981","0.673602031732522","0.72575689443144"
"Never","1985","North Rhine-Westphalia","Employed","935","0.492593714007185","0.469203624434226","0.515983803580144"
"Never","1985","Hesse","Not Employed","297","0.732946477991374","0.69053384482273","0.775359111160018"
"Never","1985","Hesse","Employed","402","0.507005532173929","0.469969330269555","0.544041734078303"
"Never","1985","Rhineland-Palatinate,Saarland","Not Employed","239","0.757135570089779","0.710658044810276","0.803613095369282"
"Never","1985","Rhineland-Palatinate,Saarland","Employed","228","0.489255406628974","0.44227971658389","0.536231096674058"
"Never","1985","Baden-Württemberg","Not Employed","476","0.721626755365782","0.687815113223904","0.755438397507661"
"Never","1985","Baden-Württemberg","Employed","802","0.521141347413998","0.494620854086495","0.5476618407415"
"Never","1985","Bavaria","Not Employed","434","0.701452927167675","0.666407358161073","0.736498496174277"
"Never","1985","Bavaria","Employed","618","0.460849864323681","0.433083286309791","0.488616442337571"
