"pli0092_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Not Employed","","","","","1"
"Daily","1985","16-34 y.","Employed","","","","","1"
"Daily","1985","35-65 y.","Not Employed","","","","","1"
"Daily","1985","35-65 y.","Employed","","","","","1"
"Daily","1985","66 and older","Not Employed","","","","","1"
"Daily","1985","66 and older","Employed","","","","","1"
"Min 1x per month","1985","16-34 y.","Not Employed","96","0.0787657624979611","0.0643537175165268","0.0931778074793953","3"
"Min 1x per month","1985","35-65 y.","Not Employed","46","0.0296074480495597","0.0217198367860766","0.0374950593130428","3"
"Min 1x per month","1985","16-34 y.","Employed","206","0.0701635039044111","0.0607161873422249","0.0796108204665972","3"
"Min 1x per month","1985","35-65 y.","Employed","176","0.0499667488178967","0.0431592798277553","0.0567742178080381","3"
"Min 1x per month","1985","66 and older","Not Employed","17","","","","3"
"Min 1x per month","1985","66 and older","Employed","1","","","","3"
"Min 1x per week","1985","16-34 y.","Employed","927","0.369349449499205","0.351498445104649","0.387200453893761","2"
"Min 1x per week","1985","16-34 y.","Not Employed","447","0.383143684238114","0.357133425256312","0.409153943219916","2"
"Min 1x per week","1985","35-65 y.","Not Employed","237","0.152029897979355","0.135321836858086","0.168737959100625","2"
"Min 1x per week","1985","66 and older","Not Employed","79","0.0732662840328417","0.0574827476894596","0.0890498203762238","2"
"Min 1x per week","1985","35-65 y.","Employed","776","0.231498509754731","0.21831982165974","0.244677197849722","2"
"Min 1x per week","1985","66 and older","Employed","4","","","","2"
"Never","1985","16-34 y.","Not Employed","573","0.362241214185949","0.336525476407671","0.387956951964227","5"
"Never","1985","16-34 y.","Employed","1090","0.344899336953841","0.327318087398665","0.362480586509017","5"
"Never","1985","35-65 y.","Not Employed","1369","0.747280380325549","0.727057987008424","0.767502773642673","5"
"Never","1985","35-65 y.","Employed","2511","0.587604995648095","0.5722243289784","0.60298566231779","5"
"Never","1985","66 and older","Not Employed","923","0.885642293292253","0.866365417774386","0.904919168810121","5"
"Never","1985","66 and older","Employed","38","0.87753028745338","0.779545361246814","0.975515213659947","5"
"Rarely","1985","35-65 y.","Employed","472","0.130929745779278","0.120390189487682","0.141469302070874","4"
"Rarely","1985","16-34 y.","Employed","585","0.215587709642543","0.200377551361038","0.230797867924048","4"
"Rarely","1985","35-65 y.","Not Employed","122","0.0710822736455363","0.0591247688448838","0.0830397784461889","4"
"Rarely","1985","16-34 y.","Not Employed","226","0.175849339077976","0.155481474024614","0.196217204131339","4"
"Rarely","1985","66 and older","Not Employed","28","","","","4"
"Rarely","1985","66 and older","Employed","","","","","4"
"Daily","1986","16-34 y.","Not Employed","","","","","1"
"Daily","1986","16-34 y.","Employed","","","","","1"
"Daily","1986","35-65 y.","Not Employed","","","","","1"
"Daily","1986","35-65 y.","Employed","","","","","1"
"Daily","1986","66 and older","Not Employed","","","","","1"
"Daily","1986","66 and older","Employed","","","","","1"
"Min 1x per month","1986","16-34 y.","Not Employed","74","0.0630540172967178","0.0495309298073659","0.0765771047860697","3"
"Min 1x per month","1986","35-65 y.","Not Employed","46","0.0290465880433628","0.0209679006047378","0.0371252754819878","3"
"Min 1x per month","1986","16-34 y.","Employed","231","0.0860952273446876","0.0757733561710319","0.0964170985183433","3"
"Min 1x per month","1986","66 and older","Not Employed","14","","","","3"
"Min 1x per month","1986","35-65 y.","Employed","198","0.0566665470933939","0.0492784143736839","0.0640546798131038","3"
"Min 1x per month","1986","66 and older","Employed","4","","","","3"
"Min 1x per week","1986","16-34 y.","Not Employed","484","0.414466437909368","0.387058094868121","0.441874780950615","2"
"Min 1x per week","1986","16-34 y.","Employed","987","0.371545131877758","0.353763924044954","0.389326339710561","2"
"Min 1x per week","1986","35-65 y.","Not Employed","228","0.154559605717022","0.137170247871684","0.171948963562359","2"
"Min 1x per week","1986","35-65 y.","Employed","767","0.242647216976625","0.228948639652575","0.256345794300675","2"
"Min 1x per week","1986","66 and older","Not Employed","73","0.0715286918129276","0.0554350489072679","0.0876223347185874","2"
"Min 1x per week","1986","66 and older","Employed","4","","","","2"
"Never","1986","16-34 y.","Not Employed","492","0.352117578953515","0.325543748973939","0.378691408933091","5"
"Never","1986","16-34 y.","Employed","1086","0.338196783670016","0.320788033358186","0.355605533981847","5"
"Never","1986","35-65 y.","Not Employed","1296","0.761288715543649","0.740781569797479","0.781795861289819","5"
"Never","1986","35-65 y.","Employed","2350","0.572246818612203","0.55643699542241","0.588056641801997","5"
"Never","1986","66 and older","Not Employed","883","0.899248878489731","0.880451604455383","0.918046152524078","5"
"Never","1986","66 and older","Employed","31","0.812458659431334","0.694406865843832","0.930510453018836","5"
"Rarely","1986","35-65 y.","Employed","447","0.128439417317778","0.117747966338838","0.139130868296717","4"
"Rarely","1986","16-34 y.","Employed","533","0.204162857107538","0.189330202198805","0.218995512016271","4"
"Rarely","1986","16-34 y.","Not Employed","191","0.1703619658404","0.14944528120262","0.191278650478179","4"
"Rarely","1986","35-65 y.","Not Employed","90","0.0551050906959665","0.0441281412934608","0.0660820400984721","4"
"Rarely","1986","66 and older","Not Employed","15","","","","4"
"Rarely","1986","66 and older","Employed","3","","","","4"
"Daily","1987","16-34 y.","Not Employed","","","","","1"
"Daily","1987","16-34 y.","Employed","","","","","1"
"Daily","1987","35-65 y.","Not Employed","","","","","1"
"Daily","1987","35-65 y.","Employed","","","","","1"
"Daily","1987","66 and older","Not Employed","","","","","1"
"Daily","1987","66 and older","Employed","","","","","1"
"Min 1x per month","1987","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1987","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1987","16-34 y.","Employed","","","","","3"
"Min 1x per month","1987","35-65 y.","Employed","","","","","3"
"Min 1x per month","1987","66 and older","Not Employed","","","","","3"
"Min 1x per month","1987","66 and older","Employed","","","","","3"
"Min 1x per week","1987","16-34 y.","Employed","","","","","2"
"Min 1x per week","1987","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1987","35-65 y.","Employed","","","","","2"
"Min 1x per week","1987","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1987","66 and older","Not Employed","","","","","2"
"Min 1x per week","1987","66 and older","Employed","","","","","2"
"Never","1987","16-34 y.","Not Employed","","","","","5"
"Never","1987","16-34 y.","Employed","","","","","5"
"Never","1987","35-65 y.","Not Employed","","","","","5"
"Never","1987","66 and older","Not Employed","","","","","5"
"Never","1987","35-65 y.","Employed","","","","","5"
"Never","1987","66 and older","Employed","","","","","5"
"Rarely","1987","16-34 y.","Not Employed","","","","","4"
"Rarely","1987","16-34 y.","Employed","","","","","4"
"Rarely","1987","35-65 y.","Not Employed","","","","","4"
"Rarely","1987","35-65 y.","Employed","","","","","4"
