"ple0160","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1999","16-34 y.","1-pers.-HH","433","0.903748057161228","0.8771966611172","0.930299453205256","2"
"No","1999","16-34 y.","(Married) couple without C. ","827","0.886813775858632","0.866429884101667","0.907197667615596","2"
"No","1999","35-65 y.","Couple + C. GT 16 ","1409","0.973822006123074","0.965606726352492","0.982037285893657","2"
"No","1999","35-65 y.","Couple + C. LE 16 ","1574","0.945180775258153","0.934286321891699","0.956075228624607","2"
"No","1999","35-65 y.","Couple + C. LE and GT 16","696","0.954530238638584","0.939375935736346","0.969684541540822","2"
"No","1999","66 and older","(Married) couple without C. ","965","0.990778488209985","0.984772547810566","0.996784428609405","2"
"No","1999","66 and older","Single parent ","49","0.972275767844727","0.926767785258059","1.0177837504314","2"
"No","1999","16-34 y.","Couple + C. LE 16 ","1256","0.912245882426913","0.897180916594179","0.927310848259648","2"
"No","1999","16-34 y.","Couple + C. GT 16 ","863","0.917968221180393","0.900444451860106","0.935491990500681","2"
"No","1999","66 and older","1-pers.-HH","592","0.992216289709466","0.985160892497872","0.99927168692106","2"
"No","1999","66 and older","Couple + C. GT 16 ","109","0.99431885793886","0.980273512945542","1.00836420293218","2"
"No","1999","66 and older","Couple + C. LE and GT 16","1","","","","2"
"No","1999","35-65 y.","(Married) couple without C. ","2170","0.975131192831877","0.968672230802877","0.981590154860876","2"
"No","1999","35-65 y.","Single parent ","340","0.955870291079809","0.934505486351091","0.977235095808526","2"
"No","1999","16-34 y.","Single parent ","289","0.928319702063813","0.899742177481041","0.956897226646585","2"
"No","1999","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1999","16-34 y.","Couple + C. LE and GT 16","404","0.933063603195622","0.909605567863466","0.956521638527778","2"
"No","1999","35-65 y.","1-pers.-HH","599","0.959881922068505","0.944497292370209","0.975266551766801","2"
"Yes","1999","16-34 y.","1-pers.-HH","41","0.0962519428387722","0.0697005467947445","0.1228033388828","1"
"Yes","1999","16-34 y.","(Married) couple without C. ","101","0.113186224141368","0.092802332384404","0.133570115898333","1"
"Yes","1999","16-34 y.","Single parent ","24","","","","1"
"Yes","1999","16-34 y.","Couple + C. LE 16 ","99","0.0877541175730867","0.0726891517403524","0.102819083405821","1"
"Yes","1999","16-34 y.","Couple + C. GT 16 ","79","0.0820317788196068","0.0645080094993195","0.0995555481398942","1"
"Yes","1999","16-34 y.","Couple + C. LE and GT 16","32","0.0669363968043779","0.0434783614722223","0.0903944321365335","1"
"Yes","1999","35-65 y.","1-pers.-HH","26","","","","1"
"Yes","1999","35-65 y.","(Married) couple without C. ","63","0.0248688071681234","0.018409845139124","0.0313277691971227","1"
"Yes","1999","35-65 y.","Single parent ","15","","","","1"
"Yes","1999","35-65 y.","Couple + C. LE 16 ","103","0.0548192247418468","0.0439247713753931","0.0657136781083006","1"
"Yes","1999","35-65 y.","Couple + C. GT 16 ","42","0.0261779938769258","0.0179627141063434","0.0343932736475082","1"
