"ple0160","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","higher vocational","Female","317","0.961956330071078","0.941440280556746","0.98247237958541","2"
"No","1999","in school","Female","156","0.978495592961623","0.956158134564214","1.00083305135903","2"
"No","1999","inadequately","Male","169","0.966294680665063","0.939556424227119","0.993032937103008","2"
"No","1999","in school","Male","154","0.968229430107098","0.940967840790624","0.995491019423572","2"
"No","1999","inadequately","Female","247","0.988495413760051","0.975302702372969","1.00168812514713","2"
"No","1999","general elemantary","Male","832","0.94454134979055","0.92943676005692","0.959645939524179","2"
"No","1999","higher education","Female","822","0.932823592450929","0.916321838520492","0.949325346381366","2"
"No","1999","higher vocational","Male","460","0.927017437508406","0.903963390886725","0.950071484130087","2"
"No","1999","higher education","Male","1019","0.944694286635642","0.931087233097352","0.958301340173933","2"
"No","1999","general elemantary","Female","1529","0.979885962749357","0.9729503774054","0.986821548093314","2"
"No","1999","middle vocational","Female","3305","0.952838571614875","0.945794495883937","0.959882647345813","2"
"No","1999","vocational + Abi","Male","223","0.925939132305336","0.892739386549026","0.959138878061645","2"
"No","1999","vocational + Abi","Female","243","0.915951741261289","0.882794941423458","0.94910854109912","2"
"No","1999","middle vocational","Male","3300","0.956114738026004","0.949301201526768","0.962928274525239","2"
"Yes","1999","in school","Male","5","","","","1"
"Yes","1999","in school","Female","6","","","","1"
"Yes","1999","inadequately","Male","6","","","","1"
"Yes","1999","inadequately","Female","4","","","","1"
"Yes","1999","general elemantary","Male","50","0.0554586502094504","0.040354060475821","0.0705632399430797","1"
"Yes","1999","general elemantary","Female","45","0.0201140372506431","0.0131784519066861","0.0270496225946","1"
"Yes","1999","middle vocational","Male","172","0.0438852619739962","0.0370717254747608","0.0506987984732316","1"
"Yes","1999","middle vocational","Female","174","0.0471614283851249","0.0401173526541873","0.0542055041160625","1"
"Yes","1999","vocational + Abi","Male","16","","","","1"
"Yes","1999","vocational + Abi","Female","26","","","","1"
"Yes","1999","higher vocational","Male","29","","","","1"
"Yes","1999","higher vocational","Female","17","","","","1"
"Yes","1999","higher education","Male","65","0.0553057133643576","0.0416986598260669","0.0689127669026483","1"
"Yes","1999","higher education","Female","62","0.0671764075490713","0.0506746536186344","0.0836781614795082","1"
"No","2000","inadequately","Male","163","0.976885449598911","0.954162851039141","0.999608048158681","2"
"No","2000","in school","Female","243","0.952674243471231","0.926714372843296","0.978634114099166","2"
"No","2000","higher vocational","Female","759","0.940157494493839","0.923842938199776","0.956472050787901","2"
"No","2000","higher vocational","Male","1014","0.942088130714572","0.928144744133477","0.956031517295667","2"
"No","2000","in school","Male","232","0.971390745689144","0.950211530525574","0.992569960852714","2"
"No","2000","inadequately","Female","231","0.980637804216862","0.963020243404094","0.998255365029629","2"
"No","2000","general elemantary","Male","1085","0.940438693724857","0.926801382141462","0.954076005308252","2"
"No","2000","higher education","Male","2011","0.921511878476082","0.910196458944645","0.932827298007519","2"
"No","2000","higher education","Female","1520","0.918768351030224","0.905642209640797","0.931894492419651","2"
"No","2000","general elemantary","Female","2336","0.976811891056901","0.970804476248164","0.982819305865639","2"
"No","2000","middle vocational","Female","6201","0.946544465235535","0.941104471890355","0.951984458580715","2"
"No","2000","vocational + Abi","Male","458","0.893732828066975","0.866986361285435","0.920479294848514","2"
"No","2000","vocational + Abi","Female","555","0.901469066903472","0.877952862780244","0.924985271026701","2"
"No","2000","middle vocational","Male","5907","0.944161424670135","0.93848576100395","0.94983708833632","2"
"Yes","2000","in school","Male","6","","","","1"
"Yes","2000","in school","Female","14","","","","1"
"Yes","2000","inadequately","Male","5","","","","1"
"Yes","2000","inadequately","Female","4","","","","1"
"Yes","2000","general elemantary","Male","72","0.0595613062751427","0.0459239946917478","0.0731986178585376","1"
"Yes","2000","general elemantary","Female","75","0.0231881089430985","0.0171806941343606","0.0291955237518365","1"
"Yes","2000","middle vocational","Male","380","0.0558385753298652","0.0501629116636803","0.0615142389960502","1"
"Yes","2000","middle vocational","Female","367","0.0534555347644651","0.0480155414192853","0.0588955281096448","1"
"Yes","2000","vocational + Abi","Male","52","0.106267171933025","0.0795207051514858","0.133013638714565","1"
"Yes","2000","vocational + Abi","Female","62","0.0985309330965277","0.0750147289732991","0.122047137219756","1"
"Yes","2000","higher vocational","Male","64","0.057911869285428","0.0439684827043333","0.0718552558665227","1"
"Yes","2000","higher vocational","Female","53","0.0598425055061614","0.0435279492120992","0.0761570618002235","1"
"Yes","2000","higher education","Male","159","0.078488121523918","0.067172701992481","0.0898035410553551","1"
"Yes","2000","higher education","Female","144","0.081231648969776","0.0681055075803494","0.0943577903592025","1"
"No","2001","in school","Female","271","0.956609688381989","0.932873081055849","0.980346295708129","2"
"No","2001","inadequately","Male","125","0.938655292156871","0.8975635966827","0.979746987631042","2"
