"ple0160","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","16-34 y.","Rural Area","1408","0.91210522855196","0.897968439911572","0.926242017192348","2"
"No","1999","16-34 y.","Urban Area","2814","0.910141268406064","0.900021863843651","0.920260672968477","2"
"No","1999","35-65 y.","Rural Area","2454","0.954016661222507","0.945925291422388","0.962108031022626","2"
"No","1999","35-65 y.","Urban Area","4556","0.964493343020157","0.959220120155447","0.969766565884868","2"
"No","1999","66 and older","Rural Area","600","0.98339722766206","0.973240563379068","0.993553891945053","2"
"No","1999","66 and older","Urban Area","1210","0.994931774819199","0.990940552631722","0.998922997006676","2"
"Yes","1999","66 and older","Rural Area","8","","","","1"
"Yes","1999","16-34 y.","Rural Area","133","0.0878947714480398","0.0737579828076516","0.102031560088428","1"
"Yes","1999","66 and older","Urban Area","6","","","","1"
"Yes","1999","16-34 y.","Urban Area","254","0.0898587315939359","0.0797393270315225","0.0999781361563493","1"
"Yes","1999","35-65 y.","Rural Area","120","0.0459833387774933","0.0378919689773744","0.0540747085776123","1"
"Yes","1999","35-65 y.","Urban Area","175","0.0355066569798425","0.0302334341151319","0.0407798798445532","1"
"No","2000","16-34 y.","Rural Area","2172","0.897454461656249","0.885395214205843","0.909513709106656","2"
"No","2000","16-34 y.","Urban Area","4191","0.890597356817284","0.881664919384985","0.899529794249583","2"
"No","2000","35-65 y.","Rural Area","4377","0.950997024848851","0.944768817800125","0.957225231897578","2"
"No","2000","35-65 y.","Urban Area","8408","0.949016357545758","0.944430989106055","0.953601725985462","2"
"No","2000","66 and older","Rural Area","1238","0.990063901488257","0.984561144224727","0.995566658751786","2"
"No","2000","66 and older","Urban Area","2360","0.990361045889409","0.986437407783626","0.994284683995191","2"
"Yes","2000","16-34 y.","Rural Area","259","0.102545538343751","0.0904862908933443","0.114604785794157","1"
"Yes","2000","66 and older","Rural Area","10","","","","1"
"Yes","2000","66 and older","Urban Area","22","","","","1"
"Yes","2000","16-34 y.","Urban Area","500","0.109402643182716","0.100470205750417","0.118335080615015","1"
"Yes","2000","35-65 y.","Rural Area","238","0.0490029751511487","0.0427747681024225","0.055231182199875","1"
"Yes","2000","35-65 y.","Urban Area","432","0.0509836424542419","0.0463982740145384","0.0555690108939453","1"
"No","2001","16-34 y.","Rural Area","1858","0.880256632783353","0.866449572496768","0.894063693069937","2"
"No","2001","16-34 y.","Urban Area","3713","0.887813809017262","0.878217743018603","0.897409875015921","2"
"No","2001","35-65 y.","Rural Area","3997","0.950564872152645","0.944021426476225","0.957108317829064","2"
"No","2001","35-65 y.","Urban Area","7686","0.949800265363901","0.945037375133873","0.954563155593929","2"
"No","2001","66 and older","Rural Area","1168","0.988270185413412","0.982124439388927","0.994415931437897","2"
"No","2001","66 and older","Urban Area","2240","0.990540477204442","0.986546983178341","0.994533971230543","2"
"Yes","2001","16-34 y.","Rural Area","266","0.119743367216647","0.105936306930063","0.133550427503232","1"
"Yes","2001","16-34 y.","Urban Area","442","0.112186190982738","0.102590124984079","0.121782256981397","1"
"Yes","2001","66 and older","Rural Area","11","","","","1"
"Yes","2001","66 and older","Urban Area","17","","","","1"
"Yes","2001","35-65 y.","Rural Area","219","0.0494351278473553","0.042891682170936","0.0559785735237746","1"
"Yes","2001","35-65 y.","Urban Area","388","0.0501997346360989","0.0454368444060708","0.0549626248661269","1"
"No","2002","16-34 y.","Rural Area","1682","0.908448864784648","0.895310933324847","0.921586796244449","2"
"No","2002","16-34 y.","Urban Area","3256","0.917546461295191","0.908494635677982","0.926598286912399","2"
"No","2002","35-65 y.","Rural Area","3580","0.966589251264188","0.960825237369618","0.972353265158759","2"
"No","2002","35-65 y.","Urban Area","6793","0.959970704009264","0.955405206652676","0.964536201365852","2"
"No","2002","66 and older","Rural Area","1136","0.997876441106095","0.995204258054702","1.00054862415749","2"
"No","2002","66 and older","Urban Area","2097","0.993198090723178","0.989693545262152","0.996702636184204","2"
"Yes","2002","16-34 y.","Rural Area","169","0.091551135215352","0.0784132037555511","0.104689066675153","1"
"Yes","2002","16-34 y.","Urban Area","291","0.0824535387048094","0.073401713087601","0.0915053643220178","1"
"Yes","2002","66 and older","Rural Area","4","","","","1"
"Yes","2002","66 and older","Urban Area","16","","","","1"
"Yes","2002","35-65 y.","Rural Area","154","0.0334107487358117","0.0276467348412415","0.0391747626303818","1"
"Yes","2002","35-65 y.","Urban Area","289","0.0400292959907362","0.035463798634148","0.0445947933473244","1"
"No","2003","16-34 y.","Rural Area","1538","0.888199578470733","0.873469140571858","0.902930016369608","2"
"No","2003","16-34 y.","Urban Area","3099","0.904389455418715","0.894522703228301","0.91425620760913","2"
"No","2003","35-65 y.","Rural Area","3341","0.943660049526485","0.936083680250636","0.951236418802334","2"
"No","2003","35-65 y.","Urban Area","6467","0.954467877689152","0.949514817202367","0.959420938175936","2"
"No","2003","66 and older","Rural Area","1154","0.994853320474716","0.990733773465111","0.99897286748432","2"
"No","2003","66 and older","Urban Area","2117","0.995653504286281","0.992859789731199","0.998447218841363","2"
"Yes","2003","16-34 y.","Rural Area","220","0.111800421529267","0.0970699836303919","0.126530859428142","1"
"Yes","2003","16-34 y.","Urban Area","313","0.0956105445812847","0.08574379239087","0.105477296771699","1"
"Yes","2003","66 and older","Rural Area","5","","","","1"
"Yes","2003","66 and older","Urban Area","13","","","","1"
"Yes","2003","35-65 y.","Rural Area","217","0.0563399504735152","0.0487635811976663","0.0639163197493642","1"
"Yes","2003","35-65 y.","Urban Area","338","0.0455321223108483","0.0405790618240641","0.0504851827976326","1"
"No","2004","16-34 y.","Rural Area","1638","0.883166208749452","0.86857984228672","0.897752575212183","2"
"No","2004","16-34 y.","Urban Area","3333","0.896594631251142","0.886809960151839","0.906379302350446","2"
"No","2004","35-65 y.","Rural Area","3752","0.943512105650346","0.936355082065647","0.950669129235045","2"
"No","2004","35-65 y.","Urban Area","7766","0.949021418718499","0.94426388423753","0.953778953199468","2"
"No","2004","66 and older","Rural Area","1270","0.985501767262044","0.978983936622846","0.992019597901242","2"
"No","2004","66 and older","Urban Area","2479","0.990108457637558","0.986235366488635","0.993981548786482","2"
"Yes","2004","16-34 y.","Rural Area","225","0.116833791250548","0.102247424787817","0.13142015771328","1"
"Yes","2004","16-34 y.","Urban Area","387","0.103405368748858","0.0936206976495538","0.113190039848161","1"
"Yes","2004","66 and older","Rural Area","22","","","","1"
"Yes","2004","66 and older","Urban Area","29","","","","1"
"Yes","2004","35-65 y.","Rural Area","245","0.0564878943496541","0.0493308707649551","0.0636449179343532","1"
"Yes","2004","35-65 y.","Urban Area","445","0.0509785812815007","0.0462210468005316","0.0557361157624698","1"
"No","2005","16-34 y.","Rural Area","1576","0.909481418571176","0.89599601074626","0.922966826396092","2"
"No","2005","16-34 y.","Urban Area","3155","0.901984034478757","0.892174009838443","0.911794059119072","2"
"No","2005","35-65 y.","Rural Area","3561","0.943075033807168","0.935688737840576","0.950461329773759","2"
"No","2005","35-65 y.","Urban Area","7379","0.953769985153366","0.949090157609435","0.958449812697296","2"
"No","2005","66 and older","Rural Area","1254","0.98679029301885","0.980518482695378","0.993062103342321","2"
"No","2005","66 and older","Urban Area","2482","0.982550905992397","0.977443723562709","0.987658088422084","2"
"Yes","2005","16-34 y.","Rural Area","163","0.0905185814288239","0.0770331736039078","0.10400398925374","1"
"Yes","2005","16-34 y.","Urban Area","374","0.0980159655212429","0.0882059408809283","0.107825990161557","1"
"Yes","2005","66 and older","Rural Area","19","","","","1"
"Yes","2005","66 and older","Urban Area","43","0.0174490940076034","0.0123419115779156","0.0225562764372911","1"
"Yes","2005","35-65 y.","Rural Area","219","0.0569249661928323","0.0495386702262407","0.0643112621594239","1"
"Yes","2005","35-65 y.","Urban Area","355","0.0462300148466342","0.0415501873027036","0.0509098423905649","1"
"No","2006","35-65 y.","Rural Area","3914","0.949791444614874","0.943125765342132","0.956457123887616","2"
"No","2006","35-65 y.","Urban Area","7896","0.959331693739341","0.955066910878388","0.963596476600295","2"
"No","2006","16-34 y.","Rural Area","1566","0.924796723437359","0.912304557815022","0.937288889059696","2"
"No","2006","16-34 y.","Urban Area","3080","0.909168188585691","0.899478828441823","0.918857548729559","2"
"No","2006","66 and older","Rural Area","1514","0.988205150652378","0.982800759563232","0.993609541741523","2"
"No","2006","66 and older","Urban Area","2905","0.992004861434576","0.988780749735167","0.995228973133984","2"
"Yes","2006","16-34 y.","Rural Area","146","0.0752032765626416","0.0627111109403046","0.0876954421849786","1"
"Yes","2006","66 and older","Rural Area","19","","","","1"
"Yes","2006","16-34 y.","Urban Area","299","0.0908318114143085","0.0811424512704406","0.100521171558176","1"
"Yes","2006","66 and older","Urban Area","26","","","","1"
"Yes","2006","35-65 y.","Rural Area","209","0.0502085553851264","0.0435428761123844","0.0568742346578684","1"
"Yes","2006","35-65 y.","Urban Area","344","0.0406683062606586","0.0364035233997051","0.0449330891216121","1"
"No","2007","35-65 y.","Rural Area","3611","0.940878039783204","0.933408569865347","0.948347509701061","2"
"No","2007","35-65 y.","Urban Area","7220","0.954217647198427","0.949507073349423","0.958928221047432","2"
"No","2007","16-34 y.","Rural Area","1412","0.888638526792736","0.873146774104866","0.904130279480605","2"
"No","2007","16-34 y.","Urban Area","2795","0.911780630881089","0.901749836275314","0.921811425486864","2"
"No","2007","66 and older","Rural Area","1461","0.982685773956113","0.976069293055548","0.989302254856677","2"
"No","2007","66 and older","Urban Area","2826","0.985238977797675","0.980824663477465","0.989653292117885","2"
"Yes","2007","16-34 y.","Rural Area","172","0.111361473207264","0.0958697205193946","0.126853225895134","1"
"Yes","2007","66 and older","Rural Area","32","0.0173142260438872","0.010697745143323","0.0239307069444514","1"
"Yes","2007","16-34 y.","Urban Area","276","0.088219369118911","0.0781885745131361","0.0982501637246859","1"
"Yes","2007","66 and older","Urban Area","41","0.0147610222023255","0.0103467078821155","0.0191753365225355","1"
"Yes","2007","35-65 y.","Rural Area","219","0.0591219602167961","0.0516524902989391","0.0665914301346531","1"
"Yes","2007","35-65 y.","Urban Area","343","0.0457823528015726","0.0410717789525684","0.0504929266505768","1"
"No","2008","35-65 y.","Rural Area","3439","0.948513882798124","0.941312087830541","0.955715677765707","2"
"No","2008","35-65 y.","Urban Area","6735","0.956394271238141","0.95162965101387","0.961158891462413","2"
"No","2008","16-34 y.","Rural Area","1321","0.905189563344727","0.890188324664468","0.920190802024987","2"
"No","2008","16-34 y.","Urban Area","2626","0.915232860517148","0.905100651521011","0.925365069513284","2"
"No","2008","66 and older","Rural Area","1453","0.986434553082758","0.980543109093847","0.992325997071669","2"
"No","2008","66 and older","Urban Area","2841","0.991799527751566","0.988500100760399","0.995098954742734","2"
"Yes","2008","16-34 y.","Rural Area","144","0.0948104366552726","0.0798091979750126","0.109811675335533","1"
"Yes","2008","16-34 y.","Urban Area","277","0.0847671394828522","0.0746349304867158","0.0948993484789885","1"
"Yes","2008","66 and older","Rural Area","28","","","","1"
"Yes","2008","66 and older","Urban Area","29","","","","1"
"Yes","2008","35-65 y.","Rural Area","178","0.0514861172018759","0.0442843222342931","0.0586879121694588","1"
"Yes","2008","35-65 y.","Urban Area","322","0.0436057287618586","0.0388411085375876","0.0483703489861297","1"
"No","2009","35-65 y.","Rural Area","3318","0.954240854270127","0.947273112896045","0.961208595644209","2"
"No","2009","35-65 y.","Urban Area","6201","0.961572225308296","0.956877772101353","0.966266678515239","2"
"No","2009","16-34 y.","Rural Area","1234","0.912896545566","0.897848829514286","0.927944261617714","2"
"No","2009","16-34 y.","Urban Area","2434","0.922135882126575","0.911929889614853","0.932341874638298","2"
"No","2009","66 and older","Rural Area","1435","0.989989988724337","0.984864366630093","0.995115610818581","2"
"No","2009","66 and older","Urban Area","2737","0.989133027724583","0.985269325620836","0.992996729828329","2"
"Yes","2009","16-34 y.","Rural Area","115","0.087103454434","0.0720557383822862","0.102151170485714","1"
"Yes","2009","16-34 y.","Urban Area","214","0.0778641178734249","0.0676581253617025","0.0880701103851474","1"
"Yes","2009","66 and older","Rural Area","14","","","","1"
"Yes","2009","66 and older","Urban Area","29","","","","1"
"Yes","2009","35-65 y.","Rural Area","137","0.0457591457298726","0.0387914043557907","0.0527268871039546","1"
"Yes","2009","35-65 y.","Urban Area","240","0.0384277746917042","0.0337333214847612","0.0431222278986472","1"
"No","2010","35-65 y.","Rural Area","3009","0.974366186286574","0.968823378570187","0.979908994002961","2"
"No","2010","35-65 y.","Urban Area","5768","0.970309693007013","0.966000222356611","0.974619163657416","2"
"No","2010","16-34 y.","Rural Area","1076","0.90725292702324","0.890645644251568","0.923860209794913","2"
"No","2010","16-34 y.","Urban Area","2216","0.924363934609332","0.913820415569848","0.934907453648816","2"
"No","2010","66 and older","Rural Area","1364","0.983714963800299","0.977037100096052","0.990392827504546","2"
"No","2010","66 and older","Urban Area","2646","0.984499305602336","0.979822342129084","0.989176269075588","2"
"Yes","2010","16-34 y.","Rural Area","96","0.0927470729767595","0.0761397902050873","0.109354355748432","1"
"Yes","2010","16-34 y.","Urban Area","200","0.0756360653906682","0.0650925463511842","0.0861795844301522","1"
"Yes","2010","66 and older","Rural Area","16","","","","1"
"Yes","2010","66 and older","Urban Area","34","0.015500694397664","0.0108237309244117","0.0201776578709164","1"
"Yes","2010","35-65 y.","Rural Area","114","0.0256338137134261","0.0200910059970388","0.0311766214298134","1"
"Yes","2010","35-65 y.","Urban Area","191","0.0296903069929868","0.0253808363425844","0.0339997776433891","1"
"No","2011","35-65 y.","Rural Area","3882","0.95074730125855","0.9441048970204","0.9573897054967","2"
