"ple0160","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","no migration background","9","","",""
"Yes","1999","Schleswig-Holstein","direct migration background","","","",""
"Yes","1999","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1999","Hamburg","no migration background","2","","",""
"Yes","1999","Hamburg","direct migration background","1","","",""
"Yes","1999","Hamburg","indirect migration background","1","","",""
"Yes","1999","Lower Saxony","no migration background","65","0.0585320016450108","0.0435651085697708","0.0734988947202508"
"Yes","1999","Lower Saxony","direct migration background","7","","",""
"Yes","1999","Lower Saxony","indirect migration background","4","","",""
"Yes","1999","Bremen","no migration background","6","","",""
"Yes","1999","Bremen","direct migration background","","","",""
"Yes","1999","Bremen","indirect migration background","","","",""
"Yes","1999","North Rhine-Westphalia","no migration background","104","0.05123894049351","0.041524815438182","0.0609530655488379"
"Yes","1999","North Rhine-Westphalia","direct migration background","15","","",""
"Yes","1999","North Rhine-Westphalia","indirect migration background","11","","",""
"Yes","1999","Hesse","no migration background","36","0.0451189890133456","0.0286338067530837","0.0616041712736075"
"Yes","1999","Hesse","direct migration background","3","","",""
"Yes","1999","Hesse","indirect migration background","2","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","no migration background","29","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Yes","1999","Baden-Württemberg","no migration background","55","0.0510711525635956","0.0375479717075346","0.0645943334196567"
"Yes","1999","Baden-Württemberg","direct migration background","19","","",""
"Yes","1999","Baden-Württemberg","indirect migration background","11","","",""
"Yes","1999","Bavaria","no migration background","78","0.039928667362236","0.0296506141224758","0.0502067206019962"
"Yes","1999","Bavaria","direct migration background","6","","",""
"Yes","1999","Bavaria","indirect migration background","3","","",""
"Yes","1999","Berlin","no migration background","20","","",""
"Yes","1999","Berlin","direct migration background","1","","",""
"Yes","1999","Berlin","indirect migration background","1","","",""
"Yes","1999","Brandenburg","no migration background","43","0.0898013702593231","0.0666140138306455","0.112988726688001"
"Yes","1999","Brandenburg","direct migration background","1","","",""
"Yes","1999","Brandenburg","indirect migration background","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","no migration background","19","","",""
"Yes","1999","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","1999","Saxony","no migration background","62","0.0568617148671338","0.0432871832558172","0.0704362464784504"
"Yes","1999","Saxony","direct migration background","1","","",""
"Yes","1999","Saxony","indirect migration background","","","",""
"Yes","1999","Saxony-Anhalt","no migration background","41","0.0670329674712485","0.0479395901401183","0.0861263448023787"
"Yes","1999","Saxony-Anhalt","direct migration background","","","",""
"Yes","1999","Saxony-Anhalt","indirect migration background","2","","",""
"Yes","1999","Thuringia","no migration background","31","0.034222299661105","0.0207062782738734","0.0477383210483365"
"Yes","1999","Thuringia","direct migration background","","","",""
"Yes","1999","Thuringia","indirect migration background","","","",""
"No","1999","Schleswig-Holstein","no migration background","285","0.965722033670091","0.944924682749441","0.986519384590741"
"No","1999","Schleswig-Holstein","direct migration background","27","","",""
"No","1999","Schleswig-Holstein","indirect migration background","6","","",""
"No","1999","Hamburg","no migration background","104","0.993946882022059","0.979180764672855","1.00871299937126"
"No","1999","Hamburg","direct migration background","20","","",""
"No","1999","Hamburg","indirect migration background","10","","",""
"No","1999","Lower Saxony","no migration background","880","0.941467998354989","0.926501105279749","0.956434891430229"
"No","1999","Lower Saxony","direct migration background","171","0.97076067863578","0.946010529371058","0.995510827900501"
"No","1999","Lower Saxony","indirect migration background","47","0.925237570202641","0.853055167107324","0.997419973297957"
"No","1999","Bremen","no migration background","64","0.911197936721627","0.844560702539642","0.977835170903612"
"No","1999","Bremen","direct migration background","14","","",""
"No","1999","Bremen","indirect migration background","4","","",""
"No","1999","North Rhine-Westphalia","no migration background","1875","0.94876105950649","0.939046934451162","0.958475184561818"
"No","1999","North Rhine-Westphalia","direct migration background","549","0.976419974447249","0.96389724487016","0.988942704024339"
"No","1999","North Rhine-Westphalia","indirect migration background","158","0.939215471823557","0.903192139649951","0.975238803997163"
"No","1999","Hesse","no migration background","573","0.954881010986654","0.938395828726393","0.971366193246916"
"No","1999","Hesse","direct migration background","225","0.988104143615264","0.974031364081702","1.00217692314883"
"No","1999","Hesse","indirect migration background","57","0.895385414395216","0.81729041740265","0.973480411387783"
"No","1999","Rhineland-Palatinate,Saarland","no migration background","575","0.959748769662085","0.944074114920157","0.975423424404014"
"No","1999","Rhineland-Palatinate,Saarland","direct migration background","147","0.991965465778911","0.977678793243698","1.00625213831412"
"No","1999","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"No","1999","Baden-Württemberg","no migration background","963","0.948928847436404","0.935405666580343","0.962452028292465"
"No","1999","Baden-Württemberg","direct migration background","539","0.981794572845433","0.970701758570818","0.992887387120048"
"No","1999","Baden-Württemberg","indirect migration background","153","0.933558326439622","0.895441461180508","0.971675191698736"
"No","1999","Bavaria","no migration background","1316","0.960071332637764","0.949793279398004","0.970349385877524"
"No","1999","Bavaria","direct migration background","315","0.9876648896098","0.97559031323916","0.99973946598044"
"No","1999","Bavaria","indirect migration background","82","0.944977831385294","0.896502778667676","0.993452884102913"
"No","1999","Berlin","no migration background","424","0.952359019602004","0.932546153674839","0.972171885529168"
"No","1999","Berlin","direct migration background","47","0.983221759191083","0.946886653771979","1.01955686461019"
"No","1999","Berlin","indirect migration background","21","","",""
"No","1999","Brandenburg","no migration background","541","0.910198629740677","0.887011273311999","0.933385986169355"
"No","1999","Brandenburg","direct migration background","14","","",""
"No","1999","Brandenburg","indirect migration background","3","","",""
"No","1999","Mecklenburg-Western Pomerania","no migration background","373","0.941596813386313","0.918382501256558","0.964811125516069"
"No","1999","Mecklenburg-Western Pomerania","direct migration background","8","","",""
"No","1999","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1999","Saxony","no migration background","1056","0.943138285132866","0.92956375352155","0.956712816744183"
"No","1999","Saxony","direct migration background","32","0.984117827977199","0.941462860160957","1.02677279579344"
"No","1999","Saxony","indirect migration background","6","","",""
"No","1999","Saxony-Anhalt","no migration background","618","0.932967032528751","0.913873655197621","0.952060409859882"
"No","1999","Saxony-Anhalt","direct migration background","28","","",""
"No","1999","Saxony-Anhalt","indirect migration background","5","","",""
"No","1999","Thuringia","no migration background","664","0.965777700338895","0.952261678951664","0.979293721726127"
"No","1999","Thuringia","direct migration background","23","","",""
"No","1999","Thuringia","indirect migration background","4","","",""
"Yes","2000","Schleswig-Holstein","no migration background","35","0.0551220472460296","0.0373993873983337","0.0728447070937256"
"Yes","2000","Schleswig-Holstein","direct migration background","2","","",""
"Yes","2000","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2000","Hamburg","no migration background","20","","",""
"Yes","2000","Hamburg","direct migration background","3","","",""
"Yes","2000","Hamburg","indirect migration background","2","","",""
"Yes","2000","Lower Saxony","no migration background","107","0.0551945099395634","0.0444243769206333","0.0659646429584936"
"Yes","2000","Lower Saxony","direct migration background","19","","",""
"Yes","2000","Lower Saxony","indirect migration background","5","","",""
"Yes","2000","Bremen","no migration background","9","","",""
"Yes","2000","Bremen","direct migration background","1","","",""
"Yes","2000","Bremen","indirect migration background","","","",""
"Yes","2000","North Rhine-Westphalia","no migration background","257","0.060262984101661","0.0529193906203105","0.0676065775830115"
"Yes","2000","North Rhine-Westphalia","direct migration background","46","0.0599129198338733","0.0444079430246199","0.0754178966431266"
"Yes","2000","North Rhine-Westphalia","indirect migration background","24","","",""
"Yes","2000","Hesse","no migration background","65","0.0606647935890373","0.047367402840654","0.0739621843374205"
"Yes","2000","Hesse","direct migration background","16","","",""
"Yes","2000","Hesse","indirect migration background","5","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","no migration background","66","0.0592123860817854","0.0457685157051978","0.072656256458373"
"Yes","2000","Rhineland-Palatinate,Saarland","direct migration background","9","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"Yes","2000","Baden-Württemberg","no migration background","121","0.0569750175045841","0.0467288803038048","0.0672211547053634"
"Yes","2000","Baden-Württemberg","direct migration background","27","","",""
"Yes","2000","Baden-Württemberg","indirect migration background","15","","",""
"Yes","2000","Bavaria","no migration background","143","0.0456116799821285","0.0378946509972747","0.0533287089669822"
"Yes","2000","Bavaria","direct migration background","17","","",""
"Yes","2000","Bavaria","indirect migration background","7","","",""
"Yes","2000","Berlin","no migration background","56","0.0821891982736192","0.0620434715028665","0.102334925044372"
"Yes","2000","Berlin","direct migration background","2","","",""
"Yes","2000","Berlin","indirect migration background","2","","",""
"Yes","2000","Brandenburg","no migration background","67","0.0693753915744339","0.0535874125570028","0.0851633705918649"
"Yes","2000","Brandenburg","direct migration background","2","","",""
"Yes","2000","Brandenburg","indirect migration background","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","no migration background","47","0.0754356735133546","0.0532838887964516","0.0975874582302577"
"Yes","2000","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2000","Saxony","no migration background","119","0.0575622205341428","0.046618409637304","0.0685060314309815"
"Yes","2000","Saxony","direct migration background","2","","",""
"Yes","2000","Saxony","indirect migration background","","","",""
"Yes","2000","Saxony-Anhalt","no migration background","79","0.0695723588832428","0.0539124662635434","0.0852322515029421"
"Yes","2000","Saxony-Anhalt","direct migration background","2","","",""
"Yes","2000","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2000","Thuringia","no migration background","56","0.0481913041083287","0.0351118790964752","0.0612707291201821"
"Yes","2000","Thuringia","direct migration background","","","",""
"Yes","2000","Thuringia","indirect migration background","1","","",""
"No","2000","Schleswig-Holstein","no migration background","602","0.94487795275397","0.927155292906274","0.962600612601666"
"No","2000","Schleswig-Holstein","direct migration background","68","0.967247932702619","0.92555261043012","1.00894325497512"
"No","2000","Schleswig-Holstein","indirect migration background","7","","",""
"No","2000","Hamburg","no migration background","240","0.916186749922748","0.88250382779094","0.949869672054557"
"No","2000","Hamburg","direct migration background","28","","",""
"No","2000","Hamburg","indirect migration background","6","","",""
"No","2000","Lower Saxony","no migration background","1620","0.944805490060437","0.934035357041507","0.955575623079367"
"No","2000","Lower Saxony","direct migration background","227","0.936534911760384","0.906069295512473","0.967000528008295"
"No","2000","Lower Saxony","indirect migration background","56","0.909124821962337","0.836994550171847","0.981255093752827"
"No","2000","Bremen","no migration background","139","0.931418075340705","0.890699328978103","0.972136821703307"
"No","2000","Bremen","direct migration background","32","0.975117625881759","0.921972243981243","1.02826300778227"
"No","2000","Bremen","indirect migration background","6","","",""
"No","2000","North Rhine-Westphalia","no migration background","3777","0.939737015898339","0.932393422416988","0.947080609379689"
"No","2000","North Rhine-Westphalia","direct migration background","854","0.940087080166127","0.924582103356873","0.95559205697538"
"No","2000","North Rhine-Westphalia","indirect migration background","207","0.90664510843002","0.86912800488682","0.94416221197322"
"No","2000","Hesse","no migration background","1173","0.939335206410963","0.926037815662579","0.952632597159346"
"No","2000","Hesse","direct migration background","345","0.958515561930751","0.937945448808702","0.9790856750528"
"No","2000","Hesse","indirect migration background","79","0.934480905361055","0.881566050697406","0.987395760024703"
"No","2000","Rhineland-Palatinate,Saarland","no migration background","1118","0.940787613918215","0.927343743541627","0.954231484294802"
"No","2000","Rhineland-Palatinate,Saarland","direct migration background","231","0.963349827802426","0.939577457209986","0.987122198394865"
"No","2000","Rhineland-Palatinate,Saarland","indirect migration background","35","0.910993475862696","0.82274917849852","0.999237773226873"
"No","2000","Baden-Württemberg","no migration background","1845","0.943024982495416","0.932778845294637","0.953271119696195"
"No","2000","Baden-Württemberg","direct migration background","745","0.971428210989138","0.959676164146916","0.983180257831361"
"No","2000","Baden-Württemberg","indirect migration background","214","0.948247980862986","0.919556367982065","0.976939593743907"
"No","2000","Bavaria","no migration background","2665","0.954388320017872","0.946671291033018","0.962105349002725"
"No","2000","Bavaria","direct migration background","448","0.963102710126683","0.945968852606325","0.980236567647042"
"No","2000","Bavaria","indirect migration background","106","0.953105885173416","0.914126174060178","0.992085596286655"
"No","2000","Berlin","no migration background","658","0.917810801726381","0.897665074955628","0.937956528497133"
"No","2000","Berlin","direct migration background","78","0.953760649565844","0.907742552065107","0.999778747066582"
"No","2000","Berlin","indirect migration background","24","","",""
"No","2000","Brandenburg","no migration background","928","0.930624608425566","0.914836629408135","0.946412587442997"
"No","2000","Brandenburg","direct migration background","19","","",""
"No","2000","Brandenburg","indirect migration background","4","","",""
"No","2000","Mecklenburg-Western Pomerania","no migration background","499","0.924564326486645","0.902412541769742","0.946716111203548"
"No","2000","Mecklenburg-Western Pomerania","direct migration background","19","","",""
"No","2000","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2000","Saxony","no migration background","1621","0.942437779465857","0.931493968569019","0.953381590362696"
"No","2000","Saxony","direct migration background","37","0.949702348193241","0.881108779479702","1.01829591690678"
"No","2000","Saxony","indirect migration background","7","","",""
"No","2000","Saxony-Anhalt","no migration background","935","0.930427641116757","0.914767748497058","0.946087533736457"
"No","2000","Saxony-Anhalt","direct migration background","37","0.957730011438283","0.894582912831121","1.02087711004545"
"No","2000","Saxony-Anhalt","indirect migration background","7","","",""
"No","2000","Thuringia","no migration background","974","0.951808695891671","0.938729270879818","0.964888120903525"
"No","2000","Thuringia","direct migration background","23","","",""
"No","2000","Thuringia","indirect migration background","4","","",""
"Yes","2001","Schleswig-Holstein","no migration background","38","0.0695691140772762","0.0488458049745367","0.0902924231800158"
"Yes","2001","Schleswig-Holstein","direct migration background","4","","",""
"Yes","2001","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2001","Hamburg","no migration background","17","","",""
"Yes","2001","Hamburg","direct migration background","1","","",""
"Yes","2001","Hamburg","indirect migration background","2","","",""
"Yes","2001","Lower Saxony","no migration background","85","0.0495960293948959","0.0388737927682708","0.0603182660215211"
"Yes","2001","Lower Saxony","direct migration background","17","","",""
"Yes","2001","Lower Saxony","indirect migration background","6","","",""
"Yes","2001","Bremen","no migration background","5","","",""
"Yes","2001","Bremen","direct migration background","2","","",""
"Yes","2001","Bremen","indirect migration background","1","","",""
"Yes","2001","North Rhine-Westphalia","no migration background","231","0.0636108870442098","0.0556780221561783","0.0715437519322414"
"Yes","2001","North Rhine-Westphalia","direct migration background","41","0.0550409399324678","0.0391878492378496","0.070894030627086"
"Yes","2001","North Rhine-Westphalia","indirect migration background","15","","",""
"Yes","2001","Hesse","no migration background","65","0.0609548267638514","0.0468739528072423","0.0750357007204605"
"Yes","2001","Hesse","direct migration background","7","","",""
"Yes","2001","Hesse","indirect migration background","3","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","no migration background","38","0.0400370374968023","0.0284463965944958","0.0516276783991089"
"Yes","2001","Rhineland-Palatinate,Saarland","direct migration background","14","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Yes","2001","Baden-Württemberg","no migration background","117","0.0596660239482686","0.0485967334647552","0.0707353144317819"
"Yes","2001","Baden-Württemberg","direct migration background","24","","",""
"Yes","2001","Baden-Württemberg","indirect migration background","14","","",""
"Yes","2001","Bavaria","no migration background","119","0.0450783857259795","0.0369729844074242","0.0531837870445348"
"Yes","2001","Bavaria","direct migration background","21","","",""
"Yes","2001","Bavaria","indirect migration background","8","","",""
"Yes","2001","Berlin","no migration background","62","0.0869688864697192","0.0660341154694394","0.107903657469999"
"Yes","2001","Berlin","direct migration background","8","","",""
"Yes","2001","Berlin","indirect migration background","2","","",""
"Yes","2001","Brandenburg","no migration background","63","0.0656652725172198","0.0498476298364438","0.0814829151979957"
"Yes","2001","Brandenburg","direct migration background","1","","",""
"Yes","2001","Brandenburg","indirect migration background","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","no migration background","45","0.0733820152044669","0.0505255920128321","0.0962384383961018"
"Yes","2001","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2001","Saxony","no migration background","113","0.0573426805773031","0.0459824803394424","0.0687028808151637"
"Yes","2001","Saxony","direct migration background","1","","",""
"Yes","2001","Saxony","indirect migration background","","","",""
"Yes","2001","Saxony-Anhalt","no migration background","59","0.0665682851973722","0.0508407960024578","0.0822957743922867"
"Yes","2001","Saxony-Anhalt","direct migration background","2","","",""
"Yes","2001","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2001","Thuringia","no migration background","86","0.0775364180182261","0.0605120341174876","0.0945608019189646"
"Yes","2001","Thuringia","direct migration background","1","","",""
"Yes","2001","Thuringia","indirect migration background","2","","",""
"No","2001","Schleswig-Holstein","no migration background","541","0.930430885922724","0.909707576819984","0.951154195025463"
"No","2001","Schleswig-Holstein","direct migration background","59","0.966090336291681","0.921396418416445","1.01078425416692"
"No","2001","Schleswig-Holstein","indirect migration background","9","","",""
"No","2001","Hamburg","no migration background","221","0.94582035696406","0.917060811972851","0.974579901955269"
"No","2001","Hamburg","direct migration background","24","","",""
"No","2001","Hamburg","indirect migration background","8","","",""
"No","2001","Lower Saxony","no migration background","1490","0.950403970605104","0.939681733978479","0.961126207231729"
"No","2001","Lower Saxony","direct migration background","214","0.933835236637276","0.901780618209364","0.965889855065188"
"No","2001","Lower Saxony","indirect migration background","47","0.88967509170147","0.805329447478979","0.97402073592396"
"No","2001","Bremen","no migration background","120","0.97586493931979","0.948961231390698","1.00276864724888"
"No","2001","Bremen","direct migration background","25","","",""
"No","2001","Bremen","indirect migration background","5","","",""
"No","2001","North Rhine-Westphalia","no migration background","3405","0.93638911295579","0.928456248067759","0.944321977843822"
"No","2001","North Rhine-Westphalia","direct migration background","754","0.944959060067532","0.929105969372914","0.96081215076215"
"No","2001","North Rhine-Westphalia","indirect migration background","214","0.948309449367334","0.919633951418578","0.976984947316091"
"No","2001","Hesse","no migration background","1044","0.939045173236149","0.924964299279539","0.953126047192758"
"No","2001","Hesse","direct migration background","297","0.981982169341722","0.967029650764686","0.996934687918757"
"No","2001","Hesse","indirect migration background","72","0.969071920886484","0.929891243684519","1.00825259808845"
"No","2001","Rhineland-Palatinate,Saarland","no migration background","1061","0.959962962503198","0.948372321600891","0.971553603405504"
"No","2001","Rhineland-Palatinate,Saarland","direct migration background","206","0.944333804925227","0.914037107644428","0.974630502206026"
"No","2001","Rhineland-Palatinate,Saarland","indirect migration background","29","","",""
"No","2001","Baden-Württemberg","no migration background","1642","0.940333976051731","0.929264685568218","0.951403266535245"
"No","2001","Baden-Württemberg","direct migration background","640","0.942064879467274","0.924295370968273","0.959834387966275"
"No","2001","Baden-Württemberg","indirect migration background","183","0.926738352082817","0.890352555462383","0.96312414870325"
"No","2001","Bavaria","no migration background","2398","0.954921614274021","0.946816212955465","0.963027015592576"
"No","2001","Bavaria","direct migration background","401","0.946181209754367","0.924651112540705","0.967711306968029"
"No","2001","Bavaria","indirect migration background","104","0.947440328089796","0.906112618617564","0.988768037562027"
"No","2001","Berlin","no migration background","634","0.913031113530281","0.892096342530001","0.933965884530561"
"No","2001","Berlin","direct migration background","60","0.828023860882642","0.738332800613604","0.917714921151679"
"No","2001","Berlin","indirect migration background","28","","",""
"No","2001","Brandenburg","no migration background","879","0.93433472748278","0.918517084802004","0.950152370163556"
"No","2001","Brandenburg","direct migration background","16","","",""
"No","2001","Brandenburg","indirect migration background","3","","",""
"No","2001","Mecklenburg-Western Pomerania","no migration background","455","0.926617984795533","0.903761561603898","0.949474407987168"
