"ple0160","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","West Germany","9453","0.956686511995631","0.952684145531726","0.960688878459537","2"
"No","1999","East Germany","3589","0.939854520385971","0.93229610127462","0.947412939497323","2"
"Yes","1999","West Germany","484","0.0433134880043685","0.0393111215404635","0.0473158544682736","1"
"Yes","1999","East Germany","212","0.0601454796140287","0.0525870605026775","0.0677038987253799","1"
"No","2000","West Germany","17294","0.944580379515646","0.941269431942486","0.947891327088805","2"
"No","2000","East Germany","5454","0.934178961810456","0.927832794931847","0.940525128689065","2"
"Yes","2000","West Germany","1050","0.0554196204843545","0.0521086729111949","0.058730568057514","1"
"Yes","2000","East Germany","411","0.0658210381895438","0.059474871310935","0.0721672050681526","1"
"No","2001","West Germany","15611","0.943958267828586","0.940453917569019","0.947462618088154","2"
"No","2001","East Germany","5051","0.931370014082009","0.924662073689451","0.938077954474567","2"
"Yes","2001","West Germany","937","0.0560417321714139","0.0525373819118464","0.0595460824309814","1"
"Yes","2001","East Germany","406","0.068629985917991","0.0619220455254331","0.0753379263105489","1"
"No","2002","West Germany","13761","0.956529790453679","0.95320526829776","0.959854312609598","2"
"No","2002","East Germany","4783","0.959362553979204","0.953897842887033","0.964827265071376","2"
"Yes","2002","West Germany","691","0.043470209546321","0.0401456873904023","0.0467947317022396","1"
"Yes","2002","East Germany","232","0.0406374460207956","0.0351727349286244","0.0461021571129668","1"
"No","2003","West Germany","13118","0.949953342593515","0.946327407620909","0.953579277566122","2"
"No","2003","East Germany","4598","0.939553795311508","0.932902198229907","0.946205392393109","2"
"Yes","2003","West Germany","773","0.0500466574064845","0.0464207224338784","0.0536725923790907","1"
"Yes","2003","East Germany","333","0.060446204688492","0.0537946076068907","0.0670978017700933","1"
"No","2004","West Germany","15422","0.946379255889334","0.942927166654684","0.949831345123983","2"
"No","2004","East Germany","4816","0.930041450511914","0.923130396705515","0.936952504318312","2"
"Yes","2004","West Germany","936","0.0536207441106664","0.0501686548760168","0.057072833345316","1"
"Yes","2004","East Germany","417","0.0699585494880864","0.0630474956816881","0.0768696032944846","1"
"No","2005","West Germany","14753","0.948083554062453","0.944599299743825","0.951567808381082","2"
"No","2005","East Germany","4654","0.937825252192165","0.931135438430775","0.944515065953556","2"
"Yes","2005","West Germany","822","0.0519164459375465","0.0484321916189182","0.0554007002561747","1"
"Yes","2005","East Germany","351","0.0621747478078346","0.0554849340464438","0.0688645615692253","1"
"No","2006","West Germany","15898","0.95541790907516","0.9522835216376","0.95855229651272","2"
"No","2006","East Germany","4977","0.948847796758266","0.94289581138872","0.954799782127812","2"
"Yes","2006","West Germany","757","0.0445820909248399","0.0414477034872795","0.0477164783624002","1"
"Yes","2006","East Germany","286","0.0511522032417341","0.0452002178721881","0.0571041886112801","1"
"No","2007","West Germany","14632","0.950181765390871","0.946748074673703","0.95361545610804","2"
"No","2007","East Germany","4693","0.935391669044323","0.928567394043564","0.942215944045082","2"
"Yes","2007","West Germany","791","0.0498182346091287","0.0463845438919599","0.0532519253262974","1"
"Yes","2007","East Germany","292","0.0646083309556769","0.0577840559549179","0.0714326059564359","1"
"No","2008","West Germany","13895","0.954523987801147","0.951145614831115","0.957902360771178","2"
