"ple0160","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","West Germany","140","0.0266327673655379","0.0217955701944324","0.0314699645366433"
"Yes","1999","lower secondary degree","East Germany","34","0.0257562268992","0.016999226032564","0.0345132277658359"
"Yes","1999","secondary school degree","West Germany","137","0.0575272637291701","0.0475920292787295","0.0674624981796106"
"Yes","1999","secondary school degree","East Germany","122","0.0871255180275762","0.0739198839081497","0.100331152147003"
"Yes","1999","college entrance qualification","West Germany","148","0.0780331956267177","0.065161154864467","0.0909052363889683"
"Yes","1999","college entrance qualification","East Germany","41","0.0656667135308555","0.0451879616308804","0.0861454654308307"
"Yes","1999","Other degree","West Germany","18","","",""
"Yes","1999","Other degree","East Germany","5","","",""
"Yes","1999","no degree/no degree yet","West Germany","15","","",""
"Yes","1999","no degree/no degree yet","East Germany","4","","",""
"No","1999","lower secondary degree","West Germany","4116","0.973367232634462","0.968530035463357","0.978204429805568"
"No","1999","lower secondary degree","East Germany","1223","0.9742437731008","0.965486772234164","0.983000773967436"
"No","1999","secondary school degree","West Germany","1973","0.94247273627083","0.932537501820389","0.95240797072127"
"No","1999","secondary school degree","East Germany","1630","0.912874481972424","0.899668847852997","0.92608011609185"
"No","1999","college entrance qualification","West Germany","1520","0.921966804373282","0.909094763611032","0.934838845135533"
"No","1999","college entrance qualification","East Germany","521","0.934333286469144","0.913854534569169","0.95481203836912"
"No","1999","Other degree","West Germany","872","0.982226421625044","0.973545889859417","0.99090695339067"
"No","1999","Other degree","East Germany","36","0.853433876862868","0.745176399743487","0.961691353982249"
"No","1999","no degree/no degree yet","West Germany","647","0.98248218245433","0.972488594543392","0.992475770365268"
"No","1999","no degree/no degree yet","East Germany","113","0.968303037201598","0.936558453782185","1.00004762062101"
"Yes","2000","lower secondary degree","West Germany","282","0.0324224974752425","0.0285593353103607","0.0362856596401243"
"Yes","2000","lower secondary degree","East Germany","48","0.0243795596368171","0.0174265863206147","0.0313325329530194"
"Yes","2000","secondary school degree","West Germany","327","0.0710688285895854","0.063390897061394","0.0787467601177768"
"Yes","2000","secondary school degree","East Germany","250","0.0933850068302347","0.0823811453997273","0.104388868260742"
"Yes","2000","college entrance qualification","West Germany","356","0.0959204740787827","0.0864343487277935","0.105406599429772"
"Yes","2000","college entrance qualification","East Germany","95","0.0870201824223822","0.0698896048984397","0.104150759946325"
"Yes","2000","Other degree","West Germany","64","0.049442946321159","0.0383227378546888","0.0605631547876292"
"Yes","2000","Other degree","East Germany","5","","",""
"Yes","2000","no degree/no degree yet","West Germany","17","","",""
"Yes","2000","no degree/no degree yet","East Germany","12","","",""
"No","2000","lower secondary degree","West Germany","7793","0.967577502524757","0.963714340359876","0.971440664689639"
"No","2000","lower secondary degree","East Germany","1842","0.975620440363183","0.968667467046981","0.982573413679385"
"No","2000","secondary school degree","West Germany","3975","0.928931171410415","0.921253239882223","0.936609102938606"
"No","2000","secondary school degree","East Germany","2436","0.906614993169765","0.895611131739258","0.917618854600273"
"No","2000","college entrance qualification","West Germany","3346","0.904079525921217","0.894593400570228","0.913565651272206"
"No","2000","college entrance qualification","East Germany","945","0.912979817577618","0.895849240053675","0.93011039510156"
"No","2000","Other degree","West Germany","1396","0.950557053678841","0.939436845212371","0.961677262145311"
"No","2000","Other degree","East Germany","78","0.946158722987019","0.89760207262861","0.994715373345428"
"No","2000","no degree/no degree yet","West Germany","740","0.977470349320186","0.966899030364277","0.988041668276094"
"No","2000","no degree/no degree yet","East Germany","150","0.933007021634747","0.894508178197312","0.971505865072182"
"Yes","2001","lower secondary degree","West Germany","262","0.036899724213625","0.0324970498927272","0.0413023985345229"
"Yes","2001","lower secondary degree","East Germany","42","0.0243634539126185","0.0170773170311626","0.0316495907940745"
"Yes","2001","secondary school degree","West Germany","275","0.0627036701771121","0.055151093637961","0.0702562467162633"
"Yes","2001","secondary school degree","East Germany","242","0.0984080382523055","0.0866872988076734","0.110128777696938"
"Yes","2001","college entrance qualification","West Germany","318","0.0943149360936188","0.0845539125598816","0.104075959627356"
"Yes","2001","college entrance qualification","East Germany","106","0.0891243862757025","0.0715177288438646","0.10673104370754"
"Yes","2001","Other degree","West Germany","54","0.0492855279661363","0.0376037095202459","0.0609673464120267"
"Yes","2001","Other degree","East Germany","1","","",""
"Yes","2001","no degree/no degree yet","West Germany","21","","",""
"Yes","2001","no degree/no degree yet","East Germany","10","","",""
"No","2001","lower secondary degree","West Germany","6781","0.963100275786375","0.958697601465477","0.967502950107273"
"No","2001","lower secondary degree","East Germany","1678","0.975636546087381","0.968350409205926","0.982922682968837"
"No","2001","secondary school degree","West Germany","3683","0.937296329822888","0.929743753283737","0.944848906362039"
"No","2001","secondary school degree","East Germany","2239","0.901591961747695","0.889871222303062","0.913312701192327"
"No","2001","college entrance qualification","West Germany","3126","0.905685063906381","0.895924040372644","0.915446087440118"
"No","2001","college entrance qualification","East Germany","900","0.910875613724298","0.89326895629246","0.928482271156135"
"No","2001","Other degree","West Germany","1265","0.950714472033864","0.939032653587973","0.962396290479754"
"No","2001","Other degree","East Germany","52","0.984916190758059","0.95210172709461","1.01773065442151"
"No","2001","no degree/no degree yet","West Germany","673","0.973195730027542","0.961179438812502","0.985212021242581"
"No","2001","no degree/no degree yet","East Germany","165","0.945318782168667","0.911633724184198","0.979003840153136"
"Yes","2002","lower secondary degree","West Germany","197","0.0291565948794353","0.0249585362200637","0.033354653538807"
"Yes","2002","lower secondary degree","East Germany","31","0.0154859624899724","0.00942440832360474","0.02154751665634"
"Yes","2002","secondary school degree","West Germany","217","0.0589999967389681","0.0512751188467854","0.0667248746311507"
"Yes","2002","secondary school degree","East Germany","143","0.0591274810679975","0.0494225842167766","0.0688323779192184"
"Yes","2002","college entrance qualification","West Germany","204","0.0682475523604835","0.0588820882786805","0.0776130164422865"
"Yes","2002","college entrance qualification","East Germany","51","0.0526767412670091","0.0381547992040998","0.0671986833299184"
"Yes","2002","Other degree","West Germany","42","0.0333666488042186","0.0231022950116936","0.0436310025967437"
"Yes","2002","Other degree","East Germany","","","",""
"Yes","2002","no degree/no degree yet","West Germany","18","","",""
"Yes","2002","no degree/no degree yet","East Germany","6","","",""
"No","2002","lower secondary degree","West Germany","5973","0.970843405120565","0.966645346461193","0.975041463779936"
"No","2002","lower secondary degree","East Germany","1563","0.984514037510028","0.97845248334366","0.990575591676395"
"No","2002","secondary school degree","West Germany","3357","0.941000003261032","0.933275125368849","0.948724881153215"
