"ple0160","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","(Married) couple without C. ","Rural Area","1324","0.957653409143777","0.947040109960699","0.968266708326856","2"
"No","1999","(Married) couple without C. ","Urban Area","2638","0.970283607457949","0.963938336295419","0.976628878620479","2"
"No","1999","1-pers.-HH","Rural Area","466","0.964434642912322","0.947985866466185","0.980883419358458","2"
"No","1999","1-pers.-HH","Urban Area","1158","0.961509792035792","0.950661369095266","0.972358214976319","2"
"No","1999","Couple + C. GT 16 ","Rural Area","860","0.943810843405591","0.928865035026805","0.958756651784377","2"
"No","1999","Couple + C. GT 16 ","Urban Area","1521","0.959526290977703","0.949842889390028","0.969209692565379","2"
"No","1999","Couple + C. LE 16 ","Rural Area","964","0.939349381857156","0.924793815015265","0.953904948699046","2"
"No","1999","Couple + C. LE 16 ","Urban Area","1866","0.929028234385758","0.917771848958606","0.94028461981291","2"
"No","1999","Couple + C. LE and GT 16","Rural Area","446","0.9576294502551","0.939457234354833","0.975801666155368","2"
"No","1999","Couple + C. LE and GT 16","Urban Area","655","0.940320460815144","0.922657653103034","0.957983268527254","2"
"No","1999","Single parent ","Rural Area","241","0.942642758982391","0.914269714929398","0.971015803035383","2"
"No","1999","Single parent ","Urban Area","437","0.946924810341506","0.926438077672738","0.967411543010275","2"
"Yes","1999","Couple + C. LE and GT 16","Rural Area","26","","","","1"
"Yes","1999","(Married) couple without C. ","Rural Area","59","0.0423465908562226","0.0317332916731439","0.0529598900393013","1"
"Yes","1999","(Married) couple without C. ","Urban Area","113","0.0297163925420507","0.0233711213795209","0.0360616637045805","1"
"Yes","1999","1-pers.-HH","Rural Area","21","","","","1"
"Yes","1999","Couple + C. GT 16 ","Rural Area","52","0.056189156594409","0.0412433482156228","0.0711349649731953","1"
"Yes","1999","Couple + C. LE and GT 16","Urban Area","36","0.0596795391848559","0.0420167314727461","0.0773423468969656","1"
"Yes","1999","1-pers.-HH","Urban Area","50","0.0384902079642078","0.0276417850236812","0.0493386309047343","1"
"Yes","1999","Couple + C. LE 16 ","Rural Area","69","0.0606506181428442","0.0460950513009536","0.0752061849847347","1"
"Yes","1999","Couple + C. GT 16 ","Urban Area","70","0.0404737090222965","0.0307903074346206","0.0501571106099724","1"
"Yes","1999","Couple + C. LE 16 ","Urban Area","133","0.0709717656142421","0.0597153801870904","0.0822281510413938","1"
"Yes","1999","Single parent ","Rural Area","17","","","","1"
"Yes","1999","Single parent ","Urban Area","23","","","","1"
"No","2000","(Married) couple without C. ","Rural Area","2389","0.954563480633561","0.946399856105257","0.962727105161866","2"
"No","2000","(Married) couple without C. ","Urban Area","4812","0.950864183103219","0.944916727697746","0.956811638508692","2"
"No","2000","1-pers.-HH","Rural Area","925","0.950552682740174","0.936972168723038","0.96413319675731","2"
"No","2000","1-pers.-HH","Urban Area","2245","0.946143503439916","0.937087857445426","0.955199149434406","2"
"No","2000","Couple + C. GT 16 ","Rural Area","1423","0.943887225083348","0.932321458821282","0.955452991345414","2"
"No","2000","Couple + C. GT 16 ","Urban Area","2282","0.93733668519201","0.927710524704884","0.946962845679136","2"
"No","2000","Couple + C. LE 16 ","Rural Area","1634","0.922250379941275","0.90980363552312","0.934697124359429","2"
"No","2000","Couple + C. LE 16 ","Urban Area","3224","0.923838576768911","0.91501415298826","0.932663000549562","2"
"No","2000","Couple + C. LE and GT 16","Rural Area","717","0.925673873100546","0.907218748373679","0.944128997827414","2"
"No","2000","Couple + C. LE and GT 16","Urban Area","1091","0.943636584531642","0.93038790372437","0.956885265338915","2"
"No","2000","Single parent ","Rural Area","373","0.974548536685366","0.958917999542402","0.99017907382833","2"
"No","2000","Single parent ","Urban Area","769","0.94418007345608","0.928418798976303","0.959941347935857","2"
"Yes","2000","Couple + C. LE and GT 16","Rural Area","59","0.0743261268994538","0.0558710021725864","0.0927812516263212","1"
"Yes","2000","(Married) couple without C. ","Rural Area","111","0.0454365193664385","0.0372728948381338","0.0536001438947431","1"
"Yes","2000","1-pers.-HH","Rural Area","54","0.0494473172598258","0.0358668032426895","0.063027831276962","1"
"Yes","2000","(Married) couple without C. ","Urban Area","262","0.0491358168967809","0.043188361491308","0.0550832723022538","1"
"Yes","2000","Couple + C. GT 16 ","Rural Area","98","0.0561127749166525","0.0445470086545866","0.0676785411787185","1"
"Yes","2000","1-pers.-HH","Urban Area","142","0.0538564965600843","0.0448008505655943","0.0629121425545744","1"
"Yes","2000","Couple + C. LE and GT 16","Urban Area","73","0.0563634154683575","0.0431147346610852","0.0696120962756298","1"
"Yes","2000","Couple + C. GT 16 ","Urban Area","153","0.0626633148079898","0.0530371543208641","0.0722894752951155","1"
"Yes","2000","Couple + C. LE 16 ","Rural Area","144","0.0777496200587255","0.0653028756405711","0.0901963644768798","1"
"Yes","2000","Couple + C. LE 16 ","Urban Area","247","0.0761614232310889","0.0673369994504378","0.08498584701174","1"
"Yes","2000","Single parent ","Rural Area","17","","","","1"
"Yes","2000","Single parent ","Urban Area","46","0.05581992654392","0.0400586520641434","0.0715812010236967","1"
"No","2001","Couple + C. GT 16 ","Rural Area","1308","0.931066319464452","0.917921877707806","0.944210761221099","2"
"No","2001","Couple + C. GT 16 ","Urban Area","2082","0.944525152465522","0.934979512378336","0.954070792552708","2"
"No","2001","Couple + C. LE 16 ","Rural Area","1451","0.921198349915152","0.907904865735265","0.934491834095039","2"
"No","2001","Couple + C. LE 16 ","Urban Area","2948","0.916430873678355","0.906822943329361","0.926038804027348","2"
"No","2001","Couple + C. LE and GT 16","Rural Area","628","0.917969036319416","0.897328730542832","0.938609342095999","2"
"No","2001","Couple + C. LE and GT 16","Urban Area","996","0.931682135383465","0.91655835841521","0.946805912351721","2"
