"ple0160","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","(0) in school","Male","4","","",""
"Yes","1999","(0) in school","Female","6","","",""
"Yes","1999","(1a) inadequately completed","Male","8","","",""
"Yes","1999","(1a) inadequately completed","Female","3","","",""
"Yes","1999","(1b) general elementary school","Male","26","","",""
"Yes","1999","(1b) general elementary school","Female","25","","",""
"Yes","1999","(1c) basic vocational qualification","Male","77","0.0282547737123537","0.0214413397316585","0.0350682076930488"
"Yes","1999","(1c) basic vocational qualification","Female","59","0.0316636916868372","0.0236322855778934","0.039695097795781"
"Yes","1999","(2b) intermediate general qualification","Male","26","","",""
"Yes","1999","(2b) intermediate general qualification","Female","21","","",""
"Yes","1999","(2a) intermediate vocational","Male","87","0.0679702898172064","0.0542459559861287","0.0816946236482841"
"Yes","1999","(2a) intermediate vocational","Female","101","0.0652498946850672","0.0530063753640935","0.077493414006041"
"Yes","1999","(2c_gen) general maturity certificate","Male","24","","",""
"Yes","1999","(2c_gen) general maturity certificate","Female","21","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","Male","24","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","Female","31","0.0696766597411719","0.0431919916769293","0.0961613278054145"
"Yes","1999","(3a) lower tertiary education","Male","23","","",""
"Yes","1999","(3a) lower tertiary education","Female","27","","",""
"Yes","1999","(3b) higher tertiary education","Male","42","0.0630944007612973","0.0437206489931517","0.0824681525294429"
"Yes","1999","(3b) higher tertiary education","Female","35","0.0883002180132725","0.0608362695117313","0.115764166514814"
"No","1999","(0) in school","Male","155","0.980948624331149","0.959699754771842","1.00219749389046"
"No","1999","(0) in school","Female","155","0.978421627924101","0.955977253053151","1.00086600279505"
"No","1999","(1a) inadequately completed","Male","191","0.946966545840811","0.915830473449218","0.978102618232405"
"No","1999","(1a) inadequately completed","Female","272","0.993531933259299","0.984057354603208","1.00300651191539"
"No","1999","(1b) general elementary school","Male","667","0.96981612853123","0.957077764777801","0.982554492284658"
"No","1999","(1b) general elementary school","Female","1236","0.985352870687543","0.978722120004464","0.991983621370623"
"No","1999","(1c) basic vocational qualification","Male","2195","0.971745226287646","0.964931792306951","0.978558660268341"
"No","1999","(1c) basic vocational qualification","Female","1767","0.968336308313163","0.960304902204219","0.976367714422107"
"No","1999","(2b) intermediate general qualification","Male","187","0.861198414084865","0.814767512781961","0.907629315387769"
"No","1999","(2b) intermediate general qualification","Female","302","0.953206814275957","0.930174811419857","0.976238817132056"
"No","1999","(2a) intermediate vocational","Male","1205","0.932029710182794","0.918305376351716","0.945754044013871"
"No","1999","(2a) intermediate vocational","Female","1462","0.934750105314933","0.922506585993959","0.946993624635907"
"No","1999","(2c_gen) general maturity certificate","Male","208","0.895568212239759","0.856215942177275","0.934920482302243"
"No","1999","(2c_gen) general maturity certificate","Female","226","0.934579191763497","0.903742653298048","0.965415730228946"
"No","1999","(2c_voc) vocational maturity certificate","Male","292","0.905726462304339","0.873508506581785","0.937944418026893"
"No","1999","(2c_voc) vocational maturity certificate","Female","324","0.930323340258828","0.903838672194585","0.956808008323071"
"No","1999","(3a) lower tertiary education","Male","456","0.954553640093842","0.935901440457021","0.973205839730663"
"No","1999","(3a) lower tertiary education","Female","447","0.957849533561917","0.939760775142295","0.975938291981539"
"No","1999","(3b) higher tertiary education","Male","563","0.936905599238703","0.917531847470557","0.956279351006848"
"No","1999","(3b) higher tertiary education","Female","375","0.911699781986728","0.884235833485186","0.939163730488269"
"Yes","2000","(0) in school","Male","6","","",""
"Yes","2000","(0) in school","Female","14","","",""
"Yes","2000","(1a) inadequately completed","Male","3","","",""
"Yes","2000","(1a) inadequately completed","Female","6","","",""
"Yes","2000","(1b) general elementary school","Male","38","0.040388357594226","0.0272991289711068","0.0534775862173451"
