"ple0160","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","(0) in school","in school","10","","",""
"Yes","1999","(0) in school","inadequately","","","",""
"Yes","1999","(0) in school","general elemantary","","","",""
"Yes","1999","(0) in school","middle vocational","","","",""
"Yes","1999","(0) in school","vocational + Abi","","","",""
"Yes","1999","(0) in school","higher vocational","","","",""
"Yes","1999","(0) in school","higher education","","","",""
"Yes","1999","(1a) inadequately completed","in school","1","","",""
"Yes","1999","(1a) inadequately completed","inadequately","7","","",""
"Yes","1999","(1a) inadequately completed","general elemantary","","","",""
"Yes","1999","(1a) inadequately completed","middle vocational","3","","",""
"Yes","1999","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","1999","(1a) inadequately completed","higher vocational","","","",""
"Yes","1999","(1a) inadequately completed","higher education","","","",""
"Yes","1999","(1b) general elementary school","in school","","","",""
"Yes","1999","(1b) general elementary school","inadequately","3","","",""
"Yes","1999","(1b) general elementary school","general elemantary","48","0.018491977593686","0.0124658810835393","0.0245180741038328"
"Yes","1999","(1b) general elementary school","middle vocational","","","",""
"Yes","1999","(1b) general elementary school","vocational + Abi","","","",""
"Yes","1999","(1b) general elementary school","higher vocational","","","",""
"Yes","1999","(1b) general elementary school","higher education","","","",""
"Yes","1999","(1c) basic vocational qualification","in school","","","",""
"Yes","1999","(1c) basic vocational qualification","inadequately","","","",""
"Yes","1999","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","1999","(1c) basic vocational qualification","middle vocational","124","0.0284555327534465","0.0231807847915016","0.0337302807153914"
"Yes","1999","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","1999","(1c) basic vocational qualification","higher vocational","12","","",""
"Yes","1999","(1c) basic vocational qualification","higher education","","","",""
"Yes","1999","(2b) intermediate general qualification","in school","","","",""
"Yes","1999","(2b) intermediate general qualification","inadequately","","","",""
"Yes","1999","(2b) intermediate general qualification","general elemantary","47","0.0812719012893412","0.0581390372312769","0.104404765347406"
"Yes","1999","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","1999","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","1999","(2b) intermediate general qualification","higher education","","","",""
"Yes","1999","(2a) intermediate vocational","in school","","","",""
"Yes","1999","(2a) intermediate vocational","inadequately","","","",""
"Yes","1999","(2a) intermediate vocational","general elemantary","","","",""
"Yes","1999","(2a) intermediate vocational","middle vocational","167","0.0680923705431994","0.0581961058383901","0.0779886352480087"
"Yes","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","1999","(2a) intermediate vocational","higher vocational","21","","",""
"Yes","1999","(2a) intermediate vocational","higher education","","","",""
"Yes","1999","(2c_gen) general maturity certificate","in school","","","",""
"Yes","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","1999","(2c_gen) general maturity certificate","middle vocational","45","0.0860214697179593","0.0609111778597007","0.111131761576218"
"Yes","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","1999","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","inadequately","","","",""
