"ple0160","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","higher vocational","East Germany","230","0.936839277788789","0.90637989226482","0.967298663312757","2"
"No","1999","in school","East Germany","100","0.933607356716088","0.885986680966448","0.981228032465728","2"
"No","1999","inadequately","West Germany","401","0.97958100589951","0.965891319098227","0.993270692700793","2"
"No","1999","in school","West Germany","210","0.983755482450556","0.966897010522377","1.00061395437873","2"
"No","1999","inadequately","East Germany","15","","","","2"
"No","1999","general elemantary","West Germany","2009","0.971553889400037","0.964416422155266","0.978691356644807","2"
"No","1999","higher education","East Germany","818","0.950456638961366","0.935953642110841","0.964959635811892","2"
"No","1999","higher vocational","West Germany","547","0.943128578247365","0.924247940185367","0.962009216309363","2"
"No","1999","higher education","West Germany","1023","0.935444405232319","0.920974884542411","0.949913925922226","2"
"No","1999","general elemantary","East Germany","352","0.945860657737925","0.922864954808652","0.968856360667198","2"
"No","1999","middle vocational","East Germany","1966","0.935290605474358","0.924730894887413","0.945850316061304","2"
"No","1999","vocational + Abi","West Germany","398","0.918442017559393","0.892692900885306","0.944191134233479","2"
"No","1999","vocational + Abi","East Germany","68","0.943561653521428","0.890983598901634","0.996139708141223","2"
"No","1999","middle vocational","West Germany","4639","0.959445190457692","0.953902848640216","0.964987532275167","2"
"Yes","1999","in school","West Germany","6","","","","1"
"Yes","1999","in school","East Germany","5","","","","1"
"Yes","1999","inadequately","West Germany","9","","","","1"
"Yes","1999","inadequately","East Germany","1","","","","1"
"Yes","1999","general elemantary","West Germany","75","0.0284461105999632","0.0213086433551927","0.0355835778447337","1"
"Yes","1999","general elemantary","East Germany","20","","","","1"
"Yes","1999","middle vocational","West Germany","227","0.0405548095423083","0.0350124677248329","0.0460971513597838","1"
"Yes","1999","middle vocational","East Germany","119","0.0647093945256416","0.0541496839386958","0.0752691051125874","1"
"Yes","1999","vocational + Abi","West Germany","36","0.0815579824406074","0.0558088657665206","0.107307099114694","1"
"Yes","1999","vocational + Abi","East Germany","6","","","","1"
"Yes","1999","higher vocational","West Germany","31","0.0568714217526351","0.0379907836906371","0.0757520598146332","1"
"Yes","1999","higher vocational","East Germany","15","","","","1"
"Yes","1999","higher education","West Germany","85","0.0645555947676814","0.0500860740777738","0.079025115457589","1"
"Yes","1999","higher education","East Germany","42","0.0495433610386336","0.035040364188108","0.0640463578891592","1"
"No","2000","inadequately","West Germany","375","0.979102724764337","0.964777294824872","0.993428154703802","2"
"No","2000","in school","East Germany","132","0.926287184502929","0.883459519218225","0.969114849787633","2"
"No","2000","higher vocational","East Germany","477","0.951424353641047","0.932711477744864","0.97013722953723","2"
"No","2000","higher vocational","West Germany","1296","0.938447718379967","0.925780999842878","0.951114436917056","2"
"No","2000","in school","West Germany","343","0.973343901452988","0.956516842820441","0.990170960085534","2"
"No","2000","inadequately","East Germany","19","","","","2"
"No","2000","general elemantary","West Germany","2933","0.967061455109573","0.960730577313102","0.973392332906044","2"
"No","2000","higher education","West Germany","2332","0.913090246211252","0.902139305454102","0.924041186968403","2"
"No","2000","higher education","East Germany","1199","0.94156100121284","0.928770356119598","0.954351646306081","2"
"No","2000","general elemantary","East Germany","488","0.957137651886548","0.93964443597449","0.974630867798605","2"
"No","2000","middle vocational","East Germany","3032","0.929475318025005","0.920689228751551","0.938261407298459","2"
"No","2000","vocational + Abi","West Germany","907","0.90487114410205","0.886704958938229","0.923037329265872","2"
"No","2000","vocational + Abi","East Germany","106","0.816069269749595","0.748151448729955","0.883987090769235","2"
"No","2000","middle vocational","West Germany","9076","0.949358507700105","0.944970784324755","0.953746231075456","2"
"Yes","2000","in school","West Germany","9","","","","1"
"Yes","2000","in school","East Germany","11","","","","1"
"Yes","2000","inadequately","West Germany","8","","","","1"
"Yes","2000","inadequately","East Germany","1","","","","1"
"Yes","2000","general elemantary","West Germany","120","0.032938544890427","0.0266076670939558","0.0392694226868982","1"
"Yes","2000","general elemantary","East Germany","27","","","","1"
"Yes","2000","middle vocational","West Germany","517","0.050641492299895","0.0462537689245445","0.0550292156752454","1"
"Yes","2000","middle vocational","East Germany","230","0.0705246819749948","0.0617385927015406","0.0793107712484491","1"
"Yes","2000","vocational + Abi","West Germany","95","0.0951288558979496","0.0769626707341276","0.113295041061772","1"
"Yes","2000","vocational + Abi","East Germany","19","","","","1"
"Yes","2000","higher vocational","West Germany","87","0.0615522816200327","0.0488855630829435","0.0742190001571218","1"
"Yes","2000","higher vocational","East Germany","30","0.0485756463589533","0.0298627704627701","0.0672885222551366","1"
"Yes","2000","higher education","West Germany","210","0.0869097537887476","0.075958813031597","0.0978606945458981","1"
"Yes","2000","higher education","East Germany","93","0.0584389987871604","0.045648353693919","0.0712296438804018","1"
"No","2001","in school","East Germany","147","0.936156719171735","0.897915639743041","0.97439779860043","2"
"No","2001","inadequately","West Germany","287","0.96102200770879","0.938973528734291","0.983070486683289","2"
"No","2001","inadequately","East Germany","15","","","","2"
"No","2001","higher vocational","West Germany","1161","0.945714824293605","0.933057561799505","0.958372086787705","2"
"No","2001","higher vocational","East Germany","414","0.93710933250258","0.914528245734565","0.959690419270595","2"
"No","2001","in school","West Germany","377","0.973512029359867","0.95755440290306","0.989469655816674","2"
"No","2001","general elemantary","West Germany","2542","0.961717913786025","0.954417973911762","0.969017853660288","2"
"No","2001","general elemantary","East Germany","438","0.965937193874301","0.949361037653005","0.982513350095596","2"
"No","2001","higher education","West Germany","2155","0.909107796703475","0.897450907232161","0.920764686174789","2"
"No","2001","higher education","East Germany","1131","0.931754673491866","0.917645126916096","0.945864220067636","2"
"No","2001","middle vocational","West Germany","8150","0.949772026798503","0.945159078420827","0.954384975176179","2"
"No","2001","middle vocational","East Germany","2784","0.927967467487269","0.91873581935814","0.937199115616398","2"
