"ple0160","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Employed","8222","0.938197252476233","0.93316249277339","0.943232012179076","2"
"No","1999","Not Employed","4820","0.97562735127921","0.971332036701399","0.97992266585702","2"
"Yes","1999","Employed","565","0.0618027475237669","0.0567679878209238","0.06683750722661","1"
"Yes","1999","Not Employed","131","0.0243726487207902","0.0200773341429795","0.0286679632986008","1"
"No","2000","Employed","13939","0.919955225191411","0.915636147243795","0.924274303139027","2"
"No","2000","Not Employed","8807","0.976472343901074","0.973348343139267","0.979596344662881","2"
"Yes","2000","Employed","1225","0.0800447748085891","0.0757256968609729","0.0843638527562053","1"
"Yes","2000","Not Employed","236","0.023527656098926","0.020403655337119","0.0266516568607331","1"
"No","2001","Employed","12748","0.918015630156306","0.913453619735973","0.922577640576638","2"
"No","2001","Not Employed","7914","0.977942127934066","0.97474620912767","0.981138046740462","2"
"Yes","2001","Employed","1144","0.0819843698436941","0.0774223594233616","0.0865463802640266","1"
"Yes","2001","Not Employed","199","0.022057872065934","0.0188619532595381","0.0252537908723299","1"
"No","2002","Employed","11338","0.936556719199173","0.932216870819577","0.940896567578769","2"
"No","2002","Not Employed","7206","0.986354119125422","0.983701464331216","0.989006773919628","2"
"Yes","2002","Employed","781","0.063443280800827","0.0591034324212311","0.067783129180423","1"
"Yes","2002","Not Employed","142","0.0136458808745779","0.0109932260803716","0.0162985356687843","1"
"No","2003","Employed","10615","0.924085092968415","0.919253928429081","0.928916257507749","2"
"No","2003","Not Employed","7101","0.980426528519147","0.977243480418625","0.983609576619669","2"
"Yes","2003","Employed","931","0.0759149070315851","0.0710837424922513","0.0807460715709189","1"
"Yes","2003","Not Employed","175","0.019573471480853","0.0163904233803311","0.022756519581375","1"
"No","2004","Employed","12328","0.92246199233854","0.917936982018808","0.926987002658272","2"
"No","2004","Not Employed","7910","0.972520184648001","0.968975805857575","0.976064563438428","2"
"Yes","2004","Employed","1091","0.0775380076614598","0.0730129973417281","0.0820630179811916","1"
"Yes","2004","Not Employed","262","0.0274798153519986","0.0239354365615722","0.031024194142425","1"
"No","2005","Employed","11830","0.930741946763016","0.926328714636549","0.935155178889484","2"
"No","2005","Not Employed","7577","0.968727611995083","0.964881229386758","0.972573994603407","2"
"Yes","2005","Employed","884","0.0692580532369836","0.0648448211105164","0.0736712853634509","1"
"Yes","2005","Not Employed","289","0.0312723880049175","0.0274260053965935","0.0351187706132416","1"
"No","2006","Employed","12580","0.938773028722956","0.934712248430918","0.942833809014995","2"
"No","2006","Not Employed","8295","0.976500773437573","0.973285724593907","0.979715822281239","2"
"Yes","2006","Employed","810","0.0612269712770436","0.057166190985005","0.0652877515690822","1"
"Yes","2006","Not Employed","233","0.0234992265624269","0.0202841777187606","0.0267142754060932","1"
"No","2007","Employed","11630","0.933830687820627","0.92946759291782","0.938193782723433","2"
"No","2007","Not Employed","7695","0.967305240200601","0.963393355590365","0.971217124810837","2"
"Yes","2007","Employed","839","0.0661693121793736","0.0618062172765666","0.0705324070821805","1"
"Yes","2007","Not Employed","244","0.0326947597993993","0.0287828751891632","0.0366066444096354","1"
"No","2008","Employed","11120","0.936965089007923","0.932599388808068","0.941330789207777","2"
"No","2008","Not Employed","7295","0.976671973505351","0.973253363665119","0.980090583345583","2"
"Yes","2008","Employed","784","0.0630349109920773","0.0586692107922231","0.0674006111919314","1"
"Yes","2008","Not Employed","194","0.023328026494649","0.0199094166544168","0.0267466363348812","1"
"No","2009","Employed","10613","0.940919149592903","0.936559404723297","0.945278894462509","2"
"No","2009","Not Employed","6746","0.982416001590448","0.9793087139987","0.985523289182195","2"
"Yes","2009","Employed","622","0.0590808504070966","0.0547211055374907","0.0634405952767024","1"
"Yes","2009","Not Employed","127","0.0175839984095523","0.0144767108178049","0.0206912860012996","1"
"No","2010","Employed","9834","0.953445889489636","0.949389372128551","0.957502406850721","2"
"No","2010","Not Employed","6245","0.979175443950621","0.975668210325288","0.982682677575954","2"
"Yes","2010","Employed","528","0.0465541105103637","0.0424975931492788","0.0506106278714487","1"
"Yes","2010","Not Employed","123","0.0208245560493789","0.0173173224240464","0.0243317896747115","1"
"No","2011","Employed","11917","0.940468400613361","0.936353999435919","0.944582801790803","2"
"No","2011","Not Employed","7897","0.969195087393989","0.965439611327142","0.972950563460836","2"
"Yes","2011","Employed","788","0.0595315993866386","0.0554171982091966","0.0636460005640805","1"
"Yes","2011","Not Employed","235","0.0308049126060111","0.0270494365391645","0.0345603886728576","1"
"No","2012","Employed","11918","0.952436073831393","0.948705459324364","0.956166688338421","2"
"No","2012","Not Employed","7875","0.975097083515231","0.971696385899007","0.978497781131455","2"
"Yes","2012","Employed","586","0.0475639261686074","0.0438333116615792","0.0512945406756355","1"
"Yes","2012","Not Employed","191","0.0249029164847689","0.0215022188685445","0.0283036141009933","1"
"No","2013","Employed","11218","0.968697581626584","0.965527361442833","0.971867801810334","2"
"No","2013","Not Employed","7260","0.98626466136801","0.983607421445115","0.988921901290905","2"
"Yes","2013","Employed","372","0.0313024183734163","0.0281321981896659","0.0344726385571666","1"
"Yes","2013","Not Employed","110","0.0137353386319902","0.0110780987090951","0.0163925785548853","1"
"No","2014","Employed","17096","0.963157175201747","0.960388975828024","0.965925374575471","2"
"No","2014","Not Employed","9192","0.982356167596181","0.979691759325589","0.985020575866774","2"
"Yes","2014","Employed","693","0.0368428247982527","0.0340746254245292","0.0396110241719762","1"
"Yes","2014","Not Employed","187","0.0176438324038186","0.0149794241332258","0.0203082406744113","1"
"No","2015","Employed","15976","0.962933196190246","0.960063269849202","0.965803122531291","2"
"No","2015","Not Employed","8321","0.981167401640685","0.978277448147107","0.984057355134263","2"
"Yes","2015","Employed","671","0.0370668038097538","0.0341968774687094","0.0399367301507983","1"
"Yes","2015","Not Employed","178","0.0188325983593151","0.0159426448657372","0.021722551852893","1"
"No","2016","Employed","15388","0.954021000475012","0.950789765759505","0.957252235190519","2"
"No","2016","Not Employed","7933","0.981623484184351","0.978701297986182","0.984545670382521","2"
"Yes","2016","Employed","751","0.0459789995249878","0.0427477648094807","0.0492102342404949","1"
"Yes","2016","Not Employed","182","0.0183765158156488","0.015454329617479","0.0212987020138186","1"
"No","2017","Employed","17203","0.955948369694391","0.952955751159593","0.958940988229189","2"
"No","2017","Not Employed","8292","0.981607947590138","0.97875118691744","0.984464708262837","2"
"Yes","2017","Employed","860","0.0440516303056094","0.0410590117708114","0.0470442488404074","1"
"Yes","2017","Not Employed","206","0.0183920524098614","0.0155352917371628","0.02124881308256","1"
"No","2018","Employed","16708","0.959702324506104","0.956785840264995","0.962618808747212","2"
"No","2018","Not Employed","8064","0.983976115752942","0.981259641487567","0.986692590018317","2"
"Yes","2018","Employed","758","0.0402976754938964","0.0373811912527882","0.0432141597350046","1"
"Yes","2018","Not Employed","144","0.016023884247058","0.0133074099816833","0.0187403585124327","1"
"No","2019","Employed","17129","0.963106021360383","0.960332307871139","0.965879734849627","2"
"No","2019","Not Employed","7933","0.980246779525629","0.977217741871208","0.98327581718005","2"
"Yes","2019","Employed","613","0.0368939786396169","0.0341202651503732","0.0396676921288606","1"
"Yes","2019","Not Employed","174","0.0197532204743706","0.0167241828199497","0.0227822581287915","1"
