"ple0160","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","no migration background","West Germany","394","0.0466975964784293","0.0418382100235249","0.0515569829333337"
"Yes","1999","no migration background","East Germany","206","0.0612024576639281","0.0534463355475527","0.0689585797803035"
"Yes","1999","direct migration background","West Germany","55","0.0197657142470994","0.0138222860018165","0.0257091424923823"
"Yes","1999","direct migration background","East Germany","3","","",""
"Yes","1999","indirect migration background","West Germany","35","0.0701234970951265","0.049483774875445","0.0907632193148079"
"Yes","1999","indirect migration background","East Germany","3","","",""
"No","1999","no migration background","West Germany","6848","0.953302403521571","0.948443017066666","0.958161789976475"
"No","1999","no migration background","East Germany","3463","0.938797542336072","0.931041420219697","0.946553664452447"
"No","1999","direct migration background","West Germany","2052","0.980234285752901","0.974290857507618","0.986177713998183"
"No","1999","direct migration background","East Germany","107","0.970459000835796","0.938817801640608","1.00210020003098"
"No","1999","indirect migration background","West Germany","553","0.929876502904874","0.909236780685192","0.950516225124555"
"No","1999","indirect migration background","East Germany","19","","",""
"Yes","2000","no migration background","West Germany","843","0.0567243060224151","0.0529400486457335","0.0605085633990966"
"Yes","2000","no migration background","East Germany","404","0.0670587652091014","0.060558617619467","0.0735589127987358"
"Yes","2000","direct migration background","West Germany","142","0.0452941510712815","0.0380756871789822","0.0525126149635808"
"Yes","2000","direct migration background","East Germany","6","","",""
"Yes","2000","indirect migration background","West Germany","65","0.070472769538291","0.0527703737462797","0.0881751653303022"
"Yes","2000","indirect migration background","East Germany","1","","",""
"No","2000","no migration background","West Germany","13510","0.943275693977585","0.939491436600903","0.947059951354266"
"No","2000","no migration background","East Germany","5284","0.932941234790899","0.926441087201264","0.939441382380533"
"No","2000","direct migration background","West Germany","3046","0.954705848928718","0.947487385036419","0.961924312821018"
"No","2000","direct migration background","East Germany","145","0.965069295709985","0.935784477143479","0.994354114276491"
"No","2000","indirect migration background","West Germany","738","0.929527230461709","0.911824834669698","0.94722962625372"
"No","2000","indirect migration background","East Germany","25","","",""
"Yes","2001","no migration background","West Germany","744","0.0556864036937275","0.0517426511370385","0.0596301562504165"
"Yes","2001","no migration background","East Germany","399","0.0693766317622469","0.0625416822540452","0.0762115812704486"
"Yes","2001","direct migration background","West Germany","139","0.0553906450123898","0.046936206591702","0.0638450834330776"
"Yes","2001","direct migration background","East Germany","5","","",""
"Yes","2001","indirect migration background","West Germany","54","0.0678756124639585","0.0498499552443761","0.0859012696835408"
"Yes","2001","indirect migration background","East Germany","2","","",""
"No","2001","no migration background","West Germany","12244","0.944313596306273","0.940369843749584","0.948257348862962"
"No","2001","no migration background","East Germany","4910","0.930623368237753","0.923788418729552","0.937458317745955"
"No","2001","direct migration background","West Germany","2673","0.94460935498761","0.936154916566922","0.953063793408298"
"No","2001","direct migration background","East Germany","118","0.9501307337119","0.911662370512169","0.988599096911631"
"No","2001","indirect migration background","West Germany","694","0.932124387536041","0.914098730316459","0.950150044755624"
"No","2001","indirect migration background","East Germany","23","","",""
"Yes","2002","no migration background","West Germany","554","0.0434422914948151","0.0396835709540646","0.0472010120355656"
"Yes","2002","no migration background","East Germany","229","0.0410772868752195","0.0355094517629069","0.046645121987532"
"Yes","2002","direct migration background","West Germany","100","0.0422274080035822","0.0343044217198417","0.0501503942873227"
"Yes","2002","direct migration background","East Germany","3","","",""
"Yes","2002","indirect migration background","West Germany","37","0.0498481738290405","0.0334666471242667","0.0662297005338143"
"Yes","2002","indirect migration background","East Germany","","","",""
"No","2002","no migration background","West Germany","10745","0.956557708505185","0.952798987964435","0.960316429045935"
"No","2002","no migration background","East Germany","4652","0.958922713124781","0.953354878012468","0.964490548237093"
"No","2002","direct migration background","West Germany","2375","0.957772591996418","0.949849605712677","0.965695578280158"
"No","2002","direct migration background","East Germany","109","0.968691888915079","0.936439614642292","1.00094416318787"
"No","2002","indirect migration background","West Germany","641","0.95015182617096","0.933770299466186","0.966533352875733"
"No","2002","indirect migration background","East Germany","22","","",""
"Yes","2003","no migration background","West Germany","630","0.0503488166693716","0.0462368470991762","0.054460786239567"
"Yes","2003","no migration background","East Germany","327","0.0605268875956622","0.0537809266741901","0.0672728485171344"
"Yes","2003","direct migration background","West Germany","96","0.0394563200904553","0.0315769134163789","0.0473357267645318"
"Yes","2003","direct migration background","East Germany","3","","",""
"Yes","2003","indirect migration background","West Germany","47","0.089192791217381","0.0678173126709575","0.110568269763804"
"Yes","2003","indirect migration background","East Germany","3","","",""
"No","2003","no migration background","West Germany","10233","0.949651183330628","0.945539213760433","0.953763152900824"
"No","2003","no migration background","East Germany","4473","0.939473112404338","0.932727151482866","0.94621907332581"
"No","2003","direct migration background","West Germany","2249","0.960543679909545","0.952664273235468","0.968423086583621"
"No","2003","direct migration background","East Germany","97","0.938484124599608","0.891391254389871","0.985576994809345"
"No","2003","indirect migration background","West Germany","636","0.910807208782619","0.889431730236196","0.932182687329042"
"No","2003","indirect migration background","East Germany","28","","",""
"Yes","2004","no migration background","West Germany","767","0.0523910430111206","0.0485830574608041","0.0561990285614371"
"Yes","2004","no migration background","East Germany","413","0.0719641824576807","0.0648681341411689","0.0790602307741925"
"Yes","2004","direct migration background","West Germany","110","0.0484130038042025","0.0398948112148482","0.0569311963935567"
"Yes","2004","direct migration background","East Germany","2","","",""
"Yes","2004","indirect migration background","West Germany","59","0.0986148350286089","0.0775151127800674","0.11971455727715"
"Yes","2004","indirect migration background","East Germany","2","","",""
"No","2004","no migration background","West Germany","12385","0.947608956988879","0.943800971438563","0.951416942539196"
"No","2004","no migration background","East Germany","4682","0.928035817542319","0.920939769225808","0.935131865858831"
"No","2004","direct migration background","West Germany","2329","0.951586996195798","0.943068803606443","0.960105188785152"
"No","2004","direct migration background","East Germany","101","0.988930836769418","0.968725325960217","1.00913634757862"
"No","2004","indirect migration background","West Germany","708","0.901385164971391","0.88028544272285","0.922484887219933"
"No","2004","indirect migration background","East Germany","33","0.989150998912816","0.95483155500654","1.02347044281909"
"Yes","2005","no migration background","West Germany","659","0.0513070067010109","0.0474437069658091","0.0551703064362128"
