"ple0160","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","1999","college entrance qualification","Female","912","0.927237126286489","0.911138144145506","0.943336108427473"
"No","1999","college entrance qualification","Male","1129","0.921040462388996","0.905969631786471","0.936111292991521"
"No","1999","lower secondary degree","Female","2755","0.975450643066081","0.969752314151819","0.981148971980343"
"No","1999","lower secondary degree","Male","2584","0.971327355198813","0.965009096830494","0.977645613567132"
"No","1999","no degree/no degree yet","Female","421","0.986760153225111","0.975956736102853","0.997563570347368"
"No","1999","no degree/no degree yet","Male","339","0.974216226940371","0.957588369512482","0.99084408436826"
"No","1999","Other degree","Female","417","0.975338739072467","0.960645701718476","0.990031776426458"
"No","1999","Other degree","Male","491","0.97813082645828","0.965349416730306","0.990912236186254"
"No","1999","secondary school degree","Female","2049","0.938513796823604","0.928450636799743","0.948576956847465"
"No","1999","secondary school degree","Male","1554","0.926257594796578","0.913734125342843","0.938781064250312"
"Yes","1999","college entrance qualification","Female","88","0.0727628737135106","0.0566638915725274","0.0888618558544939"
"Yes","1999","college entrance qualification","Male","101","0.078959537611004","0.0638887070084794","0.0940303682135286"
"Yes","1999","lower secondary degree","Female","78","0.0245493569339189","0.018851028019657","0.0302476858481808"
"Yes","1999","lower secondary degree","Male","96","0.0286726448011868","0.022354386432868","0.0349909031695056"
"Yes","1999","no degree/no degree yet","Female","9","","",""
"Yes","1999","no degree/no degree yet","Male","10","","",""
"Yes","1999","Other degree","Female","11","","",""
"Yes","1999","Other degree","Male","12","","",""
"Yes","1999","secondary school degree","Female","140","0.061486203176396","0.0514230431525349","0.071549363200257"
"Yes","1999","secondary school degree","Male","119","0.0737424052034223","0.0612189357496878","0.0862658746571569"
"No","2000","college entrance qualification","Female","1959","0.911721820393931","0.899760515339228","0.923683125448634"
"No","2000","college entrance qualification","Male","2332","0.900453642188961","0.88890323072127","0.912004053656652"
"No","2000","lower secondary degree","Female","4999","0.970827836604051","0.96623608201069","0.975419591197413"
"No","2000","lower secondary degree","Male","4636","0.966664708106323","0.961589060550764","0.971740355661882"
"No","2000","no degree/no degree yet","Female","478","0.965421355409869","0.949374281488197","0.981468429331541"
"No","2000","no degree/no degree yet","Male","412","0.9777395464967","0.963647124562632","0.991831968430768"
"No","2000","Other degree","Female","730","0.942660519710545","0.926207146669407","0.959113892751682"
"No","2000","Other degree","Male","744","0.957772935609784","0.943623342347586","0.971922528871983"
"No","2000","secondary school degree","Female","3671","0.930283334294828","0.922361445125584","0.938205223464073"
"No","2000","secondary school degree","Male","2740","0.911721996921004","0.901600472202243","0.921843521639765"
"Yes","2000","college entrance qualification","Female","202","0.0882781796060687","0.0763168745513658","0.100239484660772"
"Yes","2000","college entrance qualification","Male","249","0.099546357811039","0.0879959463433479","0.11109676927873"
"Yes","2000","lower secondary degree","Female","161","0.0291721633959486","0.0245804088025872","0.0337639179893101"
"Yes","2000","lower secondary degree","Male","169","0.0333352918936771","0.0282596443381177","0.0384109394492364"
"Yes","2000","no degree/no degree yet","Female","20","","",""
"Yes","2000","no degree/no degree yet","Male","9","","",""
"Yes","2000","Other degree","Female","37","0.0573394802894554","0.040886107248318","0.0737928533305928"
"Yes","2000","Other degree","Male","32","0.0422270643902155","0.0280774711280169","0.0563766576524142"
"Yes","2000","secondary school degree","Female","299","0.0697166657051715","0.0617947765359268","0.0776385548744162"
"Yes","2000","secondary school degree","Male","278","0.0882780030789959","0.0781564783602348","0.098399527797757"
"No","2001","college entrance qualification","Female","1847","0.905392085229385","0.89274126693647","0.9180429035223"
"No","2001","college entrance qualification","Male","2179","0.907431067255994","0.895821247742011","0.919040886769977"
"No","2001","lower secondary degree","Female","4375","0.973265803945133","0.968556011226799","0.977975596663467"
"No","2001","lower secondary degree","Male","4084","0.956121956048287","0.94996910302468","0.962274809071893"
"No","2001","no degree/no degree yet","Female","450","0.968300294582544","0.952393313014141","0.984207276150947"
"No","2001","no degree/no degree yet","Male","388","0.969643327691048","0.952892793722404","0.986393861659691"
"No","2001","Other degree","Female","669","0.94174973194198","0.924386673785003","0.959112790098956"
"No","2001","Other degree","Male","648","0.962485082923843","0.948128881006573","0.976841284841113"
"No","2001","secondary school degree","Female","3383","0.930558385660886","0.92232514824852","0.938791623073251"
"No","2001","secondary school degree","Male","2539","0.92179912471609","0.911813296197505","0.931784953234675"
