"ple0160","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Schleswig-Holstein","Female","172","0.96500970018724","0.938015046447034","0.992004353927446","2"
"No","1999","Hamburg","Male","63","0.95834583346086","0.909396311136654","1.00729535578507","2"
"No","1999","Hamburg","Female","71","0.989371537386323","0.966007539305459","1.01273553546719","2"
"No","1999","Schleswig-Holstein","Male","146","0.971346209195249","0.944558657351937","0.99813376103856","2"
"No","1999","Lower Saxony","Female","551","0.943461337189611","0.924809343329025","0.962113331050197","2"
"No","1999","North Rhine-Westphalia","Male","1248","0.949374188093399","0.937497838357431","0.961250537829367","2"
"No","1999","Lower Saxony","Male","547","0.945007673070546","0.926534611670519","0.963480734470574","2"
"No","1999","Bremen","Male","35","0.895421628366446","0.79938199017538","0.991461266557511","2"
"No","1999","Bremen","Female","47","0.965516164731764","0.914425964299173","1.01660636516436","2"
"No","1999","North Rhine-Westphalia","Female","1334","0.955264939602162","0.944447980473709","0.966081898730614","2"
"No","1999","Hesse","Male","414","0.965675670337111","0.948527380315763","0.982823960358459","2"
"No","1999","Hesse","Female","441","0.953201985889593","0.933963815062796","0.97244015671639","2"
"No","1999","Berlin","Female","259","0.960693227320564","0.937471313495377","0.983915141145751","2"
"No","1999","Brandenburg","Male","258","0.876238298727415","0.838072942044676","0.914403655410154","2"
"No","1999","Rhineland-Palatinate,Saarland","Male","355","0.972170947047464","0.955388494007798","0.98895340008713","2"
"No","1999","Rhineland-Palatinate,Saarland","Female","383","0.952379976070522","0.93158801274439","0.973171939396654","2"
"No","1999","Berlin","Male","233","0.947622190659821","0.919725266283991","0.975519115035651","2"
"No","1999","Brandenburg","Female","300","0.945681260355674","0.920692093119224","0.970670427592124","2"
"No","1999","Bavaria","Male","825","0.952387528313779","0.938261886724581","0.966513169902976","2"
"No","1999","Baden-Württemberg","Male","807","0.951465516497499","0.937019092377161","0.965911940617838","2"
"No","1999","Baden-Württemberg","Female","848","0.95937947718898","0.946410042275132","0.972348912102828","2"
"No","1999","Bavaria","Female","888","0.974573350427803","0.964439836738248","0.984706864117358","2"
"No","1999","Mecklenburg-Western Pomerania","Male","184","0.928655155013766","0.892619817705823","0.964690492321708","2"
"No","1999","Mecklenburg-Western Pomerania","Female","197","0.944958642220569","0.913815283309465","0.976102001131673","2"
"No","1999","Saxony","Male","521","0.951369374566826","0.933376877946017","0.969361871187635","2"
"No","1999","Saxony","Female","573","0.938648906309469","0.919574147940206","0.957723664678732","2"
