"ple0160","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Bavaria","Single parent ","89","0.928336503629168","0.87674072331087","0.979932283947466","2"
"No","1999","Schleswig-Holstein","1-pers.-HH","48","1","1","1","2"
"No","1999","Schleswig-Holstein","(Married) couple without C. ","102","0.969268037830413","0.936412222468251","1.00212385319258","2"
"No","1999","Schleswig-Holstein","Single parent ","18","","","","2"
"No","1999","Schleswig-Holstein","Couple + C. GT 16 ","39","1","1","1","2"
"No","1999","Schleswig-Holstein","Couple + C. LE and GT 16","20","","","","2"
"No","1999","Hamburg","1-pers.-HH","39","0.950290883078477","0.884559956981298","1.01602180917566","2"
"No","1999","Hamburg","(Married) couple without C. ","35","0.991778157195294","0.962280420490426","1.02127589390016","2"
"No","1999","Hamburg","Couple + C. LE 16 ","16","","","","2"
"No","1999","Hamburg","Couple + C. GT 16 ","18","","","","2"
"No","1999","Hamburg","Couple + C. LE and GT 16","13","","","","2"
"No","1999","Hamburg","Single parent ","9","","","","2"
"No","1999","Schleswig-Holstein","Couple + C. LE 16 ","84","0.989689083216228","0.968213910816719","1.01116425561574","2"
"No","1999","Baden-Württemberg","Couple + C. LE and GT 16","145","0.948915139345224","0.913797977292948","0.9840323013975","2"
"No","1999","Bavaria","1-pers.-HH","207","0.983811027778369","0.966941833373485","1.00068022218325","2"
"No","1999","Bavaria","(Married) couple without C. ","532","0.969444386634195","0.955125523015218","0.983763250253172","2"
"No","1999","Lower Saxony","Couple + C. LE 16 ","238","0.924527273510724","0.892480617348718","0.956573929672729","2"
"No","1999","Lower Saxony","Couple + C. GT 16 ","185","0.953571253382911","0.923962693734607","0.983179813031216","2"
"No","1999","Baden-Württemberg","Single parent ","92","0.98620191150421","0.962620133469797","1.00978368953862","2"
"No","1999","Baden-Württemberg","Couple + C. LE 16 ","392","0.899129158768588","0.870258691530976","0.927999626006199","2"
"No","1999","Lower Saxony","1-pers.-HH","131","0.989914128981354","0.972996045707854","1.00683221225485","2"
"No","1999","Lower Saxony","(Married) couple without C. ","348","0.948755067347175","0.926257403389054","0.971252731305296","2"
"No","1999","Lower Saxony","Single parent ","50","0.874487742203444","0.78995167895261","0.959023805454277","2"
"No","1999","Baden-Württemberg","Couple + C. GT 16 ","346","0.971602741983373","0.954468020101498","0.988737463865248","2"
"No","1999","Lower Saxony","Couple + C. LE and GT 16","99","0.96090360943366","0.92365246102983","0.998154757837491","2"
"No","1999","Bremen","1-pers.-HH","26","","","","2"
"No","1999","Bremen","(Married) couple without C. ","22","","","","2"
"No","1999","Bremen","Single parent ","8","","","","2"
"No","1999","Bremen","Couple + C. LE 16 ","9","","","","2"
"No","1999","Bremen","Couple + C. GT 16 ","17","","","","2"
"No","1999","Rhineland-Palatinate,Saarland","Single parent ","48","0.917275165233069","0.840921329246665","0.993629001219474","2"
"No","1999","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","172","0.971326540746139","0.946878489416167","0.995774592076111","2"
"No","1999","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","49","0.992136943584169","0.967655073136452","1.01661881403189","2"
"No","1999","Baden-Württemberg","1-pers.-HH","202","0.973128911512723","0.951463396274052","0.994794426751395","2"
"No","1999","Baden-Württemberg","(Married) couple without C. ","398","0.977353513291903","0.963108353108589","0.991598673475217","2"
"No","1999","Bavaria","Couple + C. LE 16 ","402","0.960727118449544","0.942216355635927","0.979237881263161","2"
"No","1999","Bavaria","Couple + C. LE and GT 16","138","0.959966575560127","0.928167749319229","0.991765401801025","2"
"No","1999","Berlin","1-pers.-HH","108","0.959650624518976","0.92304383978683","0.996257409251121","2"
"No","1999","Berlin","(Married) couple without C. ","139","0.944486170887027","0.907343762834345","0.98162857893971","2"
"No","1999","Berlin","Single parent ","36","0.951261201324992","0.882800145167246","1.01972225748274","2"
"No","1999","Berlin","Couple + C. LE 16 ","98","0.954926222848105","0.91505327839533","0.994799167300879","2"
"No","1999","Berlin","Couple + C. GT 16 ","69","0.985083487438767","0.956686698095886","1.01348027678165","2"
"No","1999","Berlin","Couple + C. LE and GT 16","29","","","","2"
"No","1999","Brandenburg","1-pers.-HH","60","0.859911679310102","0.776804493183215","0.94301886543699","2"
"No","1999","Brandenburg","(Married) couple without C. ","179","0.924883498645932","0.88740497437934","0.962362022912523","2"
"No","1999","Brandenburg","Single parent ","39","0.92039552917066","0.839491557288047","1.00129950105327","2"
"No","1999","Brandenburg","Couple + C. LE 16 ","102","0.922869783028769","0.873236947025631","0.972502619031908","2"
"No","1999","Bavaria","Couple + C. GT 16 ","287","0.947354447388444","0.922167141700317","0.972541753076571","2"
"No","1999","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1999","North Rhine-Westphalia","1-pers.-HH","325","0.929207549895","0.902143774528143","0.956271325261856","2"
"No","1999","North Rhine-Westphalia","(Married) couple without C. ","786","0.976491012614003","0.966063307273746","0.986918717954259","2"
"No","1999","North Rhine-Westphalia","Single parent ","115","0.970676912004938","0.940364757071102","1.00098906693877","2"
"No","1999","North Rhine-Westphalia","Couple + C. LE 16 ","611","0.93405646758394","0.915079007968586","0.953033927199294","2"
"No","1999","North Rhine-Westphalia","Couple + C. GT 16 ","451","0.958549188597891","0.940585676915251","0.976512700280531","2"
"No","1999","Hesse","Single parent ","29","","","","2"
"No","1999","Hesse","Couple + C. LE 16 ","195","0.931173201203424","0.89668608043276","0.965660321974088","2"
"No","1999","Hesse","Couple + C. LE and GT 16","57","0.964340216593303","0.917022195326476","1.01165823786013","2"
"No","1999","Rhineland-Palatinate,Saarland","1-pers.-HH","78","0.977034289893315","0.944002706867577","1.01006587291905","2"
"No","1999","Rhineland-Palatinate,Saarland","(Married) couple without C. ","221","0.951428196861802","0.924001581765406","0.978854811958199","2"
"No","1999","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","127","0.964923552771808","0.933774134186844","0.996072971356772","2"
"No","1999","North Rhine-Westphalia","Couple + C. LE and GT 16","222","0.949109534113862","0.920829464123694","0.97738960410403","2"
"No","1999","Hesse","1-pers.-HH","93","0.994379568137894","0.979346513774027","1.00941262250176","2"
"No","1999","Hesse","(Married) couple without C. ","307","0.972413267819721","0.954551584012535","0.990274951626906","2"
"No","1999","Hesse","Couple + C. GT 16 ","150","0.931042062043528","0.891280578880058","0.970803545206999","2"
"No","1999","Brandenburg","Couple + C. GT 16 ","107","0.958473230607465","0.921358982331005","0.995587478883926","2"
"No","1999","Brandenburg","Couple + C. LE and GT 16","55","0.85393293458617","0.766022529712661","0.941843339459678","2"
"No","1999","Mecklenburg-Western Pomerania","1-pers.-HH","45","0.945388669382867","0.881108938779704","1.00966839998603","2"
"No","1999","Mecklenburg-Western Pomerania","(Married) couple without C. ","108","0.980950715663842","0.955634312336288","1.0062671189914","2"
"No","1999","Mecklenburg-Western Pomerania","Single parent ","28","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","69","0.808487070883711","0.721162516400963","0.895811625366459","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","74","0.929130444262094","0.872183688158436","0.986077200365751","2"
"No","1999","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","46","0.990943223967096","0.963859376311178","1.01802707162301","2"
"No","1999","Saxony","1-pers.-HH","113","0.950506034037738","0.911536234022635","0.989475834052841","2"
"No","1999","Saxony","(Married) couple without C. ","364","0.957909755292764","0.937640843191463","0.978178667394065","2"
"No","1999","Saxony","Single parent ","46","0.946420552547634","0.883369658706052","1.00947144638922","2"
"No","1999","Saxony","Couple + C. LE 16 ","219","0.931591462711925","0.89938374199103","0.963799183432819","2"
"No","1999","Saxony","Couple + C. GT 16 ","227","0.946034887829655","0.917508309137931","0.974561466521379","2"
"No","1999","Saxony-Anhalt","(Married) couple without C. ","226","0.955158236063622","0.928584712947991","0.981731759179253","2"
"No","1999","Saxony-Anhalt","Single parent ","34","0.933194627737111","0.851632480661116","1.01475677481311","2"
"No","1999","Saxony-Anhalt","Couple + C. LE 16 ","90","0.877858723404994","0.814926226466015","0.940791220343974","2"
"No","1999","Saxony-Anhalt","Couple + C. GT 16 ","131","0.920775878100159","0.876195451653348","0.965356304546969","2"
"No","1999","Saxony-Anhalt","Couple + C. LE and GT 16","70","0.923673338771882","0.864367143227269","0.982979534316494","2"
"No","1999","Thuringia","1-pers.-HH","69","0.996069316971718","0.981411210770736","1.0107274231727","2"
"No","1999","Thuringia","(Married) couple without C. ","195","0.990570703795862","0.977142932617871","1.00399847497385","2"
"No","1999","Thuringia","Single parent ","37","0.934699685444515","0.857162599960413","1.01223677092862","2"
"No","1999","Thuringia","Couple + C. LE 16 ","133","0.944083293864382","0.906159263875899","0.982007323852866","2"
"No","1999","Thuringia","Couple + C. GT 16 ","153","0.925958920616496","0.886127455833475","0.965790385399517","2"
"No","1999","Thuringia","Couple + C. LE and GT 16","75","0.970906634304702","0.933367137596063","1.00844613101334","2"
"No","1999","Saxony","Couple + C. LE and GT 16","83","0.926549612923546","0.8729503547801","0.980148871066992","2"
"No","1999","Saxony-Anhalt","1-pers.-HH","80","0.95117104963627","0.904525612127528","0.997816487145011","2"
"Yes","1999","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1999","Schleswig-Holstein","(Married) couple without C. ","4","","","","1"
"Yes","1999","Schleswig-Holstein","Single parent ","1","","","","1"
"Yes","1999","Schleswig-Holstein","Couple + C. LE 16 ","1","","","","1"
"Yes","1999","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Yes","1999","Schleswig-Holstein","Couple + C. LE and GT 16","2","","","","1"
"Yes","1999","Hamburg","1-pers.-HH","3","","","","1"
"Yes","1999","Hamburg","(Married) couple without C. ","1","","","","1"
"Yes","1999","Hamburg","Single parent ","","","","","1"
"Yes","1999","Hamburg","Couple + C. LE 16 ","","","","","1"
"Yes","1999","Hamburg","Couple + C. GT 16 ","","","","","1"
"Yes","1999","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1999","Lower Saxony","1-pers.-HH","3","","","","1"
"Yes","1999","Lower Saxony","(Married) couple without C. ","21","","","","1"
"Yes","1999","Lower Saxony","Single parent ","9","","","","1"
"Yes","1999","Lower Saxony","Couple + C. LE 16 ","23","","","","1"
"Yes","1999","Lower Saxony","Couple + C. GT 16 ","9","","","","1"
"Yes","1999","Lower Saxony","Couple + C. LE and GT 16","5","","","","1"
"Yes","1999","Bremen","1-pers.-HH","","","","","1"
"Yes","1999","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1999","Bremen","Single parent ","1","","","","1"
"Yes","1999","Bremen","Couple + C. LE 16 ","3","","","","1"
"Yes","1999","Bremen","Couple + C. GT 16 ","2","","","","1"
"Yes","1999","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1999","North Rhine-Westphalia","1-pers.-HH","20","","","","1"
"Yes","1999","North Rhine-Westphalia","(Married) couple without C. ","25","","","","1"
"Yes","1999","North Rhine-Westphalia","Single parent ","4","","","","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. LE 16 ","46","0.0659435324160596","0.0469660728007057","0.0849209920314135","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. GT 16 ","22","","","","1"
"Yes","1999","North Rhine-Westphalia","Couple + C. LE and GT 16","10","","","","1"
"Yes","1999","Hesse","1-pers.-HH","2","","","","1"
"Yes","1999","Hesse","(Married) couple without C. ","16","","","","1"
"Yes","1999","Hesse","Single parent ","1","","","","1"
"Yes","1999","Hesse","Couple + C. LE 16 ","12","","","","1"
"Yes","1999","Hesse","Couple + C. GT 16 ","6","","","","1"
"Yes","1999","Hesse","Couple + C. LE and GT 16","2","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","(Married) couple without C. ","15","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Single parent ","2","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","7","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","7","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","1","","","","1"
"Yes","1999","Baden-Württemberg","1-pers.-HH","12","","","","1"
"Yes","1999","Baden-Württemberg","(Married) couple without C. ","21","","","","1"
"Yes","1999","Baden-Württemberg","Single parent ","2","","","","1"
"Yes","1999","Baden-Württemberg","Couple + C. LE 16 ","26","","","","1"
"Yes","1999","Baden-Württemberg","Couple + C. GT 16 ","15","","","","1"
"Yes","1999","Baden-Württemberg","Couple + C. LE and GT 16","6","","","","1"
"Yes","1999","Bavaria","1-pers.-HH","8","","","","1"
"Yes","1999","Bavaria","(Married) couple without C. ","23","","","","1"
"Yes","1999","Bavaria","Single parent ","7","","","","1"
"Yes","1999","Bavaria","Couple + C. LE 16 ","21","","","","1"
"Yes","1999","Bavaria","Couple + C. GT 16 ","15","","","","1"
"Yes","1999","Bavaria","Couple + C. LE and GT 16","8","","","","1"
"Yes","1999","Berlin","1-pers.-HH","3","","","","1"
"Yes","1999","Berlin","(Married) couple without C. ","7","","","","1"
"Yes","1999","Berlin","Single parent ","2","","","","1"
"Yes","1999","Berlin","Couple + C. LE 16 ","6","","","","1"
"Yes","1999","Berlin","Couple + C. GT 16 ","1","","","","1"
"Yes","1999","Berlin","Couple + C. LE and GT 16","3","","","","1"
"Yes","1999","Brandenburg","1-pers.-HH","7","","","","1"
"Yes","1999","Brandenburg","(Married) couple without C. ","11","","","","1"
"Yes","1999","Brandenburg","Single parent ","4","","","","1"
"Yes","1999","Brandenburg","Couple + C. LE 16 ","9","","","","1"
"Yes","1999","Brandenburg","Couple + C. GT 16 ","4","","","","1"
"Yes","1999","Brandenburg","Couple + C. LE and GT 16","7","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","1-pers.-HH","3","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","(Married) couple without C. ","4","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","9","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","4","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","1","","","","1"
"Yes","1999","Saxony","1-pers.-HH","6","","","","1"
"Yes","1999","Saxony","(Married) couple without C. ","13","","","","1"
"Yes","1999","Saxony","Single parent ","3","","","","1"
"Yes","1999","Saxony","Couple + C. LE 16 ","17","","","","1"
"Yes","1999","Saxony","Couple + C. GT 16 ","14","","","","1"
"Yes","1999","Saxony","Couple + C. LE and GT 16","8","","","","1"
"Yes","1999","Saxony-Anhalt","1-pers.-HH","2","","","","1"
"Yes","1999","Saxony-Anhalt","(Married) couple without C. ","7","","","","1"
"Yes","1999","Saxony-Anhalt","Single parent ","2","","","","1"
"Yes","1999","Saxony-Anhalt","Couple + C. LE 16 ","14","","","","1"
"Yes","1999","Saxony-Anhalt","Couple + C. GT 16 ","10","","","","1"
"Yes","1999","Saxony-Anhalt","Couple + C. LE and GT 16","7","","","","1"
"Yes","1999","Thuringia","1-pers.-HH","1","","","","1"
"Yes","1999","Thuringia","(Married) couple without C. ","4","","","","1"
"Yes","1999","Thuringia","Single parent ","2","","","","1"
"Yes","1999","Thuringia","Couple + C. LE 16 ","8","","","","1"
"Yes","1999","Thuringia","Couple + C. GT 16 ","13","","","","1"
"Yes","1999","Thuringia","Couple + C. LE and GT 16","2","","","","1"
"No","2000","Hamburg","Single parent ","15","","","","2"
"No","2000","Bavaria","Single parent ","162","0.989011310466184","0.973152608852638","1.00487001207973","2"
"No","2000","Schleswig-Holstein","1-pers.-HH","110","0.990720542891907","0.972883474803352","1.00855761098046","2"
"No","2000","Schleswig-Holstein","Single parent ","43","1","1","1","2"
"No","2000","Schleswig-Holstein","Couple + C. LE 16 ","151","0.939263986187526","0.902484338765428","0.976043633609624","2"
"No","2000","Hamburg","1-pers.-HH","82","0.92839330918242","0.874214273902074","0.982572344462767","2"
"No","2000","Schleswig-Holstein","Couple + C. GT 16 ","54","0.943968241690053","0.885284485721543","1.00265199765856","2"
"No","2000","Schleswig-Holstein","(Married) couple without C. ","256","0.916950023105221","0.884275037834116","0.949625008376326","2"
"No","2000","Schleswig-Holstein","Couple + C. LE and GT 16","54","0.974368173173344","0.93297722240166","1.01575912394503","2"
"No","2000","Hamburg","(Married) couple without C. ","89","0.937241154384486","0.888471527073006","0.986010781695966","2"
"No","2000","Hamburg","Couple + C. LE 16 ","54","0.884677492697808","0.804522108375907","0.96483287701971","2"
"No","2000","Hamburg","Couple + C. GT 16 ","22","","","","2"
"No","2000","Hamburg","Couple + C. LE and GT 16","10","","","","2"
"No","2000","Lower Saxony","1-pers.-HH","245","0.949668666665469","0.923145027582347","0.976192305748592","2"
"No","2000","Baden-Württemberg","Couple + C. LE and GT 16","254","0.976895010073551","0.9586334341001","0.995156586047001","2"
"No","2000","Bavaria","1-pers.-HH","450","0.954904507481886","0.936223277839337","0.973585737124435","2"
"No","2000","Bavaria","(Married) couple without C. ","985","0.962304753733181","0.950633705006822","0.973975802459539","2"
"No","2000","Lower Saxony","(Married) couple without C. ","619","0.948327823402056","0.931336315672","0.965319331132111","2"
"No","2000","Lower Saxony","Single parent ","86","0.934490683497786","0.884473044659875","0.984508322335697","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","98","0.97084583889878","0.93819657332211","1.00349510447545","2"
"No","2000","Baden-Württemberg","1-pers.-HH","327","0.948803547371335","0.925746557028227","0.971860537714444","2"
"No","2000","Baden-Württemberg","Single parent ","145","0.972840452268581","0.946740660998581","0.99894024353858","2"
"No","2000","Lower Saxony","Couple + C. LE 16 ","449","0.931428573929297","0.909028985912929","0.953828161945666","2"
"No","2000","Lower Saxony","Couple + C. GT 16 ","256","0.946196503475529","0.919382629834905","0.973010377116152","2"
"No","2000","Bremen","1-pers.-HH","48","0.944059701542549","0.880989368784951","1.00713003430015","2"
"No","2000","Bremen","(Married) couple without C. ","57","1","1","1","2"
"No","2000","Baden-Württemberg","Couple + C. LE 16 ","672","0.940865921378238","0.92356450047811","0.958167342278366","2"
"No","2000","Baden-Württemberg","Couple + C. GT 16 ","518","0.93211093058692","0.911106736637654","0.953115124536186","2"
"No","2000","Lower Saxony","Couple + C. LE and GT 16","151","0.915903180516963","0.873684115016103","0.958122246017822","2"
"No","2000","Bremen","Single parent ","7","","","","2"
"No","2000","Bremen","Couple + C. LE 16 ","33","0.836492681272056","0.720423890822704","0.952561471721409","2"
"No","2000","Bremen","Couple + C. GT 16 ","19","","","","2"
"No","2000","Bremen","Couple + C. LE and GT 16","11","","","","2"
"No","2000","North Rhine-Westphalia","1-pers.-HH","667","0.935985794482159","0.91808143959483","0.953890149369488","2"
"No","2000","North Rhine-Westphalia","(Married) couple without C. ","1594","0.94869437568375","0.938157236934054","0.959231514433446","2"
"No","2000","Hesse","Couple + C. LE and GT 16","130","0.930929505514031","0.888312462084847","0.973546548943216","2"
"No","2000","Rhineland-Palatinate,Saarland","1-pers.-HH","174","0.955561605344007","0.925786883978466","0.985336326709549","2"
"No","2000","Rhineland-Palatinate,Saarland","Single parent ","75","0.925539636629785","0.867650825276089","0.983428447983481","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","343","0.924028312422523","0.896847014873048","0.951209609971999","2"
"No","2000","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","214","0.949193939159629","0.920499874529155","0.977888003790102","2"
"No","2000","Baden-Württemberg","(Married) couple without C. ","764","0.951940066004861","0.937246328517186","0.966633803492536","2"
"No","2000","Bavaria","Couple + C. LE 16 ","691","0.933402064652301","0.915474617725025","0.951329511579577","2"
"No","2000","Bavaria","Couple + C. LE and GT 16","242","0.961363433279417","0.937615222557571","0.985111644001263","2"
"No","2000","Berlin","1-pers.-HH","197","0.941885560793175","0.910242423257387","0.973528698328964","2"
