"ple0160","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1999","Employed","West Germany","5978","0.943411968379168","0.937737050932774","0.949086885825562"
"No","1999","Employed","East Germany","2244","0.914500329743287","0.903357273824064","0.925643385662509"
"No","1999","Not Employed","West Germany","3475","0.976281842063532","0.971289516475087","0.981274167651977"
"No","1999","Not Employed","East Germany","1345","0.972993893342689","0.964447554333729","0.981540232351648"
"Yes","1999","Employed","West Germany","390","0.0565880316208322","0.0509131141744382","0.0622629490672262"
"Yes","1999","Employed","East Germany","175","0.0854996702567134","0.0743566143374906","0.0966427261759362"
"Yes","1999","Not Employed","West Germany","94","0.0237181579364683","0.0187258323480232","0.0287104835249135"
"Yes","1999","Not Employed","East Germany","37","0.0270061066573114","0.018459767648352","0.0355524456662708"
"No","2000","Employed","West Germany","10662","0.92368112222325","0.91883566081211","0.92852658363439"
"No","2000","Employed","East Germany","3277","0.902963412541608","0.893334048344257","0.912592776738959"
"No","2000","Not Employed","West Germany","6632","0.97677474393416","0.973197471620023","0.980352016248298"
"No","2000","Not Employed","East Germany","2175","0.975291312355062","0.968852648580213","0.981729976129911"
"Yes","2000","Employed","West Germany","872","0.0763188777767499","0.0714734163656097","0.0811643391878902"
"Yes","2000","Employed","East Germany","353","0.0970365874583917","0.0874072232610405","0.106665951655743"
"Yes","2000","Not Employed","West Germany","178","0.0232252560658396","0.0196479837517023","0.0268025283799769"
"Yes","2000","Not Employed","East Germany","58","0.024708687644938","0.0182700238700891","0.0311473514197868"
"No","2001","Employed","West Germany","9763","0.923233344536046","0.91815358294218","0.928313106129912"
"No","2001","Employed","East Germany","2985","0.893782566161284","0.883334793951137","0.904230338371431"
"No","2001","Not Employed","West Germany","5848","0.977083663860705","0.973296452575737","0.980870875145673"
"No","2001","Not Employed","East Germany","2066","0.981252585278238","0.975473603039378","0.987031567517098"
"Yes","2001","Employed","West Germany","788","0.076766655463954","0.0716868938700883","0.0818464170578197"
"Yes","2001","Employed","East Germany","356","0.106217433838716","0.0957696616285687","0.116665206048863"
"Yes","2001","Not Employed","West Germany","149","0.0229163361392949","0.0191291248543269","0.026703547424263"
"Yes","2001","Not Employed","East Germany","50","0.018747414721762","0.0129684324829021","0.0245263969606218"
"No","2002","Employed","West Germany","8576","0.937719029908529","0.932767631617731","0.942670428199326"
"No","2002","Employed","East Germany","2762","0.931444340229622","0.922353244013391","0.940535436445852"
"No","2002","Not Employed","West Germany","5185","0.984693744558359","0.981388875501658","0.987998613615061"
"No","2002","Not Employed","East Germany","2021","0.992068332657802","0.98822558197094","0.995911083344664"
"Yes","2002","Employed","West Germany","575","0.0622809700914714","0.0573295718006739","0.067232368382269"
"Yes","2002","Employed","East Germany","206","0.0685556597703781","0.0594645635541477","0.0776467559866086"
"Yes","2002","Not Employed","West Germany","116","0.0153062554416405","0.0120013863849392","0.0186111244983419"
"Yes","2002","Not Employed","East Germany","26","","",""
"No","2003","Employed","West Germany","8044","0.928240461717219","0.922813793650417","0.93366712978402"
"No","2003","Employed","East Germany","2571","0.905340830924238","0.89460636680853","0.916075295039946"
"No","2003","Not Employed","West Germany","5074","0.981357747246521","0.977682168000025","0.985033326493017"
"No","2003","Not Employed","East Germany","2027","0.977228403729079","0.970808352501663","0.983648454956496"
"Yes","2003","Employed","West Germany","645","0.0717595382827811","0.0663328702159797","0.0771862063495826"
"Yes","2003","Employed","East Germany","286","0.0946591690757621","0.0839247049600539","0.10539363319147"
"Yes","2003","Not Employed","West Germany","128","0.0186422527534794","0.0149666735069834","0.0223178319999754"
"Yes","2003","Not Employed","East Germany","47","0.0227715962709206","0.0163515450435042","0.029191647498337"
"No","2004","Employed","West Germany","9586","0.927465724897748","0.922468367006453","0.932463082789043"
"No","2004","Employed","East Germany","2742","0.897943283331595","0.88723663761589","0.9086499290473"
"No","2004","Not Employed","West Germany","5836","0.974194216743572","0.970185622013341","0.978202811473803"
"No","2004","Not Employed","East Germany","2074","0.966231369505876","0.958617287732245","0.973845451279507"
"Yes","2004","Employed","West Germany","762","0.072534275102252","0.0675369172109565","0.0775316329935474"
"Yes","2004","Employed","East Germany","329","0.102056716668405","0.0913500709526996","0.11276336238411"
"Yes","2004","Not Employed","West Germany","174","0.025805783256428","0.0217971885261967","0.0298143779866593"
"Yes","2004","Not Employed","East Germany","88","0.033768630494124","0.0261545487204927","0.0413827122677552"
"No","2005","Employed","West Germany","9168","0.93226605066792","0.927291892696715","0.937240208639125"
"No","2005","Employed","East Germany","2662","0.923182621490204","0.913507082934319","0.932858160046088"
"No","2005","Not Employed","West Germany","5585","0.972388977538769","0.968161475632202","0.976616479445336"
"No","2005","Not Employed","East Germany","1992","0.954925780688424","0.946041853442155","0.963809707934693"
"Yes","2005","Employed","West Germany","636","0.0677339493320803","0.0627597913608751","0.0727081073032854"
"Yes","2005","Employed","East Germany","248","0.0768173785097964","0.0671418399539115","0.0864929170656812"
"Yes","2005","Not Employed","West Germany","186","0.0276110224612311","0.0233835205546638","0.0318385243677984"
"Yes","2005","Not Employed","East Germany","103","0.0450742193115761","0.0361902920653067","0.0539581465578454"
"No","2006","Employed","West Germany","9751","0.940780953869472","0.936232122987282","0.945329784751663"
"No","2006","Employed","East Germany","2829","0.929049708496682","0.919933622117566","0.938165794875797"
"No","2006","Not Employed","West Germany","6147","0.977642913173725","0.973995690065039","0.981290136282412"
"No","2006","Not Employed","East Germany","2148","0.972203734755596","0.965359339537916","0.979048129973276"
"Yes","2006","Employed","West Germany","592","0.0592190461305276","0.0546702152483373","0.063767877012718"
"Yes","2006","Employed","East Germany","218","0.0709502915033181","0.0618342051242027","0.0800663778824335"
"Yes","2006","Not Employed","West Germany","165","0.0223570868262747","0.0187098637175881","0.0260043099349614"
"Yes","2006","Not Employed","East Germany","68","0.027796265244404","0.0209518700267242","0.0346406604620838"
