"ple0160","year","migback","n","percent","lower_confidence","upper_confidence"
"No","1999","direct migration background","2159","0.97969037423271","0.973818717940433","0.985562030524988"
"No","1999","indirect migration background","572","0.928842910696267","0.908441349784722","0.949244471607812"
"No","1999","no migration background","10311","0.950190089316562","0.94610803346262","0.954272145170505"
"Yes","1999","direct migration background","58","0.0203096257672898","0.0144379694750123","0.0261812820595673"
"Yes","1999","indirect migration background","38","0.0711570893037331","0.0507555283921878","0.0915586502152783"
"Yes","1999","no migration background","600","0.0498099106834377","0.045727854829495","0.0538919665373803"
"No","2000","direct migration background","3191","0.95519042046018","0.948173116398116","0.962207724522244"
"No","2000","indirect migration background","763","0.931068761437283","0.913823501509402","0.948314021365164"
"No","2000","no migration background","18794","0.941035334538367","0.937774060585257","0.944296608491477"
"Yes","2000","direct migration background","148","0.0448095795398205","0.0377922754777564","0.0518268836018845"
"Yes","2000","indirect migration background","66","0.0689312385627172","0.0516859786348362","0.0861764984905982"
"Yes","2000","no migration background","1247","0.0589646654616328","0.0557033915085225","0.0622259394147431"
"No","2001","direct migration background","2791","0.944851888512325","0.936593577618038","0.953110199406611"
"No","2001","indirect migration background","717","0.933263465474646","0.91567036828165","0.950856562667643"
"No","2001","no migration background","17154","0.941365290955721","0.93796109442398","0.944769487487463"
"Yes","2001","direct migration background","144","0.0551481114876754","0.0468898005933889","0.0634064223819619"
"Yes","2001","indirect migration background","56","0.0667365345253537","0.0491434373323576","0.0843296317183499"
"Yes","2001","no migration background","1143","0.0586347090442786","0.0552305125125373","0.06203890557602"
"No","2002","direct migration background","2484","0.958243954366993","0.950535849714814","0.965952059019172"
"No","2002","indirect migration background","663","0.951450827770992","0.935529357878905","0.967372297663079"
"No","2002","no migration background","15397","0.957110615480898","0.953988745541452","0.960232485420343"
"Yes","2002","direct migration background","103","0.0417560456330068","0.0340479409808279","0.0494641502851858"
"Yes","2002","indirect migration background","37","0.0485491722290076","0.0326277023369207","0.0644706421210945"
"Yes","2002","no migration background","783","0.0428893845191022","0.0397675145796567","0.0460112544585476"
"No","2003","direct migration background","2346","0.95975228790972","0.951961904431638","0.967542671387802"
"No","2003","indirect migration background","664","0.912475442008784","0.891746623902134","0.933204260115435"
"No","2003","no migration background","14706","0.947271045711736","0.943771011191306","0.950771080232167"
"Yes","2003","direct migration background","99","0.0402477120902798","0.0324573286121975","0.0480380955683621"
"Yes","2003","indirect migration background","50","0.0875245579912155","0.0667957398845647","0.108253376097866"
"Yes","2003","no migration background","957","0.0527289542882636","0.0492289197678331","0.0562289888086942"
"No","2004","direct migration background","2430","0.952922037670203","0.944688284724746","0.96115579061566"
"No","2004","indirect migration background","741","0.905177013141557","0.88490091051357","0.925453115769544"
"No","2004","no migration background","17067","0.943383830739302","0.940030573972618","0.946737087505987"
"Yes","2004","direct migration background","112","0.047077962329797","0.0388442093843402","0.0553117152752538"
"Yes","2004","indirect migration background","61","0.0948229868584432","0.0745468842304561","0.11509908948643"
"Yes","2004","no migration background","1180","0.0566161692606975","0.0532629124940128","0.0599694260273823"
"No","2005","direct migration background","2256","0.955401691084097","0.947073622595851","0.963729759572343"
"No","2005","indirect migration background","761","0.919017914742585","0.900379685897069","0.9376561435881"
"No","2005","no migration background","16390","0.945981099623411","0.942621983568344","0.949340215678477"
"Yes","2005","direct migration background","104","0.0445983089159031","0.0362702404276575","0.0529263774041488"
"Yes","2005","indirect migration background","62","0.0809820852574153","0.0623438564118997","0.0996203141029309"
"Yes","2005","no migration background","1007","0.0540189003765895","0.0506597843215228","0.0573780164316561"
"No","2006","direct migration background","2278","0.955687382144764","0.94741627216296","0.963958492126569"
"No","2006","indirect migration background","759","0.931766722736923","0.914466379278122","0.949067066195723"
"No","2006","no migration background","17838","0.955060680493733","0.95209327085144","0.958028090136025"
"Yes","2006","direct migration background","100","0.0443126178552358","0.0360415078734315","0.0525837278370402"
"Yes","2006","indirect migration background","57","0.0682332772630771","0.0509329338042765","0.0855336207218776"
"Yes","2006","no migration background","886","0.0449393195062675","0.0419719098639751","0.04790672914856"
"No","2007","direct migration background","2022","0.958363667680083","0.949856470153771","0.966870865206394"
"No","2007","indirect migration background","716","0.91419312881971","0.894487185016421","0.933899072622999"
"No","2007","no migration background","16587","0.947422106067488","0.944116669949628","0.950727542185349"
"Yes","2007","direct migration background","96","0.0416363323199172","0.0331291347936054","0.0501435298462289"
"Yes","2007","indirect migration background","60","0.0858068711802902","0.0661009273770009","0.10551281498358"
"Yes","2007","no migration background","927","0.0525778939325118","0.049272457814651","0.0558833300503725"
"No","2008","direct migration background","1809","0.956524831652037","0.94738904634615","0.965660616957924"
"No","2008","indirect migration background","720","0.943989961790131","0.927759251550826","0.960220672029435"
"No","2008","no migration background","15886","0.9525265719641","0.949302166086602","0.955750977841599"
"Yes","2008","direct migration background","105","0.0434751683479629","0.0343393830420756","0.0526109536538503"
"Yes","2008","indirect migration background","51","0.0560100382098694","0.039779327970565","0.0722407484491737"
"Yes","2008","no migration background","822","0.0474734280358997","0.0442490221584014","0.050697833913398"
"No","2009","direct migration background","1588","0.950067585113948","0.93961198832431","0.960523181903587"
"No","2009","indirect migration background","669","0.922176125664745","0.902526135098115","0.941826116231376"
"No","2009","no migration background","15102","0.959889006327106","0.956822334051575","0.962955678602637"
"Yes","2009","direct migration background","79","0.0499324148860518","0.0394768180964132","0.0603880116756905"
"Yes","2009","indirect migration background","45","0.0778238743352547","0.0581738837686242","0.0974738649018852"
"Yes","2009","no migration background","625","0.0401109936728941","0.0370443213973634","0.0431776659484248"
"No","2010","direct migration background","1425","0.96377952759007","0.954251044952076","0.973308010228064"
"No","2010","indirect migration background","626","0.949323200729206","0.932576971962045","0.966069429496367"
"No","2010","no migration background","14028","0.964162723941311","0.961146916665716","0.967178531216905"
"Yes","2010","direct migration background","52","0.0362204724099301","0.0266919897719362","0.0457489550479239"
"Yes","2010","indirect migration background","33","0.0506767992707938","0.0339305705036325","0.067423028037955"
"Yes","2010","no migration background","566","0.0358372760586894","0.0328214687830947","0.0388530833342842"
"No","2011","direct migration background","1932","0.954816111868296","0.94574705270504","0.963885171031551"
"No","2011","indirect migration background","760","0.967065732080099","0.954683508271825","0.979447955888372"
"No","2011","no migration background","17122","0.950456310920898","0.947288328582156","0.95362429325964"
"Yes","2011","direct migration background","83","0.0451838881317043","0.0361148289684489","0.0542529472949597"
"Yes","2011","indirect migration background","38","0.032934267919901","0.0205520441116275","0.0453164917281745"
"Yes","2011","no migration background","902","0.049543689079102","0.0463757067403596","0.0527116714178444"
"No","2012","direct migration background","1878","0.963845701815459","0.955558156869202","0.972133246761716"
"No","2012","indirect migration background","746","0.938926114367875","0.92229064564814","0.955561583087609"
"No","2012","no migration background","17169","0.961913117557973","0.959103229891248","0.964723005224697"
"Yes","2012","direct migration background","71","0.0361542981845411","0.0278667532382837","0.0444418431307984"
"Yes","2012","indirect migration background","50","0.0610738856321253","0.0444384169123906","0.07770935435186"
"Yes","2012","no migration background","656","0.0380868824420274","0.0352769947753031","0.0408967701087517"
"No","2013","direct migration background","1655","0.978532418676153","0.971628450520605","0.985436386831701"
"No","2013","indirect migration background","690","0.96505144642577","0.951590211420324","0.978512681431217"
"No","2013","no migration background","16133","0.975755216305659","0.973412053580943","0.978098379030374"
"Yes","2013","direct migration background","38","0.0214675813238472","0.0145636131682994","0.0283715494793951"
"Yes","2013","indirect migration background","25","","",""
"Yes","2013","no migration background","419","0.0242447836943413","0.0219016209696259","0.0265879464190567"
"No","2014","direct migration background","4961","0.968178999569794","0.963374935103415","0.972983064036172"
"No","2014","indirect migration background","1713","0.963785197245944","0.95514009648251","0.972430298009378"
"No","2014","no migration background","19614","0.971179393470822","0.968874877286927","0.973483909654717"
"Yes","2014","direct migration background","167","0.0318210004302062","0.0270169359638278","0.0366250648965846"
"Yes","2014","indirect migration background","81","0.0362148027540564","0.0275697019906222","0.0448599035174905"
"Yes","2014","no migration background","632","0.028820606529178","0.0265160903452831","0.0311251227130729"
"No","2015","direct migration background","4178","0.970798551075033","0.965776587802696","0.975820514347369"
"No","2015","indirect migration background","1558","0.95775305606508","0.947975906860742","0.967530205269419"
"No","2015","no migration background","18561","0.970219360415664","0.967815125848628","0.972623594982699"
"Yes","2015","direct migration background","140","0.0292014489249672","0.0241794856526305","0.034223412197304"
"Yes","2015","indirect migration background","68","0.0422469439349199","0.0324697947305815","0.0520240931392584"
"Yes","2015","no migration background","641","0.0297806395843363","0.0273764050173006","0.032184874151372"
"No","2016","direct migration background","4644","0.971791336739672","0.967106486266663","0.97647618721268"
"No","2016","indirect migration background","1464","0.938347389041488","0.926361769277557","0.950333008805418"
"No","2016","no migration background","17213","0.964218030405221","0.961497634151398","0.966938426659045"
"Yes","2016","direct migration background","154","0.028208663260328","0.0235238127873196","0.0328935137333365"
"Yes","2016","indirect migration background","83","0.0616526109585121","0.0496669911945815","0.0736382307224428"
"Yes","2016","no migration background","696","0.0357819695947789","0.0330615733409555","0.0385023658486023"
"No","2017","direct migration background","4452","0.972889030362458","0.968188625742707","0.977589434982209"
"No","2017","indirect migration background","1601","0.94953188606673","0.939091980260146","0.959971791873314"
"No","2017","no migration background","19442","0.96468391908784","0.962143948711045","0.967223889464636"
"Yes","2017","direct migration background","134","0.0271109696375419","0.0224105650177911","0.0318113742572928"
"Yes","2017","indirect migration background","88","0.0504681139332701","0.0400282081266862","0.060908019739854"
"Yes","2017","no migration background","844","0.0353160809121595","0.0327761105353639","0.0378560512889551"
"No","2018","direct migration background","4263","0.977509500519105","0.973124426090554","0.981894574947657"
"No","2018","indirect migration background","1615","0.939073096518443","0.927695946085124","0.950450246951763"
"No","2018","no migration background","18894","0.968438614883793","0.965990050844144","0.970887178923442"
"Yes","2018","direct migration background","129","0.0224904994808946","0.0181054250523429","0.0268755739094462"
"Yes","2018","indirect migration background","83","0.0609269034815566","0.0495497530482368","0.0723040539148764"
"Yes","2018","no migration background","690","0.0315613851162068","0.0291128210765575","0.034009949155856"
"No","2019","direct migration background","3753","0.968478755509245","0.962963999464093","0.973993511554398"
"No","2019","indirect migration background","1633","0.966373991608617","0.957814980877942","0.974933002339293"
"No","2019","no migration background","19676","0.969467996070525","0.96710064774749","0.97183534439356"
"Yes","2019","direct migration background","103","0.0315212444907545","0.026006488445602","0.037036000535907"
"Yes","2019","indirect migration background","71","0.0336260083913828","0.0250669976607073","0.0421850191220584"
"Yes","2019","no migration background","613","0.0305320039294748","0.0281646556064401","0.0328993522525095"
