"ple0160","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2000","Part Time","vocational + Abi","247","0.888186361508362","0.850804045234581","0.925568677782142"
"No","2000","Part Time","higher vocational","339","0.923927094135566","0.896766366358305","0.951087821912826"
"No","2000","Part Time","higher education","660","0.905105177886603","0.883903470137277","0.92630688563593"
"No","2000","Not Working","in school","396","0.96189621302392","0.943387536820316","0.980404889227523"
"No","2000","Not Working","inadequately","237","0.992859667382529","0.982185050511805","1.00353428425325"
"No","2000","Not Working","general elemantary","1948","0.984137521974071","0.978647994477865","0.989627049470277"
"No","2000","Not Working","middle vocational","4584","0.975158640622014","0.970712786796897","0.97960449444713"
"No","2000","Not Working","vocational + Abi","278","0.971738682990146","0.952632668020433","0.990844697959858"
"No","2000","Not Working","higher vocational","504","0.984872966870418","0.974341466976816","0.995404466764019"
"No","2000","Not Working","higher education","836","0.964978957609098","0.952721097078207","0.977236818139989"
"Yes","2001","Full Time","in school","","","",""
"Yes","2001","Full Time","inadequately","4","","",""
"Yes","2001","Full Time","general elemantary","37","0.0512787670118756","0.0359273102173227","0.0666302238064285"
"Yes","2001","Full Time","middle vocational","347","0.06946651204403","0.0622483800054879","0.076684644082572"
"Yes","2001","Full Time","vocational + Abi","64","0.115911279698685","0.0881013446230024","0.143721214774367"
"Yes","2001","Full Time","higher vocational","66","0.0769843584397464","0.0591685865598049","0.094800130319688"
"Yes","2001","Full Time","higher education","174","0.0913107145736628","0.0788292987920496","0.103792130355276"
"Yes","2001","Part Time","in school","8","","",""
"Yes","2001","Part Time","inadequately","4","","",""
"Yes","2001","Part Time","general elemantary","68","0.0945939256754122","0.0724010701312666","0.116786781219558"
"Yes","2001","Part Time","middle vocational","239","0.087137315629521","0.0763192535132148","0.0979553777458272"
"Yes","2001","Part Time","vocational + Abi","24","","",""
"Yes","2001","Part Time","higher vocational","26","","",""
"Yes","2001","Part Time","higher education","77","0.121427785374947","0.0972660955777269","0.145589475172166"
"Yes","2001","Not Working","in school","14","","",""
"Yes","2001","Not Working","inadequately","1","","",""
"Yes","2001","Not Working","general elemantary","29","","",""
"Yes","2001","Not Working","middle vocational","105","0.0215082578162388","0.0171457417816062","0.0258707738508714"
"Yes","2001","Not Working","vocational + Abi","14","","",""
"Yes","2001","Not Working","higher vocational","8","","",""
"Yes","2001","Not Working","higher education","26","","",""
"No","2001","Full Time","in school","6","","",""
"No","2001","Full Time","inadequately","65","0.91418871896119","0.848102079663462","0.980275358258918"
"No","2001","Full Time","general elemantary","756","0.948721232988124","0.933369776193572","0.964072689782677"
"No","2001","Full Time","middle vocational","4419","0.93053348795597","0.923315355917428","0.937751619994512"
"No","2001","Full Time","vocational + Abi","445","0.884088720301315","0.856278785225633","0.911898655376998"
"No","2001","Full Time","higher vocational","794","0.923015641560254","0.905199869680312","0.940831413440195"
"No","2001","Full Time","higher education","1872","0.908689285426337","0.896207869644724","0.92117070120795"
"No","2001","Part Time","in school","108","0.937459452957344","0.893396238054385","0.981522667860302"
"No","2001","Part Time","inadequately","59","0.909424726790153","0.838554141116","0.980295312464305"
"No","2001","Part Time","general elemantary","600","0.905406074324588","0.883213218780442","0.927598929868733"
"No","2001","Part Time","middle vocational","2372","0.912862684370479","0.902044622254173","0.923680746486785"
"No","2001","Part Time","vocational + Abi","262","0.902231145640999","0.86781008526004","0.936652206021959"
"No","2001","Part Time","higher vocational","322","0.927675984983228","0.900461639744347","0.954890330222109"
"No","2001","Part Time","higher education","625","0.878572214625053","0.854410524827834","0.902733904422273"
"No","2001","Not Working","in school","410","0.972662730976957","0.957141582129041","0.988183879824873"
"No","2001","Not Working","inadequately","178","0.998727472595277","0.993504970225553","1.003949974965"
"No","2001","Not Working","general elemantary","1624","0.985940339140813","0.980264574153038","0.991616104128588"
"No","2001","Not Working","middle vocational","4143","0.978491742183761","0.974129226149129","0.982854258218394"
"No","2001","Not Working","vocational + Abi","268","0.959983860949494","0.937108229313665","0.982859492585324"
"No","2001","Not Working","higher vocational","459","0.987387950373571","0.977266881092611","0.997509019654531"
"No","2001","Not Working","higher education","789","0.958928843958729","0.945304018691788","0.97255366922567"
"Yes","2002","Full Time","in school","1","","",""
"Yes","2002","Full Time","inadequately","1","","",""
"Yes","2002","Full Time","general elemantary","32","0.0545136672537346","0.0374121720138154","0.0716151624936538"
"Yes","2002","Full Time","middle vocational","242","0.0577199539027626","0.0505026541159142","0.0649372536896111"
"Yes","2002","Full Time","vocational + Abi","38","0.0817455958564783","0.0574374478541752","0.106053743858781"
"Yes","2002","Full Time","higher vocational","36","0.0452683536977169","0.0300514419252592","0.0604852654701746"
"Yes","2002","Full Time","higher education","84","0.0530012572034386","0.041858821158067","0.0641436932488103"
"Yes","2002","Part Time","in school","5","","",""
"Yes","2002","Part Time","inadequately","2","","",""
"Yes","2002","Part Time","general elemantary","58","0.0803153237231185","0.0586408628365692","0.101989784609668"
"Yes","2002","Part Time","middle vocational","174","0.0718866961239956","0.0618336372139381","0.0819397550340531"
"Yes","2002","Part Time","vocational + Abi","27","","",""
"Yes","2002","Part Time","higher vocational","21","","",""
"Yes","2002","Part Time","higher education","48","0.0740621145672962","0.0534157860112106","0.0947084431233818"
"Yes","2002","Not Working","in school","13","","",""
"Yes","2002","Not Working","inadequately","2","","",""
"Yes","2002","Not Working","general elemantary","20","","",""
"Yes","2002","Not Working","middle vocational","67","0.0111812059783749","0.00787225082336894","0.0144901611333809"
"Yes","2002","Not Working","vocational + Abi","14","","",""
"Yes","2002","Not Working","higher vocational","13","","",""
"Yes","2002","Not Working","higher education","11","","",""
"No","2002","Full Time","in school","2","","",""
"No","2002","Full Time","inadequately","58","0.981517954279923","0.9471505897475","1.01588531881235"
"No","2002","Full Time","general elemantary","645","0.945486332746265","0.928384837506346","0.962587827986185"
"No","2002","Full Time","middle vocational","3769","0.942280046097237","0.935062746310389","0.949497345884086"
"No","2002","Full Time","vocational + Abi","450","0.918254404143522","0.893946256141219","0.942562552145825"
"No","2002","Full Time","higher vocational","681","0.954731646302283","0.939514734529825","0.969948558074741"
"No","2002","Full Time","higher education","1469","0.946998742796561","0.93585630675119","0.958141178841933"
"No","2002","Part Time","in school","88","0.936283459611537","0.886642932343851","0.985923986879223"
"No","2002","Part Time","inadequately","55","0.959296424557159","0.907998079327959","1.01059476978636"
"No","2002","Part Time","general elemantary","546","0.919684676276882","0.898010215390332","0.941359137163431"
"No","2002","Part Time","middle vocational","2362","0.928113303876004","0.918060244965947","0.938166362786062"
"No","2002","Part Time","vocational + Abi","254","0.908958913308525","0.875324351512728","0.942593475104322"
"No","2002","Part Time","higher vocational","305","0.942041067432156","0.916676094794899","0.967406040069412"
"No","2002","Part Time","higher education","570","0.925937885432704","0.905291556876618","0.946584213988789"
"No","2002","Not Working","in school","373","0.96384903458635","0.945227352977732","0.982470716194968"
"No","2002","Not Working","inadequately","154","0.987933223584414","0.970799757859782","1.00506668930905"
"No","2002","Not Working","general elemantary","1451","0.992724527047142","0.988381557881639","0.997067496212645"
"No","2002","Not Working","middle vocational","3812","0.988818794021625","0.985509838866619","0.992127749176631"
"No","2002","Not Working","vocational + Abi","253","0.952086166320548","0.92646723270617","0.977705099934925"
"No","2002","Not Working","higher vocational","416","0.972496243660309","0.957020218856027","0.987972268464591"
"No","2002","Not Working","higher education","688","0.99022307824279","0.982928887853316","0.997517268632264"
"Yes","2003","Full Time","in school","","","",""
"Yes","2003","Full Time","inadequately","1","","",""
"Yes","2003","Full Time","general elemantary","36","0.0582146678585698","0.0398282874716503","0.0766010482454892"
"Yes","2003","Full Time","middle vocational","298","0.0754682114971841","0.0669707919715813","0.0839656310227869"
"Yes","2003","Full Time","vocational + Abi","43","0.0862433284157579","0.0610774451552021","0.111409211676314"
"Yes","2003","Full Time","higher vocational","41","0.0570547893530697","0.0392781975700735","0.0748313811360658"
"Yes","2003","Full Time","higher education","130","0.0863880328652526","0.0719179342022923","0.100858131528213"
"Yes","2003","Part Time","in school","13","","",""
"Yes","2003","Part Time","inadequately","3","","",""
"Yes","2003","Part Time","general elemantary","56","0.0908868739135454","0.0678289356212427","0.113944812205848"
"Yes","2003","Part Time","middle vocational","191","0.0702505660592258","0.0601921377253539","0.0803089943930977"
"Yes","2003","Part Time","vocational + Abi","30","0.0760587366818201","0.0461111673782343","0.106006305985406"
"Yes","2003","Part Time","higher vocational","25","","",""
"Yes","2003","Part Time","higher education","50","0.0933980062620587","0.0700950072095115","0.116701005314606"
"Yes","2003","Not Working","in school","28","","",""
"Yes","2003","Not Working","inadequately","2","","",""
"Yes","2003","Not Working","general elemantary","12","","",""
"Yes","2003","Not Working","middle vocational","82","0.0170802654480231","0.0129681615238057","0.0211923693722404"
"Yes","2003","Not Working","vocational + Abi","7","","",""
"Yes","2003","Not Working","higher vocational","13","","",""
"Yes","2003","Not Working","higher education","23","","",""
"No","2003","Full Time","in school","1","","",""
"No","2003","Full Time","inadequately","59","0.992624360660101","0.97097401838921","1.01427470293099"
"No","2003","Full Time","general elemantary","587","0.94178533214143","0.923398951754511","0.96017171252835"
"No","2003","Full Time","middle vocational","3414","0.924531788502816","0.916034368977213","0.933029208028419"
"No","2003","Full Time","vocational + Abi","435","0.913756671584242","0.888590788323686","0.938922554844798"
"No","2003","Full Time","higher vocational","613","0.94294521064693","0.925168618863934","0.960721802429927"
"No","2003","Full Time","higher education","1318","0.913611967134747","0.899141868471787","0.928082065797708"
"No","2003","Part Time","in school","72","0.83322339063805","0.753975643510319","0.912471137765781"
"No","2003","Part Time","inadequately","38","0.867474517879472","0.763689605694551","0.971259430064394"
"No","2003","Part Time","general elemantary","541","0.909113126086455","0.886055187794152","0.932171064378757"
"No","2003","Part Time","middle vocational","2289","0.929749433940774","0.919691005606902","0.939807862274646"
"No","2003","Part Time","vocational + Abi","271","0.92394126331818","0.893993694014594","0.953888832621766"
"No","2003","Part Time","higher vocational","316","0.931797496556834","0.905040840917901","0.958554152195768"
"No","2003","Part Time","higher education","549","0.906601993737941","0.883298994685394","0.929904992790488"
"No","2003","Not Working","in school","380","0.935431368936089","0.911584313367631","0.959278424504547"
"No","2003","Not Working","inadequately","150","0.993583816740957","0.980890739246517","1.0062768942354"
"No","2003","Not Working","general elemantary","1407","0.992936991216909","0.988579739882026","0.997294242551792"
"No","2003","Not Working","middle vocational","3732","0.982919734551977","0.97880763062776","0.987031838476194"
"No","2003","Not Working","vocational + Abi","239","0.99069721407316","0.978700632209905","1.00269379593642"
"No","2003","Not Working","higher vocational","419","0.975355078043212","0.960734945296261","0.989975210790163"
"No","2003","Not Working","higher education","700","0.962779899417874","0.948981420292454","0.976578378543294"
"Yes","2004","Full Time","in school","","","",""
"Yes","2004","Full Time","inadequately","3","","",""
"Yes","2004","Full Time","general elemantary","30","0.0395486859092264","0.0239799428315064","0.0551174289869464"
"Yes","2004","Full Time","middle vocational","329","0.0834384762793497","0.0748328796778607","0.0920440728808388"
"Yes","2004","Full Time","vocational + Abi","65","0.135785534180928","0.106703685870193","0.164867382491663"
"Yes","2004","Full Time","higher vocational","60","0.0671913092129621","0.0498646932169081","0.0845179252090162"
"Yes","2004","Full Time","higher education","187","0.0671252745969264","0.0570591469162247","0.0771914022776282"
"Yes","2004","Part Time","in school","7","","",""
"Yes","2004","Part Time","inadequately","3","","",""
"Yes","2004","Part Time","general elemantary","48","0.0738504869207528","0.0520531840709678","0.0956477897705378"
"Yes","2004","Part Time","middle vocational","209","0.0694555164586024","0.0597633368987663","0.0791476960184386"
"Yes","2004","Part Time","vocational + Abi","26","","",""
"Yes","2004","Part Time","higher vocational","30","0.10040171160455","0.068503541475882","0.132299881733219"
"Yes","2004","Part Time","higher education","72","0.0859545022234332","0.0678619076182631","0.104047096828603"
"Yes","2004","Not Working","in school","30","0.0485482038095544","0.0303534713249453","0.0667429362941634"
"Yes","2004","Not Working","inadequately","6","","",""
"Yes","2004","Not Working","general elemantary","45","0.0286891359362057","0.0200401312692587","0.0373381406031527"
"Yes","2004","Not Working","middle vocational","116","0.022891464543793","0.0183510821727866","0.0274318469147995"
"Yes","2004","Not Working","vocational + Abi","14","","",""
"Yes","2004","Not Working","higher vocational","17","","",""
"Yes","2004","Not Working","higher education","26","","",""
"No","2004","Full Time","in school","1","","",""
"No","2004","Full Time","inadequately","49","0.843201371522797","0.744372644563779","0.942030098481815"
"No","2004","Full Time","general elemantary","572","0.960451314090774","0.944882571013054","0.976020057168494"
"No","2004","Full Time","middle vocational","3638","0.91656152372065","0.907955927119161","0.925167120322139"
"No","2004","Full Time","vocational + Abi","468","0.864214465819072","0.835132617508337","0.893296314129807"
"No","2004","Full Time","higher vocational","742","0.932808690787038","0.915482074790984","0.950135306783092"
"No","2004","Full Time","higher education","2187","0.932874725403073","0.922808597722372","0.942940853083775"
"No","2004","Part Time","in school","85","0.927519723610029","0.874538049797069","0.980501397422988"
"No","2004","Part Time","inadequately","47","0.890831118499315","0.804392023966192","0.977270213032439"
"No","2004","Part Time","general elemantary","505","0.926149513079247","0.904352210229462","0.947946815929032"
"No","2004","Part Time","middle vocational","2434","0.930544483541398","0.920852303981561","0.940236663101234"
"No","2004","Part Time","vocational + Abi","315","0.920810630000635","0.892149750872059","0.94947150912921"
"No","2004","Part Time","higher vocational","311","0.89959828839545","0.867700118266781","0.931496458524118"
