"ple0160","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","in school","","","",""
"Yes","1999","Schleswig-Holstein","inadequately","","","",""
"Yes","1999","Schleswig-Holstein","general elemantary","1","","",""
"Yes","1999","Schleswig-Holstein","middle vocational","4","","",""
"Yes","1999","Schleswig-Holstein","vocational + Abi","3","","",""
"Yes","1999","Schleswig-Holstein","higher vocational","1","","",""
"Yes","1999","Schleswig-Holstein","higher education","","","",""
"Yes","1999","Hamburg","in school","","","",""
"Yes","1999","Hamburg","inadequately","","","",""
"Yes","1999","Hamburg","general elemantary","","","",""
"Yes","1999","Hamburg","middle vocational","2","","",""
"Yes","1999","Hamburg","vocational + Abi","","","",""
"Yes","1999","Hamburg","higher vocational","","","",""
"Yes","1999","Hamburg","higher education","2","","",""
"Yes","1999","Lower Saxony","in school","2","","",""
"Yes","1999","Lower Saxony","inadequately","1","","",""
"Yes","1999","Lower Saxony","general elemantary","15","","",""
"Yes","1999","Lower Saxony","middle vocational","38","0.0573998405526155","0.0386149122819332","0.0761847688232978"
"Yes","1999","Lower Saxony","vocational + Abi","4","","",""
"Yes","1999","Lower Saxony","higher vocational","3","","",""
"Yes","1999","Lower Saxony","higher education","10","","",""
"Yes","1999","Bremen","in school","","","",""
"Yes","1999","Bremen","inadequately","","","",""
"Yes","1999","Bremen","general elemantary","1","","",""
"Yes","1999","Bremen","middle vocational","4","","",""
"Yes","1999","Bremen","vocational + Abi","","","",""
"Yes","1999","Bremen","higher vocational","","","",""
"Yes","1999","Bremen","higher education","1","","",""
"Yes","1999","North Rhine-Westphalia","in school","2","","",""
"Yes","1999","North Rhine-Westphalia","inadequately","3","","",""
"Yes","1999","North Rhine-Westphalia","general elemantary","16","","",""
"Yes","1999","North Rhine-Westphalia","middle vocational","60","0.0445660028590468","0.0334636553502034","0.0556683503678901"
"Yes","1999","North Rhine-Westphalia","vocational + Abi","13","","",""
"Yes","1999","North Rhine-Westphalia","higher vocational","7","","",""
"Yes","1999","North Rhine-Westphalia","higher education","22","","",""
"Yes","1999","Hesse","in school","","","",""
"Yes","1999","Hesse","inadequately","","","",""
"Yes","1999","Hesse","general elemantary","5","","",""
"Yes","1999","Hesse","middle vocational","19","","",""
"Yes","1999","Hesse","vocational + Abi","6","","",""
"Yes","1999","Hesse","higher vocational","3","","",""
"Yes","1999","Hesse","higher education","8","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","general elemantary","5","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","middle vocational","20","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","vocational + Abi","2","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","higher vocational","3","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","higher education","4","","",""
"Yes","1999","Baden-Württemberg","in school","2","","",""
"Yes","1999","Baden-Württemberg","inadequately","2","","",""
"Yes","1999","Baden-Württemberg","general elemantary","16","","",""
"Yes","1999","Baden-Württemberg","middle vocational","33","0.0347975526871295","0.0219114633069463","0.0476836420673127"
"Yes","1999","Baden-Württemberg","vocational + Abi","5","","",""
"Yes","1999","Baden-Württemberg","higher vocational","9","","",""
"Yes","1999","Baden-Württemberg","higher education","16","","",""
"Yes","1999","Bavaria","in school","","","",""
"Yes","1999","Bavaria","inadequately","3","","",""
"Yes","1999","Bavaria","general elemantary","15","","",""
"Yes","1999","Bavaria","middle vocational","42","0.0353901130954182","0.0235026020726253","0.0472776241182111"
"Yes","1999","Bavaria","vocational + Abi","3","","",""
"Yes","1999","Bavaria","higher vocational","5","","",""
"Yes","1999","Bavaria","higher education","16","","",""
"Yes","1999","Berlin","in school","","","",""
"Yes","1999","Berlin","inadequately","","","",""
"Yes","1999","Berlin","general elemantary","2","","",""
"Yes","1999","Berlin","middle vocational","11","","",""
"Yes","1999","Berlin","vocational + Abi","","","",""
"Yes","1999","Berlin","higher vocational","1","","",""
"Yes","1999","Berlin","higher education","8","","",""
"Yes","1999","Brandenburg","in school","","","",""
"Yes","1999","Brandenburg","inadequately","","","",""
"Yes","1999","Brandenburg","general elemantary","5","","",""
"Yes","1999","Brandenburg","middle vocational","23","","",""
"Yes","1999","Brandenburg","vocational + Abi","1","","",""
"Yes","1999","Brandenburg","higher vocational","3","","",""
"Yes","1999","Brandenburg","higher education","9","","",""
"Yes","1999","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","middle vocational","17","","",""
"Yes","1999","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","higher vocational","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","higher education","2","","",""
"Yes","1999","Saxony","in school","3","","",""
"Yes","1999","Saxony","inadequately","","","",""
"Yes","1999","Saxony","general elemantary","3","","",""
"Yes","1999","Saxony","middle vocational","34","0.0572510161259752","0.0393219417100386","0.0751800905419119"
"Yes","1999","Saxony","vocational + Abi","2","","",""
"Yes","1999","Saxony","higher vocational","4","","",""
"Yes","1999","Saxony","higher education","16","","",""
"Yes","1999","Saxony-Anhalt","in school","1","","",""
"Yes","1999","Saxony-Anhalt","inadequately","1","","",""
"Yes","1999","Saxony-Anhalt","general elemantary","6","","",""
"Yes","1999","Saxony-Anhalt","middle vocational","23","","",""
"Yes","1999","Saxony-Anhalt","vocational + Abi","1","","",""
"Yes","1999","Saxony-Anhalt","higher vocational","3","","",""
"Yes","1999","Saxony-Anhalt","higher education","8","","",""
"Yes","1999","Thuringia","in school","","","",""
"Yes","1999","Thuringia","inadequately","","","",""
"Yes","1999","Thuringia","general elemantary","5","","",""
"Yes","1999","Thuringia","middle vocational","16","","",""
"Yes","1999","Thuringia","vocational + Abi","2","","",""
"Yes","1999","Thuringia","higher vocational","3","","",""
"Yes","1999","Thuringia","higher education","5","","",""
"No","1999","Schleswig-Holstein","in school","11","","",""
"No","1999","Schleswig-Holstein","inadequately","5","","",""
"No","1999","Schleswig-Holstein","general elemantary","41","0.977092617308511","0.931846736473183","1.02233849814384"
"No","1999","Schleswig-Holstein","middle vocational","184","0.977848525389879","0.956810436774121","0.998886614005638"
"No","1999","Schleswig-Holstein","vocational + Abi","17","","",""
"No","1999","Schleswig-Holstein","higher vocational","20","","",""
"No","1999","Schleswig-Holstein","higher education","37","1","1","1"
"No","1999","Hamburg","in school","2","","",""
"No","1999","Hamburg","inadequately","6","","",""
"No","1999","Hamburg","general elemantary","29","","",""
"No","1999","Hamburg","middle vocational","75","0.991097377337558","0.970116682116135","1.01207807255898"
"No","1999","Hamburg","vocational + Abi","6","","",""
"No","1999","Hamburg","higher vocational","3","","",""
"No","1999","Hamburg","higher education","12","","",""
"No","1999","Lower Saxony","in school","22","","",""
"No","1999","Lower Saxony","inadequately","33","0.959236465685894","0.892769265022071","1.02570366634972"
"No","1999","Lower Saxony","general elemantary","227","0.948766636014564","0.920988919183218","0.976544352845909"
"No","1999","Lower Saxony","middle vocational","551","0.942600159447384","0.923815231176702","0.961385087718067"
"No","1999","Lower Saxony","vocational + Abi","60","0.932665349523101","0.871269313796203","0.994061385249998"
"No","1999","Lower Saxony","higher vocational","67","0.961445898295764","0.916343795459823","1.0065480011317"
"No","1999","Lower Saxony","higher education","118","0.940262950444741","0.899205719792664","0.981320181096819"
"No","1999","Bremen","in school","3","","",""
"No","1999","Bremen","inadequately","2","","",""
"No","1999","Bremen","general elemantary","16","","",""
"No","1999","Bremen","middle vocational","43","0.922072268252826","0.845437180323681","0.998707356181972"
"No","1999","Bremen","vocational + Abi","3","","",""
"No","1999","Bremen","higher vocational","4","","",""
"No","1999","Bremen","higher education","8","","",""
"No","1999","North Rhine-Westphalia","in school","74","0.986811561999075","0.96116346836265","1.0124596556355"
