"ple0160","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","1-pers.-HH","higher vocational","78","0.962194153334156","0.921162417887807","1.0032258887805","2"
"No","1999","Couple + C. GT 16 ","vocational + Abi","59","0.943088268766273","0.886329211459751","0.999847326072795","2"
"No","1999","(Married) couple without C. ","vocational + Abi","138","0.934267569495526","0.894476973959711","0.974058165031341","2"
"No","1999","1-pers.-HH","inadequately","26","","","","2"
"No","1999","1-pers.-HH","general elemantary","392","0.992019503244849","0.983256044106653","1.00078296238304","2"
"No","1999","Couple + C. GT 16 ","in school","139","0.974981227368694","0.949560075983139","1.00040237875425","2"
"No","1999","Couple + C. GT 16 ","inadequately","126","0.985584512917075","0.964935242956326","1.00623378287782","2"
"No","1999","Couple + C. GT 16 ","general elemantary","467","0.947136223709426","0.927384275122605","0.966888172296247","2"
"No","1999","(Married) couple without C. ","higher education","616","0.949349492704352","0.932594659634795","0.966104325773908","2"
"No","1999","1-pers.-HH","in school","1","","","","2"
"No","1999","1-pers.-HH","middle vocational","825","0.956618353811933","0.943011150187315","0.970225557436552","2"
"No","1999","1-pers.-HH","vocational + Abi","69","0.961591695800677","0.917506316738911","1.00567707486244","2"
"No","1999","(Married) couple without C. ","middle vocational","2161","0.966823408279545","0.959421514885962","0.974225301673128","2"
"No","1999","(Married) couple without C. ","higher vocational","261","0.973533772021421","0.954422702995537","0.992644841047305","2"
"No","1999","Couple + C. GT 16 ","middle vocational","1117","0.952211612473466","0.940030039506322","0.96439318544061","2"
"No","1999","Couple + C. LE and GT 16","in school","125","0.985609178278212","0.964896254995685","1.00632210156074","2"
"No","1999","Couple + C. LE and GT 16","general elemantary","237","0.947837567034659","0.920329687805251","0.975345446264068","2"
"No","1999","Couple + C. LE and GT 16","middle vocational","449","0.957336095856984","0.939103873608888","0.97556831810508","2"
"No","1999","1-pers.-HH","higher education","216","0.931623717653743","0.899423033437304","0.963824401870182","2"
"No","1999","Couple + C. LE and GT 16","inadequately","49","0.982197647121368","0.945906462027712","1.01848883221502","2"
"No","1999","Couple + C. LE and GT 16","vocational + Abi","31","0.85368718814705","0.733105410711394","0.974268965582705","2"
"No","1999","Couple + C. GT 16 ","higher vocational","114","0.940391287871733","0.898030245722209","0.982752330021257","2"
"No","1999","Couple + C. GT 16 ","higher education","295","0.966872614953238","0.946852935891197","0.986892294015278","2"
"No","1999","Couple + C. LE and GT 16","higher vocational","55","0.888951452533563","0.809451306041037","0.96845159902609","2"
"No","1999","Couple + C. LE and GT 16","higher education","127","0.928928131149021","0.885744559227618","0.972111703070424","2"
"No","1999","(Married) couple without C. ","in school","2","","","","2"
"No","1999","(Married) couple without C. ","inadequately","91","0.97794768642437","0.948101317134541","1.0077940557142","2"
"No","1999","(Married) couple without C. ","general elemantary","650","0.983498766531081","0.973830907965394","0.993166625096769","2"
"No","1999","Single parent ","higher vocational","16","","","","2"
"No","1999","Single parent ","higher education","66","0.938096439542003","0.881644271037936","0.99454860804607","2"
"No","1999","Couple + C. LE 16 ","in school","2","","","","2"
"No","1999","Couple + C. LE 16 ","inadequately","56","0.930249977261558","0.865796778394318","0.994703176128797","2"
"No","1999","Couple + C. LE 16 ","general elemantary","337","0.928396341466689","0.901650990608326","0.955141692325051","2"
"No","1999","Couple + C. LE 16 ","middle vocational","1511","0.942027956820551","0.930641200369452","0.95341471327165","2"
"No","1999","Couple + C. LE 16 ","vocational + Abi","148","0.883274637641999","0.834281346484811","0.932267928799188","2"
"No","1999","Couple + C. LE 16 ","higher vocational","233","0.906854601611146","0.870682663141431","0.943026540080862","2"
"No","1999","Couple + C. LE 16 ","higher education","465","0.93367657666679","0.911864611875266","0.955488541458313","2"
"No","1999","Single parent ","in school","34","0.974979051280349","0.923958356396832","1.02599974616387","2"
"No","1999","Single parent ","inadequately","25","","","","2"
"No","1999","Single parent ","general elemantary","169","0.948641713847724","0.916396281181852","0.980887146513596","2"
"No","1999","Single parent ","middle vocational","339","0.942329451232275","0.918113500948027","0.966545401516524","2"
"No","1999","Single parent ","vocational + Abi","11","","","","2"
"Yes","1999","1-pers.-HH","in school","","","","","1"
"Yes","1999","1-pers.-HH","inadequately","","","","","1"
