"ple0160","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","(0) in school","10","","",""
"Yes","1999","16-34 y.","(1a) inadequately completed","6","","",""
"Yes","1999","16-34 y.","(1b) general elementary school","28","","",""
"Yes","1999","16-34 y.","(1c) basic vocational qualification","45","0.0400124797822085","0.0261962715043357","0.0538286880600814"
"Yes","1999","16-34 y.","(2b) intermediate general qualification","43","0.113351885763028","0.0827400407973703","0.143963730728686"
"Yes","1999","16-34 y.","(2a) intermediate vocational","107","0.113155449939316","0.0945280366591006","0.13178286321953"
"Yes","1999","16-34 y.","(2c_gen) general maturity certificate","42","0.108395478761585","0.0773420584723686","0.139448899050802"
"Yes","1999","16-34 y.","(2c_voc) vocational maturity certificate","30","0.0888088146639578","0.0583012423556401","0.119316386972276"
"Yes","1999","16-34 y.","(3a) lower tertiary education","18","","",""
"Yes","1999","16-34 y.","(3b) higher tertiary education","35","0.206215348349142","0.15299429749179","0.259436399206494"
"Yes","1999","35-65 y.","(0) in school","","","",""
"Yes","1999","35-65 y.","(1a) inadequately completed","5","","",""
"Yes","1999","35-65 y.","(1b) general elementary school","21","","",""
"Yes","1999","35-65 y.","(1c) basic vocational qualification","83","0.0342267844305634","0.0271784209166887","0.0412751479444381"
"Yes","1999","35-65 y.","(2b) intermediate general qualification","4","","",""
"Yes","1999","35-65 y.","(2a) intermediate vocational","80","0.0495646965937226","0.0388829073395408","0.0602464858479044"
"Yes","1999","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"Yes","1999","35-65 y.","(2c_voc) vocational maturity certificate","25","","",""
"Yes","1999","35-65 y.","(3a) lower tertiary education","30","0.0319873186489791","0.0184388556435167","0.0455357816544415"
"Yes","1999","35-65 y.","(3b) higher tertiary education","41","0.048304126107523","0.0324547695216993","0.0641534826933466"
"Yes","1999","66 and older","(0) in school","","","",""
"Yes","1999","66 and older","(1a) inadequately completed","","","",""
"Yes","1999","66 and older","(1b) general elementary school","2","","",""
"Yes","1999","66 and older","(1c) basic vocational qualification","8","","",""
"Yes","1999","66 and older","(2b) intermediate general qualification","","","",""
"Yes","1999","66 and older","(2a) intermediate vocational","1","","",""
"Yes","1999","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","1999","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","66 and older","(3a) lower tertiary education","2","","",""
"Yes","1999","66 and older","(3b) higher tertiary education","1","","",""
"No","1999","16-34 y.","(0) in school","308","0.979484817365406","0.963904687293445","0.995064947437366"
"No","1999","16-34 y.","(1a) inadequately completed","84","0.90484339770037","0.844221013794274","0.965465781606465"
"No","1999","16-34 y.","(1b) general elementary school","467","0.945075916147441","0.925005321018289","0.965146511276594"
"No","1999","16-34 y.","(1c) basic vocational qualification","728","0.959987520217791","0.946171311939919","0.973803728495664"
"No","1999","16-34 y.","(2b) intermediate general qualification","369","0.886648114236972","0.856036269271314","0.91725995920263"
"No","1999","16-34 y.","(2a) intermediate vocational","1004","0.886844550060685","0.86821713678047","0.905471963340899"
"No","1999","16-34 y.","(2c_gen) general maturity certificate","343","0.891604521238415","0.860551100949198","0.922657941527631"
"No","1999","16-34 y.","(2c_voc) vocational maturity certificate","304","0.911191185336042","0.880683613027724","0.94169875764436"
"No","1999","16-34 y.","(3a) lower tertiary education","177","0.884926978234947","0.840137988987505","0.92971596748239"
"No","1999","16-34 y.","(3b) higher tertiary education","187","0.793784651650858","0.740563600793506","0.84700570250821"
"No","1999","35-65 y.","(0) in school","2","","",""
"No","1999","35-65 y.","(1a) inadequately completed","316","0.985855949392621","0.972938130054719","0.998773768730522"
"No","1999","35-65 y.","(1b) general elementary school","910","0.979863225869185","0.970840226450858","0.988886225287512"
"No","1999","35-65 y.","(1c) basic vocational qualification","2473","0.965773215569437","0.958724852055562","0.972821579083311"
"No","1999","35-65 y.","(2b) intermediate general qualification","82","0.96649961040364","0.928469758347704","1.00452946245958"
"No","1999","35-65 y.","(2a) intermediate vocational","1506","0.950435303406277","0.939753514152096","0.961117092660459"
"No","1999","35-65 y.","(2c_gen) general maturity certificate","79","0.985096444098096","0.958870840593177","1.01132204760301"
"No","1999","35-65 y.","(2c_voc) vocational maturity certificate","271","0.907181631003126","0.874124411177588","0.940238850828664"
"No","1999","35-65 y.","(3a) lower tertiary education","618","0.968012681351021","0.954464218345559","0.981561144356483"
"No","1999","35-65 y.","(3b) higher tertiary education","662","0.951695873892477","0.935846517306653","0.967545230478301"
"No","1999","66 and older","(0) in school","","","",""
"No","1999","66 and older","(1a) inadequately completed","63","1","1","1"
"No","1999","66 and older","(1b) general elementary school","526","0.996425848098336","0.9913355862287","1.00151610996797"
"No","1999","66 and older","(1c) basic vocational qualification","761","0.987298767592177","0.979384109652862","0.995213425531492"
"No","1999","66 and older","(2b) intermediate general qualification","38","1","1","1"
"No","1999","66 and older","(2a) intermediate vocational","157","0.991178830681233","0.976598793360983","1.00575886800148"
"No","1999","66 and older","(2c_gen) general maturity certificate","12","","",""
"No","1999","66 and older","(2c_voc) vocational maturity certificate","41","1","1","1"
"No","1999","66 and older","(3a) lower tertiary education","108","0.988195181594186","0.96801138923334","1.00837897395503"
"No","1999","66 and older","(3b) higher tertiary education","89","0.984434247924505","0.958859860037629","1.01000863581138"
"Yes","2000","16-34 y.","(0) in school","20","","",""
"Yes","2000","16-34 y.","(1a) inadequately completed","4","","",""
"Yes","2000","16-34 y.","(1b) general elementary school","46","0.0598272900003824","0.0423328829802573","0.0773216970205076"
"Yes","2000","16-34 y.","(1c) basic vocational qualification","83","0.0685928951156682","0.0542198360357669","0.0829659541955695"
"Yes","2000","16-34 y.","(2b) intermediate general qualification","65","0.10132351547936","0.0769124995557167","0.125734531403003"
"Yes","2000","16-34 y.","(2a) intermediate vocational","230","0.117033880567496","0.102806101372131","0.131261659762861"
"Yes","2000","16-34 y.","(2c_gen) general maturity certificate","81","0.116375682787295","0.092569122388464","0.140182243186125"
"Yes","2000","16-34 y.","(2c_voc) vocational maturity certificate","92","0.140560602037549","0.113881959581195","0.167239244493904"
"Yes","2000","16-34 y.","(3a) lower tertiary education","46","0.154626951284497","0.115559332829656","0.193694569739338"
"Yes","2000","16-34 y.","(3b) higher tertiary education","89","0.211734005558753","0.173164758697032","0.250303252420475"
"Yes","2000","35-65 y.","(0) in school","","","",""
"Yes","2000","35-65 y.","(1a) inadequately completed","5","","",""
"Yes","2000","35-65 y.","(1b) general elementary school","30","0.0247986819209117","0.01632558075541","0.0332717830864134"
"Yes","2000","35-65 y.","(1c) basic vocational qualification","174","0.0365007358120745","0.0312859821134544","0.0417154895106946"
"Yes","2000","35-65 y.","(2b) intermediate general qualification","4","","",""
"Yes","2000","35-65 y.","(2a) intermediate vocational","238","0.0719142331241134","0.0630185957890751","0.0808098704591517"
"Yes","2000","35-65 y.","(2c_gen) general maturity certificate","7","","",""
"Yes","2000","35-65 y.","(2c_voc) vocational maturity certificate","48","0.0686323593364172","0.0508207710704285","0.0864439476024059"
"Yes","2000","35-65 y.","(3a) lower tertiary education","63","0.0568756160062474","0.0435647663831695","0.0701864656293253"
"Yes","2000","35-65 y.","(3b) higher tertiary education","101","0.066348559879998","0.0537110038842752","0.0789861158757208"
"Yes","2000","66 and older","(0) in school","","","",""
"Yes","2000","66 and older","(1a) inadequately completed","","","",""
"Yes","2000","66 and older","(1b) general elementary school","2","","",""
"Yes","2000","66 and older","(1c) basic vocational qualification","19","","",""
"Yes","2000","66 and older","(2b) intermediate general qualification","2","","",""
"Yes","2000","66 and older","(2a) intermediate vocational","2","","",""
"Yes","2000","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2000","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2000","66 and older","(3a) lower tertiary education","1","","",""
"Yes","2000","66 and older","(3b) higher tertiary education","3","","",""
