"ple0160","year","n","percent","lower_confidence","upper_confidence","value"
"No","1999","13042","0.953521770835063","0.950001497158559","0.957042044511567","2"
"Yes","1999","696","0.046478229164937","0.0429579554884327","0.0499985028414413","1"
"No","2000","22748","0.942608980981563","0.939679117258402","0.945538844704723","2"
"Yes","2000","1461","0.0573910190184373","0.0544611552952766","0.060320882741598","1"
"No","2001","20662","0.941585682026101","0.938487000216296","0.944684363835905","2"
"Yes","2001","1343","0.0584143179738993","0.0553156361640947","0.0615129997837038","1"
"No","2002","18544","0.957101168254801","0.954254740061259","0.959947596448343","2"
"Yes","2002","923","0.0428988317451986","0.0400524035516567","0.0457452599387406","1"
"No","2003","17716","0.947872816305527","0.944697241325311","0.951048391285742","2"
"Yes","2003","1106","0.0521271836944732","0.0489516087142577","0.0553027586746888","1"
"No","2004","20238","0.943332659084545","0.94024868610314","0.94641663206595","2"
"Yes","2004","1353","0.0566673409154553","0.0535833679340501","0.0597513138968605","1"
"No","2005","19407","0.946187659930003","0.943104791540345","0.949270528319661","2"
"Yes","2005","1173","0.0538123400699972","0.0507294716803393","0.0568952084596551","1"
"No","2006","20875","0.954189138651213","0.95142124695423","0.956957030348196","2"
"Yes","2006","1043","0.0458108613487869","0.0430429696518038","0.0485787530457701","1"
"No","2007","19325","0.947391020124603","0.944328052259294","0.950453987989913","2"
"Yes","2007","1083","0.0526089798753965","0.0495460120100868","0.0556719477407063","1"
"No","2008","18415","0.952640322603987","0.949650850948668","0.955629794259306","2"
"Yes","2008","978","0.0473596773960131","0.0443702057406938","0.0503491490513323","1"
"No","2009","17359","0.956808101758528","0.953847183515708","0.959769020001348","2"
"Yes","2009","749","0.0431918982414726","0.0402309799986526","0.0461528164842925","1"
"No","2010","16079","0.963541826375209","0.960701731417429","0.966381921332988","2"
"Yes","2010","651","0.0364581736247913","0.0336180786670116","0.039298268582571","1"
"No","2011","19814","0.951630103551155","0.948717025238803","0.954543181863508","2"
"Yes","2011","1023","0.0483698964488446","0.045456818136492","0.0512829747611972","1"
"No","2012","19793","0.961239587140472","0.958601792591473","0.963877381689471","2"
"Yes","2012","777","0.038760412859528","0.0361226183105288","0.0413982074085272","1"
"No","2013","18478","0.975710862690826","0.973519594474089","0.977902130907563","2"
"Yes","2013","482","0.0242891373091741","0.0220978690924373","0.0264804055259108","1"
"No","2014","26288","0.970383455925552","0.968367606271671","0.972399305579433","2"
"Yes","2014","880","0.0296165440744485","0.0276006944205675","0.0316323937283295","1"
"No","2015","24297","0.969683720053452","0.967564545931596","0.971802894175308","2"
"Yes","2015","849","0.0303162799465481","0.0281971058246921","0.0324354540684041","1"
"No","2016","23321","0.963977541904803","0.961632359998263","0.966322723811343","2"
"Yes","2016","933","0.0360224580951969","0.0336772761886567","0.038367640001737","1"
"No","2017","25495","0.965075284537476","0.962867417502837","0.967283151572114","2"
"Yes","2017","1066","0.0349247154625243","0.0327168484278857","0.0371325824971629","1"
"No","2018","24772","0.968107269979841","0.965957911220867","0.970256628738816","2"
"Yes","2018","902","0.0318927300201588","0.0297433712611841","0.0340420887791335","1"
"No","2019","25062","0.969124346957116","0.9670156020539","0.971233091860331","2"
"Yes","2019","787","0.0308756530428843","0.028766908139669","0.0329843979460997","1"
