"ple0160","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","higher vocational","Rural Area","289","0.952022026943509","0.928076090566358","0.97596796332066","2"
"No","1999","in school","Rural Area","103","0.952134440510738","0.911872294410214","0.992396586611262","2"
"No","1999","inadequately","Urban Area","350","0.985907972367503","0.973663839764665","0.99815210497034","2"
"No","1999","in school","Urban Area","207","0.980716543881465","0.962248432844364","0.999184654918567","2"
"No","1999","inadequately","Rural Area","66","0.947549477277749","0.895324900455268","0.99977405410023","2"
"No","1999","general elemantary","Urban Area","1657","0.97377905338116","0.966209842444314","0.981348264318006","2"
"No","1999","higher education","Rural Area","670","0.945095528336304","0.928268653125124","0.961922403547483","2"
"No","1999","higher vocational","Urban Area","488","0.937481850843328","0.916613539380876","0.958350162305779","2"
"No","1999","higher education","Urban Area","1171","0.937698517821102","0.924373881687626","0.951023153954578","2"
"No","1999","general elemantary","Rural Area","704","0.957092631952558","0.942531184494896","0.97165407941022","2"
"No","1999","middle vocational","Rural Area","2450","0.94523837223955","0.936493161825751","0.953983582653349","2"
"No","1999","vocational + Abi","Urban Area","355","0.911088857890544","0.882841733022846","0.939335982758242","2"
"No","1999","vocational + Abi","Rural Area","111","0.960662693513802","0.925587921248965","0.995737465778639","2"
"No","1999","middle vocational","Urban Area","4155","0.958948104136027","0.953052643945726","0.964843564326328","2"
"Yes","1999","in school","Urban Area","6","","","","1"
"Yes","1999","in school","Rural Area","5","","","","1"
"Yes","1999","inadequately","Urban Area","6","","","","1"
"Yes","1999","inadequately","Rural Area","4","","","","1"
"Yes","1999","general elemantary","Urban Area","55","0.0262209466188403","0.0186517356819944","0.0337901575556862","1"
"Yes","1999","general elemantary","Rural Area","40","0.0429073680474421","0.0283459205897801","0.057468815505104","1"
"Yes","1999","middle vocational","Urban Area","196","0.0410518958639731","0.0351564356736722","0.046947356054274","1"
"Yes","1999","middle vocational","Rural Area","150","0.0547616277604501","0.046016417346651","0.0635068381742493","1"
"Yes","1999","vocational + Abi","Urban Area","35","0.0889111421094559","0.0606640172417577","0.117158266977154","1"
"Yes","1999","vocational + Abi","Rural Area","7","","","","1"
"Yes","1999","higher vocational","Urban Area","29","","","","1"
"Yes","1999","higher vocational","Rural Area","17","","","","1"
"Yes","1999","higher education","Urban Area","93","0.0623014821788977","0.0489768460454216","0.0756261183123739","1"
"Yes","1999","higher education","Rural Area","34","0.0549044716636962","0.0380775964525169","0.0717313468748756","1"
"No","2000","inadequately","Urban Area","316","0.97947340216301","0.964034002969252","0.994912801356769","2"
"No","2000","in school","Rural Area","165","0.961005783377788","0.93215961460962","0.989851952145956","2"
"No","2000","higher vocational","Rural Area","636","0.929127119940818","0.909882233698153","0.948372006183483","2"
"No","2000","higher vocational","Urban Area","1137","0.946955985620672","0.934312187738576","0.959599783502767","2"
"No","2000","in school","Urban Area","310","0.962701457649944","0.942004243192955","0.983398672106934","2"
"No","2000","inadequately","Rural Area","78","0.97693068202213","0.943826428618419","1.01003493542584","2"
"No","2000","general elemantary","Urban Area","2320","0.96557409072833","0.958307085802244","0.972841095654416","2"
"No","2000","higher education","Urban Area","2431","0.914163459164486","0.903496143557279","0.924830774771694","2"
"No","2000","higher education","Rural Area","1100","0.937553460506339","0.923776889823019","0.951330031189659","2"
"No","2000","general elemantary","Rural Area","1101","0.966696037885531","0.956325719454097","0.977066356316966","2"
"No","2000","middle vocational","Rural Area","4481","0.945946505633259","0.939528802766528","0.95236420849999","2"
"No","2000","vocational + Abi","Urban Area","790","0.905239483498529","0.885833327499266","0.924645639497792","2"
"No","2000","vocational + Abi","Rural Area","223","0.868185110740917","0.826417828029876","0.909952393451958","2"
"No","2000","middle vocational","Urban Area","7627","0.945078659380148","0.940112898924804","0.950044419835493","2"
"Yes","2000","in school","Urban Area","12","","","","1"
"Yes","2000","in school","Rural Area","8","","","","1"
"Yes","2000","inadequately","Urban Area","8","","","","1"
"Yes","2000","inadequately","Rural Area","1","","","","1"
"Yes","2000","general elemantary","Urban Area","98","0.0344259092716697","0.0271589043455836","0.0416929141977558","1"
"Yes","2000","general elemantary","Rural Area","49","0.033303962114469","0.0229336436830344","0.0436742805459035","1"
"Yes","2000","middle vocational","Urban Area","459","0.0549213406198518","0.0499555801645073","0.0598871010751963","1"
"Yes","2000","middle vocational","Rural Area","288","0.0540534943667409","0.0476357915000098","0.0604711972334721","1"
"Yes","2000","vocational + Abi","Urban Area","85","0.0947605165014708","0.0753543605022081","0.114166672500734","1"
"Yes","2000","vocational + Abi","Rural Area","29","","","","1"
"Yes","2000","higher vocational","Urban Area","70","0.0530440143793285","0.0404002164972332","0.0656878122614238","1"
"Yes","2000","higher vocational","Rural Area","47","0.0708728800591817","0.0516279938165169","0.0901177663018465","1"
"Yes","2000","higher education","Urban Area","218","0.0858365408355138","0.0751692252283065","0.0965038564427211","1"
"Yes","2000","higher education","Rural Area","85","0.062446539493661","0.048669968810341","0.076223110176981","1"
"No","2001","in school","Rural Area","181","0.945460229719658","0.91342353363666","0.977496925802656","2"
"No","2001","inadequately","Urban Area","238","0.967503671997837","0.945300833257494","0.989706510738181","2"
"No","2001","inadequately","Rural Area","64","0.941657406991083","0.885109641235716","0.99820517274645","2"
"No","2001","higher vocational","Urban Area","1022","0.948860662139763","0.935723093908752","0.961998230370774","2"
"No","2001","higher vocational","Rural Area","553","0.933260941383522","0.913207856530951","0.953314026236094","2"
"No","2001","in school","Urban Area","343","0.973658328648733","0.956951820248103","0.990364837049364","2"
"No","2001","general elemantary","Urban Area","2026","0.958886308879221","0.950436350884855","0.967336266873586","2"
"No","2001","general elemantary","Rural Area","954","0.969636876217886","0.958964742609536","0.980309009826236","2"
"No","2001","higher education","Urban Area","2278","0.913195835248456","0.902072256683782","0.92431941381313","2"
"No","2001","higher education","Rural Area","1008","0.919791316756501","0.903754704089529","0.935827929423473","2"
"No","2001","middle vocational","Urban Area","6904","0.94775746748769","0.942659317517778","0.952855617457602","2"
"No","2001","middle vocational","Rural Area","4030","0.940891220590833","0.933848242151729","0.947934199029937","2"
"No","2001","vocational + Abi","Urban Area","766","0.91113537740244","0.891904194499111","0.930366560305768","2"
"No","2001","vocational + Abi","Rural Area","209","0.908568495348091","0.871796359172915","0.945340631523268","2"
"Yes","2001","in school","Urban Area","10","","","","1"
"Yes","2001","in school","Rural Area","12","","","","1"
"Yes","2001","inadequately","Urban Area","7","","","","1"
"Yes","2001","inadequately","Rural Area","2","","","","1"
"Yes","2001","general elemantary","Urban Area","95","0.0411136911207795","0.0326637331264139","0.049563649115145","1"
"Yes","2001","general elemantary","Rural Area","39","0.0303631237821138","0.0196909901737637","0.0410352573904638","1"
"Yes","2001","middle vocational","Urban Area","414","0.0522425325123101","0.0471443825423982","0.057340682482222","1"
"Yes","2001","middle vocational","Rural Area","277","0.059108779409167","0.0520658009700632","0.0661517578482708","1"
"Yes","2001","vocational + Abi","Urban Area","75","0.0888646225975603","0.0696334396942316","0.108095805500889","1"
"Yes","2001","vocational + Abi","Rural Area","27","","","","1"
"Yes","2001","higher vocational","Urban Area","58","0.051139337860237","0.0380017696292258","0.0642769060912483","1"
"Yes","2001","higher vocational","Rural Area","42","0.0667390586164775","0.0466859737639056","0.0867921434690494","1"
"Yes","2001","higher education","Urban Area","183","0.0868041647515444","0.0756805861868705","0.0979277433162183","1"
"Yes","2001","higher education","Rural Area","94","0.0802086832434992","0.064172070576527","0.0962452959104713","1"
"No","2002","higher vocational","Urban Area","894","0.954305824084886","0.940956527683342","0.96765512048643","2"
"No","2002","in school","Rural Area","148","0.978832312441312","0.956023995846091","1.00164062903653","2"
"No","2002","inadequately","Urban Area","209","0.985493166653767","0.969398081447747","1.00158825185979","2"
"No","2002","higher vocational","Rural Area","508","0.966781013189414","0.951552779868379","0.982009246510449","2"
"No","2002","higher education","Rural Area","873","0.952287015565818","0.938498136171866","0.96607589495977","2"
"No","2002","higher education","Urban Area","1854","0.956090297496013","0.94700084158993","0.965179753402097","2"
"No","2002","inadequately","Rural Area","58","0.963070134832185","0.915351250142815","1.01078901952156","2"
"No","2002","general elemantary","Urban Area","1784","0.96608349331312","0.957852767690593","0.974314218935648","2"
"No","2002","general elemantary","Rural Area","858","0.968676043498348","0.95725759973368","0.980094487263015","2"
"No","2002","middle vocational","Urban Area","6268","0.956969174501633","0.952060066147475","0.96187828285579","2"
"No","2002","middle vocational","Rural Area","3675","0.958860450988213","0.952596484543245","0.965124417433181","2"
"No","2002","vocational + Abi","Urban Area","735","0.929840713294046","0.912052498632931","0.947628927955162","2"
