"ple0160","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","in school","","","",""
"Yes","1999","lower secondary degree","inadequately","","","",""
"Yes","1999","lower secondary degree","general elemantary","44","0.0196105162378546","0.0127254487813851","0.0264955836943241"
"Yes","1999","lower secondary degree","middle vocational","119","0.0287137704948649","0.0232155777226256","0.0342119632671043"
"Yes","1999","lower secondary degree","vocational + Abi","","","",""
"Yes","1999","lower secondary degree","higher vocational","10","","",""
"Yes","1999","lower secondary degree","higher education","1","","",""
"Yes","1999","secondary school degree","in school","","","",""
"Yes","1999","secondary school degree","inadequately","","","",""
"Yes","1999","secondary school degree","general elemantary","47","0.0814836345600946","0.0582799951391217","0.104687273981068"
"Yes","1999","secondary school degree","middle vocational","165","0.0680942378224697","0.0581558327591019","0.0780326428858375"
"Yes","1999","secondary school degree","vocational + Abi","","","",""
"Yes","1999","secondary school degree","higher vocational","21","","",""
"Yes","1999","secondary school degree","higher education","26","","",""
"Yes","1999","college entrance qualification","in school","","","",""
"Yes","1999","college entrance qualification","inadequately","","","",""
"Yes","1999","college entrance qualification","general elemantary","","","",""
"Yes","1999","college entrance qualification","middle vocational","45","0.096013507496713","0.0677369066213432","0.124290108372083"
"Yes","1999","college entrance qualification","vocational + Abi","40","0.0946886633912071","0.0662091183819445","0.12316820840047"
"Yes","1999","college entrance qualification","higher vocational","13","","",""
"Yes","1999","college entrance qualification","higher education","91","0.0620761999364959","0.0486783407293301","0.0754740591436618"
"Yes","1999","Other degree","in school","","","",""
"Yes","1999","Other degree","inadequately","3","","",""
"Yes","1999","Other degree","general elemantary","4","","",""
"Yes","1999","Other degree","middle vocational","7","","",""
"Yes","1999","Other degree","vocational + Abi","2","","",""
"Yes","1999","Other degree","higher vocational","2","","",""
"Yes","1999","Other degree","higher education","5","","",""
"Yes","1999","no degree/no degree yet","in school","10","","",""
"Yes","1999","no degree/no degree yet","inadequately","7","","",""
"Yes","1999","no degree/no degree yet","general elemantary","","","",""
"Yes","1999","no degree/no degree yet","middle vocational","2","","",""
"Yes","1999","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1999","no degree/no degree yet","higher vocational","","","",""
"Yes","1999","no degree/no degree yet","higher education","","","",""
"No","1999","lower secondary degree","in school","","","",""
"No","1999","lower secondary degree","inadequately","","","",""
"No","1999","lower secondary degree","general elemantary","1514","0.980389483762145","0.973504416305676","0.987274551218615"
"No","1999","lower secondary degree","middle vocational","3425","0.971286229505135","0.965788036732896","0.976784422277374"
"No","1999","lower secondary degree","vocational + Abi","11","","",""
"No","1999","lower secondary degree","higher vocational","268","0.955380443388962","0.9311100681032","0.979650818674723"
