"ple0160","year","sex","n","percent","lower_confidence","upper_confidence"
"No","1999","Female","6767","0.957334023646986","0.952635656266866","0.962032391027106"
"No","1999","Male","6275","0.949446162056593","0.944172606029041","0.954719718084145"
"Yes","1999","Female","341","0.0426659763530142","0.0379676089728941","0.0473643437331342"
"Yes","1999","Male","355","0.0505538379434072","0.045280281915855","0.0558273939709595"
"No","2000","Female","11868","0.947208540031657","0.943302161155967","0.951114918907347"
"No","2000","Male","10880","0.937682293499712","0.93328728288045","0.942077304118974"
"Yes","2000","Female","720","0.0527914599683434","0.0488850810926534","0.0566978388440335"
"Yes","2000","Male","741","0.0623177065002879","0.0579226958810257","0.06671271711955"
"No","2001","Female","10781","0.946041910062715","0.941903725505784","0.950180094619647"
"No","2001","Male","9881","0.936842450015123","0.932201728967216","0.941483171063029"
"Yes","2001","Female","670","0.0539580899372847","0.0498199053803534","0.0580962744942161"
"Yes","2001","Male","673","0.0631575499848773","0.058516828936971","0.0677982710327837"
"No","2002","Female","10006","0.961309459501388","0.957614829221282","0.965004089781494"
"No","2002","Male","8538","0.952293668510583","0.947890145242219","0.956697191778946"
"Yes","2002","Female","461","0.0386905404986123","0.0349959102185064","0.0423851707787182"
"Yes","2002","Male","462","0.0477063314894171","0.0433028082210535","0.0521098547577807"
"No","2003","Female","9544","0.949196476118065","0.944922494234905","0.953470458001225"
"No","2003","Male","8172","0.946363768939327","0.9416243904616","0.951103147417054"
"Yes","2003","Female","597","0.050803523881935","0.0465295419987753","0.0550775057650948"
"Yes","2003","Male","509","0.0536362310606727","0.0488968525829457","0.0583756095383997"
"No","2004","Female","10520","0.94284119923662","0.938553347839278","0.947129050633961"
"No","2004","Male","9718","0.943855741917156","0.939416770026016","0.948294713808297"
"Yes","2004","Female","740","0.0571588007633804","0.0528709493660385","0.0614466521607223"
"Yes","2004","Male","613","0.0561442580828437","0.0517052861917034","0.060583229973984"
"No","2005","Female","10164","0.946066194435405","0.941802068669389","0.950330320201421"
"No","2005","Male","9243","0.9463178669007","0.941855467327828","0.950780266473572"
"Yes","2005","Female","616","0.0539338055645948","0.0496696797985785","0.0581979313306111"
"Yes","2005","Male","557","0.0536821330992998","0.0492197335264277","0.0581445326721719"
"No","2006","Female","10978","0.958820698423248","0.955188388459114","0.962453008387381"
"No","2006","Male","9897","0.949269117816713","0.945056001590564","0.953482234042861"
"Yes","2006","Female","518","0.0411793015767525","0.037546991612619","0.044811611540886"
"Yes","2006","Male","525","0.0507308821832874","0.0465177659571393","0.0549439984094356"
"No","2007","Female","10184","0.950059532661206","0.945937507278784","0.954181558043627"
"No","2007","Male","9141","0.944539891411825","0.939980693017685","0.949099089805965"
"Yes","2007","Female","543","0.0499404673387943","0.0458184419563726","0.0540624927212159"
"Yes","2007","Male","540","0.0554601085881752","0.0509009101940352","0.0600193069823152"
"No","2008","Female","9610","0.949388012268808","0.945124606229813","0.953651418307803"
"No","2008","Male","8805","0.956078327717916","0.951899588370052","0.96025706706578"
"Yes","2008","Female","545","0.050611987731192","0.0463485816921973","0.0548753937701868"
"Yes","2008","Male","433","0.0439216722820841","0.0397429329342198","0.0481004116299483"
"No","2009","Female","9074","0.95692256313624","0.952833813005154","0.961011313267325"
"No","2009","Male","8285","0.956687448982628","0.952394223542858","0.960980674422397"
"Yes","2009","Female","398","0.0430774368637602","0.0389886867326746","0.0471661869948457"
"Yes","2009","Male","351","0.0433125510173725","0.039019325577603","0.047605776457142"
"No","2010","Female","8415","0.963447501412841","0.959519735309312","0.96737526751637"
"No","2010","Male","7664","0.963638959520747","0.959527087347754","0.96775083169374"
"Yes","2010","Female","354","0.0365524985871589","0.0326247324836298","0.040480264690688"
"Yes","2010","Male","297","0.036361040479253","0.0322491683062599","0.0404729126522462"
"No","2011","Female","10443","0.949424705956875","0.945331033599482","0.953518378314269"
"No","2011","Male","9371","0.953938059888314","0.949794224132237","0.958081895644391"
"Yes","2011","Female","564","0.0505752940431247","0.0464816216857314","0.054668966400518"
"Yes","2011","Male","459","0.0460619401116862","0.0419181043556093","0.0502057758677631"
"No","2012","Female","10450","0.962284452340799","0.958705254373554","0.965863650308044"
"No","2012","Male","9343","0.960152947045812","0.956257818862664","0.964048075228959"
"Yes","2012","Female","433","0.0377155476592012","0.0341363496919561","0.0412947456264464"
"Yes","2012","Male","344","0.0398470529541885","0.0359519247710413","0.0437421811373356"
"No","2013","Female","9819","0.975831796655379","0.972835311202735","0.978828282108023"
"No","2013","Male","8659","0.975583291163048","0.972371391128554","0.978795191197543"
"Yes","2013","Female","271","0.0241682033446211","0.0211717178919768","0.0271646887972654"
"Yes","2013","Male","211","0.0244167088369516","0.0212048088024569","0.0276286088714463"
"No","2014","Female","14236","0.974326391795026","0.971769486412304","0.976883297177748"
"No","2014","Male","12052","0.966243901466368","0.963074083153125","0.969413719779611"
"Yes","2014","Female","462","0.0256736082049745","0.0231167028222524","0.0282305135876965"
"Yes","2014","Male","418","0.0337560985336318","0.0305862802203886","0.0369259168468749"
"No","2015","Female","13195","0.97353470558659","0.970841562106432","0.976227849066749"
"No","2015","Male","11102","0.965627520389806","0.962297787317893","0.968957253461719"
"Yes","2015","Female","451","0.02646529441341","0.0237721509332515","0.0291584378935684"
"Yes","2015","Male","398","0.0343724796101936","0.0310427465382806","0.0377022126821066"
"No","2016","Female","12659","0.963532644002996","0.960329536509779","0.966735751496212"
"No","2016","Male","10662","0.964442559905781","0.96099724313748","0.967887876674081"
"Yes","2016","Female","497","0.0364673559970042","0.0332642485037876","0.0396704634902207"
"Yes","2016","Male","436","0.0355574400942193","0.032112123325919","0.0390027568625196"
"No","2017","Female","13706","0.966234068946592","0.963272460017425","0.96919567787576"
"No","2017","Male","11789","0.96386985959648","0.960568183676217","0.967171535516743"
"Yes","2017","Female","583","0.0337659310534075","0.0308043221242402","0.0367275399825747"
"Yes","2017","Male","483","0.03613014040352","0.0328284644832569","0.039431816323783"
"No","2018","Female","13368","0.969480789712177","0.966617018009542","0.972344561414811"
"No","2018","Male","11404","0.96667247857873","0.963436002411553","0.969908954745907"
"Yes","2018","Female","491","0.0305192102878232","0.0276554385851889","0.0333829819904575"
"Yes","2018","Male","411","0.0333275214212697","0.0300910452540927","0.0365639975884467"
"No","2019","Female","13101","0.972547937691221","0.969792060420262","0.97530381496218"
"No","2019","Male","11953","0.96560453274607","0.962388568843756","0.968820496648385"
"Yes","2019","Female","403","0.0274520623087795","0.0246961850378205","0.0302079395797384"
"Yes","2019","Male","383","0.0343954672539295","0.0311795033516153","0.0376114311562437"
