"ple0160","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","1-pers.-HH","(0) in school","","","",""
"Yes","1999","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","1999","1-pers.-HH","(1b) general elementary school","2","","",""
"Yes","1999","1-pers.-HH","(1c) basic vocational qualification","13","","",""
"Yes","1999","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Yes","1999","1-pers.-HH","(2a) intermediate vocational","16","","",""
"Yes","1999","1-pers.-HH","(2c_gen) general maturity certificate","10","","",""
"Yes","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1999","1-pers.-HH","(3a) lower tertiary education","4","","",""
"Yes","1999","1-pers.-HH","(3b) higher tertiary education","16","","",""
"Yes","1999","(Married) couple without C. ","(0) in school","","","",""
"Yes","1999","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","1999","(Married) couple without C. ","(1b) general elementary school","11","","",""
"Yes","1999","(Married) couple without C. ","(1c) basic vocational qualification","43","0.0220706407707568","0.0148944104921043","0.0292468710494092"
"Yes","1999","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Yes","1999","(Married) couple without C. ","(2a) intermediate vocational","44","0.0540676985228413","0.0377293500916916","0.0704060469539909"
"Yes","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Yes","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1999","(Married) couple without C. ","(3a) lower tertiary education","16","","",""
"Yes","1999","(Married) couple without C. ","(3b) higher tertiary education","26","","",""
"Yes","1999","Single parent ","(0) in school","2","","",""
"Yes","1999","Single parent ","(1a) inadequately completed","","","",""
"Yes","1999","Single parent ","(1b) general elementary school","5","","",""
"Yes","1999","Single parent ","(1c) basic vocational qualification","5","","",""
"Yes","1999","Single parent ","(2b) intermediate general qualification","6","","",""
"Yes","1999","Single parent ","(2a) intermediate vocational","10","","",""
"Yes","1999","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Yes","1999","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1999","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1999","Single parent ","(3b) higher tertiary education","4","","",""
"Yes","1999","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1999","Couple + C. LE 16 ","(1a) inadequately completed","6","","",""
"Yes","1999","Couple + C. LE 16 ","(1b) general elementary school","15","","",""
"Yes","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","35","0.0336328886656767","0.0209972304568159","0.0462685468745375"
"Yes","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Yes","1999","Couple + C. LE 16 ","(2a) intermediate vocational","74","0.0894548345788139","0.0710727291531318","0.107836940004496"
"Yes","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1999","Couple + C. LE 16 ","(3a) lower tertiary education","18","","",""
"Yes","1999","Couple + C. LE 16 ","(3b) higher tertiary education","17","","",""
"Yes","1999","Couple + C. GT 16 ","(0) in school","6","","",""
"Yes","1999","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Yes","1999","Couple + C. GT 16 ","(1b) general elementary school","12","","",""
"Yes","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","25","","",""
"Yes","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","1999","Couple + C. GT 16 ","(2a) intermediate vocational","24","","",""
"Yes","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","14","","",""
"Yes","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1999","Couple + C. GT 16 ","(3a) lower tertiary education","7","","",""
"Yes","1999","Couple + C. GT 16 ","(3b) higher tertiary education","5","","",""
"Yes","1999","Couple + C. LE and GT 16","(0) in school","2","","",""
"Yes","1999","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","1999","Couple + C. LE and GT 16","(1b) general elementary school","4","","",""
"Yes","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","8","","",""
"Yes","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","11","","",""
"Yes","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","14","","",""
"Yes","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","5","","",""
"Yes","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Yes","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","4","","",""
"Yes","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","5","","",""
"No","1999","1-pers.-HH","(0) in school","","","",""
"No","1999","1-pers.-HH","(1a) inadequately completed","30","1","1","1"
"No","1999","1-pers.-HH","(1b) general elementary school","344","0.99497618721862","0.987526584576552","1.00242578986069"
"No","1999","1-pers.-HH","(1c) basic vocational qualification","490","0.968806493380103","0.953614501543745","0.983998485216461"
"No","1999","1-pers.-HH","(2b) intermediate general qualification","53","0.971854472839851","0.928145353247877","1.01556359243182"
"No","1999","1-pers.-HH","(2a) intermediate vocational","315","0.95131043386986","0.928125109485428","0.974495758254292"
"No","1999","1-pers.-HH","(2c_gen) general maturity certificate","60","0.889035270401256","0.815456750716621","0.96261379008589"
"No","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","88","0.949385245470111","0.905070937589386","0.993699553350836"
"No","1999","1-pers.-HH","(3a) lower tertiary education","109","0.977857510929506","0.950726881047684","1.00498814081133"
"No","1999","1-pers.-HH","(3b) higher tertiary education","107","0.895259592309641","0.841143409300837","0.949375775318445"
"No","1999","(Married) couple without C. ","(0) in school","2","","",""
"No","1999","(Married) couple without C. ","(1a) inadequately completed","112","0.967667283235847","0.935338951148104","0.99999561532359"
"No","1999","(Married) couple without C. ","(1b) general elementary school","570","0.989538618400521","0.981265467975819","0.997811768825224"
"No","1999","(Married) couple without C. ","(1c) basic vocational qualification","1567","0.977929359229243","0.970753128950591","0.985105589507896"
"No","1999","(Married) couple without C. ","(2b) intermediate general qualification","81","0.938779341996584","0.888403858969282","0.989154825023887"
"No","1999","(Married) couple without C. ","(2a) intermediate vocational","692","0.945932301477159","0.929593953046009","0.962270649908308"
"No","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","73","0.951058474228871","0.903179685834884","0.998937262622857"
"No","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","181","0.932192472380995","0.896904838740598","0.967480106021392"
"No","1999","(Married) couple without C. ","(3a) lower tertiary education","312","0.967157785836683","0.947870280922351","0.986445290751016"
"No","1999","(Married) couple without C. ","(3b) higher tertiary education","304","0.934055155241564","0.907277792177614","0.960832518305513"
"No","1999","Single parent ","(0) in school","34","0.974979051280349","0.923958356396832","1.02599974616387"
"No","1999","Single parent ","(1a) inadequately completed","25","","",""
"No","1999","Single parent ","(1b) general elementary school","123","0.964472716190978","0.93240492240999","0.996540509971966"
"No","1999","Single parent ","(1c) basic vocational qualification","167","0.975781134427488","0.952807115499896","0.99875515335508"
"No","1999","Single parent ","(2b) intermediate general qualification","49","0.918768855959855","0.846569859049775","0.990967852869935"
"No","1999","Single parent ","(2a) intermediate vocational","136","0.923120625736073","0.879908482157538","0.966332769314607"
"No","1999","Single parent ","(2c_gen) general maturity certificate","32","0.86011325352556","0.745197340113533","0.975029166937588"
"No","1999","Single parent ","(2c_voc) vocational maturity certificate","18","","",""
"No","1999","Single parent ","(3a) lower tertiary education","30","1","1","1"
"No","1999","Single parent ","(3b) higher tertiary education","36","0.887356291359597","0.789380093461457","0.985332489257738"
"No","1999","Couple + C. LE 16 ","(0) in school","2","","",""
"No","1999","Couple + C. LE 16 ","(1a) inadequately completed","65","0.894257837148389","0.822730116005635","0.965785558291143"
"No","1999","Couple + C. LE 16 ","(1b) general elementary school","267","0.922129408538781","0.890853768221489","0.953405048856072"
"No","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","747","0.966367111334323","0.953731453125462","0.979002769543184"
"No","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","70","0.931510539858444","0.874723784763242","0.988297294953645"
"No","1999","Couple + C. LE 16 ","(2a) intermediate vocational","852","0.910545165421186","0.892163059995504","0.928927270846868"
