"ple0160","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No","1999","16-34 y.","Female","2161","0.919503317200844","0.908487224324112","0.930519410077575"
"No","1999","16-34 y.","Male","2061","0.90232683185167","0.890103553222542","0.914550110480799"
"No","1999","35-65 y.","Female","3544","0.96119558341272","0.954967619205933","0.967423547619507"
"No","1999","35-65 y.","Male","3466","0.961473853392136","0.955196437934238","0.967751268850033"
"No","1999","66 and older","Female","1062","0.990551858174792","0.98475803594133","0.996345680408254"
"No","1999","66 and older","Male","748","0.992802282707294","0.986764473591022","0.998840091823567"
"Yes","1999","16-34 y.","Female","182","0.0804966827991565","0.0694805899224253","0.0915127756758877"
"Yes","1999","16-34 y.","Male","205","0.0976731681483297","0.0854498895192011","0.109896446777458"
"Yes","1999","35-65 y.","Female","150","0.0388044165872801","0.0325764523804929","0.0450323807940673"
"Yes","1999","35-65 y.","Male","145","0.0385261466078642","0.0322487311499666","0.0448035620657617"
"Yes","1999","66 and older","Female","9","","",""
"Yes","1999","66 and older","Male","5","","",""
"No","2000","16-34 y.","Female","3324","0.905564496503767","0.896112389710591","0.915016603296943"
"No","2000","16-34 y.","Male","3039","0.880430663551384","0.869596111326417","0.891265215776352"
"No","2000","35-65 y.","Female","6475","0.9485547924311","0.943312805827928","0.953796779034272"
"No","2000","35-65 y.","Male","6310","0.950679913662143","0.94546890055554","0.955890926768746"
"No","2000","66 and older","Female","2068","0.989219573622872","0.984790150551499","0.993648996694245"
"No","2000","66 and older","Male","1530","0.991872124583504","0.987390636295321","0.996353612871687"
"Yes","2000","16-34 y.","Female","353","0.0944355034962332","0.0849833967030571","0.103887610289409"
"Yes","2000","16-34 y.","Male","406","0.119569336448616","0.108734784223648","0.130403888673583"
"Yes","2000","35-65 y.","Female","347","0.0514452075689001","0.0462032209657283","0.0566871941720719"
"Yes","2000","35-65 y.","Male","323","0.049320086337857","0.0441090732312537","0.0545310994444603"
"Yes","2000","66 and older","Female","20","","",""
"Yes","2000","66 and older","Male","12","","",""
"No","2001","16-34 y.","Female","2912","0.895973906367719","0.885487547434029","0.906460265301409"
"No","2001","16-34 y.","Male","2659","0.875360306038673","0.863585584939421","0.887135027137926"
"No","2001","35-65 y.","Female","5930","0.948177200776338","0.942678984338141","0.953675417214535"
"No","2001","35-65 y.","Male","5753","0.951854417181737","0.946458348005346","0.957250486358129"
"No","2001","66 and older","Female","1939","0.992823918427084","0.989078509378167","0.996569327476"
"No","2001","66 and older","Male","1469","0.985284104416511","0.979159769237481","0.991408439595541"
"Yes","2001","16-34 y.","Female","344","0.104026093632282","0.0935397346985916","0.114512452565972"
"Yes","2001","16-34 y.","Male","364","0.124639693961327","0.112864972862074","0.136414415060579"
"Yes","2001","35-65 y.","Female","314","0.0518227992236617","0.0463245827854648","0.0573210156618586"
"Yes","2001","35-65 y.","Male","293","0.0481455828182628","0.0427495136418712","0.0535416519946544"
"Yes","2001","66 and older","Female","12","","",""
"Yes","2001","66 and older","Male","16","","",""
"No","2002","16-34 y.","Female","2628","0.923622457349149","0.913861028845646","0.933383885852652"
"No","2002","16-34 y.","Male","2310","0.905476517935271","0.894130431270518","0.916822604600025"
"No","2002","35-65 y.","Female","5549","0.961696744369919","0.956751408488206","0.966642080251632"
"No","2002","35-65 y.","Male","4824","0.962496305547598","0.957245805582059","0.967746805513136"
"No","2002","66 and older","Female","1829","0.997243670019645","0.994846163695212","0.999641176344078"
"No","2002","66 and older","Male","1404","0.990880656851906","0.985929474535376","0.995831839168435"
"Yes","2002","16-34 y.","Female","216","0.0763775426508507","0.0666161141473475","0.0861389711543538"
"Yes","2002","16-34 y.","Male","244","0.0945234820647286","0.0831773953999752","0.105869568729482"
"Yes","2002","35-65 y.","Female","237","0.0383032556300809","0.0333579197483676","0.0432485915117942"
"Yes","2002","35-65 y.","Male","206","0.0375036944524024","0.0322531944868636","0.0427541944179412"
"Yes","2002","66 and older","Female","8","","",""
"Yes","2002","66 and older","Male","12","","",""
"No","2003","16-34 y.","Female","2461","0.904277661524195","0.893231220229457","0.915324102818933"
"No","2003","16-34 y.","Male","2176","0.89420667212536","0.882015183111368","0.906398161139353"
"No","2003","35-65 y.","Female","5249","0.947374662338721","0.941511919194417","0.953237405483024"
"No","2003","35-65 y.","Male","4559","0.954989490140522","0.949118771487082","0.960860208793962"
"No","2003","66 and older","Female","1834","0.995491249782157","0.992433411986724","0.99854908757759"
"No","2003","66 and older","Male","1437","0.99524435341474","0.991697168613519","0.99879153821596"
"Yes","2003","16-34 y.","Female","264","0.095722338475805","0.0846758971810672","0.106768779770543"
"Yes","2003","16-34 y.","Male","269","0.10579332787464","0.0936018388606469","0.117984816888632"
"Yes","2003","35-65 y.","Female","323","0.0526253376612793","0.0467625945169758","0.0584880808055829"
"Yes","2003","35-65 y.","Male","232","0.0450105098594782","0.0391397912060383","0.050881228512918"
"Yes","2003","66 and older","Female","10","","",""
"Yes","2003","66 and older","Male","8","","",""
"No","2004","16-34 y.","Female","2599","0.888405189107852","0.876986668077483","0.89982371013822"
"No","2004","16-34 y.","Male","2372","0.896268102742735","0.884685152349897","0.907851053135573"
"No","2004","35-65 y.","Female","5874","0.945068047916456","0.939424715721673","0.950711380111238"
"No","2004","35-65 y.","Male","5644","0.949563193347637","0.944000676162876","0.955125710532398"
"No","2004","66 and older","Female","2047","0.987883142965202","0.983177948017536","0.992588337912868"
"No","2004","66 and older","Male","1702","0.989746657612376","0.984990018483128","0.994503296741624"
"Yes","2004","16-34 y.","Female","322","0.111594810892148","0.10017628986178","0.123013331922517"
"Yes","2004","16-34 y.","Male","290","0.103731897257265","0.0921489468644265","0.115314847650103"
"Yes","2004","35-65 y.","Female","388","0.0549319520835443","0.0492886198887618","0.0605752842783269"
"Yes","2004","35-65 y.","Male","302","0.0504368066523628","0.0448742894676016","0.055999323837124"
"Yes","2004","66 and older","Female","30","0.0121168570347981","0.00741166208713166","0.0168220519824645"
"Yes","2004","66 and older","Male","21","","",""
"No","2005","16-34 y.","Female","2500","0.911746159579488","0.901167271274009","0.922325047884968"
"No","2005","16-34 y.","Male","2231","0.897066394704114","0.885169093856249","0.90896369555198"
"No","2005","35-65 y.","Female","5647","0.945681654930895","0.939927160881137","0.951436148980654"
"No","2005","35-65 y.","Male","5293","0.95523510068046","0.949797215896633","0.960672985464287"
"No","2005","66 and older","Female","2017","0.980293589723856","0.974290127817847","0.986297051629864"
"No","2005","66 and older","Male","1719","0.988800221838967","0.98385418567063","0.993746258007304"
"Yes","2005","16-34 y.","Female","262","0.0882538404205115","0.0776749521150316","0.0988327287259914"
"Yes","2005","16-34 y.","Male","275","0.102933605295886","0.0910363044480205","0.114830906143751"
"Yes","2005","35-65 y.","Female","312","0.0543183450691049","0.0485638510193465","0.0600728391188633"
