"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2004","5.53","6","20925","2","4","8","9","5.49","5.57","6","6"
"2005","5.53","6","20059","2","4","8","9","5.49","5.57","6","6"
"2006","5.53","6","21405","2","4","8","9","5.49","5.57","6","6"
"2007","5.5","6","20027","2","4","8","9","5.46","5.54","6","6"
"2008","5.58","6","18886","2","4","8","9","5.54","5.62","6","6"
"2009","5.64","6","17725","2","4","8","9","5.6","5.68","6","6"
"2010","5.76","6","23509","2","4","8","9","5.73","5.79","6","6"
"2011","5.94","6","24989","2","4","8","9","5.91","5.97","6","6"
"2012","6.05","7","25628","2","5","8","9","6.02","6.08","6","7"
"2013","6.17","7","24828","2","5","8","9","6.14","6.2","7","7"
"2014","6.16","7","26239","2","5","8","9","6.13","6.19","7","7"
"2015","6.3","7","25998","3","5","8","9","6.27","6.33","7","7"
"2016","6.4","7","24108","3","5","8","9","6.37","6.43","7","7"
"2017","6.42","7","28695","3","5","8","9","6.39","6.45","7","7"
"2018","6.4","7","28952","3","5","8","9","6.37","6.43","7","7"
"2019","6.61","7","28828","3","5","8","9","6.58","6.64","7","7"
