"plh0223","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","194","0.0704634421100353","0.0612483977551545","0.0796784864649161"
"1 Strongly disagree","2005","(Married) couple without C. ","411","0.0580370086988744","0.0525671022334542","0.0635069151642946"
"1 Strongly disagree","2005","Single parent ","81","0.0823385098939996","0.0661092001610437","0.0985678196269556"
"1 Strongly disagree","2005","Couple + C. LE 16 ","301","0.0848727995278477","0.0759013670281838","0.0938442320275116"
"1 Strongly disagree","2005","Couple + C. GT 16 ","265","0.065479195365627","0.0574519445987729","0.0735064461324811"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","136","0.0947421331311156","0.080828964583972","0.108655301678259"
"2 on scale 1-7 ","2005","1-pers.-HH","350","0.112263611125352","0.100896665557504","0.1236305566932"
"2 on scale 1-7 ","2005","(Married) couple without C. ","739","0.0970335185148553","0.0901087194789769","0.103958317550734"
"2 on scale 1-7 ","2005","Single parent ","128","0.112724699759366","0.0940524764206752","0.131396923098057"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","553","0.151930918078412","0.140375770558897","0.163486065597927"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","499","0.117181795393466","0.106744538086476","0.127619052700457"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","253","0.13897609142573","0.122541989911345","0.155410192940115"
"3 on scale 1-7 ","2005","1-pers.-HH","434","0.139300876436167","0.12683321873948","0.151768534132855"
"3 on scale 1-7 ","2005","(Married) couple without C. ","997","0.140599779420188","0.132467720438772","0.148731838401603"
"3 on scale 1-7 ","2005","Single parent ","170","0.149534984688296","0.128479903245143","0.170590066131449"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","552","0.139356584130245","0.128208193706647","0.150504974553842"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","569","0.148094417930106","0.136568228502668","0.159620607357544"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","278","0.169401067259018","0.151580477664246","0.187221656853791"
"4 on scale 1-7","2005","1-pers.-HH","734","0.252302041610116","0.236663158086716","0.267940925133516"
"4 on scale 1-7","2005","(Married) couple without C. ","1682","0.240136900403853","0.23014363095298","0.250130169854726"
"4 on scale 1-7","2005","Single parent ","259","0.229325711469305","0.204504721239642","0.254146701698967"
"4 on scale 1-7","2005","Couple + C. LE 16 ","870","0.244007544544146","0.230181525331986","0.257833563756306"
"4 on scale 1-7","2005","Couple + C. GT 16 ","848","0.232469686392026","0.218762396125123","0.246176976658929"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","386","0.219305590158427","0.199647845072577","0.238963335244276"
"5 on scale 1-7","2005","1-pers.-HH","541","0.184853992364403","0.170876978836222","0.198831005892584"
"5 on scale 1-7","2005","(Married) couple without C. ","1496","0.215332100984974","0.205715805455905","0.224948396514044"
"5 on scale 1-7","2005","Single parent ","212","0.18999805946937","0.166836120864683","0.213159998074057"
"5 on scale 1-7","2005","Couple + C. LE 16 ","727","0.189376693254163","0.176763948538323","0.201989437970004"
"5 on scale 1-7","2005","Couple + C. GT 16 ","726","0.216751731226017","0.203381106935354","0.23012235551668"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","343","0.200867756649269","0.181833638763687","0.21990187453485"
"6 on scale 1-7","2005","1-pers.-HH","473","0.161582039586348","0.148329195317258","0.174834883855437"
"6 on scale 1-7","2005","(Married) couple without C. ","1170","0.168749868310339","0.159987973103553","0.177511763517126"
"6 on scale 1-7","2005","Single parent ","175","0.165509514685436","0.143567349963348","0.187451679407525"
"6 on scale 1-7","2005","Couple + C. LE 16 ","515","0.140054762594534","0.128883014443985","0.151226510745084"
"6 on scale 1-7","2005","Couple + C. GT 16 ","533","0.149524842784868","0.137952849591856","0.16109683597788"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","211","0.115635410728777","0.100442904986633","0.13082791647092"
"7 Strongly agree","2005","1-pers.-HH","237","0.0792339967675796","0.0695084800463574","0.0889595134888017"
