"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","7.7","8","7022","5","7","10","10","7.65","7.75","8","8"
"1985","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","7.52","8","6336","5","6","9","10","7.47","7.57","8","8"
"1986","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","7.41","8","6168","5","6","9","10","7.36","7.46","8","8"
"1987","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","7.41","8","6155","5","6","9","10","7.36","7.46","8","8"
"1988","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","7.26","8","5837","4","6","9","10","7.21","7.31","8","8"
"1989","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","7.26","8","5691","5","6","9","10","7.21","7.31","8","8"
"1990","Ostdeutschland, neue Bundeslaender","7.2","8","3401","4","6","9","10","7.12","7.28","8","8"
"1990","Westdeutschland, alte Bundeslaender","7.23","8","5677","5","6","9","10","7.18","7.28","8","8"
"1991","Ostdeutschland, neue Bundeslaender","6.33","7","2718","2","5","8","10","6.23","6.43","7","7"
"1991","Westdeutschland, alte Bundeslaender","7.2","8","5815","5","6","9","10","7.15","7.25","8","8"
"1992","Ostdeutschland, neue Bundeslaender","6.76","7","2383","4","5","8","9","6.67","6.85","7","7"
"1992","Westdeutschland, alte Bundeslaender","7.42","8","5666","5","7","9","10","7.37","7.47","8","8"
"1993","Ostdeutschland, neue Bundeslaender","6.83","7","2219","4","5","8","9","6.74","6.92","7","7"
"1993","Westdeutschland, alte Bundeslaender","7.12","8","5567","5","6","8","10","7.07","7.17","7","8"
"1994","Ostdeutschland, neue Bundeslaender","6.74","7","2182","4","5","8","9","6.65","6.83","7","7"
"1994","Westdeutschland, alte Bundeslaender","7.01","8","5343","4","6","8","9","6.96","7.06","7","8"
"1995","Ostdeutschland, neue Bundeslaender","6.64","7","2307","3","5","8","9","6.55","6.73","7","7"
"1995","Westdeutschland, alte Bundeslaender","6.9","7","5965","4","6","8","9","6.85","6.95","7","8"
"1996","Ostdeutschland, neue Bundeslaender","6.61","7","2264","3","5","8","9","6.52","6.7","7","7"
"1996","Westdeutschland, alte Bundeslaender","6.87","7","5837","4","6","8","9","6.82","6.92","7","7"
"1997","Ostdeutschland, neue Bundeslaender","6.62","7","2216","4","5","8","9","6.53","6.71","7","7"
"1997","Westdeutschland, alte Bundeslaender","6.86","7","5619","4","6","8","9","6.8","6.92","7","7"
"1998","Ostdeutschland, neue Bundeslaender","6.49","7","2322","3","5","8","9","6.4","6.58","7","7"
"1998","Westdeutschland, alte Bundeslaender","6.97","7","6228","4","6","8","9","6.92","7.02","7","7"
"1999","Ostdeutschland, neue Bundeslaender","6.54","7","2291","3","5","8","9","6.45","6.63","7","7"
"1999","Westdeutschland, alte Bundeslaender","6.91","7","6062","4","6","8","9","6.86","6.96","7","8"
"2000","Ostdeutschland, neue Bundeslaender","6.75","7","3176","4","5","8","10","6.67","6.83","7","7"
"2000","Westdeutschland, alte Bundeslaender","7.12","8","10125","4","6","9","10","7.08","7.16","8","8"
"2001","Ostdeutschland, neue Bundeslaender","6.75","7","3174","4","5","8","9","6.67","6.83","7","7"
"2001","Westdeutschland, alte Bundeslaender","7.12","8","9908","4","6","9","10","7.08","7.16","8","8"
"2002","Ostdeutschland, neue Bundeslaender","6.62","7","3136","3","5","8","9","6.54","6.7","7","7"
