"year","age_gr","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","(0) in school","","","","","","","","","","",""
"1984","16-34 y.","(1a) inadequately completed","7.03","8","170","4","6","9","10","6.65","7.41","8","8"
"1984","16-34 y.","(1b) general elementary school","7.4","8","574","4","6","10","10","7.19","7.61","8","8"
"1984","16-34 y.","(1c) basic vocational qualification","7.58","8","974","5","6","9","10","7.44","7.72","8","8"
"1984","16-34 y.","(2a) intermediate vocational","7.66","8","493","5","7","10","10","7.45","7.87","8","8"
"1984","16-34 y.","(2b) intermediate general qualification","7.54","8","184","5","6","10","10","7.21","7.87","8","8"
"1984","16-34 y.","(2c_gen) general maturity certificate","7.27","8","101","4","6","9","10","6.8","7.74","7","8"
"1984","16-34 y.","(2c_voc) vocational maturity certificate","7.5","8","142","5","7","9","10","7.14","7.86","7","8"
"1984","16-34 y.","(3a) lower tertiary education","7.42","8","55","3","6","9","10","6.8","8.04","7","9"
"1984","16-34 y.","(3b) higher tertiary education","7.44","8","144","4","7","9","10","7.1","7.78","8","8"
"1984","35-65 y.","(0) in school","","","","","","","","","","",""
"1984","35-65 y.","(1a) inadequately completed","7.07","8","493","3","5","9","10","6.85","7.29","8","8"
"1984","35-65 y.","(1b) general elementary school","7.55","8","812","4","6","10","10","7.38","7.72","8","8"
"1984","35-65 y.","(1c) basic vocational qualification","7.85","8","1711","5","7","10","10","7.75","7.95","8","8"
"1984","35-65 y.","(2a) intermediate vocational","7.94","8","434","5","7","10","10","7.74","8.14","8","9"
"1984","35-65 y.","(2b) intermediate general qualification","8","8","36","5","7","10","10","7.3","8.7","8","10"
"1984","35-65 y.","(2c_gen) general maturity certificate","6.81","7","38","3","6","9","9","5.79","7.83","7","9"
"1984","35-65 y.","(2c_voc) vocational maturity certificate","7.79","8","152","5","7","10","10","7.43","8.15","8","9"
"1984","35-65 y.","(3a) lower tertiary education","8.15","8","141","6","7","10","10","7.85","8.45","8","9"
"1984","35-65 y.","(3b) higher tertiary education","7.88","8","271","5","7","9","10","7.65","8.11","8","8"
"1984","66 and older","(0) in school","","","","","","","","","","",""
"1984","66 and older","(1a) inadequately completed","","","","","","","","","","",""
"1984","66 and older","(1b) general elementary school","","","","","","","","","","",""
"1984","66 and older","(1c) basic vocational qualification","","","","","","","","","","",""
"1984","66 and older","(2a) intermediate vocational","","","","","","","","","","",""
"1984","66 and older","(2b) intermediate general qualification","","","","","","","","","","",""
"1984","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1984","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1984","66 and older","(3a) lower tertiary education","","","","","","","","","","",""
"1984","66 and older","(3b) higher tertiary education","","","","","","","","","","",""
"1985","16-34 y.","(0) in school","","","","","","","","","","",""
"1985","16-34 y.","(1a) inadequately completed","7.06","7","114","4","5","9","10","6.65","7.47","7","8"
"1985","16-34 y.","(1b) general elementary school","7.36","8","493","4","6","9","10","7.16","7.56","8","8"
"1985","16-34 y.","(1c) basic vocational qualification","7.55","8","861","5","6","9","10","7.41","7.69","8","8"
"1985","16-34 y.","(2a) intermediate vocational","7.63","8","474","5","7","9","10","7.45","7.81","8","8"
"1985","16-34 y.","(2b) intermediate general qualification","7.33","8","187","4","6","9","10","7.01","7.65","8","8"
"1985","16-34 y.","(2c_gen) general maturity certificate","7.01","8","107","3","5","9","10","6.5","7.52","7","8"
"1985","16-34 y.","(2c_voc) vocational maturity certificate","7.13","8","132","5","6","9","9","6.75","7.51","7","8"
"1985","16-34 y.","(3a) lower tertiary education","7.32","8","51","4","6","9","10","6.7","7.94","7","8"
"1985","16-34 y.","(3b) higher tertiary education","6.93","7","139","3","5","9","10","6.54","7.32","7","8"
"1985","35-65 y.","(0) in school","","","","","","","","","","",""
"1985","35-65 y.","(1a) inadequately completed","7.31","8","401","4","6","9","10","7.09","7.53","8","8"
"1985","35-65 y.","(1b) general elementary school","7.46","8","732","5","6","9","10","7.3","7.62","8","8"
"1985","35-65 y.","(1c) basic vocational qualification","7.59","8","1528","5","6","9","10","7.49","7.69","8","8"
"1985","35-65 y.","(2a) intermediate vocational","7.6","8","419","5","7","9","10","7.4","7.8","8","8"
"1985","35-65 y.","(2b) intermediate general qualification","8.36","8.69","32","6","8","10","10","7.76","8.96","8","10"
"1985","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1985","35-65 y.","(2c_voc) vocational maturity certificate","7.41","8","128","5","6","9","10","7.02","7.8","8","8"
"1985","35-65 y.","(3a) lower tertiary education","7.9","8","129","5","7","9","10","7.58","8.22","8","8"
"1985","35-65 y.","(3b) higher tertiary education","7.9","8","262","5","7","9","10","7.7","8.1","8","8"
"1985","66 and older","(0) in school","","","","","","","","","","",""
"1985","66 and older","(1a) inadequately completed","","","","","","","","","","",""
"1985","66 and older","(1b) general elementary school","","","","","","","","","","",""
"1985","66 and older","(1c) basic vocational qualification","","","","","","","","","","",""
"1985","66 and older","(2a) intermediate vocational","","","","","","","","","","",""
"1985","66 and older","(2b) intermediate general qualification","","","","","","","","","","",""
"1985","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1985","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1985","66 and older","(3a) lower tertiary education","","","","","","","","","","",""
"1985","66 and older","(3b) higher tertiary education","","","","","","","","","","",""
"1986","16-34 y.","(0) in school","","","","","","","","","","",""
"1986","16-34 y.","(1a) inadequately completed","7.25","8","110","4","6","9","10","6.76","7.74","7","8"
"1986","16-34 y.","(1b) general elementary school","7.25","8","502","5","6","9","10","7.06","7.44","7","8"
"1986","16-34 y.","(1c) basic vocational qualification","7.42","8","830","5","6","9","10","7.27","7.57","8","8"
"1986","16-34 y.","(2a) intermediate vocational","7.36","8","458","5","6","9","10","7.17","7.55","8","8"
"1986","16-34 y.","(2b) intermediate general qualification","7.41","8","197","5","6","9","10","7.12","7.7","8","8"
"1986","16-34 y.","(2c_gen) general maturity certificate","7.2","8","137","4","6","9","10","6.79","7.61","8","8"
"1986","16-34 y.","(2c_voc) vocational maturity certificate","7.06","8","149","4","6","9","10","6.71","7.41","7","8"
"1986","16-34 y.","(3a) lower tertiary education","7.31","8","53","4","6","9","10","6.71","7.91","8","8"
"1986","16-34 y.","(3b) higher tertiary education","7.41","8","130","5","7","9","9","7.09","7.73","7","8"
"1986","35-65 y.","(0) in school","","","","","","","","","","",""
"1986","35-65 y.","(1a) inadequately completed","7","7.37","366","4","6","9","10","6.76","7.24","7","8"
"1986","35-65 y.","(1b) general elementary school","7.17","8","693","5","6","9","10","7.01","7.33","7","8"
"1986","35-65 y.","(1c) basic vocational qualification","7.49","8","1461","5","6","9","10","7.38","7.6","8","8"
"1986","35-65 y.","(2a) intermediate vocational","7.45","8","390","5","6","9","10","7.25","7.65","8","8"
"1986","35-65 y.","(2b) intermediate general qualification","8.09","8","31","5","7","10","10","7.45","8.73","7","10"
"1986","35-65 y.","(2c_gen) general maturity certificate","7.1","7.16","30","5","5","8","10","6.19","8.01","6","8"
"1986","35-65 y.","(2c_voc) vocational maturity certificate","7.33","8","119","4","6","9","10","6.91","7.75","7","8"
"1986","35-65 y.","(3a) lower tertiary education","7.72","8","124","5","7","9","10","7.4","8.04","8","8"
"1986","35-65 y.","(3b) higher tertiary education","7.62","8","271","5","7","9","10","7.4","7.84","8","8"
