"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","7.7","8","7022","5","7","10","10","7.65","7.75","8","8"
"1985","7.52","8","6336","5","6","9","10","7.47","7.57","8","8"
"1986","7.41","8","6168","5","6","9","10","7.36","7.46","8","8"
"1987","7.41","8","6155","5","6","9","10","7.36","7.46","8","8"
"1988","7.26","8","5837","4","6","9","10","7.21","7.31","8","8"
"1989","7.26","8","5691","5","6","9","10","7.21","7.31","8","8"
"1990","7.23","8","9078","5","6","9","10","7.19","7.27","8","8"
"1991","7.01","8","8533","4","6","8","10","6.96","7.06","7","8"
"1992","7.29","8","8049","5","6","9","10","7.25","7.33","8","8"
"1993","7.07","8","7786","4","6","8","9","7.02","7.12","7","8"
"1994","6.96","7","7525","4","6","8","9","6.91","7.01","7","7"
"1995","6.85","7","8272","4","6","8","9","6.8","6.9","7","7"
"1996","6.83","7","8101","4","5","8","9","6.78","6.88","7","7"
"1997","6.81","7","7835","4","6","8","9","6.76","6.86","7","7"
"1998","6.88","7","8550","4","6","8","9","6.83","6.93","7","7"
"1999","6.84","7","8353","4","5","8","9","6.79","6.89","7","7"
"2000","7.06","8","13301","4","6","9","10","7.02","7.1","8","8"
"2001","7.05","8","13082","4","6","9","10","7.01","7.09","8","8"
"2002","6.89","7","13959","4","6","8","9","6.85","6.93","7","8"
"2003","6.86","7","13265","4","6","8","9","6.82","6.9","7","8"
"2004","6.76","7","12792","4","5","8","9","6.72","6.8","7","7"
"2005","6.7","7","12148","3","5","8","9","6.66","6.74","7","7"
"2006","6.75","7","12688","4","5","8","9","6.71","6.79","7","7"
"2007","6.76","7","12089","4","5","8","9","6.72","6.8","7","7"
"2008","6.79","7","11476","4","5","8","9","6.75","6.83","7","7"
"2009","6.7","7","10811","3","5","8","9","6.66","6.74","7","7"
"2010","6.82","7","14465","4","6","8","9","6.78","6.86","7","8"
"2011","6.9","7","16294","4","6","8","9","6.87","6.93","8","8"
"2012","7.02","7","16480","4","6","8","9","6.99","7.05","8","8"
"2013","7.04","8","19252","4","6","8","9","7.01","7.07","8","8"
"2014","7.04","8","17155","4","6","8","9","7.01","7.07","8","8"
"2015","7.09","8","15681","4","6","8","9","7.06","7.12","8","8"
"2016","7.12","8","15223","4","6","8","9","7.09","7.15","8","8"
"2017","7.12","8","16965","4","6","8","9","7.09","7.15","8","8"
"2018","7.09","7","16494","4","6","8","9","7.06","7.12","8","8"
"2019","7.22","8","16766","5","6","8","9","7.19","7.25","8","8"
