"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","16-34 y.","Westdeutschland, alte Bundeslaender","7.53","8","2852","5","6","9","10","7.44","7.62","8","8"
"1984","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","35-65 y.","Westdeutschland, alte Bundeslaender","7.8","8","4124","5","7","10","10","7.73","7.87","8","8"
"1984","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","66 and older","Westdeutschland, alte Bundeslaender","8.36","9","46","5","8","10","10","7.79","8.93","8","10"
"1985","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","16-34 y.","Westdeutschland, alte Bundeslaender","7.43","8","2601","5","6","9","10","7.35","7.51","8","8"
"1985","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","35-65 y.","Westdeutschland, alte Bundeslaender","7.6","8","3695","5","6","9","10","7.53","7.67","8","8"
"1985","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","66 and older","Westdeutschland, alte Bundeslaender","6.79","7.19","40","2","5","10","10","5.9","7.68","7","9"
"1986","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","16-34 y.","Westdeutschland, alte Bundeslaender","7.35","8","2619","5","6","9","10","7.27","7.43","8","8"
"1986","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","35-65 y.","Westdeutschland, alte Bundeslaender","7.44","8","3521","5","6","9","10","7.37","7.51","8","8"
"1986","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1987","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","16-34 y.","Westdeutschland, alte Bundeslaender","7.31","8","2613","4","6","9","10","7.23","7.39","8","8"
"1987","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","35-65 y.","Westdeutschland, alte Bundeslaender","7.48","8","3507","5","6","9","10","7.41","7.55","8","8"
"1987","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","66 and older","Westdeutschland, alte Bundeslaender","7.92","8","35","5","7","10","10","7.15","8.69","8","10"
"1988","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","16-34 y.","Westdeutschland, alte Bundeslaender","7.27","8","2480","4","6","9","10","7.19","7.35","8","8"
"1988","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","35-65 y.","Westdeutschland, alte Bundeslaender","7.24","8","3326","5","6","9","10","7.17","7.31","8","8"
"1988","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","66 and older","Westdeutschland, alte Bundeslaender","8.63","9","31","5","8","10","10","7.9","9.36","8","10"
"1989","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","16-34 y.","Westdeutschland, alte Bundeslaender","7.26","8","2465","5","6","9","10","7.18","7.34","8","8"
"1989","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","35-65 y.","Westdeutschland, alte Bundeslaender","7.25","8","3198","5","6","9","10","7.18","7.32","8","8"
