"ple0021","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","in school","","","",""
"Yes","2011","Schleswig-Holstein","inadequately","2","","",""
"Yes","2011","Schleswig-Holstein","general elemantary","19","","",""
"Yes","2011","Schleswig-Holstein","middle vocational","72","0.201133659516451","0.159668789728009","0.242598529304893"
"Yes","2011","Schleswig-Holstein","vocational + Abi","8","","",""
"Yes","2011","Schleswig-Holstein","higher vocational","3","","",""
"Yes","2011","Schleswig-Holstein","higher education","24","","",""
"Yes","2011","Hamburg","in school","","","",""
"Yes","2011","Hamburg","inadequately","1","","",""
"Yes","2011","Hamburg","general elemantary","2","","",""
"Yes","2011","Hamburg","middle vocational","36","0.268942380501219","0.194962440610797","0.342922320391642"
"Yes","2011","Hamburg","vocational + Abi","6","","",""
"Yes","2011","Hamburg","higher vocational","5","","",""
"Yes","2011","Hamburg","higher education","11","","",""
"Yes","2011","Lower Saxony","in school","1","","",""
"Yes","2011","Lower Saxony","inadequately","8","","",""
"Yes","2011","Lower Saxony","general elemantary","61","0.272030431571426","0.215013279652713","0.329047583490139"
"Yes","2011","Lower Saxony","middle vocational","197","0.201670965356216","0.177214118027143","0.226127812685289"
"Yes","2011","Lower Saxony","vocational + Abi","19","","",""
"Yes","2011","Lower Saxony","higher vocational","16","","",""
"Yes","2011","Lower Saxony","higher education","45","0.116174396497962","0.0824594980875524","0.149889294908372"
"Yes","2011","Bremen","in school","","","",""
"Yes","2011","Bremen","inadequately","","","",""
"Yes","2011","Bremen","general elemantary","4","","",""
"Yes","2011","Bremen","middle vocational","9","","",""
"Yes","2011","Bremen","vocational + Abi","4","","",""
"Yes","2011","Bremen","higher vocational","1","","",""
"Yes","2011","Bremen","higher education","4","","",""
"Yes","2011","North Rhine-Westphalia","in school","","","",""
"Yes","2011","North Rhine-Westphalia","inadequately","19","","",""
"Yes","2011","North Rhine-Westphalia","general elemantary","122","0.273337025533546","0.233632395068087","0.313041655999006"
"Yes","2011","North Rhine-Westphalia","middle vocational","434","0.231579261962766","0.213133037293021","0.25002548663251"
"Yes","2011","North Rhine-Westphalia","vocational + Abi","46","0.180788944541434","0.138819746873586","0.222758142209283"
"Yes","2011","North Rhine-Westphalia","higher vocational","48","0.176970277999093","0.129943442380413","0.223997113617773"
"Yes","2011","North Rhine-Westphalia","higher education","136","0.158568257136793","0.133807579586665","0.183328934686921"
"Yes","2011","Hesse","in school","1","","",""
"Yes","2011","Hesse","inadequately","8","","",""
"Yes","2011","Hesse","general elemantary","50","0.356618059370013","0.280718636260846","0.43251748247918"
"Yes","2011","Hesse","middle vocational","138","0.227144666028844","0.194191081139286","0.260098250918401"
"Yes","2011","Hesse","vocational + Abi","15","","",""
"Yes","2011","Hesse","higher vocational","16","","",""
"Yes","2011","Hesse","higher education","44","0.0933058345947093","0.0639454170611642","0.122666252128254"
"Yes","2011","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","general elemantary","47","0.236473302932856","0.177584020105377","0.295362585760334"
"Yes","2011","Rhineland-Palatinate,Saarland","middle vocational","135","0.216418147901924","0.184081642034571","0.248754653769278"
"Yes","2011","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","higher vocational","18","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","higher education","37","0.217834781695398","0.158192803212046","0.277476760178749"
"Yes","2011","Baden-Württemberg","in school","","","",""
"Yes","2011","Baden-Württemberg","inadequately","4","","",""
"Yes","2011","Baden-Württemberg","general elemantary","97","0.315997579089802","0.26650740983921","0.365487748340394"
"Yes","2011","Baden-Württemberg","middle vocational","272","0.235634933671709","0.211522288034315","0.259747579309103"
"Yes","2011","Baden-Württemberg","vocational + Abi","23","","",""
"Yes","2011","Baden-Württemberg","higher vocational","35","0.206475893511253","0.147178402902953","0.265773384119554"
"Yes","2011","Baden-Württemberg","higher education","86","0.180599579686969","0.147818238811371","0.213380920562568"
"Yes","2011","Bavaria","in school","1","","",""
"Yes","2011","Bavaria","inadequately","11","","",""
"Yes","2011","Bavaria","general elemantary","106","0.326776997383444","0.277638793150452","0.375915201616435"
"Yes","2011","Bavaria","middle vocational","359","0.218926571012949","0.19925792711406","0.238595214911839"
"Yes","2011","Bavaria","vocational + Abi","24","","",""
"Yes","2011","Bavaria","higher vocational","45","0.165725858387242","0.117354899985571","0.214096816788913"
"Yes","2011","Bavaria","higher education","81","0.112294882325265","0.0880228715245094","0.13656689312602"
"Yes","2011","Berlin","in school","","","",""
"Yes","2011","Berlin","inadequately","","","",""
"Yes","2011","Berlin","general elemantary","10","","",""
"Yes","2011","Berlin","middle vocational","77","0.261456558266152","0.2127750847501","0.310138031782204"
"Yes","2011","Berlin","vocational + Abi","7","","",""
"Yes","2011","Berlin","higher vocational","24","","",""
"Yes","2011","Berlin","higher education","48","0.127104012915157","0.0892222007808422","0.164985825049471"
"Yes","2011","Brandenburg","in school","","","",""
"Yes","2011","Brandenburg","inadequately","1","","",""
"Yes","2011","Brandenburg","general elemantary","17","","",""
"Yes","2011","Brandenburg","middle vocational","97","0.188169623735877","0.15173247686","0.224606770611753"
"Yes","2011","Brandenburg","vocational + Abi","3","","",""
"Yes","2011","Brandenburg","higher vocational","11","","",""
"Yes","2011","Brandenburg","higher education","55","0.257269395854551","0.20275523423581","0.311783557473291"
"Yes","2011","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2011","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2011","Mecklenburg-Western Pomerania","general elemantary","8","","",""
"Yes","2011","Mecklenburg-Western Pomerania","middle vocational","52","0.228765530440876","0.178001192544527","0.279529868337226"
"Yes","2011","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","2011","Mecklenburg-Western Pomerania","higher vocational","14","","",""
"Yes","2011","Mecklenburg-Western Pomerania","higher education","29","","",""
"Yes","2011","Saxony","in school","","","",""
"Yes","2011","Saxony","inadequately","1","","",""
"Yes","2011","Saxony","general elemantary","23","","",""
"Yes","2011","Saxony","middle vocational","162","0.207031114647858","0.178705280918482","0.235356948377234"
"Yes","2011","Saxony","vocational + Abi","5","","",""
"Yes","2011","Saxony","higher vocational","35","0.276583285752226","0.196882493021575","0.356284078482877"
"Yes","2011","Saxony","higher education","63","0.218963812083489","0.17582357879287","0.262104045374108"
"Yes","2011","Saxony-Anhalt","in school","","","",""
"Yes","2011","Saxony-Anhalt","inadequately","","","",""
"Yes","2011","Saxony-Anhalt","general elemantary","13","","",""
"Yes","2011","Saxony-Anhalt","middle vocational","91","0.185784599512472","0.150434053498097","0.221135145526847"
"Yes","2011","Saxony-Anhalt","vocational + Abi","3","","",""
"Yes","2011","Saxony-Anhalt","higher vocational","21","","",""
"Yes","2011","Saxony-Anhalt","higher education","52","0.255740356473674","0.198221025950969","0.313259686996378"
"Yes","2011","Thuringia","in school","","","",""
"Yes","2011","Thuringia","inadequately","","","",""
"Yes","2011","Thuringia","general elemantary","12","","",""
"Yes","2011","Thuringia","middle vocational","115","0.186878363048561","0.154151294256667","0.219605431840455"
"Yes","2011","Thuringia","vocational + Abi","","","",""
"Yes","2011","Thuringia","higher vocational","17","","",""
"Yes","2011","Thuringia","higher education","27","","",""
"No","2011","Schleswig-Holstein","in school","15","","",""
"No","2011","Schleswig-Holstein","inadequately","6","","",""
"No","2011","Schleswig-Holstein","general elemantary","51","0.746502210451903","0.644595752105705","0.848408668798101"
"No","2011","Schleswig-Holstein","middle vocational","287","0.798866340483549","0.757401470695107","0.840331210271991"
"No","2011","Schleswig-Holstein","vocational + Abi","37","0.853946772365859","0.750762664338264","0.957130880393454"
"No","2011","Schleswig-Holstein","higher vocational","43","0.893027497341459","0.803709768957803","0.982345225725114"
"No","2011","Schleswig-Holstein","higher education","78","0.787793318652737","0.708445739992973","0.867140897312501"
"No","2011","Hamburg","in school","4","","",""
"No","2011","Hamburg","inadequately","1","","",""
"No","2011","Hamburg","general elemantary","18","","",""
"No","2011","Hamburg","middle vocational","102","0.731057619498781","0.657077679608358","0.805037559389203"
"No","2011","Hamburg","vocational + Abi","21","","",""
"No","2011","Hamburg","higher vocational","19","","",""
"No","2011","Hamburg","higher education","81","0.919926559412475","0.864467180580639","0.975385938244312"
