"ple0021","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","Not Employed","90","0.349723718449032","0.293564674338014","0.40588276256005"
"Yes","2011","Schleswig-Holstein","Employed","39","0.0816156237975394","0.0539428263590695","0.109288421236009"
"Yes","2011","Hamburg","Not Employed","40","0.337149138321429","0.255253259849571","0.419045016793287"
"Yes","2011","Hamburg","Employed","23","","",""
"Yes","2011","Lower Saxony","Not Employed","221","0.2981837705784","0.265766900679268","0.330600640477532"
"Yes","2011","Lower Saxony","Employed","127","0.121730145173414","0.10287325128721","0.140587039059617"
"Yes","2011","Bremen","Not Employed","13","","",""
"Yes","2011","Bremen","Employed","9","","",""
"Yes","2011","North Rhine-Westphalia","Not Employed","505","0.340436674794216","0.317551843730149","0.363321505858283"
"Yes","2011","North Rhine-Westphalia","Employed","304","0.126721101588265","0.11370187223512","0.13974033094141"
"Yes","2011","Hesse","Not Employed","158","0.351392470032761","0.309078781980956","0.393706158084567"
"Yes","2011","Hesse","Employed","117","0.123951939174878","0.102750529793404","0.145153348556353"
"Yes","2011","Rhineland-Palatinate,Saarland","Not Employed","150","0.325796840668087","0.283869598371891","0.367724082964283"
"Yes","2011","Rhineland-Palatinate,Saarland","Employed","94","0.134698075623722","0.109966198457332","0.159429952790113"
"Yes","2011","Baden-Württemberg","Not Employed","320","0.401270726224682","0.369580574342528","0.432960878106836"
"Yes","2011","Baden-Württemberg","Employed","198","0.12278382892342","0.106601409683718","0.138966248163121"
"Yes","2011","Bavaria","Not Employed","392","0.353187493918056","0.326167346138248","0.380207641697863"
"Yes","2011","Bavaria","Employed","235","0.111791128931517","0.0979776548187152","0.125604603044319"
"Yes","2011","Berlin","Not Employed","100","0.349123646903759","0.295713194413113","0.402534099394406"
"Yes","2011","Berlin","Employed","67","0.131386636944103","0.101070228269406","0.161703045618801"
"Yes","2011","Brandenburg","Not Employed","125","0.308700370969439","0.263143773418852","0.354256968520027"
"Yes","2011","Brandenburg","Employed","60","0.118202313996578","0.0897326669313418","0.146671961061813"
"Yes","2011","Mecklenburg-Western Pomerania","Not Employed","68","0.317721993840218","0.256058183239212","0.379385804441224"
"Yes","2011","Mecklenburg-Western Pomerania","Employed","37","0.169196227527004","0.12677023301972","0.211622222034289"
"Yes","2011","Saxony","Not Employed","193","0.376390352637133","0.335413688277157","0.417367016997109"
"Yes","2011","Saxony","Employed","96","0.12004487599678","0.098485159530567","0.141604592462993"
"Yes","2011","Saxony-Anhalt","Not Employed","110","0.315703609454703","0.267285440870747","0.36412177803866"
"Yes","2011","Saxony-Anhalt","Employed","70","0.130999923187223","0.101888149385449","0.160111696988998"
"Yes","2011","Thuringia","Not Employed","119","0.315314884531507","0.268287574620449","0.362342194442565"
"Yes","2011","Thuringia","Employed","53","0.0796168153047219","0.0562375308451457","0.102996099764298"
"No","2011","Schleswig-Holstein","Not Employed","187","0.650276281550968","0.59411723743995","0.706435325661986"
"No","2011","Schleswig-Holstein","Employed","337","0.918384376202461","0.890711578763991","0.94605717364093"
"No","2011","Hamburg","Not Employed","88","0.662850861678571","0.580954983206713","0.744746740150429"
"No","2011","Hamburg","Employed","164","0.885679041427456","0.840072367524746","0.931285715330167"
"No","2011","Lower Saxony","Not Employed","544","0.7018162294216","0.669399359522468","0.734233099320732"
"No","2011","Lower Saxony","Employed","1028","0.878269854826586","0.859412960940383","0.89712674871279"
"No","2011","Bremen","Not Employed","40","0.700723931972948","0.577436267348099","0.824011596597796"
"No","2011","Bremen","Employed","65","0.834393783362182","0.749699113631513","0.919088453092852"
"No","2011","North Rhine-Westphalia","Not Employed","1142","0.659563325205784","0.636678494141717","0.682448156269851"
"No","2011","North Rhine-Westphalia","Employed","2204","0.873278898411735","0.86025966905859","0.88629812776488"
"No","2011","Hesse","Not Employed","331","0.648607529967239","0.606293841915433","0.690921218019044"
"No","2011","Hesse","Employed","811","0.876048060825122","0.854846651443647","0.897249470206596"
"No","2011","Rhineland-Palatinate,Saarland","Not Employed","330","0.674203159331913","0.632275917035717","0.716130401628109"
"No","2011","Rhineland-Palatinate,Saarland","Employed","638","0.865301924376278","0.840570047209888","0.890033801542668"
"No","2011","Baden-Württemberg","Not Employed","599","0.598729273775318","0.567039121893164","0.630419425657471"
"No","2011","Baden-Württemberg","Employed","1382","0.87721617107658","0.861033751836879","0.893398590316282"
"No","2011","Bavaria","Not Employed","810","0.646812506081944","0.619792358302137","0.673832653861752"
"No","2011","Bavaria","Employed","1764","0.888208871068483","0.874395396955681","0.902022345181285"
"No","2011","Berlin","Not Employed","206","0.650876353096241","0.597465900605594","0.704286805586887"
"No","2011","Berlin","Employed","410","0.868613363055897","0.838296954381199","0.898929771730595"
"No","2011","Brandenburg","Not Employed","270","0.691299629030561","0.645743031479973","0.736856226581148"
"No","2011","Brandenburg","Employed","434","0.881797686003422","0.853328038938187","0.910267333068658"
"No","2011","Mecklenburg-Western Pomerania","Not Employed","151","0.682278006159782","0.620614195558776","0.743941816760788"
"No","2011","Mecklenburg-Western Pomerania","Employed","263","0.830803772472996","0.788377777965711","0.87322976698028"
"No","2011","Saxony","Not Employed","344","0.623609647362867","0.582632983002891","0.664586311722843"
"No","2011","Saxony","Employed","777","0.87995512400322","0.858395407537007","0.901514840469433"
"No","2011","Saxony-Anhalt","Not Employed","244","0.684296390545296","0.63587822196134","0.732714559129253"
