"ple0021","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","(0) in school","in school","3","","",""
"Yes","2011","(0) in school","inadequately","","","",""
"Yes","2011","(0) in school","general elemantary","","","",""
"Yes","2011","(0) in school","middle vocational","","","",""
"Yes","2011","(0) in school","vocational + Abi","","","",""
"Yes","2011","(0) in school","higher vocational","","","",""
"Yes","2011","(0) in school","higher education","","","",""
"Yes","2011","(1a) inadequately completed","in school","","","",""
"Yes","2011","(1a) inadequately completed","inadequately","53","1","1","1"
"Yes","2011","(1a) inadequately completed","general elemantary","","","",""
"Yes","2011","(1a) inadequately completed","middle vocational","13","","",""
"Yes","2011","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2011","(1a) inadequately completed","higher vocational","1","","",""
"Yes","2011","(1a) inadequately completed","higher education","","","",""
"Yes","2011","(1b) general elementary school","in school","","","",""
"Yes","2011","(1b) general elementary school","inadequately","4","","",""
"Yes","2011","(1b) general elementary school","general elemantary","525","1","1","1"
"Yes","2011","(1b) general elementary school","middle vocational","","","",""
"Yes","2011","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2011","(1b) general elementary school","higher vocational","","","",""
"Yes","2011","(1b) general elementary school","higher education","","","",""
"Yes","2011","(1c) basic vocational qualification","in school","","","",""
"Yes","2011","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2011","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2011","(1c) basic vocational qualification","middle vocational","1412","1","1","1"
"Yes","2011","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2011","(1c) basic vocational qualification","higher vocational","111","1","1","1"
"Yes","2011","(1c) basic vocational qualification","higher education","","","",""
"Yes","2011","(2b) intermediate general qualification","in school","","","",""
"Yes","2011","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2011","(2b) intermediate general qualification","general elemantary","66","1","1","1"
"Yes","2011","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2011","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2011","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2011","(2b) intermediate general qualification","higher education","","","",""
"Yes","2011","(2a) intermediate vocational","in school","","","",""
"Yes","2011","(2a) intermediate vocational","inadequately","","","",""
"Yes","2011","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2011","(2a) intermediate vocational","middle vocational","756","1","1","1"
"Yes","2011","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2011","(2a) intermediate vocational","higher vocational","127","1","1","1"
"Yes","2011","(2a) intermediate vocational","higher education","","","",""
"Yes","2011","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2011","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2011","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2011","(2c_gen) general maturity certificate","middle vocational","56","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2011","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2011","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","vocational + Abi","169","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","higher vocational","70","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2011","(3a) lower tertiary education","in school","","","",""
"Yes","2011","(3a) lower tertiary education","inadequately","","","",""
"Yes","2011","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2011","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2011","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2011","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2011","(3a) lower tertiary education","higher education","335","1","1","1"
"Yes","2011","(3b) higher tertiary education","in school","","","",""
"Yes","2011","(3b) higher tertiary education","inadequately","","","",""
"Yes","2011","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2011","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2011","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2011","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2011","(3b) higher tertiary education","higher education","407","1","1","1"
"Yes","2012","(0) in school","in school","","","",""
"Yes","2012","(0) in school","inadequately","","","",""
"Yes","2012","(0) in school","general elemantary","","","",""
"Yes","2012","(0) in school","middle vocational","","","",""
"Yes","2012","(0) in school","vocational + Abi","","","",""
"Yes","2012","(0) in school","higher vocational","","","",""
"Yes","2012","(0) in school","higher education","","","",""
"Yes","2012","(1a) inadequately completed","in school","","","",""
"Yes","2012","(1a) inadequately completed","inadequately","","","",""
"Yes","2012","(1a) inadequately completed","general elemantary","","","",""
"Yes","2012","(1a) inadequately completed","middle vocational","","","",""
