"ple0021","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Employed","Rural Area","1916","0.672464922257877","0.655183139941767","0.689746704573987","2"
"No","2011","Employed","Rural Area","3875","0.868951689617869","0.859015708786867","0.87888767044887","2"
"No","2011","Not Employed","Urban Area","3626","0.648439231537462","0.635600768743711","0.661277694331213","2"
"No","2011","Employed","Urban Area","7310","0.883020234880852","0.876098818750476","0.889941651011228","2"
"Yes","2011","Not Employed","Urban Area","1687","0.351560768462538","0.338722305668786","0.364399231256289","1"
"Yes","2011","Not Employed","Rural Area","917","0.327535077742123","0.310253295426013","0.344816860058233","1"
"Yes","2011","Employed","Urban Area","973","0.116979765119148","0.110058348988772","0.123901181249524","1"
"Yes","2011","Employed","Rural Area","556","0.131048310382131","0.12111232955113","0.140984291213133","1"
"No","2012","Not Employed","Rural Area","","","","","2"
"No","2012","Employed","Rural Area","","","","","2"
"No","2012","Not Employed","Urban Area","","","","","2"
"No","2012","Employed","Urban Area","","","","","2"
"Yes","2012","Not Employed","Urban Area","","","","","1"
"Yes","2012","Not Employed","Rural Area","","","","","1"
"Yes","2012","Employed","Urban Area","","","","","1"
"Yes","2012","Employed","Rural Area","","","","","1"
"No","2013","Not Employed","Rural Area","1768","0.662787001946758","0.644749867582015","0.6808241363115","2"
"No","2013","Employed","Rural Area","3501","0.859613661997785","0.848910907435865","0.870316416559704","2"
"No","2013","Not Employed","Urban Area","3185","0.638833519333001","0.625154846413414","0.652512192252588","2"
"No","2013","Employed","Urban Area","6574","0.867101631349371","0.859443426627328","0.874759836071415","2"
"Yes","2013","Not Employed","Rural Area","871","0.337212998053242","0.3191758636885","0.355250132417984","1"
"Yes","2013","Employed","Urban Area","974","0.132898368650628","0.125240163928585","0.140556573372672","1"
"Yes","2013","Employed","Rural Area","546","0.140386338002215","0.129683583440296","0.151089092564135","1"
"Yes","2013","Not Employed","Urban Area","1552","0.361166480666999","0.347487807747412","0.374845153586586","1"
"No","2014","Not Employed","Rural Area","","","","","2"
"No","2014","Employed","Rural Area","","","","","2"
"No","2014","Not Employed","Urban Area","","","","","2"
"No","2014","Employed","Urban Area","","","","","2"
"Yes","2014","Not Employed","Rural Area","","","","","1"
"Yes","2014","Employed","Urban Area","","","","","1"
"Yes","2014","Employed","Rural Area","","","","","1"
"Yes","2014","Not Employed","Urban Area","","","","","1"
"No","2015","Not Employed","Urban Area","3882","0.652842292761634","0.640272160769649","0.665412424753619","2"
"No","2015","Not Employed","Rural Area","2074","0.660405547861052","0.643450837722768","0.677360257999336","2"
"No","2015","Employed","Rural Area","5080","0.871860301958981","0.863214967549404","0.880505636368558","2"
"No","2015","Employed","Urban Area","9684","0.877752942458307","0.871609352218776","0.883896532697839","2"
"Yes","2015","Not Employed","Rural Area","923","0.339594452138948","0.322639742000664","0.356549162277232","1"
"Yes","2015","Not Employed","Urban Area","1628","0.347157707238366","0.334587575246381","0.359727839230351","1"
"Yes","2015","Employed","Urban Area","1237","0.122247057541693","0.116103467302161","0.128390647781224","1"
"Yes","2015","Employed","Rural Area","662","0.128139698041019","0.119494363631442","0.136785032450596","1"
"No","2016","Employed","Rural Area","","","","","2"
"No","2016","Not Employed","Urban Area","","","","","2"
"No","2016","Not Employed","Rural Area","","","","","2"
"No","2016","Employed","Urban Area","","","","","2"
"Yes","2016","Not Employed","Rural Area","","","","","1"
"Yes","2016","Employed","Rural Area","","","","","1"
"Yes","2016","Not Employed","Urban Area","","","","","1"
"Yes","2016","Employed","Urban Area","","","","","1"
"No","2017","Employed","Rural Area","5487","0.840314952314532","0.831306586410826","0.849323318218239","2"
"No","2017","Not Employed","Urban Area","3949","0.659313339981391","0.646826515436208","0.671800164526575","2"
"No","2017","Not Employed","Rural Area","2131","0.635290098560723","0.618345664643263","0.652234532478183","2"
"No","2017","Employed","Urban Area","10310","0.87122643985662","0.865166777675354","0.877286102037885","2"
"Yes","2017","Not Employed","Rural Area","969","0.364709901439277","0.347765467521817","0.381654335356737","1"
"Yes","2017","Employed","Rural Area","865","0.159685047685468","0.150676681781761","0.168693413589174","1"
"Yes","2017","Not Employed","Urban Area","1585","0.340686660018609","0.328199835473425","0.353173484563792","1"
"Yes","2017","Employed","Urban Area","1427","0.12877356014338","0.122713897962115","0.134833222324646","1"
"No","2018","Not Employed","Urban Area","","","","","2"
"No","2018","Not Employed","Rural Area","","","","","2"
"No","2018","Employed","Urban Area","","","","","2"
"No","2018","Employed","Rural Area","","","","","2"
"Yes","2018","Not Employed","Rural Area","","","","","1"
"Yes","2018","Employed","Rural Area","","","","","1"
"Yes","2018","Not Employed","Urban Area","","","","","1"
"Yes","2018","Employed","Urban Area","","","","","1"
"No","2019","Not Employed","Urban Area","3366","0.665706089890336","0.652350905947467","0.679061273833206","2"
"No","2019","Not Employed","Rural Area","1901","0.631779755288578","0.614109209647785","0.649450300929372","2"
"No","2019","Employed","Urban Area","9214","0.858273362863738","0.851659730725059","0.864886995002417","2"
"No","2019","Employed","Rural Area","5132","0.838100891846086","0.828795036466887","0.847406747225284","2"
"Yes","2019","Not Employed","Rural Area","961","0.368220244711422","0.350549699070628","0.385890790352215","1"
"Yes","2019","Employed","Rural Area","887","0.161899108153914","0.152593252774716","0.171204963533113","1"
"Yes","2019","Not Employed","Urban Area","1427","0.334293910109664","0.320938726166794","0.347649094052533","1"
"Yes","2019","Employed","Urban Area","1469","0.141726637136262","0.135113004997583","0.148340269274941","1"
