"ple0021","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Not Employed","Male","957","0.283425189370888","0.268334662491977","0.298515716249799"
"Yes","2011","Not Employed","Female","1647","0.387102972799791","0.37320715527711","0.400998790322472"
"Yes","2011","Employed","Male","697","0.102706816372321","0.0952768937805265","0.110136738964116"
"Yes","2011","Employed","Female","832","0.143115655314458","0.13446900238348","0.151762308245435"
"No","2011","Not Employed","Male","2469","0.716574810629112","0.701484283750201","0.731665337508023"
"No","2011","Not Employed","Female","3073","0.612897027200209","0.599001209677528","0.62679284472289"
"No","2011","Employed","Male","5716","0.897293183627679","0.889863261035884","0.904723106219473"
"No","2011","Employed","Female","5469","0.856884344685542","0.848237691754564","0.86553099761652"
"Yes","2012","Not Employed","Male","","","",""
"Yes","2012","Not Employed","Female","","","",""
"Yes","2012","Employed","Male","","","",""
"Yes","2012","Employed","Female","","","",""
"No","2012","Not Employed","Male","","","",""
"No","2012","Not Employed","Female","","","",""
"No","2012","Employed","Male","","","",""
"No","2012","Employed","Female","","","",""
"Yes","2013","Not Employed","Male","875","0.283665411490659","0.268022632759296","0.299308190222021"
"Yes","2013","Not Employed","Female","1548","0.405569390981658","0.390695258459292","0.420443523504024"
"Yes","2013","Employed","Male","669","0.114820610824679","0.106532670232444","0.123108551416913"
"Yes","2013","Employed","Female","851","0.158133918303695","0.148832447362192","0.167435389245198"
"No","2013","Not Employed","Male","2315","0.716334588509341","0.700691809777979","0.731977367240704"
"No","2013","Not Employed","Female","2638","0.594430609018342","0.579556476495976","0.609304741540708"
"No","2013","Employed","Male","5015","0.885179389175321","0.876891448583087","0.893467329767556"
"No","2013","Employed","Female","5060","0.841866081696305","0.832564610754802","0.851167552637808"
"Yes","2014","Not Employed","Male","","","",""
"Yes","2014","Not Employed","Female","","","",""
"Yes","2014","Employed","Male","","","",""
"Yes","2014","Employed","Female","","","",""
"No","2014","Not Employed","Male","","","",""
"No","2014","Not Employed","Female","","","",""
"No","2014","Employed","Male","","","",""
"No","2014","Employed","Female","","","",""
"Yes","2015","Not Employed","Male","900","0.284199150891241","0.269129151063678","0.299269150718804"
"Yes","2015","Not Employed","Female","1651","0.38958296249923","0.376154422423956","0.403011502574503"
"Yes","2015","Employed","Male","808","0.10575409045685","0.0990471105658007","0.112461070347899"
"Yes","2015","Employed","Female","1091","0.144316406127645","0.136883788092646","0.151749024162644"
"No","2015","Not Employed","Male","2541","0.715800849108759","0.700730849281196","0.730870848936322"
"No","2015","Not Employed","Female","3415","0.61041703750077","0.596988497425497","0.623845577576044"
"No","2015","Employed","Male","7268","0.89424590954315","0.887538929652101","0.900952889434199"
"No","2015","Employed","Female","7496","0.855683593872355","0.848250975837356","0.863116211907354"
"Yes","2016","Not Employed","Male","","","",""
"Yes","2016","Not Employed","Female","","","",""
"Yes","2016","Employed","Male","","","",""
"Yes","2016","Employed","Female","","","",""
"No","2016","Not Employed","Male","","","",""
"No","2016","Not Employed","Female","","","",""
"No","2016","Employed","Male","","","",""
"No","2016","Employed","Female","","","",""
"Yes","2017","Not Employed","Male","933","0.289473305602397","0.274627698218207","0.304318912986588"
"Yes","2017","Not Employed","Female","1621","0.391589654869994","0.378126113608764","0.405053196131224"
"Yes","2017","Employed","Male","1000","0.120237175575356","0.113424040393647","0.127050310757065"
"Yes","2017","Employed","Female","1292","0.158714700350543","0.151302090255073","0.166127310446013"
"No","2017","Not Employed","Male","2652","0.710526694397603","0.695681087013412","0.725372301781793"
"No","2017","Not Employed","Female","3428","0.608410345130006","0.594946803868776","0.621873886391236"
"No","2017","Employed","Male","7754","0.879762824424644","0.872949689242935","0.886575959606353"
"No","2017","Employed","Female","8043","0.841285299649457","0.833872689553987","0.848697909744927"
"Yes","2018","Not Employed","Male","","","",""
"Yes","2018","Not Employed","Female","","","",""
"Yes","2018","Employed","Male","","","",""
"Yes","2018","Employed","Female","","","",""
"No","2018","Not Employed","Male","","","",""
"No","2018","Not Employed","Female","","","",""
"No","2018","Employed","Male","","","",""
"No","2018","Employed","Female","","","",""
"Yes","2019","Not Employed","Male","975","0.278785084458873","0.2639720553443","0.293598113573446"
"Yes","2019","Not Employed","Female","1554","0.393880860748254","0.379756386953595","0.408005334542913"
"Yes","2019","Employed","Male","1118","0.129724973514933","0.122717942630337","0.13673200439953"
"Yes","2019","Employed","Female","1392","0.164643535373384","0.156947809635672","0.172339261111096"
"No","2019","Not Employed","Male","2545","0.721214915541127","0.706401886426554","0.7360279446557"
"No","2019","Not Employed","Female","3043","0.606119139251746","0.591994665457088","0.620243613046405"
"No","2019","Employed","Male","7715","0.870275026485067","0.86326799560047","0.877282057369663"
"No","2019","Employed","Female","7529","0.835356464626616","0.827660738888904","0.843052190364328"
