"ple0021","year","n","percent","lower_confidence","upper_confidence","value"
"No","2011","16727","0.792031365830022","0.786523782850219","0.797538948809825","2"
"Yes","2011","4133","0.207968634169978","0.202461051190175","0.213476217149782","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","15028","0.777619088365503","0.771701630306035","0.78353654642497","2"
"Yes","2013","3943","0.222380911634497","0.21646345357503","0.228298369693964","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","20720","0.794212131673679","0.789217716678602","0.799206546668756","2"
"Yes","2015","4450","0.205787868326321","0.200793453331243","0.210782283321398","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","21877","0.786444427843826","0.781530882605935","0.791357973081718","2"
"Yes","2017","4846","0.213555572156174","0.208642026918282","0.218469117394065","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","20839","0.784097552420442","0.779084759236741","0.789110345604143","2"
"Yes","2019","5041","0.215902447579558","0.210889654395857","0.220915240763259","1"
