"ple0021","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Mecklenburg-Western Pomerania","Urban Area","39","0.845446071730603","0.74098555870005","0.949906584761156","2"
"No","2011","Hamburg","Urban Area","252","0.791550023836206","0.746692745246605","0.836407302425808","2"
"No","2011","Lower Saxony","Urban Area","773","0.802572345369908","0.777166226058722","0.827978464681094","2"
"No","2011","Lower Saxony","Rural Area","799","0.812652034230433","0.788185209352638","0.837118859108228","2"
"No","2011","Bremen","Urban Area","105","0.768938182953531","0.695629395500804","0.842246970406257","2"
"No","2011","Hamburg","Rural Area","","","","","2"
"No","2011","Brandenburg","Rural Area","647","0.792334587569167","0.764570873917774","0.820098301220561","2"
"No","2011","North Rhine-Westphalia","Urban Area","3241","0.789539923496322","0.776935730793389","0.802144116199255","2"
"No","2011","Mecklenburg-Western Pomerania","Rural Area","375","0.760320110765811","0.721849280673831","0.79879094085779","2"
"No","2011","Saxony","Urban Area","582","0.790672130374427","0.761099318000035","0.82024494274882","2"
"No","2011","Saxony","Rural Area","539","0.774327910545464","0.74297779679348","0.805678024297449","2"
"No","2011","Schleswig-Holstein","Urban Area","168","0.827654420720269","0.776079439985501","0.879229401455037","2"
"No","2011","Schleswig-Holstein","Rural Area","356","0.799101494880948","0.761957923973645","0.836245065788251","2"
"No","2011","Brandenburg","Urban Area","57","0.849332744405093","0.764927016722428","0.933738472087759","2"
"No","2011","Bremen","Rural Area","","","","","2"
"No","2011","Saxony-Anhalt","Urban Area","217","0.74734885599754","0.697163828239296","0.797533883755784","2"
"No","2011","North Rhine-Westphalia","Rural Area","105","0.771153334060594","0.700808781345131","0.841497886776057","2"
"No","2011","Hesse","Urban Area","956","0.81722446187205","0.795021990671672","0.839426933072428","2"
"No","2011","Saxony-Anhalt","Rural Area","473","0.815268503946604","0.783739706625374","0.846797301267835","2"
"No","2011","Hesse","Rural Area","186","0.715865008679857","0.66029176349242","0.771438253867295","2"
