"ple0021","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2011","West Germany","Male","1241","1","1","1"
"Yes","2011","West Germany","Female","1882","1","1","1"
"Yes","2011","East Germany","Male","413","1","1","1"
"Yes","2011","East Germany","Female","597","1","1","1"
"Yes","2012","West Germany","Male","","","",""
"Yes","2012","West Germany","Female","","","",""
"Yes","2012","East Germany","Male","","","",""
"Yes","2012","East Germany","Female","","","",""
"Yes","2013","West Germany","Male","1167","1","1","1"
"Yes","2013","West Germany","Female","1838","1","1","1"
"Yes","2013","East Germany","Male","377","1","1","1"
"Yes","2013","East Germany","Female","561","1","1","1"
"Yes","2014","West Germany","Male","","","",""
"Yes","2014","West Germany","Female","","","",""
"Yes","2014","East Germany","Male","","","",""
"Yes","2014","East Germany","Female","","","",""
"Yes","2015","West Germany","Male","1284","1","1","1"
"Yes","2015","West Germany","Female","2103","1","1","1"
"Yes","2015","East Germany","Male","424","1","1","1"
"Yes","2015","East Germany","Female","639","1","1","1"
"Yes","2016","West Germany","Male","","","",""
"Yes","2016","West Germany","Female","","","",""
"Yes","2016","East Germany","Male","","","",""
"Yes","2016","East Germany","Female","","","",""
"Yes","2017","West Germany","Male","1443","1","1","1"
"Yes","2017","West Germany","Female","2249","1","1","1"
"Yes","2017","East Germany","Male","490","1","1","1"
"Yes","2017","East Germany","Female","664","1","1","1"
"Yes","2018","West Germany","Male","","","",""
"Yes","2018","West Germany","Female","","","",""
"Yes","2018","East Germany","Male","","","",""
"Yes","2018","East Germany","Female","","","",""
"Yes","2019","West Germany","Male","1602","1","1","1"
"Yes","2019","West Germany","Female","2260","1","1","1"
"Yes","2019","East Germany","Male","487","1","1","1"
"Yes","2019","East Germany","Female","679","1","1","1"
