"ple0021","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","2011","Hamburg","West Germany","252","0.791550023836206","0.746692745246605","0.836407302425808","2"
"No","2011","Lower Saxony","West Germany","1572","0.80747656646619","0.789840397958286","0.825112734974094","2"
"No","2011","Lower Saxony","East Germany","","","","","2"
"No","2011","Bremen","West Germany","105","0.768938182953531","0.695629395500804","0.842246970406257","2"
"No","2011","Hamburg","East Germany","","","","","2"
"No","2011","Brandenburg","East Germany","704","0.796378676345813","0.769907779835012","0.822849572856615","2"
"No","2011","North Rhine-Westphalia","West Germany","3346","0.788935674537606","0.776527988621346","0.801343360453866","2"
"No","2011","Mecklenburg-Western Pomerania","East Germany","414","0.766257717721405","0.729847734141623","0.802667701301188","2"
"No","2011","Saxony","West Germany","","","","","2"
"No","2011","Saxony","East Germany","1121","0.781959291260378","0.760406704632368","0.803511877888389","2"
"No","2011","Schleswig-Holstein","West Germany","524","0.807552723102752","0.777316131888818","0.837789314316686","2"
"No","2011","Schleswig-Holstein","East Germany","","","","","2"
"No","2011","Brandenburg","West Germany","","","","","2"
"No","2011","Bremen","East Germany","","","","","2"
"No","2011","Saxony-Anhalt","West Germany","","","","","2"
"No","2011","North Rhine-Westphalia","East Germany","","","","","2"
"No","2011","Hesse","West Germany","1142","0.798173511987174","0.77727569588681","0.819071328087539","2"
"No","2011","Saxony-Anhalt","East Germany","690","0.79355513813304","0.766659673095947","0.820450603170133","2"
"No","2011","Hesse","East Germany","","","","","2"
"No","2011","Rhineland-Palatinate,Saarland","West Germany","968","0.790817340776015","0.767919332245346","0.813715349306683","2"
"No","2011","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","2011","Baden-Württemberg","West Germany","1981","0.777655627503366","0.761352471153858","0.793958783852875","2"
"No","2011","Baden-Württemberg","East Germany","","","","","2"
"No","2011","Bavaria","West Germany","2574","0.798637823753276","0.78474568413424","0.812529963372312","2"
"No","2011","Bavaria","East Germany","","","","","2"
"No","2011","Berlin","West Germany","341","0.774973889422464","0.735457301606011","0.814490477238917","2"
"No","2011","Berlin","East Germany","275","0.787062090148279","0.744416173799678","0.82970800649688","2"
"No","2011","Thuringia","West Germany","","","","","2"
"No","2011","Thuringia","East Germany","718","0.819391041224995","0.79411736964119","0.8446647128088","2"
"Yes","2011","Schleswig-Holstein","West Germany","129","0.192447276897248","0.162210685683314","0.222683868111182","1"
"Yes","2011","Schleswig-Holstein","East Germany","","","","","1"
"Yes","2011","Hamburg","West Germany","63","0.208449976163794","0.163592697574192","0.253307254753395","1"
"Yes","2011","Hamburg","East Germany","","","","","1"
"Yes","2011","Lower Saxony","West Germany","348","0.19252343353381","0.174887265025906","0.210159602041714","1"
"Yes","2011","Lower Saxony","East Germany","","","","","1"
"Yes","2011","Bremen","West Germany","22","","","","1"
"Yes","2011","Bremen","East Germany","","","","","1"
"Yes","2011","North Rhine-Westphalia","West Germany","809","0.211064325462394","0.198656639546134","0.223472011378654","1"
"Yes","2011","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","2011","Hesse","West Germany","275","0.201826488012826","0.180928671912461","0.22272430411319","1"
"Yes","2011","Hesse","East Germany","","","","","1"
"Yes","2011","Rhineland-Palatinate,Saarland","West Germany","244","0.209182659223986","0.186284650693317","0.232080667754654","1"
"Yes","2011","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","2011","Baden-Württemberg","West Germany","518","0.222344372496634","0.206041216147125","0.238647528846142","1"
"Yes","2011","Baden-Württemberg","East Germany","","","","","1"
"Yes","2011","Bavaria","West Germany","627","0.201362176246724","0.187470036627688","0.21525431586576","1"
"Yes","2011","Bavaria","East Germany","","","","","1"
"Yes","2011","Berlin","West Germany","88","0.225026110577536","0.185509522761083","0.264542698393989","1"
