"ple0021","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","1976","1","1","1"
"Yes","2011","secondary school degree","1086","1","1","1"
"Yes","2011","college entrance qualification","745","1","1","1"
"Yes","2011","Other degree","228","1","1","1"
"Yes","2011","no degree/no degree yet","70","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","1803","1","1","1"
"Yes","2013","secondary school degree","1061","1","1","1"
"Yes","2013","college entrance qualification","749","1","1","1"
"Yes","2013","Other degree","244","1","1","1"
"Yes","2013","no degree/no degree yet","62","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","1728","1","1","1"
"Yes","2015","secondary school degree","1271","1","1","1"
"Yes","2015","college entrance qualification","878","1","1","1"
"Yes","2015","Other degree","433","1","1","1"
"Yes","2015","no degree/no degree yet","88","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","1777","1","1","1"
"Yes","2017","secondary school degree","1472","1","1","1"
"Yes","2017","college entrance qualification","975","1","1","1"
"Yes","2017","Other degree","456","1","1","1"
"Yes","2017","no degree/no degree yet","103","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","1643","1","1","1"
"Yes","2019","secondary school degree","1539","1","1","1"
"Yes","2019","college entrance qualification","1238","1","1","1"
"Yes","2019","Other degree","447","1","1","1"
"Yes","2019","no degree/no degree yet","89","1","1","1"
