"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1995","higher vocational","Female","2.44","2","279","1","2","3","3","4","2.34","2.54","1","4","2","3"
"1995","higher vocational","Male","2.57","3","463","2","2","3","3","4","2.5","2.64","1","4","3","3"
"1995","in school","Female","1.99","2","124","1","1","2","3","3","1.86","2.12","1","4","2","2"
"1995","in school","Male","2.21","2","116","1","2","3","3","4","2.07","2.35","1","4","2","2"
"1995","inadequately","Female","2.82","3","55","2","2","3","4","4","2.59","3.05","1","4","2","3"
"1995","inadequately","Male","2.48","2","43","1","2","3","3","4","2.22","2.74","1","4","2","3"
"1995","middle vocational","Female","2.55","3","3077","1","2","3","4","4","2.52","2.58","1","4","3","3"
"1995","middle vocational","Male","2.61","3","3004","2","2","3","4","4","2.58","2.64","1","4","3","3"
"1995","vocational + Abi","Female","2.34","2","196","1","2","3","3","4","2.23","2.45","1","4","2","3"
"1995","vocational + Abi","Male","2.51","3","206","1","2","3","3","4","2.4","2.62","1","4","2","3"
"1996","general elemantary","Female","","","","","","","","","","","","","",""
"1996","general elemantary","Male","","","","","","","","","","","","","",""
"1996","higher education","Female","","","","","","","","","","","","","",""
"1996","higher education","Male","","","","","","","","","","","","","",""
"1996","higher vocational","Female","","","","","","","","","","","","","",""
"1996","higher vocational","Male","","","","","","","","","","","","","",""
"1996","in school","Female","","","","","","","","","","","","","",""
"1996","in school","Male","","","","","","","","","","","","","",""
"1996","inadequately","Female","","","","","","","","","","","","","",""
"1996","inadequately","Male","","","","","","","","","","","","","",""
"1996","middle vocational","Female","","","","","","","","","","","","","",""
"1996","middle vocational","Male","","","","","","","","","","","","","",""
"1996","vocational + Abi","Female","","","","","","","","","","","","","",""
"1996","vocational + Abi","Male","","","","","","","","","","","","","",""
"1997","general elemantary","Female","","","","","","","","","","","","","",""
"1997","general elemantary","Male","","","","","","","","","","","","","",""
"1997","higher education","Female","","","","","","","","","","","","","",""
"1997","higher education","Male","","","","","","","","","","","","","",""
"1997","higher vocational","Female","","","","","","","","","","","","","",""
"1997","higher vocational","Male","","","","","","","","","","","","","",""
"1997","in school","Female","","","","","","","","","","","","","",""
"1997","in school","Male","","","","","","","","","","","","","",""
"1997","inadequately","Female","","","","","","","","","","","","","",""
"1997","inadequately","Male","","","","","","","","","","","","","",""
"1997","middle vocational","Female","","","","","","","","","","","","","",""
"1997","middle vocational","Male","","","","","","","","","","","","","",""
"1997","vocational + Abi","Female","","","","","","","","","","","","","",""
"1997","vocational + Abi","Male","","","","","","","","","","","","","",""
"1998","general elemantary","Female","","","","","","","","","","","","","",""
"1998","general elemantary","Male","","","","","","","","","","","","","",""
