"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","2.49","2","7142","1","2","3","4","4","2.47","2.51","1","4","2","3"
"1991","","","","","","","","","","","","","",""
"1992","2.49","2","11006","1","2","3","4","4","2.47","2.51","1","4","2","3"
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","2.56","3","11245","2","2","3","4","4","2.55","2.57","1","4","3","3"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","2.59","3","21631","2","2","3","4","4","2.58","2.6","1","4","3","3"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.66","3","19343","2","2","3","4","4","2.65","2.67","1","4","3","3"
"2009","","","","","","","","","","","","","",""
"2010","2.54","3","7303","1","2","3","4","4","2.52","2.56","1","4","3","3"
"2011","","","","","","","","","","","","","",""
"2012","2.55","3","27665","1","2","3","4","4","2.54","2.56","1","4","3","3"
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","2.51","3","24361","1","2","3","4","4","2.5","2.52","1","4","3","3"
