"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","2.58","3","22149","2","2","3","3","4","2.57","2.59","1","4","3","3"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.59","3","19346","2","2","3","3","4","2.58","2.6","1","4","3","3"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","2.65","3","25504","2","2","3","4","4","2.64","2.66","1","4","3","3"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","2.7","3","29427","2","2","3","4","4","2.69","2.71","1","4","3","3"
