"year","age_gr","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Employed","3.82","3","3103","2","3","5","6","9","3.75","3.89","0","80","3","3"
"1984","16-34 y.","Not Employed","4.38","4","1480","2","3","5","6","10","4.15","4.61","1","82","4","4"
"1984","35-65 y.","Employed","4.17","4","4365","2","3","5","6","9","4.07","4.27","0","80","4","4"
"1984","35-65 y.","Not Employed","4.02","4","1945","2","3","5","6","9","3.9","4.14","0","80","3","4"
"1984","66 and older","Employed","3.54","3","64","2","2","4","6","8","3.1","3.98","2","10","3","4"
"1984","66 and older","Not Employed","3.25","3","1211","2","2","4","5","8","3.1","3.4","0","82","3","3"
"1985","16-34 y.","Employed","3.39","3","396","2","2","4","5","10","3.15","3.63","0","42","3","3"
"1985","16-34 y.","Not Employed","3.38","3","135","2","2","4","5","8","3.15","3.61","0","10","3","4"
"1985","35-65 y.","Employed","3.65","3.71","176","2","3","5","5","11","3.39","3.91","0","11","3","4"
"1985","35-65 y.","Not Employed","3.79","3.48","79","2","3","4","6","8","3.48","4.1","1","9","3","4"
"1985","66 and older","Employed","","","","","","","","","","","","","",""
"1985","66 and older","Not Employed","","","","","","","","","","","","","",""
"1986","16-34 y.","Employed","3.12","3","515","1","2","4","5","8","2.99","3.25","1","11","3","3"
"1986","16-34 y.","Not Employed","3.35","3","150","1","2","4","6","8","3.08","3.62","1","10","3","3"
"1986","35-65 y.","Employed","3.5","3","225","2","2","4","6","8","3.29","3.71","1","9","3","3"
"1986","35-65 y.","Not Employed","3.56","3","79","2","2","5","6","9","3.16","3.96","1","9","3","3"
"1986","66 and older","Employed","","","","","","","","","","","","","",""
"1986","66 and older","Not Employed","","","","","","","","","","","","","",""
"1987","16-34 y.","Employed","3.02","3","440","1","2","4","5","7","2.9","3.14","1","8","3","3"
"1987","16-34 y.","Not Employed","3.33","3","113","1","2","4","5","7","3.04","3.62","1","9","3","3"
"1987","35-65 y.","Employed","3.48","3","220","2","3","4","5","7","3.3","3.66","1","9","3","4"
"1987","35-65 y.","Not Employed","3.48","3","68","2","3","4","5","7","3.14","3.82","1","9","3","4"
"1987","66 and older","Employed","","","","","","","","","","","","","",""
"1987","66 and older","Not Employed","","","","","","","","","","","","","",""
"1988","16-34 y.","Employed","3.17","3","442","2","2","4","6","9","3.01","3.33","0","11","3","3"
"1988","16-34 y.","Not Employed","2.92","3","111","1","2","4","5","8","2.6","3.24","0","9","3","3"
"1988","35-65 y.","Employed","3.42","3","175","2","2","4","6","9","3.16","3.68","0","9","3","4"
"1988","35-65 y.","Not Employed","3.13","3","66","1","2","4","6","8","2.65","3.61","1","8","3","4"
"1988","66 and older","Employed","","","","","","","","","","","","","",""
"1988","66 and older","Not Employed","","","","","","","","","","","","","",""
"1989","16-34 y.","Employed","3.08","3","442","1","2","4","5","8","2.95","3.21","0","10","3","3"
"1989","16-34 y.","Not Employed","3.5","3","99","2","2","4","6","10","3.14","3.86","1","10","3","3"
"1989","35-65 y.","Employed","3.77","3","182","2","2","5","7","10","3.51","4.03","1","10","3","4"
"1989","35-65 y.","Not Employed","3.07","3","62","1","2","4","5","7","2.69","3.45","1","7","3","4"
"1989","66 and older","Employed","","","","","","","","","","","","","",""
"1989","66 and older","Not Employed","","","","","","","","","","","","","",""
"1990","16-34 y.","Employed","3.22","3","402","1","2","4","5","8","2.8","3.64","0","60","3","3"
"1990","16-34 y.","Not Employed","2.89","3","88","1","2","4","5","6","2.61","3.17","1","6","3","3"
"1990","35-65 y.","Employed","3.45","3","173","2","3","4","5","7","3.23","3.67","0","9","3","4"
"1990","35-65 y.","Not Employed","3.04","3","45","1","2","4","5","7","2.6","3.48","1","7","3","4"
"1990","66 and older","Employed","","","","","","","","","","","","","",""
"1990","66 and older","Not Employed","","","","","","","","","","","","","",""
"1991","16-34 y.","Employed","3.04","3","413","1","2","4","5","8","2.89","3.19","1","10","3","3"
"1991","16-34 y.","Not Employed","3.5","3","99","2","2","5","6","10","3.15","3.85","1","10","3","3"
"1991","35-65 y.","Employed","4.17","4","215","2","3","5","6","9","3.94","4.4","1","10","4","4"
"1991","35-65 y.","Not Employed","3.98","3.59","64","2","3","5","6","10","3.53","4.43","1","10","3","4"
"1991","66 and older","Employed","","","","","","","","","","","","","",""
"1991","66 and older","Not Employed","","","","","","","","","","","","","",""
"1992","16-34 y.","Employed","3.1","3","619","2","2","4","5","9","2.98","3.22","1","10","3","3"
"1992","16-34 y.","Not Employed","3.14","3","112","1","2","4","5","9","2.86","3.42","1","9","3","3"
"1992","35-65 y.","Employed","3.9","4","318","2","2","5","7","9","3.7","4.1","0","10","3","4"
"1992","35-65 y.","Not Employed","3.57","3","69","2","3","4","6","8","3.16","3.98","1","8","3","4"
"1992","66 and older","Employed","","","","","","","","","","","","","",""
"1992","66 and older","Not Employed","2.73","2","34","1","1","4","5","10","2.03","3.43","1","10","2","4"
"1993","16-34 y.","Employed","3.08","3","648","1","2","4","5","8","2.97","3.19","1","11","3","3"
"1993","16-34 y.","Not Employed","3.37","3","158","1","2","4","5","8","3.11","3.63","1","9","3","3"
"1993","35-65 y.","Employed","3.99","4","334","2","3","5","7","8","3.81","4.17","1","11","4","4"
"1993","35-65 y.","Not Employed","3.84","4","85","2","2","5","7","8","3.49","4.19","1","8","3","4"
"1993","66 and older","Employed","","","","","","","","","","","","","",""
"1993","66 and older","Not Employed","2.9","2","41","1","2","3","7","11","2.21","3.59","1","11","2","3"
"1994","16-34 y.","Employed","3.01","3","671","1","2","4","5","7","2.9","3.12","1","10","3","3"
"1994","16-34 y.","Not Employed","3.38","3","169","1","2","4","6","10","3.13","3.63","1","10","3","3"
"1994","35-65 y.","Employed","3.96","4","351","2","3","5","6","10","3.77","4.15","1","10","4","4"
"1994","35-65 y.","Not Employed","3.77","3","91","2","2","4","7","9","3.41","4.13","1","9","3","4"
"1994","66 and older","Employed","","","","","","","","","","","","","",""
"1994","66 and older","Not Employed","2.22","2","56","1","1","3","4","6","1.81","2.63","1","8","2","3"
"1995","16-34 y.","Employed","3.18","3","785","1","2","4","6","8","3.07","3.29","1","9","3","3"
"1995","16-34 y.","Not Employed","3.28","3","265","2","2","4","5","8","3.09","3.47","1","9","3","3"
"1995","35-65 y.","Employed","3.95","4","549","2","3","5","6","9","3.81","4.09","1","9","4","4"
"1995","35-65 y.","Not Employed","3.15","3","186","2","2","4","5","9","2.93","3.37","1","9","3","3"
"1995","66 and older","Employed","","","","","","","","","","","","","",""
"1995","66 and older","Not Employed","2.19","2","72","1","1","3","4","8","1.79","2.59","1","9","2","3"
"1996","16-34 y.","Employed","3.21","3","739","2","2","4","5","8","3.11","3.31","1","9","3","3"
"1996","16-34 y.","Not Employed","3.39","3","208","1","2","4","6","9","3.16","3.62","1","11","3","3"
"1996","35-65 y.","Employed","3.78","3","465","2","3","5","6","8","3.63","3.93","1","11","3","4"
"1996","35-65 y.","Not Employed","3.43","3","119","2","2","4","6","8","3.16","3.7","1","8","3","4"
"1996","66 and older","Employed","","","","","","","","","","","","","",""
"1996","66 and older","Not Employed","2.36","2","52","1","2","3","4","8","1.96","2.76","1","8","2","3"
"1997","16-34 y.","Employed","3.13","3","652","1","2","4","5","8","3.01","3.25","1","10","3","3"
"1997","16-34 y.","Not Employed","3.54","3","189","2","3","4","6","8","3.31","3.77","1","11","3","4"
"1997","35-65 y.","Employed","3.67","3","408","2","2","5","6","9","3.51","3.83","1","11","3","4"
"1997","35-65 y.","Not Employed","3.57","3","146","1","2","4","7","9","3.3","3.84","1","9","3","4"
"1997","66 and older","Employed","","","","","","","","","","","","","",""
"1997","66 and older","Not Employed","2.88","3","65","2","2","3","4","11","2.48","3.28","1","11","2","3"
"1998","16-34 y.","Employed","3.55","3","3449","2","3","4","6","9","3.5","3.6","1","18","3","3"
"1998","16-34 y.","Not Employed","4.06","4","1382","2","3","5","6","9","3.97","4.15","1","12","4","4"
"1998","35-65 y.","Employed","4.1","4","5235","2","3","5","6","9","4.06","4.14","1","18","4","4"
"1998","35-65 y.","Not Employed","3.82","4","2166","2","3","5","6","9","3.75","3.89","1","18","3","4"
"1998","66 and older","Employed","4.29","4","57","3","3","5","6","8","3.87","4.71","1","8","3","5"
"1998","66 and older","Not Employed","3.32","3","1786","2","2","4","5","8","3.25","3.39","1","18","3","3"
"1999","16-34 y.","Employed","3.23","3","724","2","2","4","5","13","3.11","3.35","1","13","3","3"
"1999","16-34 y.","Not Employed","3.41","3","188","2","2","4","5","11","3.16","3.66","1","12","3","4"
"1999","35-65 y.","Employed","4.29","4","467","2","3","5","7","12","4.12","4.46","1","14","4","4"
"1999","35-65 y.","Not Employed","3.62","3","126","2","2","4","6","8","3.32","3.92","1","9","3","4"
"1999","66 and older","Employed","","","","","","","","","","","","","",""
"1999","66 and older","Not Employed","2.2","2","64","1","1","3","3","6","1.85","2.55","1","7","2","3"
"2000","16-34 y.","Employed","3.59","3","2643","2","2","4","6","9","3.52","3.66","1","15","3","3"
"2000","16-34 y.","Not Employed","4.14","4","924","2","3","5","7","9","4.02","4.26","1","14","4","4"
"2000","35-65 y.","Employed","4.23","4","4860","2","3","5","7","10","4.18","4.28","1","15","4","4"
"2000","35-65 y.","Not Employed","4.11","4","1940","2","3","5","6","10","4.03","4.19","1","14","4","4"
"2000","66 and older","Employed","4.12","4","72","2","3","5","7","10","3.67","4.57","2","11","3","4"
"2000","66 and older","Not Employed","3.61","3","1762","2","3","4","6","8","3.53","3.69","1","11","3","3"
"2001","16-34 y.","Employed","3.47","3","882","2","2","4","6","10","3.35","3.59","1","13","3","3"
"2001","16-34 y.","Not Employed","3.66","3","212","1","3","5","6","9","3.42","3.9","1","12","3","4"
"2001","35-65 y.","Employed","4.09","4","759","2","3","5","7","10","3.96","4.22","1","13","4","4"
"2001","35-65 y.","Not Employed","4.06","4","219","2","3","5","7","10","3.81","4.31","1","12","3","4"
"2001","66 and older","Employed","","","","","","","","","","","","","",""
"2001","66 and older","Not Employed","3.08","2","100","2","2","4","6","8","2.7","3.46","1","11","2","3"
"2002","16-34 y.","Employed","3.64","3","4491","2","3","4","6","9","3.59","3.69","1","16","3","4"
