"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","4.51","4","149","2","3","5","6","42","3.96","5.06","1","42","4","4"
"1985","Urban Area","3.21","3","654","1","2","4","5","10","3.09","3.33","0","11","3","3"
"1986","Rural Area","3.91","3","168","2","3","5","6","11","3.61","4.21","1","11","3","4"
"1986","Urban Area","3.05","3","824","1","2","4","5","8","2.95","3.15","1","10","3","3"
"1987","Rural Area","3.42","3","157","2","3","4","5","6","3.22","3.62","1","8","3","3"
"1987","Urban Area","3.14","3","703","1","2","4","5","7","3.04","3.24","1","9","3","3"
"1988","Rural Area","3.49","3","139","2","2","4","6","9","3.16","3.82","1","10","3","4"
"1988","Urban Area","3.05","3","682","1","2","4","5","8","2.92","3.18","0","11","3","3"
"1989","Rural Area","3.63","3","151","2","2","4","6","10","3.33","3.93","1","10","3","4"
"1989","Urban Area","3.16","3","649","2","2","4","5","8","3.04","3.28","0","10","3","3"
"1990","Rural Area","3.45","3","2937","2","3","4","5","7","3.38","3.52","1","60","3","3"
"1990","Urban Area","2.95","3","2081","1","2","4","4","6","2.9","3","0","8","3","3"
"1991","Rural Area","3.62","3","353","2","2","5","6","10","3.42","3.82","1","11","3","4"
"1991","Urban Area","3.29","3","765","1","2","4","6","9","3.18","3.4","1","10","3","3"
"1992","Rural Area","3.72","3","392","2","2","5","6","9","3.55","3.89","1","9","3","4"
"1992","Urban Area","3.18","3","740","1","2","4","5","9","3.07","3.29","0","10","3","3"
"1993","Rural Area","3.61","3","394","2","2","5","6","8","3.43","3.79","1","8","3","4"
"1993","Urban Area","3.35","3","873","1","2","4","6","8","3.25","3.45","1","11","3","3"
"1994","Rural Area","3.63","3","437","2","2","5","6","10","3.46","3.8","1","10","3","4"
"1994","Urban Area","3.17","3","902","1","2","4","5","8","3.07","3.27","1","10","3","3"
"1995","Rural Area","3.81","3","556","2","3","5","6","9","3.67","3.95","1","9","3","4"
"1995","Urban Area","3.21","3","1305","1","2","4","6","8","3.13","3.29","1","9","3","3"
"1996","Rural Area","3.35","3","504","1","2","4","6","8","3.2","3.5","1","11","3","3"
"1996","Urban Area","3.39","3","1082","2","2","4","6","8","3.3","3.48","1","9","3","3"
"1997","Rural Area","3.44","3","486","1","2","4","6","9","3.29","3.59","1","10","3","4"
"1997","Urban Area","3.34","3","979","2","2","4","6","8","3.24","3.44","1","11","3","3"
"1998","Rural Area","4.08","4","4789","2","3","5","6","9","4.03","4.13","1","18","4","4"
"1998","Urban Area","3.67","3","9286","2","3","4","6","8","3.64","3.7","1","14","3","3"
"1999","Rural Area","3.72","3","515","2","2","5","6","13","3.56","3.88","1","13","3","4"
"1999","Urban Area","3.5","3","1057","2","2","4","6","9","3.39","3.61","1","14","3","3"
"2000","Rural Area","4.21","4","4128","2","3","5","7","10","4.16","4.26","1","15","4","4"
"2000","Urban Area","3.86","3","8075","2","3","5","6","9","3.82","3.9","1","15","4","4"
"2001","Rural Area","4","4","671","2","3","5","7","9","3.86","4.14","1","12","4","4"
"2001","Urban Area","3.64","3","1507","2","2","5","6","10","3.55","3.73","1","13","3","3"
"2002","Rural Area","4.16","4","7585","2","3","5","6","9","4.12","4.2","1","17","4","4"
"2002","Urban Area","3.8","3","15332","2","3","5","6","9","3.77","3.83","1","19","4","4"
"2003","Rural Area","4.14","4","7327","2","3","5","6","9","4.1","4.18","1","16","4","4"
"2003","Urban Area","3.81","3","14904","2","3","5","6","9","3.78","3.84","1","15","4","4"
"2004","Rural Area","4.14","4","7175","2","3","5","6","9","4.1","4.18","1","18","4","4"
"2004","Urban Area","3.81","3","14503","2","3","5","6","9","3.78","3.84","1","16","4","4"
"2005","Rural Area","4.18","4","6871","2","3","5","7","9","4.14","4.22","1","25","4","4"
"2005","Urban Area","3.8","3","13922","2","3","5","6","9","3.77","3.83","1","16","4","4"
"2006","Rural Area","4.15","4","7523","2","3","5","6","9","4.11","4.19","1","20","4","4"
"2006","Urban Area","3.79","3","14819","2","3","5","6","9","3.76","3.82","1","22","4","4"
"2007","Rural Area","4.22","4","7093","2","3","5","7","10","4.18","4.26","1","16","4","4"
"2007","Urban Area","3.83","3","13847","2","3","5","6","9","3.8","3.86","1","22","4","4"
"2008","Rural Area","4.25","4","6647","2","3","5","7","10","4.2","4.3","1","16","4","4"
"2008","Urban Area","3.85","4","13002","2","3","5","6","9","3.82","3.88","1","24","4","4"
"2009","Rural Area","4.25","4","6316","2","3","5","7","10","4.2","4.3","1","17","4","4"
"2009","Urban Area","3.88","4","12011","2","3","5","6","9","3.85","3.91","1","13","4","4"
"2010","Rural Area","4.25","4","8353","2","3","5","7","10","4.21","4.29","1","18","4","4"
"2010","Urban Area","3.87","4","16039","2","3","5","6","9","3.84","3.9","1","18","4","4"
"2011","Rural Area","4.25","4","10249","2","3","5","7","10","4.21","4.29","1","18","4","4"
"2011","Urban Area","3.88","4","18748","2","3","5","6","9","3.85","3.91","1","24","4","4"
"2012","Rural Area","4.25","4","10149","2","3","5","7","10","4.21","4.29","1","16","4","4"
"2012","Urban Area","3.9","4","18110","2","3","5","6","9","3.87","3.93","1","24","4","4"
"2013","Rural Area","4.24","4","10556","2","3","5","7","9","4.21","4.27","1","16","4","4"
"2013","Urban Area","3.9","4","20749","2","3","5","6","9","3.88","3.92","1","20","4","4"
"2014","Rural Area","4.22","4","9493","2","3","5","7","10","4.18","4.26","1","16","4","4"
"2014","Urban Area","3.91","4","18250","2","3","5","6","9","3.89","3.93","1","15","4","4"
"2015","Rural Area","4.22","4","9371","2","3","5","7","10","4.18","4.26","1","16","4","4"
"2015","Urban Area","3.9","4","18112","2","3","5","6","9","3.87","3.93","1","15","4","4"
"2016","Rural Area","4.29","4","9454","2","3","5","7","10","4.25","4.33","1","16","4","4"
"2016","Urban Area","3.89","4","18460","2","3","5","6","9","3.87","3.91","1","15","4","4"
"2017","Rural Area","4.26","4","10850","2","3","5","7","10","4.23","4.29","1","16","4","4"
"2017","Urban Area","3.89","4","20430","2","3","5","6","9","3.87","3.91","1","15","4","4"
"2018","Rural Area","4.32","4","10180","2","3","5","7","10","4.28","4.36","1","18","4","4"
