"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","(0) in school","East Germany","","","","","","","","","","","","","",""
"1987","(0) in school","West Germany","","","","","","","","","","","","","",""
"1987","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1987","(1a) inadequately completed","West Germany","3.11","3","83","2","2","4","5","7","2.81","3.41","1","9","3","3"
"1987","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1987","(1b) general elementary school","West Germany","2.81","3","170","1","2","4","4","6","2.63","2.99","1","7","3","3"
"1987","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","West Germany","3.29","3","243","2","2","4","5","6","3.13","3.45","1","8","3","3"
"1987","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1987","(2a) intermediate vocational","West Germany","3.28","3","130","2","2","4","5","7","3.04","3.52","1","7","3","3"
"1987","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","West Germany","2.96","3","45","1","2","3","6","7","2.54","3.38","1","7","2","3"
"1987","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","West Germany","3.31","3","49","1","2","4","6","8","2.86","3.76","1","8","3","4"
"1987","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1987","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1987","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1987","(3b) higher tertiary education","West Germany","3.52","3","66","2","3","5","5","7","3.17","3.87","1","7","3","4"
"1988","(0) in school","East Germany","","","","","","","","","","","","","",""
"1988","(0) in school","West Germany","","","","","","","","","","","","","",""
"1988","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1988","(1a) inadequately completed","West Germany","2.75","2","70","2","2","3","4","8","2.34","3.16","1","8","2","3"
"1988","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1988","(1b) general elementary school","West Germany","2.9","3","179","1","2","4","5","9","2.65","3.15","1","9","3","3"
"1988","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","West Germany","3.08","3","247","1","2","4","5","9","2.86","3.3","0","11","3","3"
"1988","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1988","(2a) intermediate vocational","West Germany","3.44","3","122","2","3","4","6","9","3.14","3.74","1","11","3","3"
"1988","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","West Germany","2.65","2","33","2","2","3","4","5","2.24","3.06","1","5","2","3"
"1988","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","West Germany","2.74","2","45","1","2","3","5","6","2.3","3.18","1","8","2","3"
"1988","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1988","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1988","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1988","(3b) higher tertiary education","West Germany","3.6","3","51","1","2","6","6","7","3.03","4.17","1","8","3","4"
"1989","(0) in school","East Germany","","","","","","","","","","","","","",""
"1989","(0) in school","West Germany","","","","","","","","","","","","","",""
"1989","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1989","(1a) inadequately completed","West Germany","3.05","3","62","1","2","4","5","7","2.66","3.44","0","7","3","3"
"1989","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1989","(1b) general elementary school","West Germany","2.92","3","154","2","2","3","5","7","2.71","3.13","1","7","3","3"
"1989","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","West Germany","3.22","3","211","2","2","4","5","8","3.01","3.43","1","10","3","3"
"1989","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1989","(2a) intermediate vocational","West Germany","3.26","3","155","2","2","4","5","10","2.99","3.53","1","10","3","3"
"1989","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1989","(2b) intermediate general qualification","West Germany","3.39","3","36","2","2","4","7","8","2.71","4.07","1","8","2","4"
"1989","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1989","(2c_gen) general maturity certificate","West Germany","3.3","3","32","2","2","5","5","7","2.82","3.78","1","7","3","4"
"1989","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1989","(2c_voc) vocational maturity certificate","West Germany","3.19","3","44","1","2","4","6","7","2.72","3.66","1","7","2","4"
"1989","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1989","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1989","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1989","(3b) higher tertiary education","West Germany","3.65","3","50","2","2","5","6","10","3.13","4.17","1","10","3","4"
"1990","(0) in school","East Germany","","","","","","","","","","","","","",""
"1990","(0) in school","West Germany","","","","","","","","","","","","","",""
"1990","(1a) inadequately completed","East Germany","3.55","3","44","2","3","4","5","6","3.21","3.89","1","6","3","4"
"1990","(1a) inadequately completed","West Germany","2.69","3","58","1","1","3","4","7","2.24","3.14","1","9","3","3"
"1990","(1b) general elementary school","East Germany","2.8","3","333","1","2","3","4","7","2.66","2.94","1","8","3","3"
"1990","(1b) general elementary school","West Germany","2.94","3","132","1","2","4","4","8","2.68","3.2","0","9","3","3"
"1990","(1c) basic vocational qualification","East Germany","3.16","3","1330","2","2","4","5","7","3.1","3.22","1","10","3","3"
"1990","(1c) basic vocational qualification","West Germany","2.81","3","203","1","2","4","4","6","2.64","2.98","0","9","3","3"
"1990","(2a) intermediate vocational","East Germany","3.27","3","1368","2","3","4","5","7","3.21","3.33","1","10","3","3"
"1990","(2a) intermediate vocational","West Germany","3.23","3","118","2","2","4","5","6","2.99","3.47","1","8","3","3"
"1990","(2b) intermediate general qualification","East Germany","3.65","3","181","2","3","4","5","7","3.47","3.83","1","8","3","4"
"1990","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1990","(2c_gen) general maturity certificate","East Germany","3.57","3.17","46","2","3","4","5","7","3.18","3.96","1","7","3","4"
"1990","(2c_gen) general maturity certificate","West Germany","2.51","2","40","1","1","3","4","7","2","3.02","1","7","2","3"
"1990","(2c_voc) vocational maturity certificate","East Germany","3.22","3","84","2","3","4","5","6","3.01","3.43","1","6","3","4"
"1990","(2c_voc) vocational maturity certificate","West Germany","3.96","3","54","1","2","4","5","60","1.82","6.1","1","60","3","3"
"1990","(3a) lower tertiary education","East Germany","3.43","3","640","2","3","4","5","7","3.34","3.52","1","10","3","3"
"1990","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1990","(3b) higher tertiary education","East Germany","3.38","3","332","2","3","4","5","6","3.26","3.5","1","10","3","3"
"1990","(3b) higher tertiary education","West Germany","4.58","4","50","2","2","5","6","60","2.28","6.88","1","60","3","4"
"1991","(0) in school","East Germany","","","","","","","","","","","","","",""
"1991","(0) in school","West Germany","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","West Germany","3.11","3","52","2","2","4","5","5","2.76","3.46","1","5","2","3"
"1991","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1991","(1b) general elementary school","West Germany","3.12","3","133","1","2","4","6","10","2.8","3.44","1","10","3","3"
"1991","(1c) basic vocational qualification","East Germany","3.17","3","48","1","2","4","6","8","2.69","3.65","1","8","3","4"
"1991","(1c) basic vocational qualification","West Germany","3.54","3","250","2","2","5","6","10","3.33","3.75","1","10","3","3"
"1991","(2a) intermediate vocational","East Germany","3.22","3","136","2","2","4","5","8","2.95","3.49","1","8","3","3"
"1991","(2a) intermediate vocational","West Germany","3.38","3","170","2","2","4","6","9","3.11","3.65","1","10","3","4"
"1991","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1991","(2b) intermediate general qualification","West Germany","3.15","3","31","2","2","4","6","6","2.6","3.7","1","6","2","4"
"1991","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1991","(2c_gen) general maturity certificate","West Germany","2.71","2","38","1","2","4","6","8","2.16","3.26","1","8","2","3"
"1991","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1991","(2c_voc) vocational maturity certificate","West Germany","3.11","3","59","1","2","4","5","7","2.71","3.51","1","10","3","4"
"1991","(3a) lower tertiary education","East Germany","3.76","3","40","2","3","5","6","7","3.27","4.25","1","7","3","4"
"1991","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","West Germany","3.86","4","68","2","2","5","6","7","3.45","4.27","1","7","4","5"
"1992","(0) in school","East Germany","","","","","","","","","","","","","",""
"1992","(0) in school","West Germany","","","","","","","","","","","","","",""
"1992","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1992","(1a) inadequately completed","West Germany","4.05","4","34","2","3","5","6","7","3.49","4.61","1","7","3","5"
"1992","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1992","(1b) general elementary school","West Germany","3.34","3","153","1","2","4","5","10","3.08","3.6","1","10","3","3"
"1992","(1c) basic vocational qualification","East Germany","2.9","3","69","1","2","3","5","8","2.55","3.25","1","8","3","3"
